SPK_SPKC01a,SPK_SPKC01b,SPK_SPKC05a,SPK_SPKC08a,SPK_SPKC13a
722.110375,788.0893,720.7041,715.53375,707.356225
722.160275,789.423425,720.788025,715.636175,707.4696
722.2135,790.126125,720.951625,715.747525,707.67255
722.2775,790.31075,720.992825,715.81455,707.882025
722.536625,791.078525,721.03855,715.9902,707.995775
722.892775,791.33255,721.050825,716.252425,708.1144
723.07225,792.0058,721.6686,716.378525,708.232475
723.27465,792.6351,721.9074,716.480175,708.47715
723.35495,793.216775,722.016075,716.635225,708.547375
723.42585,793.72625,722.675275,716.7289,708.616525
723.5744,795.424075,722.7087,716.823275,708.660825
723.682075,795.82115,722.9306,716.8647,708.713925
723.8815,797.4538,723.052625,716.953425,708.777025
724.01925,797.969975,723.10185,717.0103,708.82805
724.09315,798.68635,723.451725,717.0575,708.87755
724.37255,800.335575,723.537175,717.094275,708.92435
724.585225,800.995475,723.703675,717.33225,708.984725
724.875525,801.78945,723.7326,717.4814,709.017975
725.016525,802.715575,723.959725,717.86125,709.065875
725.28115,803.43995,723.996475,717.99365,709.109375
725.52405,804.13685,724.00295,718.1139,709.1471
725.6579,805.1762,724.07555,718.197475,709.192225
725.7059,805.63475,724.3596,718.292425,709.24455
725.920525,806.29345,724.460025,718.377975,709.289425
726.043525,806.81905,724.7878,718.520125,709.33495
726.14165,807.421425,725.09555,718.6627,709.382475
726.302825,807.8513,725.2523,718.722475,709.417625
726.655,808.937275,725.4071,718.8796,709.45715
727.162575,809.4156,725.704625,719.12875,709.55635
727.271325,810.82445,725.826275,719.323225,709.616025
727.41055,811.2344,725.97735,719.4649,709.774375
727.56935,811.693575,726.05165,719.58595,709.88505
727.707975,812.677625,726.105425,719.85985,710.040925
727.950525,813.570775,726.18135,719.977475,710.122125
728.1029,814.05625,726.183125,720.24565,710.2805
728.226425,814.868475,726.3067,720.40735,710.340775
728.550425,815.630775,726.442125,720.602075,710.449925
728.625075,816.491575,726.7036,720.80625,711.0797
728.88,817.444,726.730225,721.0642,711.18685
729.047225,818.497625,726.9737,721.23295,711.28215
729.18405,819.744625,727.081325,721.438125,711.369225
729.376575,820.132075,727.456725,721.646325,711.406875
729.3903,820.8077,727.63675,721.766,711.500775
729.500575,822.125975,727.7097,722.122,711.594225
729.60885,823.954025,727.7671,722.22875,711.661725
729.688625,824.090375,727.82415,722.396,711.729675
729.740325,824.368025,727.97065,722.453675,711.7823
729.853975,825.536125,728.243475,722.523,711.824725
730.003625,825.95595,728.5892,722.63165,711.929925
730.120525,827.026775,728.6398,722.743075,712.016775
730.260175,827.967275,728.922175,722.808725,712.17535
730.37035,828.5387,729.155975,722.93165,712.253175
730.856425,829.320875,729.29925,723.0518,712.426525
731.008325,830.22475,729.858475,723.142275,712.5509
731.203775,831.50145,729.9703,723.305825,712.753575
731.314475,832.662025,730.0329,723.558575,712.93005
731.530875,834.047925,730.1231,723.7026,713.0836
731.6242,835.53245,730.2436,723.85645,713.248175
732.140875,836.4165,730.2792,723.9065,713.4419
732.421475,836.733125,730.5088,724.136325,713.532425
732.544025,838.4676,730.60865,724.27055,713.642925
732.657675,840.00285,731.0459,724.350325,713.6986
732.7466,842.475225,731.18855,724.4399,713.846575
732.86745,842.992,731.26045,724.543275,713.940775
733.122975,844.1878,731.30765,724.632,714.023175
733.633925,844.838,731.364425,724.7369,714.06725
733.761025,845.339975,731.4323,724.91135,714.129325
733.8718,847.179925,731.4773,725.016775,714.1979
734.066875,847.8453,731.5866,725.102525,714.253225
734.16435,849.217925,731.7272,725.442375,714.3135
734.4275,850.1042,731.905175,725.523575,714.3556
734.693975,851.6313,731.93935,725.5799,714.40415
734.798825,852.0596,731.984625,725.653325,714.454975
734.978075,852.831575,732.0487,725.7044,714.506025
735.2092,853.558775,732.297625,725.861625,714.569875
735.3269,854.513575,732.3949,726.2766,714.622425
735.85785,855.557,732.458875,726.4296,714.68185
