Mouse#:	2
Recording:	081821
distance:	1.4
trajectory:	4
mouse:	Naive
cell_num:	11
channel:	Ch12
pos:	left
src:	/Users/johnparker/UPitt_Data/pulsed_light_terminal_20Hz/gpe_pv/raw_data/Naive/AA081821/PV-cre#2_081821_trajectory4_1.4mm_left_rec14_1mW_10s_GPe_pulsed_terminals_cells_rec_together/Ch12.txt
