SPK_SPKC04a,SPK_SPKC05b,SPK_SPKC10a
407.769225,419.501575,412.77135
407.802825,419.5601,412.9457
407.846675,419.6243,412.964175
407.89585,419.657,413.073875
407.94725,419.74205,413.10905
408.1372,419.80605,413.163125
408.16695,419.8912,413.237825
408.198375,419.97395,413.275225
408.235475,420.164675,413.35315
408.293325,420.227925,413.392225
408.345775,420.28395,413.43505
408.370425,420.308625,413.495375
408.40115,420.420075,413.56835
408.456,420.698375,413.651875
408.48115,420.739675,413.726625
408.5078,420.85435,413.7877
408.537775,420.943375,413.860775
408.5821,421.007125,413.968275
408.642325,421.019475,414.033825
408.87655,421.239975,414.09415
408.90645,421.33985,414.1875
408.9236,421.5529,414.27295
408.945225,421.66175,414.34205
408.983825,421.7144,414.41055
409.023325,421.73635,414.450025
409.0516,421.900525,414.55495
409.085075,421.984725,414.569875
409.130125,422.08505,414.59975
409.180175,422.174525,414.67895
409.228675,422.23045,414.74115
409.305325,422.3229,414.856625
409.3534,422.46335,414.9298
409.3845,422.559825,414.978925
409.41705,422.681475,415.13365
409.445825,422.8306,415.304025
409.4852,422.87545,415.34445
409.5466,422.95075,415.4033
409.632525,423.015025,415.50465
409.68035,423.166175,415.560425
409.703775,423.48715,415.615325
409.72725,423.563625,415.67745
409.756525,423.693125,415.73235
409.794675,423.757475,415.770325
409.83755,423.918425,415.86485
409.8734,423.99995,415.96835
409.9326,424.067225,415.993825
409.962525,424.1856,416.021275
409.992775,424.344,416.059225
410.032125,424.433125,416.1072
410.1658,424.496075,416.1395
410.2586,424.556525,416.22815
410.3149,424.621325,416.29155
410.346625,424.676975,416.3599
410.366225,424.766125,416.454275
410.389125,424.858675,416.5474
410.41135,424.91095,416.6435
410.4336,425.02605,416.7186
410.463975,425.12525,416.864075
410.494475,425.183325,416.901075
410.524175,425.225725,416.953725
410.55515,425.2775,417.093925
410.590925,425.49295,417.140075
410.621325,425.563475,417.194675
410.65715,425.79505,417.21355
410.7016,425.863075,417.280825
410.78165,425.9415,417.290575
410.84545,426.002275,417.412625
410.904475,426.0647,417.473025
410.933825,426.128725,417.51305
410.9747,426.13085,417.628725
411.00805,426.28775,417.676125
411.03575,426.585625,417.73285
411.0606,426.60325,417.771225
411.13385,426.672975,417.8183
411.1886,426.743425,417.866925
411.237225,426.8891,417.914875
411.302425,427.028275,417.967975
411.3497,427.123475,418.02985
411.4303,427.232825,418.05905
411.4844,427.2988,418.0891
411.574675,427.30095,418.15615
411.59695,427.354225,418.2243
411.619075,427.402275,418.334275
411.6365,427.58865,418.39735
411.653825,427.717125,418.466
411.674775,427.770575,418.4982
411.694275,427.78725,418.533675
411.7178,427.9047,418.55835
411.742075,427.980875,418.7138
412.051525,428.024775,418.753175
412.0746,428.133775,418.7867
412.0865,428.250475,418.818475
412.10055,428.3262,418.8504
412.119625,428.60805,418.890825
412.141725,428.6675,418.927525
412.166875,428.868825,418.967675
412.204325,428.93685,419.036675
412.22045,429.248175,419.07705
412.23535,429.425525,419.135925
412.2521,429.519225,419.198025
412.276575,429.611575,419.277325
412.302875,429.68675,419.339675
412.3356,429.708125,419.4452
412.3541,430.0506,419.4869
412.379125,430.1199,419.5298
412.40795,430.2033,419.572525
412.4401,430.3167,419.62425
412.467975,430.33115,419.661725
412.494725,430.425975,419.702025
412.52605,430.503725,419.8143
412.56305,430.5836,420.09315
412.618475,430.697875,420.16455
412.745375,430.7798,420.20655
412.794125,430.883825,420.24475
412.81465,430.934175,420.285825
412.832975,431.030175,420.3091
412.8434,431.171975,420.353575
412.849725,431.286175,420.415425
412.865975,431.352875,420.527225
412.884325,431.488775,420.57025
412.897775,431.521575,420.611025
412.934775,431.612775,420.690325
412.963575,431.689475,420.851725
412.996575,431.96755,420.881225
413.03435,432.047325,420.920825
413.0666,432.122675,421.0015
413.0869,432.2004,421.021475
413.10275,432.240825,421.08185
413.114725,432.568925,421.12355
413.162825,432.6737,421.16775
413.2038,432.726425,421.2312
413.251875,432.778075,421.302875
413.317925,432.881525,421.435
413.3387,433.00315,421.511825
413.38065,433.160175,421.574
413.42825,433.240675,421.63985
413.44585,433.3698,421.733775
413.475275,433.4483,421.87485
413.5018,433.5611,421.936375
413.529375,433.718925,422.300425
413.568275,433.80645,422.35085
413.600575,433.9079,422.417725
413.625075,434.049425,422.464925
413.66045,434.1947,422.687825
413.690925,434.270225,422.910575
413.749875,434.412675,423.00535
413.80145,434.52575,423.06745
413.8483,434.567425,423.479275
413.903825,434.6246,423.642875
414.008175,434.67075,423.81265
414.05925,434.777675,423.905375
414.089225,434.846275,423.97
414.111475,434.97625,424.0386
414.12475,435.089425,424.123725
414.13735,435.157875,424.215825
414.164075,435.25455,424.27285
414.189225,435.2899,424.3391
414.243075,435.319025,424.4257
414.284675,435.543125,424.469425
414.3269,435.616225,424.5885
414.42735,435.7149,424.67225
414.487575,435.781025,424.708225
414.553125,435.84045,424.8417
414.58335,436.01515,424.906075
414.64515,436.0493,424.98625
414.661575,436.1335,425.09215
414.690125,436.191325,425.15825
414.71535,436.330575,425.2195
414.739225,436.477475,425.2963
414.775525,436.792725,425.381225
414.828775,436.906225,425.45965
414.907375,437.434875,425.502775
415.00385,437.4948,425.54365
415.0589,437.5601,425.58435
415.0949,437.627325,425.667775
415.11565,437.739625,425.779475
415.150625,437.77995,425.83015
415.22,437.8856,425.89225
415.299775,437.90655,425.9833
415.34785,437.938225,426.062525
415.376425,437.977575,426.1308
415.392925,438.11805,426.17925
415.4092,438.281325,426.21665
415.480625,438.344825,426.284775
415.54105,438.377575,426.378625
415.6226,438.462225,426.43715
415.689125,438.6243,426.468625
415.78755,438.699275,426.568225
415.887175,438.788875,426.6445
415.906275,438.895425,426.71275
415.924025,438.95465,426.743825
415.941225,439.174175,426.774925
415.95925,439.2674,426.838875
415.983275,439.37895,426.8901
416.01535,439.488425,427.07745
416.05555,439.53285,427.1409
416.114025,439.590125,427.21355
416.17245,439.7424,427.300875
416.227525,439.821975,427.3497
416.290125,440.18995,427.378675
416.335625,440.207225,427.40385
416.37165,440.235925,427.45365
416.432325,440.331825,427.542
416.50055,440.38935,427.6097
416.595725,440.459825,427.69875
416.679625,440.54525,427.7435
416.7141,440.6357,427.773125
416.7292,440.796075,427.83635
416.742125,440.8265,427.95135
416.756325,440.83555,427.992825
416.768525,440.870825,428.0255
416.78395,440.994875,428.080175
416.83175,441.163925,428.1168
