SPK_SPKC03a (no response),SPK_SPKC06a (no response),SPK_SPKC12a (no response)
28.099275,25.89295,17.764625
28.219925,25.975275,17.926525
28.287125,26.08555,18.18265
28.392475,26.17825,18.342125
28.57765,26.20565,18.40205
28.644725,26.245775,18.501225
28.7209,26.295725,18.512925
29.395225,26.390075,18.54375
29.452275,26.695725,18.588675
29.5403,26.7423,18.8225
29.620325,26.796575,18.831325
29.743775,26.8463,18.9006
29.817975,26.867375,18.94605
29.821275,27.041075,19.0264
29.9089,27.1135,19.126
30.026325,27.2068,19.35695
30.154175,27.421825,19.442575
30.159625,27.6306,19.511275
30.2834,27.713075,19.5579
30.28695,27.792925,19.5703
30.2992,28.00325,19.5977
30.409125,28.03505,19.607075
30.518,28.121075,19.676575
30.53225,28.339175,19.769525
30.8138,28.4364,19.80705
30.979975,28.470775,19.89235
31.165175,28.7496,20.090325
31.406625,28.8389,20.1074
31.4112,28.883525,20.196275
31.506225,29.086275,20.216425
31.52775,29.129875,20.227825
31.53685,29.15445,20.30375
31.723625,29.391175,20.502825
31.878625,29.467,20.79345
31.99375,29.58655,20.80555
32.137475,29.6206,20.9498
32.29325,29.622175,21.004825
32.541975,29.717125,21.088575
32.6913,29.743625,21.17825
32.6955,29.892425,21.316425
32.80835,29.906075,21.345425
32.88325,29.951425,21.478375
32.955375,29.984625,21.5476
33.10795,30.034175,21.612325
33.227525,30.0758,21.687375
33.23915,30.187925,21.763675
33.3484,30.226575,22.011125
33.360925,30.2285,22.135575
33.437075,30.377475,22.185225
33.531125,30.483775,22.24095
33.5552,30.513725,22.36215
33.886625,30.5879,22.468125
34.0427,30.710675,22.518525
34.13385,30.779975,22.58805
34.1567,30.807475,22.65375
34.29715,30.84865,23.0026
34.31435,31.01305,23.204175
34.565375,31.027475,23.2911
34.612825,31.14325,23.346825
34.64085,31.162175,23.43605
34.704,31.3234,23.485275
34.857525,31.346325,23.547675
34.957075,31.5431,23.60835
35.11045,31.684075,23.670875
35.286075,31.6983,24.05855
35.30325,31.7281,24.127025
35.42705,31.747875,24.274625
35.5096,31.8127,24.36625
35.69655,31.926075,24.429225
35.77085,32.087425,24.492325
35.784575,32.169875,24.521275
35.863125,32.1911,24.56075
35.965025,32.4301,24.6983
36.1282,32.579725,24.733575
36.17175,32.608025,24.813275
36.389175,32.6345,24.8922
36.479475,32.6461,24.96015
36.55485,32.719275,25.037925
36.64155,32.751725,25.085575
36.660025,32.79325,25.16805
36.6853,32.87825,25.300575
36.697325,32.954225,25.484175
36.83275,33.1361,25.528
36.846725,33.315575,25.561175
37.011675,33.379225,25.597175
37.123775,33.4082,25.6326
37.1452,33.5021,25.678475
37.46565,33.6107,25.7067
37.4741,33.641925,25.7744
37.54245,33.69935,25.83915
