SPK_SPKC01a (no effect),SPK_SPKC05a (inhibited),SPK_SPKC08a (inhibited),SPK_SPKC09a (no effect),SPK_SPKC12a (excited),SPK_SPKC13a (excited)
7.91865,4.8969,2.16545,4.32215,29.876925,3.748725
7.933575,4.903275,2.1796,4.337275,29.89765,3.755925
7.963875,4.9208,2.194825,4.347025,29.957375,3.76575
8.00715,4.93675,2.208825,4.3819,30.084675,3.768175
8.226525,5.038075,2.2215,4.4149,30.62535,3.77455
8.2293,5.0466,2.2352,4.4905,30.887525,3.791825
8.27855,5.07415,2.247225,4.525275,32.57795,3.81175
8.3265,5.188375,2.262425,4.618325,32.97185,3.847275
8.411225,5.322725,2.27135,4.625375,33.2434,3.864075
8.5696,5.414,2.2871,4.633225,33.664675,3.8715
8.71455,5.4724,2.2979,4.640925,34.164175,3.881725
8.92285,5.591475,2.307575,4.66765,34.2598,3.912875
9.10255,5.7407,2.31855,4.67265,34.444925,3.93395
9.154075,5.815675,2.3328,4.70885,34.691325,3.95265
9.180275,5.843125,2.345925,4.710225,35.5502,3.97165
9.22675,5.88545,2.36715,4.76735,36.6073,3.981825
9.368025,5.9042,2.383975,4.7913,36.659325,3.98935
9.45445,5.9259,2.401275,4.814475,36.793325,3.99885
9.524,5.94425,2.42665,4.88615,37.032525,4.0081
9.617425,6.038925,2.44675,4.9257,37.044475,4.0159
9.7513,6.08305,2.466025,4.971975,37.120475,4.0259
9.79845,6.185225,2.485075,5.013325,37.13375,4.034325
10.019375,6.1864,2.50225,5.134375,37.173975,4.056775
10.098925,6.2437,2.51715,5.138425,37.591025,4.068675
10.146625,6.24545,2.5403,5.185675,37.6224,4.0814
10.274625,6.3043,2.564825,5.203625,37.735225,4.094125
10.53015,6.3231,2.58365,5.22105,37.845975,4.105025
10.577175,6.4082,2.609025,5.262525,37.90025,4.127325
10.610375,6.498375,2.62915,5.368225,37.9596,4.13635
10.675775,6.50835,2.68535,5.403975,38.10795,4.1499
10.729125,6.527475,2.702025,5.41855,38.211025,4.160525
10.79255,6.599625,2.749375,5.455625,38.861525,4.175575
10.7961,6.68685,2.77665,5.514675,39.457125,4.198175
10.843925,6.73225,2.831225,5.55675,39.97775,4.22535
10.863875,6.749925,2.86315,5.57035,40.891225,4.244975
10.869875,6.805725,2.88295,5.600575,42.19985,4.26005
10.87645,6.835875,2.89875,5.63225,42.250275,4.294525
10.88455,6.909875,2.909775,5.7007,43.279125,4.344575
10.9086,7.073,2.9193,5.72205,43.7112,4.365175
10.925025,7.10205,2.930025,5.750525,44.0851,4.38035
10.94465,7.1427,2.94505,5.780225,45.2508,4.41685
