SPK_SPKC09a (no response),SPK_SPKC10a (inhi),SPK_SPKC13b (inhi),SPK_SPKC14a (no response),SPK_SPKC15a (inhi)
119.714075,119.30675,120.916525,107.335525,124.625625
119.773225,119.506975,120.9375,107.3624,124.68925
119.862125,119.554025,120.957675,107.391925,124.740825
119.957225,119.5596,120.987175,107.403175,124.86205
120.130225,119.579225,121.002075,107.4225,124.904475
120.286625,119.590525,121.026475,107.433125,124.9648
120.343625,119.630425,121.0676,107.4537,125.00295
120.393725,119.666725,121.134375,107.476925,125.011425
120.497525,119.712675,121.3158,107.493475,125.050925
120.519,119.7218,121.325925,107.510125,125.09815
120.57025,119.77965,121.340125,107.5249,125.234675
120.642075,119.825425,121.36265,107.547525,125.27925
120.69925,119.868,121.402775,107.566575,125.327075
120.776925,119.893875,121.4118,107.58025,125.389425
120.7968,119.905075,121.605375,107.59445,125.421225
120.8452,119.951,121.679325,107.62695,125.43905
120.9361,120.24355,121.74835,107.631575,125.4675
121.081775,120.33865,121.8901,107.63815,125.4937
121.1249,120.3835,121.9353,107.675125,125.52915
121.1579,120.39895,122.036475,107.70145,125.534475
121.29295,120.44405,122.072,107.712225,125.591225
121.454825,120.513125,122.0849,107.74785,125.6194
121.478275,120.5651,122.0943,107.757925,125.665825
121.53795,120.9608,122.33715,107.786725,125.695375
121.59155,120.98935,122.43475,107.8536,125.8674
121.641625,121.0003,122.52685,107.8577,125.934575
121.6652,121.02025,122.57305,107.870925,125.999325
121.703375,121.0372,122.626825,107.9014,126.158225
121.8696,121.041175,122.6917,107.92715,126.181275
121.94215,121.184875,122.703875,107.954325,126.238125
121.996775,121.225225,122.711525,107.96565,126.4005
122.124,121.306,122.7637,107.982975,126.440925
122.199425,121.366425,122.89075,108.00665,126.4664
122.3053,121.375675,122.91715,108.0161,126.536575
122.3268,121.406325,122.9581,108.02565,126.558625
122.39835,121.44555,122.97985,108.042575,126.59665
122.497075,121.45595,122.987075,108.069125,126.67675
122.5079,121.508525,122.998925,108.09945,126.739825
122.66495,121.643625,123.0431,108.108025,126.77075
