SPK_SPKC05a,SPK_SPKC05c,SPK_SPKC15a,SPK_SPKC16b
3845.06085,3803.0316,3805.07385,3803.329575
3845.193075,3803.040725,3805.132425,3803.3869
3845.259275,3803.06515,3805.157375,3803.428225
3845.736525,3803.09465,3805.21865,3803.46635
3845.8638,3803.131675,3805.259325,3803.5213
3846.4334,3803.150375,3805.2986,3803.554325
3846.729475,3803.17935,3805.347225,3803.584325
3846.756825,3803.1922,3805.39775,3803.62685
3847.041925,3803.2107,3805.494375,3803.6496
3847.5228,3803.233375,3805.52565,3803.700375
3847.680075,3803.253975,3805.57175,3803.729775
3847.75085,3803.306175,3805.607275,3803.75605
3847.871725,3803.336925,3805.63565,3803.7792
3847.923325,3803.361725,3805.7207,3803.807875
3848.1615,3803.417525,3805.770825,3803.8305
3848.780775,3803.445575,3805.80925,3803.867175
3848.8426,3803.4614,3805.8704,3803.92345
3849.2784,3803.480975,3805.977275,3803.970575
3849.568925,3803.5265,3806.003325,3804.01875
3849.8648,3803.5356,3806.0477,3804.135275
3850.106175,3803.55195,3806.0676,3804.164325
3850.203375,3803.567425,3806.0866,3804.184125
3850.248025,3803.59205,3806.1123,3804.199725
3850.723675,3803.624875,3806.159375,3804.212825
3850.864125,3803.638775,3806.19975,3804.25485
3850.8772,3803.658325,3806.229775,3804.2984
3851.0677,3803.67615,3806.2479,3804.356625
3851.123275,3803.6944,3806.26355,3804.39415
3852.145925,3803.70835,3806.286625,3804.4375
3853.58755,3803.72525,3806.3426,3804.475275
3854.46115,3803.74235,3806.369825,3804.480375
3854.50165,3803.761,3806.415225,3804.513775
3854.709825,3803.784825,3806.453325,3804.548875
3854.9001,3803.82095,3806.483175,3804.5845
3856.1636,3803.840325,3806.5197,3804.602
3856.38155,3803.874,3806.552325,3804.6216
3856.408625,3803.89325,3806.58145,3804.642125
3856.85145,3803.913375,3806.642,3804.665175
3857.000775,3803.9513,3806.7013,3804.762625
3857.4055,3803.990725,3806.723525,3804.800925
3857.8828,3804.024825,3806.80025,3804.8805
3857.919725,3804.056375,3806.846225,3804.92895
3858.190725,3804.071875,3806.905975,3804.964275
3858.38195,3804.086,3806.926675,3804.9788
3858.85925,3804.106825,3806.949275,3805.00065
3858.8754,3804.12085,3807.1334,3805.03715
3859.02215,3804.138125,3807.19815,3805.066075
3859.3549,3804.1483,3807.199375,3805.122075
3859.391525,3804.168775,3807.266375,3805.188425
3859.59495,3804.182425,3807.3147,3805.244625
3859.69575,3804.1962,3807.372675,3805.289125
3860.412725,3804.21545,3807.3977,3805.336325
3861.298025,3804.23215,3807.431675,3805.35115
3861.34455,3804.263225,3807.499125,3805.373325
3861.5124,3804.274875,3807.533075,3805.394025
3861.61835,3804.307775,3807.55125,3805.403775
3861.666575,3804.338075,3807.57325,3805.43525
3861.7417,3804.360125,3807.60705,3805.450925
3862.393825,3804.38145,3807.68245,3805.480225
3864.0182,3804.4198,3807.72175,3805.5109
3864.071775,3804.461975,3807.7558,3805.5404
3864.34,3804.5181,3807.78825,3805.576125
3865.617475,3804.552825,3807.8461,3805.60725
3865.6413,3804.577625,3807.91165,3805.668325
3865.8615,3804.607025,3807.97905,3805.71285
3865.9014,3804.6218,3808.01255,3805.7725
3865.99065,3804.633775,3808.04335,3805.8122
3866.080025,3804.64955,3808.105,3805.883575
3866.138525,3804.6765,3808.1983,3805.8939
3866.61225,3804.69085,3808.220925,3805.911375
3866.80125,3804.709075,3808.256875,3805.9431
3867.847375,3804.732625,3808.288725,3805.9703
3867.9535,3804.74745,3808.319975,3805.99625
3868.456425,3804.761875,3808.3484,3806.022275
3869.195425,3804.826225,3808.3839,3806.045075
3869.23455,3804.8581,3808.418325,3806.08035
3869.2659,3804.889,3808.5438,3806.108975
3870.0113,3804.90985,3808.547475,3806.145675
3870.198225,3804.9432,3808.578225,3806.1646
3870.48895,3804.976575,3808.611,3806.181675
3870.98155,3804.990775,3808.628625,3806.2214
3872.475625,3805.004125,3808.6502,3806.255375
3872.49255,3805.0263,3808.710975,3806.2635
3872.763125,3805.043625,3808.7599,3806.2938
3872.93915,3805.06395,3808.78355,3806.3459
3873.36875,3805.084525,3808.8308,3806.4333
3873.813075,3805.1146,3808.862075,3806.4674
3874.163075,3805.140775,3808.90285,3806.525575
3874.93275,3805.174575,3809.022275,3806.5596
3875.06675,3805.208,3809.07425,3806.5901
3875.315775,3805.255475,3809.110525,3806.6374
3875.50645,3805.28365,3809.117225,3806.695075
3875.581175,3805.3116,3809.128875,3806.719525
3876.4478,3805.339475,3809.152025,3806.755875
3876.50035,3805.3509,3809.18625,3806.767525
3877.1883,3805.38065,3809.247225,3806.813325
3877.281075,3805.403125,3809.31775,3806.855675
3877.309025,3805.42025,3809.3628,3806.892425
3877.329225,3805.438275,3809.4351,3806.926675
3877.3305,3805.4554,3809.547425,3806.937375
3878.27065,3805.49085,3809.584625,3806.962475
3878.375625,3805.513375,3809.615825,3807.00175
3878.402475,3805.547925,3809.637375,3807.0413
3878.491225,3805.575175,3809.669525,3807.087275
3878.525425,3805.59615,3809.744725,3807.130075
3878.768325,3805.612875,3809.7752,3807.16655
3878.959475,3805.63075,3809.8102,3807.183725
