SPK_SPKC03a (no effect),SPK_SPKC12a (no effect)
101.660075,6.5593
101.93095,6.569075
101.98135,6.5857
102.1754,6.595075
102.26395,6.60355
102.4829,6.6131
102.893725,6.623075
102.938175,6.62875
103.19145,6.6402
103.3804,6.6548
103.58815,6.663425
103.75835,6.678975
104.05045,6.690425
104.47475,6.692625
104.5579,6.7061
104.70915,6.7299
104.751475,6.743775
105.181475,6.7578
105.22265,6.77815
105.304825,6.796725
105.730925,6.814975
107.03435,6.839475
107.123325,6.8551
107.629375,6.8699
107.876825,6.88735
108.4536,6.911125
108.499575,6.9264
108.732075,6.932525
108.7882,6.946275
109.071675,6.9586
109.07685,6.96915
109.55015,6.9802
109.631625,6.994775
109.66685,7.012225
109.869425,7.030225
109.92385,7.04365
110.870175,7.059875
110.941,7.077575
111.046775,7.097075
111.7112,7.12035
112.110825,7.13925
112.2022,7.160925
112.33875,7.178325
112.372,7.19575
112.556225,7.2155
112.6609,7.225075
113.332775,7.241175
113.356625,7.251975
113.882175,7.272275
113.970925,7.281275
113.99135,7.2929
114.059625,7.300025
115.178525,7.3094
115.513225,7.3182
115.989975,7.335025
116.031125,7.343325
116.0545,7.36175
116.120525,7.370075
117.24145,7.3817
117.41005,7.398575
117.4587,7.405525
117.5553,7.41785
117.641275,7.42595
117.67605,7.440025
118.17025,7.4538
118.383875,7.463275
119.63055,7.47715
120.02195,7.489475
120.803075,7.504625
120.9032,7.549975
121.09955,7.568475
121.159725,7.586725
121.3478,7.60895
121.418225,7.6353
121.50715,7.707175
121.517525,7.739125
121.8097,7.76145
122.193675,7.7836
122.314075,7.80025
122.382025,7.81595
122.55565,7.83135
122.679225,7.846675
123.09955,7.874025
123.889,7.901725
124.751075,7.927
124.981675,7.957775
125.284975,7.98145
125.37325,8.01685
125.7737,8.043025
126.1642,8.06165
126.2469,8.0892
126.36165,8.12265
126.3913,8.151625
126.6621,8.167825
126.7296,8.191925
127.290775,8.2167
127.7125,8.238575
127.795125,8.25505
128.2366,8.279325
128.667875,8.301025
128.7721,8.32275
129.0748,8.348425
129.1276,8.369725
129.367675,8.39525
129.4561,8.4163
129.503,8.445725
129.5383,8.4696
129.623425,8.496575
130.0437,8.512575
130.171675,8.544525
130.283525,8.568475
130.41145,8.585225
130.73505,8.604175
130.8425,8.6191
131.498975,8.6352
131.771775,8.6588
131.890025,8.674425
132.890325,8.69305
133.03,8.7108
133.181925,8.729725
133.322225,8.74465
133.476775,8.764
133.720575,8.789575
133.7279,8.809
133.801425,8.840575
134.324475,8.8752
134.383625,8.901375
134.726575,8.932875
134.758275,8.9503
134.92685,8.96895
134.953925,8.9784
134.977475,8.987175
135.0783,8.999325
135.098875,9.0074
135.23335,9.023375
135.424625,9.035275
135.87145,9.047225
135.90725,9.0568
135.957775,9.068175
135.984825,9.082575
136.69725,9.09475
136.714725,9.10795
136.759575,9.117825
136.7935,9.13405
137.00885,9.148725
137.1259,9.1655
137.190275,9.18405
137.3115,9.2005
137.86395,9.220075
137.911375,9.237025
137.999975,9.252225
138.2217,9.27465
138.54245,9.2914
138.550125,9.327725
138.5653,9.36545
138.95895,9.38835
139.17175,9.408825
139.3022,9.427125
139.56195,9.4528
139.673575,9.475275
140.21855,9.492975
140.524175,9.514425
140.6395,9.5408
140.7466,9.567325
140.86145,9.59265
140.9458,9.623625
141.005125,9.641225
141.047375,9.6739
141.375525,9.710675
141.60185,9.7418
141.6984,9.771475
141.94645,9.7866
142.101975,9.814575
142.154625,9.846275
142.9503,9.886525
143.471275,9.926625
143.4925,9.977025
143.514475,10.0108
143.539075,10.0417
143.57465,10.0826
143.5872,10.115525
143.66685,10.14875
144.25755,10.181125
144.904925,10.216375
144.97035,10.24945
145.100475,10.289675
145.23105,10.31695
145.278475,10.355725
145.6213,10.387275
145.883525,10.412225
146.1123,10.436625
146.293225,10.474825
146.905725,10.513375
147.131925,10.53975
147.187825,10.574075
147.420625,10.594525
147.645325,10.625925
148.055425,10.648475
148.163675,10.6832
148.2425,10.698825
148.996125,10.7236
149.036225,10.7475
149.37645,10.76875
149.393025,10.78955
149.631575,10.819775
149.657875,10.864075
149.7968,10.89595
150.141925,10.908275
150.26705,10.92125
150.465075,10.93265
150.677775,10.945625
150.696725,10.956975
150.8837,10.969625
150.9635,10.98585
151.030125,10.99835
151.167675,11.012
151.537,11.023375
151.5608,11.03515
151.66585,11.043825
151.79585,11.053025
151.913125,11.064275
151.9596,11.073875
152.637225,11.080625
152.648125,11.093525
152.930825,11.101875
153.29195,11.118075
153.624925,11.1368
154.55685,11.16485
154.9778,11.17715
155.129775,11.19145
155.69895,11.21025
155.840425,11.2258
156.12375,11.242525
156.185875,11.270825
156.725475,11.3095
157.0118,11.329425
157.031475,11.342475
157.08695,11.35865
157.6107,11.373975
157.966625,11.3935
158.47595,11.413825
158.5047,11.42635
158.576325,11.446675
158.860925,11.48465
159.719125,11.514325
159.8217,11.546175
160.12555,11.5641
160.315,11.576175
160.321525,11.59925
160.68565,11.61595
160.756675,11.633375
161.101975,11.6475
162.16305,11.660025
162.1873,11.673075
162.5373,11.687625
162.971275,11.718375
163.1166,11.74705
163.1332,11.7706
163.65255,11.81035
163.797825,11.853925
163.826725,11.895475
163.835475,11.9158
164.536075,11.92675
165.407625,11.942175
165.8082,11.951825
166.009275,11.9614
166.021425,11.972675
166.102575,11.9852
166.31515,11.996025
166.7408,12.0091
166.849375,12.024075
167.27235,12.038175
167.390925,12.05745
167.562725,12.084475
168.060375,12.10935
168.433925,12.125725
169.4626,12.139675
169.7659,12.151725
170.624425,12.163975
170.940825,12.17465
171.11835,12.18945
171.4914,12.201825
172.417575,12.21255
172.784825,12.229775
173.006875,12.2417
173.030325,12.256725
173.114525,12.2674
173.2264,12.277425
173.478325,12.28525
173.55085,12.291875
173.821025,12.303025
174.1689,12.30985
174.52695,12.317
175.354625,12.320875
175.416325,12.33
175.76865,12.336575
175.968425,12.342225
176.018425,12.349625
176.117025,12.35425
176.318975,12.360375
176.699975,12.380225
176.813475,12.3908
177.104575,12.40415
177.1922,12.4166
177.257325,12.44145
177.45385,12.457075
178.06955,12.47045
178.140975,12.48345
178.2981,12.4944
178.72375,12.509875
179.22015,12.521775
179.251825,12.537325
179.3064,12.568625
179.48085,12.5903
180.15585,12.59685
180.4938,12.623025
180.542425,12.64215
180.729075,12.6563
180.76605,12.673325
181.0646,12.69625
181.480475,12.727925
181.57125,12.7797
181.835875,12.812025
182.062675,12.8347
182.111,12.85245
182.2312,12.8678
182.7114,12.879875
182.718975,12.8961
182.741475,12.913425
182.80575,12.92565
183.23695,12.9278
183.493775,12.941525
183.5172,12.95635
184.388475,12.991625
184.677725,13.00565
184.8829,13.0237
184.895975,13.040375
184.916275,13.061
184.964125,13.07965
185.323775,13.08885
185.4277,13.106925
185.481575,13.113375
185.951475,13.1239
185.973425,13.13575
186.245575,13.142825
186.283275,13.1648
186.4516,13.180125
186.846125,13.20495
186.8774,13.21845
187.2409,13.238375
187.604175,13.26735
187.8374,13.285825
187.94615,13.326675
188.193975,13.3712
188.45155,13.379175
188.5965,13.435675
188.70595,13.464075
188.883,13.476475
189.88195,13.492875
190.501,13.510525
190.70485,13.521425
190.8075,13.543225
190.889025,13.56035
191.2411,13.577575
191.3583,13.5993
191.443,13.65945
191.664075,13.7099
191.703575,13.76805
191.8132,13.791125
191.9419,13.80615
192.1284,13.81995
192.722125,13.835325
192.754975,13.85495
192.9082,13.8812
193.003025,13.899875
193.220575,13.94215
193.266325,14.0089
193.429325,14.042225
193.608625,14.058625
193.93305,14.070925
193.9767,14.084525
194.0659,14.095675
194.09555,14.105475
194.17095,14.12235
194.1993,14.13415
194.274625,14.14785
194.399375,14.16425
194.426,14.177925
194.8372,14.19195
195.102875,14.2129
195.234475,14.226525
195.895275,14.246125
196.062375,14.26445
196.202525,14.281025
196.326375,14.311725
196.42715,14.335875
196.44535,14.351525
196.677975,14.378625
196.703825,14.394275
196.747175,14.422225
197.0169,14.451275
197.2576,14.473075
197.393175,14.496125
198.6053,14.522725
198.986975,14.54595
199.373625,14.563525
199.527,14.585325
199.63955,14.607925
199.8576,14.630275
200.0345,14.66765
200.27945,14.695075
200.509925,14.727375
200.762275,14.750575
200.876775,14.7787
201.30035,14.810775
201.850475,14.853075
201.97085,14.895125
201.996525,14.931475
202.269175,14.95595
202.324175,14.9796
202.457175,15.00285
202.85835,15.02625
203.38625,15.045025
204.15325,15.0751
204.423425,15.108225
204.5675,15.148975
204.60135,15.18455
205.353275,15.2046
205.41575,15.232875
205.586825,15.264325
205.680725,15.30495
205.711075,15.349075
205.808425,15.3811
205.9351,15.4431
205.95535,15.47985
206.428625,15.503075
206.608975,15.5392
206.621675,15.580075
206.8107,15.592025
207.07075,15.69305
207.1012,15.7305
207.35055,15.755025
208.409325,15.7742
208.461575,15.792675
208.657175,15.809975
208.66985,15.830175
208.675,15.8693
208.78085,15.889875
209.85135,15.919275
209.917125,15.9558
209.9875,15.976975
210.3181,15.99665
211.317125,16.010475
211.60505,16.0261
212.17915,16.04475
212.603225,16.0622
212.9728,16.077475
213.328,16.100575
213.49125,16.11175
213.560425,16.124475
214.26465,16.133975
214.362275,16.14755
214.524675,16.161575
214.54185,16.174825
214.580675,16.188325
214.73075,16.203225
214.7775,16.21485
215.055375,16.23025
215.167425,16.24595
215.237,16.26095
215.291175,16.273475
215.46295,16.2848
216.2767,16.2998
217.418475,16.32565
217.4556,16.337425
217.494475,16.34575
217.56495,16.354325
217.627,16.376825
217.6911,16.38795
217.7464,16.39705
218.41505,16.405325
218.7139,16.413175
218.865725,16.431125
219.253975,16.439625
219.289975,16.45055
219.301625,16.456975
219.471875,16.462325
219.521675,16.483075
220.101775,16.492875
220.48515,16.5004
220.578,16.516
220.6381,16.544575
221.1756,16.55625
221.53165,16.56685
221.7835,16.579425
222.4483,16.603925
222.52165,16.61485
222.7467,16.62815
222.811625,16.641
222.841225,16.65175
223.088475,16.66505
223.4913,16.672725
223.689,16.681725
223.792575,16.695275
224.32775,16.703025
224.83695,16.715025
225.134475,16.728175
225.390525,16.7399
226.862375,16.75265
226.9226,16.77415
227.37685,16.783575
227.4759,16.793775
227.9143,16.8071
228.047975,16.8216
228.248725,16.830175
228.460725,16.838625
229.356175,16.840075
229.372375,16.84985
229.38005,16.85675
229.95985,16.8629
230.1072,16.891375
230.318275,16.912825
230.398325,16.9211
230.476725,16.9288
230.722675,16.937275
230.750275,16.9605
230.8235,16.971575
231.0979,16.9809
231.737475,16.9952
232.189025,17.010875
232.30775,17.03465
232.32605,17.053725
232.631125,17.06825
233.248725,17.0795
