SPK_SPKC04a (no effect),SPK_SPKC05a (excited),SPK_SPKC06a (no effect),SPK_SPKC08a (NA)
13.6633,25.403825,35.601025,15.193275
13.7083,25.4847,35.770625,15.4074
13.7767,25.59095,35.896525,15.501075
13.828925,25.676025,36.13235,15.541625
13.864,25.81635,36.15145,15.6287
13.9067,25.881175,36.2029,15.6867
13.958225,25.902075,36.259175,15.747425
14.00215,26.0266,36.411825,15.796575
14.052,26.067025,36.796575,15.824575
14.066925,26.154225,36.83325,15.835025
14.15255,26.2164,37.014625,15.90945
14.16895,26.52705,37.159275,15.953025
14.1965,26.618775,37.4649,16.042075
14.2671,26.6369,37.526525,16.059425
14.3034,26.67665,37.682075,16.097775
14.336475,26.97765,37.808925,16.111225
14.3932,27.455025,37.920025,16.137225
14.41355,27.477725,37.96715,16.203775
14.47705,27.722825,38.0065,16.263
14.496325,27.93005,38.057925,16.28665
14.554625,27.952675,38.091225,16.34955
14.6072,27.98,38.1444,16.5165
14.646775,28.06505,38.193025,16.680275
14.704075,28.0881,38.43595,16.738625
14.782925,28.5127,38.5052,16.9938
14.862375,28.6767,38.67815,17.026925
14.940075,28.710475,38.713,17.0825
14.990725,29.59125,39.0101,17.126425
15.114025,29.6191,39.111575,17.216925
15.153525,29.741475,39.222,17.280275
15.2094,29.76435,39.361175,17.3443
15.23445,30.004875,39.42375,17.379825
15.3566,30.235925,39.619025,17.38345
15.385325,30.60195,40.056575,17.414725
15.446175,30.766475,40.175075,17.461975
15.46685,30.9496,40.324725,17.531325
15.48505,31.389825,40.421075,17.6898
15.5019,31.54975,40.501825,17.731925
15.534925,31.626175,40.706475,18.08585
15.5639,32.093925,40.7447,18.193625
15.580925,32.131125,40.788025,18.233525
15.595025,32.166475,40.934825,18.43725
15.622,32.303625,40.9856,18.56315
15.65635,32.4728,41.5127,18.602025
15.666925,32.536925,41.748975,18.766775
15.7116,32.683525,41.869975,18.80025
15.734125,32.7245,41.9237,18.898975
15.75335,32.78495,42.0511,18.91035
15.765275,32.820825,42.1699,19.010125
15.7834,32.868375,42.330025,19.19085
15.79195,33.267375,42.37945,19.21955
15.807875,33.297075,42.42435,19.269625
15.82605,33.624,42.4674,19.315375
15.8722,33.814725,42.540575,19.5831
15.892575,33.861525,42.611375,19.599725
15.935425,33.912225,42.7502,19.61385
15.9769,34.02985,42.783925,19.71115
16.004725,34.1146,42.905375,19.839025
16.02855,34.266325,44.535275,19.902
16.068325,34.51755,44.612525,19.961775
16.090025,34.566025,44.8747,19.964725
16.09925,34.5865,44.9242,20.2059
16.14885,34.860225,44.99845,20.348225
16.176575,34.944425,45.0745,20.37795
16.201625,34.97375,45.18305,20.473
16.217525,35.195,45.2169,20.61775
16.25585,35.291425,45.56055,20.681775
16.276775,35.307875,47.483475,20.815325
16.322425,35.377575,47.811775,20.84825
16.35705,35.548325,47.9058,20.89995
16.3696,35.6385,48.064,20.935875
16.396025,36.307,48.1167,20.99815
16.446075,36.503075,48.575675,21.125825
16.4753,36.594475,48.7852,21.248875
16.488575,37.125325,49.049725,21.299575
16.5102,37.6583,49.28215,21.359975
16.538,37.8097,49.30825,21.37305
16.56445,37.908525,49.437225,21.41785
16.6241,38.121525,50.125825,21.44755
16.64805,38.40865,50.835225,21.490775
16.672325,38.514325,51.40275,21.574925
16.734075,38.633,52.0569,21.578025
16.7478,39.162625,52.415075,21.64375
16.783925,39.3925,52.470475,21.674575
16.8177,39.677075,52.52705,21.734375
16.857875,39.7441,52.6165,21.80875
16.883625,39.78955,52.787925,21.874925
16.9243,40.032875,53.082925,21.92405
16.9435,40.208525,53.128275,22.00675
16.9635,40.315,53.335175,22.04015
17.05995,40.596425,53.655525,22.0557
17.0859,40.795275,53.715175,22.0745
17.089475,40.970575,53.781475,22.316825
17.117375,41.054,53.928175,22.348025
17.155075,41.1079,53.970775,22.550675
17.176725,41.15195,54.186625,22.613725
17.20655,41.2195,54.33595,22.664125
17.26315,41.7442,54.415825,22.729675
17.299975,41.856575,54.49305,22.7544
17.341325,42.01725,54.7783,22.80545
17.421525,42.1835,55.0117,22.899
17.471525,42.245175,55.055,23.0026
17.514175,42.76365,55.28375,23.0192
17.561425,42.911375,55.45975,23.0239
17.60235,42.996575,55.6893,23.081475
17.6473,43.07445,55.8275,23.18895
17.661875,43.108175,56.198875,23.2018
17.721075,43.136225,57.04765,23.27005
17.745375,43.190125,57.212225,23.36185
17.7965,43.316325,57.336075,23.454775
17.8043,43.39815,57.40505,23.71305
17.88605,43.443775,57.43605,23.818525
17.922475,43.5583,57.495475,24.194125
17.93835,43.58465,57.59895,24.236925
17.971175,43.76905,57.710425,24.28015
17.986575,43.909125,57.7814,24.3819
18.03095,44.115725,57.912775,24.4252
18.119275,44.287175,58.11285,24.60705
18.140375,44.343125,58.256725,24.698075
18.1669,44.3953,59.348425,24.76095
18.1967,44.41675,59.57695,24.794975
18.2087,44.769425,59.647,24.824975
18.246975,45.225325,59.99855,24.871575
18.299425,45.2842,60.35485,24.96305
18.328075,45.324575,60.613475,25.052175
18.36535,45.518225,60.680475,25.15645
18.38125,45.57755,60.8048,25.195475
18.407375,45.59105,60.871925,25.245675
18.44425,45.61405,61.092825,25.34135
18.5021,45.799625,61.22395,25.426475
18.5598,45.83215,61.324025,25.462975
18.580375,46.330125,61.390275,25.52105
18.6088,46.827025,61.548475,25.604
18.661075,47.639025,61.672725,25.64915
18.699775,47.73825,61.7172,25.7972
18.7364,47.84615,61.912425,25.8395
18.795125,48.117225,61.96465,25.91255
18.871075,48.150225,62.187825,25.934625
18.89285,49.21425,62.29715,26.00155
18.937925,49.437225,62.3891,26.024075
18.9704,49.53385,62.5112,26.0585
19.028025,49.538675,62.742725,26.118775
