SPK_SPKC04a (no effect),SPK_SPKC05a (excited),SPK_SPKC06a (no effect),SPK_SPKC08a (NA)
45.945125,123.40985,141.135025,67.635325
45.98485,123.469975,141.395525,67.711025
46.0507,123.6057,141.43155,67.80925
46.15775,123.852525,141.4681,67.87065
46.211625,124.04865,141.518425,67.929125
46.2288,124.076275,141.5724,68.043575
46.262775,124.28245,141.6349,68.189725
46.299675,124.42835,141.80355,68.262675
46.350625,124.765,141.962925,68.426075
46.39595,124.99325,142.00895,68.4958
46.434525,125.056425,142.1947,68.64035
46.5205,125.237125,142.294775,68.741875
46.669375,125.439075,142.426575,68.86545
46.72315,125.61945,142.479875,68.9251
46.785475,125.699775,142.528875,69.0103
46.882875,125.945625,142.58795,69.0739
47.1851,126.11845,142.74925,69.1718
47.224625,126.296625,142.777375,69.32645
47.465825,126.4614,142.9101,69.3842
47.644375,126.57535,142.9943,69.4565
47.72475,126.720925,143.047325,69.64215
47.839725,126.758975,143.090475,69.7313
48.163875,126.8077,143.20865,69.850175
48.34665,126.884225,143.2732,69.962075
48.640525,126.949725,143.416875,70.0843
48.968075,127.2282,143.49585,70.13145
49.20005,127.680075,143.5608,70.206325
49.395675,127.918775,143.666225,70.301275
49.471125,128.049475,143.752775,70.408225
49.534375,128.247475,143.923675,70.508875
49.901775,128.274475,143.9516,70.710025
49.983075,128.401525,144.0254,70.8443
50.177475,128.54845,144.158675,71.04585
50.219225,128.65315,144.23725,71.105
50.2716,129.0997,144.352025,71.253025
50.294225,129.7238,144.5029,71.567075
50.351075,129.752125,144.552625,71.647575
50.4549,129.875525,144.684375,71.860175
50.497325,129.8854,144.71795,71.954375
50.51455,130.00425,144.742375,72.0394
50.561975,130.4205,144.784,72.57015
50.6137,130.978025,144.930225,72.60225
50.638925,131.504075,144.974,72.646225
50.700475,131.541725,145.066725,72.71055
50.768125,131.597125,145.1338,72.752775
50.819375,131.67755,145.19715,72.820525
50.8496,131.7679,145.23805,72.851725
50.888625,131.963875,145.434125,72.9077
50.9169,132.052525,145.518125,72.95565
50.945775,132.127775,145.587225,73.004225
50.9977,132.2304,145.651275,73.091475
51.0329,132.6604,146.07435,73.110275
51.077625,132.908175,146.4178,73.190475
51.13375,133.205675,147.5938,73.24695
51.18525,133.5236,147.62365,73.272575
51.2678,133.538525,149.594175,73.308875
51.362775,133.6728,150.5301,73.368175
51.415325,133.69365,150.6183,73.400775
51.443325,134.06005,150.7723,73.57185
51.48905,134.112725,151.11225,73.664825
51.66485,134.16135,151.3548,73.730025
51.744525,134.65925,151.57445,73.7608
51.81715,134.712,152.1666,73.815125
51.88105,134.753575,152.512,73.917775
51.963475,135.00025,152.6755,73.95515
52.04755,135.047475,153.234825,73.997675
52.116475,135.10485,153.309175,74.0533
52.19655,135.532075,153.59175,74.09135
52.24145,135.936675,153.90315,74.147275
52.364,136.3706,154.418075,74.285625
52.450725,136.432525,154.49955,74.3035
52.585475,136.4691,154.61865,74.3205
52.6521,136.77705,154.77255,74.411925
52.73615,137.203,154.854275,74.504575
52.79825,137.240375,154.9359,74.5806
52.974675,137.469175,155.000125,74.650575
53.1001,137.532975,155.11505,74.79535
53.304175,137.8547,155.167525,74.8237
53.373175,138.024675,155.206075,74.907875
53.609025,138.0872,155.4838,74.973475
53.694725,138.1715,155.61905,75.094025
53.796675,138.4143,155.759275,75.126625
54.092775,138.4494,155.82745,75.38905
54.206975,138.574025,155.96595,75.435125
54.3781,138.912825,156.292375,75.44665
54.47175,139.03845,156.420275,75.5272
54.60285,139.474925,157.07745,75.626725
54.6955,139.958725,157.1138,75.666875
54.766325,140.033825,157.296325,75.7105
54.879375,140.69365,157.49065,75.8457
55.203,140.8126,157.589525,75.8656
55.5008,141.028775,157.704175,75.9834
55.684175,141.127225,157.921,76.0986
55.875925,141.197575,158.01385,76.149775
55.938175,141.31285,158.191575,76.15505
56.0528,141.538575,158.352375,76.26
56.2144,141.816075,158.356875,76.303975
56.359725,141.942025,158.9504,76.335775
56.776925,142.125525,159.6258,76.41875
56.875775,142.163975,159.702525,76.477925
56.98045,142.1788,159.94815,76.5678
57.173425,142.23875,159.984975,76.709325
57.288925,142.5526,160.045475,76.895175
57.47985,142.6149,160.2474,77.00925
57.77005,142.771275,160.41355,77.082225
57.9774,142.79515,160.484075,77.234
58.33785,143.0452,160.568175,77.3509
58.419575,143.086925,160.6172,77.851625
58.486925,143.403825,160.79285,78.03425
58.52845,143.453525,160.870225,78.1463
58.559025,143.6359,161.3953,78.30045
58.572,144.305075,161.453775,78.338075
58.601425,144.529,161.541275,78.5448
58.648725,144.822425,161.580475,78.6162
58.664875,145.01185,161.628725,78.667125
58.715275,145.05805,161.838175,78.8026
58.7766,145.139525,162.0584,78.855475
58.875175,145.410125,162.11925,78.98705
58.9601,145.487475,162.202975,79.18475
59.05175,145.6277,162.2615,79.26305
59.2145,145.7507,162.4048,79.3393
59.3196,145.971925,162.49915,79.500575
59.442225,146.17155,162.639125,79.6718
59.548875,146.2435,162.954525,79.726775
59.680075,146.3095,163.0886,79.8127
59.964225,146.3716,163.14345,79.989
60.11815,146.843675,163.419125,80.0802
60.22745,146.9459,163.47325,80.169475
60.322025,147.62395,163.530475,80.4007
60.4276,147.641125,164.151575,80.477975
60.52875,147.8169,164.288725,80.550975
60.56005,147.878675,164.36645,80.669825
60.720075,147.948025,164.4077,80.802725
60.895,148.22745,164.499775,81.1507
61.013925,148.528,164.526325,81.1929
61.30025,148.9942,164.58315,81.2406
61.41445,149.063525,164.64135,81.33035
61.520325,149.55165,164.9233,81.421625
61.69705,149.85525,165.103275,81.50265
61.830125,149.946275,165.13575,81.714625
61.96745,150.0059,165.288875,81.805375
62.101075,150.115925,165.37145,81.92975
62.26195,151.047925,165.42185,81.996375
62.35475,151.11845,165.472675,82.193275
62.535225,151.199625,165.515275,82.337025
62.60365,151.252975,165.76105,82.630875
62.79555,151.5479,165.816525,82.746925
62.933275,151.61855,166.5259,82.888
63.075875,151.6228,166.593925,82.972775
63.12725,151.65275,166.742025,83.044475
63.247,151.6973,168.344725,83.11675
63.35395,151.72155,169.080775,83.277875
63.52095,151.8041,169.9762,83.411125
63.6129,151.81605,170.386425,83.629075
63.658225,151.997425,170.4701,83.7727
63.808025,152.0715,170.576325,83.95585
63.8814,152.54825,170.6722,84.1819
64.0869,152.72085,170.779475,84.319475
64.2436,152.725075,171.06785,84.35325
64.403675,152.73755,171.119875,84.3937
64.44285,153.3122,171.30005,84.4833
64.5963,153.3818,171.3939,84.523875
64.689875,153.4642,171.916,84.632925
64.7739,153.52325,172.083775,84.730575
64.862625,153.62045,172.223325,84.821125
65.040175,153.7846,172.519175,84.922525
65.0705,154.028625,172.68225,85.050425
65.119225,154.122625,173.033275,85.154375
65.148775,154.142475,173.102125,85.23965
65.16755,154.31815,173.149075,85.3143
65.192375,154.768425,173.200625,85.459275
65.2136,155.576725,173.374075,85.691175
65.2871,155.961175,173.497725,85.761325
65.349625,156.2833,173.771975,85.81805
65.412275,156.4438,174.6076,85.94615
65.449675,156.6255,174.657,86.17185
65.48665,156.664025,175.27305,86.373575
65.528375,156.727775,175.312175,86.45565
65.574625,156.778925,175.5375,86.612725
65.62955,156.87495,175.930125,86.68215
65.745925,157.258875,176.1095,86.7622
65.816025,157.349525,177.683625,86.8381
65.931225,157.695775,178.079275,86.94465
65.9594,157.842375,178.205725,87.248675
65.9893,157.859125,178.267525,87.3432
66.01335,157.920975,178.569125,87.6056
66.033675,158.179075,178.697375,87.7786
66.14305,158.37755,178.75085,87.913225
66.21575,158.383025,179.046975,88.071375
66.310525,158.405675,179.1328,88.127075
66.363075,158.44,179.17045,88.179675
66.44585,158.491,179.277775,88.253925
66.5041,158.53205,179.352425,88.31845
66.55055,158.5542,179.38265,88.421375
66.625475,158.61265,179.408,88.466425
66.67805,158.865175,179.449975,88.57145
66.737725,158.92135,179.492575,88.68445
66.7753,158.986975,179.51105,88.763525
66.79255,159.03775,179.55255,88.916025
66.8524,159.1238,179.558325,89.080775
66.99455,159.2271,179.6404,89.195475
67.0325,159.294,179.726725,89.258325
67.089875,159.93935,179.7907,89.4177
67.160475,159.97765,179.819625,89.495125
67.233125,160.23635,179.84315,89.6575
67.306925,160.40555,179.9315,89.994525
67.335075,160.4496,179.959125,90.076175
67.35005,160.566775,179.987925,90.159825
67.442625,160.78015,179.991575,90.441075
67.4854,160.8098,180.074275,90.631575
67.515525,160.9138,180.1005,90.742575
67.572825,160.99805,180.1981,91.251375
67.6713,161.167825,180.237175,91.382
67.7463,161.51045,180.323125,91.64845
67.841825,161.6676,180.35925,91.71235
67.922625,161.7054,180.610525,91.785075
67.996775,162.22705,180.705925,91.881575
68.02895,162.29485,180.739225,91.9786
68.090975,162.3704,180.88605,92.011625
68.149,162.3878,180.91575,92.09275
68.190575,162.427975,180.949575,92.131225
68.256225,162.517275,181.3265,92.20285
68.3115,162.694075,181.363475,92.27975
68.3278,162.7042,181.656175,92.375125
68.41735,162.80985,182.09935,92.5158
68.4596,162.84215,182.31315,92.695225
68.5453,162.971425,183.7003,92.79265
68.618175,163.015475,184.928825,92.87335
68.666625,163.20785,185.73795,93.0106
68.74685,163.3513,185.822025,93.073275
68.838225,163.40005,185.86265,93.1608
68.948975,163.72205,186.12595,93.206775
69.0238,163.896475,186.3036,93.276725
69.100975,164.1497,186.4373,93.349775
69.2092,164.2136,186.86295,93.376
69.330725,164.326975,187.059025,93.41875
69.774025,164.43,187.5252,93.4287
69.88495,164.4539,187.7541,93.465175
70.0458,164.5437,187.815975,93.72575
70.413825,164.939075,187.87155,93.851125
70.49045,165.153825,187.92085,93.974875
70.607325,165.191625,188.322125,94.074125
70.654275,165.221375,188.352175,94.095425
70.790475,165.45295,188.92735,94.133825
71.067725,165.45555,189.124375,94.1619
71.3804,165.51275,189.206375,94.32385
71.578025,165.583425,189.520225,94.3844
71.942425,165.680925,189.561175,94.47725
72.075275,165.703075,189.8453,94.5118
72.514825,165.787725,189.888025,94.808225
72.583075,165.913775,189.992475,94.924575
72.64085,165.991325,190.0328,94.976025
72.7124,166.029175,190.0779,95.0126
72.74135,166.343725,190.550275,95.1207
72.792275,166.445275,190.727525,95.188575
72.823725,166.571475,190.979075,95.277625
72.8702,166.6379,191.04445,95.3357
72.8938,166.67265,191.25195,95.375175
72.94495,166.74565,191.3224,95.4344
73.0064,166.90735,191.50525,95.62175
73.060475,166.947275,191.7175,95.694225
73.118175,167.130675,192.0534,95.794675
73.1581,167.61325,192.153025,95.92525
73.262125,167.697975,192.27465,95.957125
73.338475,167.8334,192.392725,96.090575
73.379675,167.968225,192.4275,96.190275
73.473825,168.234825,192.479725,96.21765
73.554875,168.28725,192.6198,96.301975
73.5881,168.342725,192.704875,96.3497
73.663025,168.392475,192.750725,96.460825
73.700425,168.602075,192.79975,96.550325
73.723925,168.711125,192.86375,96.758225
73.7479,169.2371,192.9148,96.77245
73.822375,169.4705,192.985475,96.8221
73.880875,169.492975,193.14545,96.8773
73.960375,169.540725,193.829175,96.943225
74.027175,169.5719,194.01295,97.0023
74.08565,169.58755,194.062025,97.0527
74.111675,169.65925,194.73085,97.1398
74.18165,170.2415,194.795825,97.206725
74.216925,170.2822,194.86365,97.2729
74.241125,170.61125,194.90635,97.402125
74.2794,170.651075,195.05985,97.5077
74.298425,170.7172,195.2502,97.6561
74.3455,170.73135,195.4468,97.78325
74.368375,170.83855,195.518225,97.8111
74.39125,171.25435,196.067775,97.8229
74.4083,171.391725,196.14405,97.8691
74.46905,171.472625,196.3334,98.009975
74.4908,171.554175,196.4143,98.1107
74.5768,171.629375,196.664875,98.170575
74.6223,172.040675,196.75515,98.298075
74.657975,172.221625,197.0242,98.382375
74.6986,172.3161,197.3477,98.449775
74.76335,172.364125,197.396875,98.6651
74.804375,172.498725,197.78045,98.676575
74.8534,172.592825,198.40745,98.7139
74.910075,173.3171,198.515725,98.8738
74.99155,173.616625,198.851225,98.981125
75.0403,173.6325,199.099,99.022675
75.062475,174.627875,199.218975,99.13245
75.1133,174.755,199.398425,99.179225
75.144275,175.38015,199.503875,99.3024
75.242675,175.453325,199.719575,99.35875
75.33135,175.531925,199.7518,99.5056
75.380075,175.6396,199.78605,99.548325
75.4568,176.014625,200.576175,99.630275
75.46895,176.1441,200.774825,99.641775
75.558325,176.186,200.840175,99.675025
75.621125,176.30115,200.86895,99.7396
75.666375,176.66175,201.5354,99.7702
75.697675,177.165225,201.612,99.9213
75.81475,177.331,201.840775,99.935425
75.85795,177.4126,201.884425,100.098375
75.94875,177.48645,201.9203,100.163075
76.004575,177.5673,202.012025,100.165075
76.045925,177.716925,202.04475,100.26355
76.09825,177.8245,202.089325,100.3117
76.215875,177.8757,202.2405,100.35765
76.25635,177.956675,202.319725,100.394425
76.308725,178.4628,202.6925,100.460225
76.35315,178.686875,203.761075,100.4656
76.40275,178.729775,204.053175,100.5101
76.4886,178.771975,204.2858,100.56935
76.5675,179.251475,204.498525,100.611125
76.582475,179.486475,204.8893,100.74075
76.61685,179.640325,205.562275,100.741975
76.713575,179.770475,205.822325,100.782825
76.7972,179.7963,206.24305,100.866025
76.928725,179.837975,206.8589,100.937525
77.067625,179.8755,206.933025,100.974925
77.2259,180.128725,207.077225,101.018875
77.254525,180.617375,207.151575,101.090575
77.3834,180.68995,207.565375,101.156125
77.461175,180.7498,207.87255,101.18255
77.73265,180.88205,208.260225,101.279925
77.78775,180.956825,209.44355,101.3142
78.081375,181.28935,209.6244,101.34785
78.262475,181.3484,209.722725,101.3707
78.3897,181.466475,210.035,101.533475
78.50615,181.705525,210.538675,101.57895
78.614075,181.92095,211.5553,101.7195
78.70165,181.957625,211.687925,101.7596
78.78445,182.005725,211.823525,101.987425
78.874025,182.079825,212.12135,102.041775
78.898175,182.41535,212.217925,102.104275
79.236325,182.49275,212.276875,102.22825
79.310375,182.608125,212.50315,102.260275
79.605475,182.81465,213.875975,102.299975
79.6653,182.918275,214.147575,102.337225
79.77455,183.089125,214.282425,102.41215
79.855,183.169475,214.3778,102.67665
80.150725,183.1943,214.515575,102.76875
80.2655,183.4095,214.809975,102.824125
80.455925,183.665925,214.8908,103.070025
80.554475,183.735425,214.992475,103.10725
80.586425,183.778875,215.054,103.2201
80.631875,183.8102,215.11865,103.253675
80.6924,183.925375,215.23005,103.376925
80.839725,183.953175,215.327625,103.527825
80.889,184.082075,215.43455,103.5798
81.09235,184.78065,215.5372,103.6246
81.210775,185.007375,215.6221,103.69005
81.312275,185.0515,215.731075,103.785225
81.3989,185.2836,215.804075,103.89545
81.4527,185.330275,215.9438,103.974675
81.50565,185.41435,216.118025,104.012125
81.52865,185.648375,216.3776,104.0518
81.54025,186.0071,216.569525,104.0922
81.599,186.06105,216.6132,104.1467
81.698775,186.114475,216.70405,104.183025
81.78335,186.49455,216.931875,104.266775
81.894925,186.598275,217.0897,104.42195
81.93025,186.649225,217.1131,104.4716
82.01275,186.7162,217.252375,104.520925
82.076275,186.82995,217.2986,104.537125
82.139975,186.8525,217.479525,104.59545
82.1749,186.876325,217.541625,104.6708
82.26255,187.022875,217.604375,104.7796
82.33845,187.14855,217.6631,104.804175
82.465175,187.20785,217.781625,104.8723
82.53415,187.244075,218.02175,104.9033
82.777225,187.29925,218.239025,105.04555
83.044075,187.3787,218.28685,105.1374
83.1779,187.499975,218.4382,105.41395
83.273875,187.543275,218.616375,105.468
83.524075,187.728125,218.98815,105.6956
83.6997,188.295475,219.0398,105.7623
83.86705,188.35175,219.08795,105.821025
83.9742,188.4442,219.226525,105.873775
84.1199,188.5114,219.472675,105.922475
84.204525,188.5463,219.54585,106.031575
84.236125,188.619225,219.993125,106.070675
84.319375,188.70975,220.211475,106.14045
84.381425,188.717825,220.3558,106.25485
84.4486,188.78345,220.402475,106.31945
84.509875,188.910825,220.4876,106.417325
84.629625,189.25005,220.52705,106.59255
84.663875,189.314525,220.562175,106.6529
84.75065,189.452625,220.81895,106.7028
84.7803,189.505025,220.86745,106.767075
84.81655,189.840325,220.9556,106.8491
84.85535,190.052025,220.999425,106.902825
84.904425,190.206825,221.3272,107.010975
84.929875,190.253975,221.485625,107.075875
84.9877,190.3065,221.6949,107.148
85.07515,190.344975,221.74555,107.435325
85.13295,190.347775,221.7915,107.48585
85.19185,190.368525,222.948075,107.669075
85.241475,190.735575,223.286,107.724675
85.3802,190.843225,223.329775,107.826975
85.433625,190.908175,223.6582,107.918925
85.4734,190.962925,223.694975,107.969
85.581975,191.215175,223.796375,108.00605
85.6723,191.496175,223.94675,108.059425
85.77335,191.703825,223.981775,108.1239
85.871125,191.745425,224.0128,108.163125
85.923125,191.768175,224.0497,108.28875
86.0219,191.8264,224.096575,108.360575
86.256325,191.89435,224.209375,108.371375
86.427725,192.130625,224.328725,108.433525
86.594525,192.23625,224.364525,108.613825
86.66465,192.356275,224.4829,108.670675
86.7116,192.39505,224.54435,108.730725
86.8385,192.475525,224.574475,108.790025
86.991425,192.671975,224.60005,109.06425
87.3366,192.768125,224.6862,109.225525
87.508925,193.139875,224.72215,109.276825
87.662125,193.288725,224.8888,109.3851
87.8775,193.385725,224.9563,109.42455
87.930725,193.51315,224.9998,109.52805
88.069375,193.693,225.10525,109.6489
88.110075,193.7183,225.31705,109.68345
88.1671,194.080875,225.42265,109.877325
88.3089,194.6186,225.62,110.031375
88.422175,195.0985,225.816425,110.068325
88.5661,195.13985,225.88245,110.11545
88.6671,195.189975,226.24965,110.305475
88.745675,195.51125,226.567975,110.394575
88.860775,195.596075,226.724325,110.508475
89.277725,195.641975,226.88875,110.608725
89.463625,195.74965,227.0251,110.6922
89.84,196.046475,227.22015,110.7583
90.064425,196.201975,227.306775,111.03665
90.240225,196.318875,227.385125,111.088075
90.34,196.4088,227.4166,111.136975
90.46715,196.544875,227.520625,111.2859
90.8113,196.7813,227.572875,111.35625
91.014775,196.8233,227.702175,111.44955
91.1668,196.894275,227.801975,111.5072
91.473575,197.24795,228.10135,111.645725
91.56735,197.517225,228.352525,111.709425
91.690775,197.641625,228.42645,111.816075
91.741175,197.691625,228.5118,112.0004
91.843875,197.722825,228.704825,112.07285
91.912975,197.782375,228.76815,112.129875
91.942125,197.915625,228.8026,112.18025
91.95235,197.93925,228.86245,112.2322
91.989575,198.048775,228.945525,112.507075
92.038675,198.182575,229.0418,112.563625
92.072925,198.239625,229.167525,112.67795
92.146275,198.325875,229.208575,112.794875
92.226625,198.6137,229.2473,112.815775
92.2788,198.8016,229.3611,112.880775
92.3165,199.05375,229.562575,112.920675
92.351375,199.100575,229.81825,113.069025
92.407575,199.31795,230.061325,113.259325
92.438625,199.3644,230.21945,113.346
92.50225,199.555375,230.589275,113.418575
92.58185,199.8505,231.4866,113.486725
92.646175,200.00755,231.551975,113.588525
92.704175,200.07595,231.74315,113.7086
92.768625,200.1,232.55255,113.828325
92.81445,200.378475,234.69395,113.866625
92.86715,200.64115,234.780525,113.94035
92.945775,200.766575,234.8379,114.217225
92.9768,201.0853,234.9153,114.341775
93.0246,201.626825,234.97965,114.40315
93.08515,201.872525,235.1658,114.49065
93.162175,201.974975,235.57705,114.676275
93.23435,202.1229,235.66,114.7372
93.29595,202.418375,236.011,114.83905
93.415,202.436775,236.052525,114.9528
93.497325,202.45885,236.084425,114.995875
93.5714,202.829275,236.322775,115.074875
93.632675,203.002925,236.54695,115.252625
93.712775,203.10415,236.8598,115.32425
93.803075,203.160025,236.89355,115.381575
93.914125,203.3987,236.9858,115.46895
93.981325,203.56285,237.231275,115.561275
94.056625,203.603525,237.40825,115.636775
94.149225,203.684325,237.451725,115.849625
94.28835,203.733375,237.520475,115.9717
94.385025,204.25615,237.614825,116.04725
94.50665,204.3844,237.7943,116.130525
94.7012,204.603925,237.86275,116.221225
94.848725,204.715975,237.9435,116.268625
95.030175,204.92835,237.99,116.310275
95.187075,205.1858,238.077725,116.4314
95.251125,205.44365,238.1013,116.490125
95.382275,205.56445,238.2001,116.774275
95.59655,205.6048,238.274125,116.883725
95.6697,205.644825,238.5013,117.101625
95.72295,205.822325,238.694525,117.1932
95.789275,205.91615,238.793225,117.245225
95.8592,206.1961,238.81715,117.403275
95.9288,206.220125,238.8486,117.557075
95.9978,206.354275,238.8885,117.624475
96.074075,207.020375,238.9625,117.8452
96.166,207.077225,239.117725,117.985075
96.243275,207.324825,239.147125,118.041375
96.28795,207.43005,239.21915,118.064175
96.45865,207.850325,239.3361,118.230425
96.540225,207.88275,239.3758,118.2716
96.554575,207.9976,239.415425,118.29755
96.597925,208.022575,239.4849,118.4122
96.667475,208.338,239.515625,118.555025
96.699675,208.797475,239.55365,118.6233
96.7498,209.207025,239.706075,118.7488
96.77055,209.769075,239.741875,118.841425
96.8643,209.924025,239.7901,118.9663
96.943075,210.28985,239.835375,119.0463
97.00465,210.382125,239.864625,119.138775
97.13085,210.53865,239.89185,119.2641
97.24455,210.973375,240.038,119.34015
97.28785,211.04395,240.077075,119.38305
97.422825,211.363725,240.147625,119.430225
97.4526,211.56065,240.21245,119.48625
97.567925,211.618525,240.277,119.63605
97.599,211.6216,240.33935,119.695075
97.638025,211.680375,240.367575,119.897125
97.69705,211.993975,240.399325,119.943725
97.724375,212.179475,240.4953,119.9814
97.746625,212.421475,240.61015,120.032575
97.771,212.745075,240.64685,120.299725
97.784075,212.782125,240.70785,120.370525
97.79485,212.84185,240.73185,120.4228
97.8168,212.996675,240.762075,120.4734
97.835925,213.096925,240.81365,120.595375
97.8525,213.193125,240.890025,120.850725
97.881825,213.560875,240.93435,120.957175
97.904675,213.645775,240.978625,121.02405
97.924225,213.682275,241.009975,121.19685
97.93625,214.070625,241.04365,121.2946
97.96115,214.1422,241.086925,121.356275
98.005075,214.2368,241.11965,121.428875
98.04405,214.581625,241.562025,121.544025
98.073325,215.30805,241.626025,121.748675
98.1234,215.36485,241.7721,121.922225
98.1437,215.505375,241.85775,122.050125
98.19025,215.9385,241.9999,122.139525
98.231575,216.250625,242.04865,122.2104
98.3059,216.295125,242.0756,122.257425
98.359775,216.3245,242.15595,122.302325
98.40575,216.54185,242.26565,122.6218
98.416825,216.671025,242.310525,122.66825
98.458125,216.71095,242.3417,122.8548
98.48275,216.765925,242.4127,123.02435
98.508825,217.089675,242.446775,123.0924
98.53785,217.24055,242.508325,123.202
98.6205,217.643375,242.56535,123.315825
98.652275,218.313925,242.796925,123.362225
98.667725,218.442275,242.956875,123.4528
98.692375,218.623975,243.0047,123.594025
98.733475,219.1751,243.037,123.701675
98.772525,219.208425,243.073625,123.8467
98.824925,219.27185,243.102975,123.921325
98.837675,219.2937,243.3297,124.075375
98.87745,219.641975,243.5271,124.17175
98.924075,219.76005,243.63135,124.3192
98.957025,219.8395,243.846925,124.3845
99.038,220.18495,244.00595,124.57575
99.0913,220.251725,244.143875,124.7651
99.163125,220.94045,244.2544,124.853825
99.1985,221.156975,244.49315,124.94655
99.22565,221.180925,244.56185,125.060425
99.27445,221.201475,244.62345,125.117325
99.30885,221.3538,244.669125,125.238925
99.340275,221.6102,244.734575,125.339875
99.384925,221.837325,244.8777,125.474375
99.412325,221.90125,245.00695,125.549475
99.470375,222.069925,245.049575,125.65125
99.54185,222.180675,245.19565,125.721125
99.575025,222.556075,245.297475,125.81435
99.5877,222.581325,245.328025,125.865925
99.590775,222.601775,245.428475,126.1007
99.6197,222.624475,245.4612,126.176525
99.658,222.660825,245.4982,126.31655
99.669625,223.9101,245.543225,126.38335
99.719825,224.6746,245.591325,126.476075
99.778725,224.713275,245.718125,126.538425
99.80125,224.767175,245.813625,126.7022
99.846,224.8272,245.86465,126.78535
99.859375,224.902025,245.898175,126.915475
99.922,224.93105,245.98525,126.985175
99.9506,225.221325,246.0306,127.09035
99.976925,225.2725,246.152175,127.16265
100.00675,225.374425,246.23895,127.261225
100.07005,225.478925,246.395575,127.330025
100.12445,225.711925,246.4452,127.429175
100.1775,225.961175,246.48895,127.513125
100.21065,226.01885,246.549925,127.620125
100.233075,226.083875,246.6043,127.6762
100.286925,226.135025,246.705025,127.89165
100.32735,226.530425,246.89505,127.989975
100.38715,226.7754,246.96995,128.05725
100.4412,226.81905,247.021175,128.1033
100.47085,226.8899,247.528975,128.17575
100.519575,226.9633,247.592225,128.303325
100.573625,227.35225,247.63165,128.382625
100.5841,227.47805,247.743475,128.5423
100.59805,227.6389,247.770875,128.644875
100.6453,227.686575,247.8235,128.724825
100.692625,227.9213,247.866,129.0176
100.716025,228.013075,247.932375,129.0978
100.776925,228.088675,248.085525,129.440775
100.824575,228.16475,248.1231,129.54735
100.8531,228.60765,248.179425,129.626425
100.958375,228.789375,248.259125,129.68235
101.092775,228.97075,248.37715,129.76695
101.10775,229.174675,248.4179,129.80475
101.12415,229.239,248.459225,129.83955
101.1698,229.402425,248.4728,129.888425
101.190325,229.40385,248.54795,129.92995
101.2396,229.442,248.597475,130.0215
101.28425,229.7476,248.75505,130.176725
101.3796,230.203775,248.8752,130.236
101.417225,230.236425,248.9419,130.313275
101.465475,230.30905,248.98875,130.382525
101.504225,230.37595,249.059525,130.446325
101.53565,230.457125,249.120325,130.50255
101.571225,230.584875,249.223625,130.593325
101.627875,230.64065,249.294375,130.642275
101.65205,230.71225,249.336025,130.746325
101.68145,230.8028,249.84255,130.7936
101.702025,230.94825,250.010375,130.83835
101.740975,231.197425,250.245825,130.894425
101.779225,231.416075,250.308025,130.925575
101.797225,231.569125,250.459,131.032775
101.8314,231.6126,250.51225,131.18955
101.859475,231.65135,250.580925,131.289775
101.891175,232.6279,250.6527,131.356275
101.952125,232.735975,250.785575,131.42595
101.986,232.87295,250.8269,131.705825
102.020375,233.043,250.990275,131.830425
102.032325,233.210325,251.020275,131.968025
102.096075,233.3621,251.0658,132.042925
102.12965,233.728325,251.11055,132.086325
102.150375,233.788225,251.138825,132.2255
102.185825,234.496075,251.196075,132.413925
102.2367,234.564175,251.2357,132.496325
102.272725,234.584775,251.27875,132.83325
102.31645,234.6465,251.319525,132.9884
102.339375,234.72425,251.547775,133.090475
102.370775,234.7525,251.60755,133.241325
102.419075,234.833025,252.4765,133.267875
102.4541,235.036175,253.092725,133.3897
102.524425,235.139175,253.258375,133.50425
102.56035,235.15845,253.3254,133.619775
102.607325,235.2013,253.3727,133.72655
102.659225,235.220875,253.477,133.92105
102.6992,235.316775,253.63455,133.9743
102.741125,235.35925,253.70745,134.04235
102.7896,235.49225,253.7496,134.1339
102.820025,235.5424,253.8117,134.191375
102.831075,235.783075,253.9031,134.2496
102.8947,235.8399,254.1728,134.32145
102.916925,235.9124,254.574875,134.37915
102.959425,235.9728,254.610325,134.429275
102.9933,236.052475,254.72695,134.49235
103.0469,236.321875,254.77855,134.64815
103.11045,236.370725,254.806075,134.84905
103.36415,236.785875,254.8535,134.8898
103.3731,236.870475,254.8947,135.13385
103.4301,236.978975,254.940625,135.22435
103.464675,236.985775,255.37155,135.547725
103.515975,237.0218,255.43475,135.631675
103.53505,237.030725,255.641225,135.75395
103.61125,237.090725,255.690325,135.85875
103.636425,237.179375,256.6958,136.0852
103.702225,237.64835,257.518475,136.16815
103.730375,237.984,257.9343,136.23045
103.75905,238.124775,258.3665,136.297625
103.79345,238.145425,258.4963,136.406175
103.813175,238.347825,258.726425,136.514125
103.842375,238.58985,259.097475,136.750575
103.8794,238.607575,260.888625,136.8137
103.912725,238.658275,265.12495,136.865525
103.934375,239.28515,266.6054,136.926975
103.980325,239.7061,267.51115,136.975625
104.05635,240.108575,267.93335,137.14515
104.127525,240.638625,267.985425,137.24865
104.143375,241.15085,268.08275,137.361875
104.1794,241.40245,268.265875,137.580575
104.26225,241.99445,268.314375,137.63605
104.319175,242.299375,268.485225,137.7903
104.416525,242.489975,268.5659,137.904125
104.467975,242.527425,268.724375,137.947725
104.480275,242.866575,268.768375,138.035575
104.53885,243.1686,268.843675,138.23345
