SPK_SPKC01a (NA),SPK_SPKC04a (inhibited),SPK_SPKC08b (excitation + inhibition),SPK_SPKC11a (inhibited),SPK_SPKC11b (inhibited),SPK_SPKC13a (NA)
3.432375,10.9029,3.0111,35.28955,31.420375,9.29505
3.4707,10.934175,3.0269,35.34715,31.60015,9.408075
3.75345,10.975325,3.035,35.435125,31.655275,9.482775
3.788525,11.018125,3.040775,35.4831,31.779325,9.543325
3.805175,11.09555,3.05575,35.59385,32.419875,9.581775
3.817475,11.1411,3.075875,36.791225,32.461275,9.7103
3.828225,11.283525,3.0923,36.82025,33.18765,9.83175
3.837975,11.319525,3.1093,36.843575,33.1971,9.886675
3.85895,11.413475,3.11675,36.8894,33.219925,10.0694
3.868125,11.433125,3.174375,36.975675,34.271725,10.11595
3.885425,11.500525,3.193275,37.022325,34.41495,10.167475
3.89535,11.52305,3.238,38.4417,34.53865,10.232025
3.914975,11.631075,3.35465,38.5638,35.054125,10.271025
3.92375,11.641725,3.373925,38.57405,35.3991,10.319775
4.2117,11.6715,3.4303,38.61725,35.844375,10.43395
4.236275,11.802725,3.456575,38.83925,36.46825,10.47355
4.255525,11.865775,3.468125,39.90745,36.787575,10.5544
4.267975,11.874425,3.474475,39.9314,36.8755,10.60415
4.2772,12.011575,3.501975,40.047725,37.375625,10.66415
4.2942,12.153975,3.526325,40.400675,37.85335,10.7192
4.30935,12.1681,3.6549,40.44465,38.1022,10.771125
4.552425,12.2403,3.677125,40.62525,38.539775,10.839825
4.5894,12.27235,3.787825,40.812425,38.8705,10.99235
4.838675,12.311725,3.79225,42.972525,38.925725,11.029
4.8566,12.4254,3.870225,43.687575,39.4858,11.0591
4.872225,12.47165,3.9004,43.697125,39.575575,11.118775
4.898725,12.627475,3.9474,43.7367,39.96945,11.15615
5.259325,12.874925,3.97165,44.2756,40.019275,11.230775
5.2924,12.91885,3.99015,44.28405,40.1486,11.30365
5.405425,13.013,4.007375,44.329275,40.5834,11.357175
5.435625,13.05415,4.02375,44.350275,40.977475,11.49605
5.473325,13.205025,4.037875,44.3761,41.073025,11.5859
5.53285,13.261725,4.073525,44.399625,41.13025,11.696375
5.54755,13.307275,4.09355,44.766725,41.20055,11.763875
5.61175,13.3661,4.100425,44.786225,41.26765,11.82065
5.631725,13.46805,4.110625,44.8381,41.4168,11.871
5.6467,13.73145,4.138375,44.925975,41.51675,11.9426
5.659075,13.77545,4.151525,45.073525,41.55515,12.00255
6.02125,13.788275,4.1691,45.083725,41.75785,12.072275
6.14195,13.9701,4.17715,45.09125,41.9402,12.1965
6.162725,13.98025,4.244275,45.545775,41.99785,12.252575
6.18775,14.09175,4.276475,45.9495,42.2327,12.29585
6.629375,14.137475,4.28365,46.0665,42.42175,12.46045
6.649525,14.17375,4.32625,46.0931,42.9569,12.527025
6.67215,14.200325,4.344975,46.12895,43.014025,12.593675
6.698425,14.2252,4.35675,46.137275,43.041725,12.64065
6.709175,14.380325,4.388975,46.6769,43.2523,12.7486
6.747675,14.39535,4.416825,46.845,43.821775,12.817925
6.772375,14.483675,4.438875,46.867025,43.8601,12.862325
6.797075,14.626125,4.47455,47.557125,44.2205,12.9092
7.0021,14.7901,4.4907,47.5995,44.289925,12.967875
7.018575,14.891375,4.538775,47.9393,44.906375,13.123225
7.062625,14.922325,4.581325,48.038825,45.499275,13.1977
7.10515,14.956425,4.616775,48.053075,45.64655,13.2755
7.462025,15.03895,4.664,48.544875,45.942925,13.32485
7.46745,15.250625,4.6851,49.11035,46.2041,13.3867
7.540875,15.2705,4.69635,50.5392,46.25465,13.47075
7.8383,15.349125,4.7788,50.636875,46.29015,13.5207
7.860775,15.77595,4.80385,51.557625,47.04415,13.6275
7.890825,15.846075,4.8277,51.665675,47.2283,13.825625
7.89815,15.865325,4.83535,52.1879,47.451975,13.882875
7.914075,15.880725,4.8481,52.197625,47.694675,13.94615
7.930925,15.885825,4.877725,52.2072,47.71295,13.957675
7.934825,15.890325,4.8871,52.214,47.953725,13.993825
7.9606,16.2246,4.925525,53.341275,48.579,14.05435
7.973425,16.281625,4.955775,53.3465,48.823575,14.156125
7.983825,16.34105,4.974975,53.598575,48.9576,14.273475
7.995825,16.36505,4.98615,54.0187,49.1363,14.376475
