SPK_SPKC01a (NA),SPK_SPKC06a (weak excitation),SPK_SPKC09a (excited),SPK_SPKC10a (no effect),SPK_SPKC12b (short inhibition),SPK_SPKC13a (excited)
31.867525,86.757675,6.26785,48.485225,6.54425,2.240875
31.94755,87.449275,6.512775,48.81895,6.574975,2.253925
32.04395,87.681475,6.597,48.86145,6.5926,2.260125
32.322,88.436425,6.609375,48.88895,6.605075,2.283825
32.531975,89.141275,6.63955,49.7493,6.679,2.289875
33.24385,89.686775,6.65385,49.761575,6.79855,2.2994
33.821975,90.33785,6.690225,53.349625,6.829875,2.306125
34.336125,90.366675,6.7258,54.75975,6.946375,2.3127
34.49355,90.76635,6.761075,55.055875,7.0923,2.320075
34.628525,90.78245,6.7775,55.526075,7.1191,2.3323
34.7565,91.886075,6.818625,56.013625,7.143425,2.3797
34.93555,92.220975,7.07725,59.69335,7.160825,2.392575
35.022875,92.255725,7.15695,60.193175,7.19005,2.396475
35.078325,93.009925,7.185475,60.2427,7.3991,2.40915
36.033175,94.163625,7.33165,60.3887,7.43895,2.431775
36.461225,94.549625,7.4299,63.633225,7.458775,2.444525
36.606775,94.667325,7.477475,64.483925,7.496475,2.44995
37.8446,95.2001,7.57545,65.215625,7.519625,2.471925
38.515475,95.590975,7.645625,65.277,7.54925,2.485525
39.82115,95.742425,7.767825,65.36395,7.64155,2.500275
40.718925,95.962275,7.8034,66.1475,7.769225,2.512175
41.0478,96.06,7.8243,66.483125,7.8729,2.52595
41.1954,96.28145,7.836825,66.544875,7.905225,2.5392
41.3277,96.644,7.89905,68.772775,7.911325,2.583225
41.602475,96.8958,7.91965,69.454075,7.914975,2.5974
42.03635,98.154025,7.949275,69.702625,8.0952,2.625075
42.4061,98.400725,7.998975,70.51555,8.17435,2.66895
42.517125,98.5669,8.1777,70.5737,8.235875,2.688025
42.597775,98.6795,8.521275,70.627525,8.499425,2.720375
42.73625,100.460375,8.533775,72.6233,8.5566,2.733175
43.07365,100.743325,8.543875,73.237125,8.567675,2.799575
43.451425,101.9666,8.572,73.457725,8.7187,2.836275
43.465175,102.804625,8.5844,74.46145,8.783425,2.915825
43.614475,103.0395,8.61225,75.56645,8.880125,2.9882
43.655675,103.3402,8.632925,76.3759,8.90115,3.0044
44.056625,104.00275,8.663925,77.3939,8.92065,3.034275
44.1909,105.19015,8.715,78.928175,9.0834,3.04595
44.759375,105.42235,8.735,79.278475,9.1548,3.05805
45.157725,106.238625,8.7754,80.28115,9.209725,3.06695
45.47645,107.353425,8.79905,82.967825,9.293975,3.074675
46.1915,107.4196,8.81955,84.500975,9.358825,3.095325
47.001925,107.466775,8.9358,91.79975,9.38625,3.115325
47.775175,107.644225,9.100125,95.55865,9.429075,3.14235
48.03365,108.209725,9.126275,96.0719,9.4693,3.154675
48.483975,108.90565,9.238825,97.48765,9.49935,3.19635
48.87475,109.3691,9.247125,99.2914,9.6717,3.258625
48.967725,110.777375,9.256975,100.5495,9.795625,3.26605
50.445625,112.405275,9.2676,102.10905,9.831825,3.2739
50.605525,112.436475,9.2855,112.988175,10.07485,3.2855
51.254925,115.15985,9.300675,113.3032,10.1295,3.3142
51.33915,115.217875,9.3099,115.58505,10.167725,3.359325
51.74735,115.6368,9.33045,117.65465,10.206975,3.3642
51.776975,116.340875,9.3653,119.2413,10.281425,3.389325
51.9317,118.826475,9.4637,122.0926,10.344625,3.398975
52.05495,120.01325,9.761275,124.126725,10.365,3.4071
52.321725,120.3838,9.936275,124.882125,10.448475,3.42435
52.702,122.984425,9.9598,125.141125,10.602475,3.4431
52.744275,123.50205,10.021975,127.396075,10.744025,3.460575
53.724375,123.55075,10.0981,127.9019,10.904725,3.47615
54.247825,124.52865,10.11395,128.729925,10.92425,3.47915
54.431925,124.574475,10.164725,132.080025,10.936175,3.492425
54.8342,125.230775,10.19265,132.434475,10.9615,3.50145
55.154425,125.237,10.2298,133.5637,10.9728,3.52025
55.559675,125.831225,10.2606,134.53115,10.9969,3.549
55.676275,125.838825,10.4294,134.646375,11.09775,3.55905
57.018575,125.88045,10.627875,134.8934,11.12335,3.5696
57.030325,126.419125,10.6648,136.781725,11.37245,3.57565
57.066025,128.121725,10.7773,136.79775,11.3903,3.585325
57.56575,128.2928,10.859625,137.80095,11.42115,3.59735
58.729325,129.874725,10.89115,140.090625,11.56115,3.605325
58.840375,130.611525,10.91475,140.26785,11.65855,3.6247
58.88745,131.429875,10.93455,144.0738,11.6728,3.634025
58.903125,131.4396,10.94805,144.76265,11.7588,3.656525
59.21055,132.75845,10.954925,149.29015,11.79215,3.6644
60.18245,133.078075,10.979425,152.920175,11.817275,3.699125
60.536025,133.08765,11.026775,155.7054,11.838325,3.759225
60.904375,133.099025,11.050475,156.87565,11.8643,3.77265
61.137825,134.81065,11.2792,157.3654,11.885225,3.804375
61.63035,135.4276,11.4381,160.3016,11.96905,3.827175
61.715275,135.924075,11.464925,165.757675,12.02075,3.8511
61.739625,136.43905,11.502875,166.040725,12.06595,3.86105
62.2874,136.86555,11.512,169.1572,12.07005,3.878175
62.517075,137.655525,11.53955,173.1947,12.11385,3.8963
62.562375,138.1905,11.561025,178.177975,12.17335,3.897325
62.6189,139.462225,11.660775,180.412875,12.209175,3.9155
63.26615,139.657,11.748,186.50745,12.27575,3.98045
63.543675,140.10855,11.777225,187.2389,12.28975,4.005975
64.4251,140.567675,11.850425,188.4315,12.3026,4.03165
65.497775,140.588875,11.871475,191.28765,12.33915,4.054325
65.843125,141.63045,12.14285,192.221475,12.4285,4.07135
