SPK_SPKC01a (inhi),SPK_SPKC05a (inhi),SPK_SPKC07a (exc),SPK_SPKC13a (inhi)
277.6423,233.16595,237.84445,239.88365
278.26495,233.322025,237.95175,239.9341
278.32475,233.340025,238.016475,240.103775
278.41835,233.43015,238.147225,240.171775
278.466675,233.74055,238.2924,240.39205
278.480475,234.325475,238.624075,240.96525
278.690075,234.400525,239.0489,241.8601
278.72075,234.625425,239.6582,242.001125
278.744425,234.81785,239.98585,242.480075
278.8997,234.8651,240.11245,242.653775
280.14085,234.9231,240.291,242.7305
280.694475,235.011625,241.043175,242.76335
280.703125,235.07225,242.1678,242.82045
281.046375,235.1735,242.656825,243.16345
283.535475,235.329625,242.881775,243.354875
283.588,235.640675,243.186275,243.543325
283.6257,235.71445,243.192825,243.580825
284.06765,236.060075,243.290625,243.738825
284.312875,236.3826,243.60965,243.876925
284.3271,236.441125,243.67605,243.998475
284.5346,236.581625,244.11125,244.137025
285.25245,236.694825,245.16275,244.184725
285.77865,237.013975,246.176275,244.310575
285.97225,237.18905,246.28905,244.3817
287.495475,237.4635,246.84005,244.449825
287.59815,237.5163,246.962475,244.5072
288.010525,237.605,247.16835,244.60115
288.128175,237.812425,247.2607,244.881925
288.236775,237.853,247.35995,244.893675
288.567075,237.8768,247.76915,244.962825
289.273075,237.9274,247.956975,245.0804
289.9637,238.131575,247.986425,245.21755
290.203975,238.214575,248.1725,245.3611
291.153975,238.386775,248.243725,245.44135
291.4689,238.463825,248.458225,245.51265
291.858575,238.546975,248.706125,245.623
292.359875,238.634575,248.987275,245.780625
292.405,238.811325,249.84965,245.860475
292.60975,238.89165,250.53715,246.077975
292.654625,239.063675,251.9239,246.134375
292.690875,239.2098,252.09165,246.24865
293.361425,239.3664,252.485675,246.286675
296.181325,239.45415,253.785325,246.442775
296.43985,239.703,253.995975,246.842175
297.13095,239.7919,254.209025,246.99755
297.5647,239.85065,254.42245,247.11165
298.24415,239.946625,254.64085,247.170075
298.463725,240.103725,254.763225,247.506625
299.0273,240.171775,258.891275,247.65835
299.182625,240.31845,259.601425,248.0709
299.625575,240.547,260.5399,248.28155
299.631525,240.60115,261.612175,248.41745
299.84115,240.6808,263.085225,248.59735
