SPK_SPKC02a,SPK_SPKC05a,SPK_SPKC06a,SPK_SPKC08a,SPK_SPKC08b,SPK_SPKC13a
302.169575,301.557825,302.226525,301.78035,309.65195,305.217925
302.173775,301.56965,302.241225,301.789075,309.692525,305.24925
302.17995,301.5822,302.27515,301.825125,309.7445,305.3296
302.184475,301.593175,302.313825,301.8441,309.775625,305.41555
302.1972,301.603725,302.336475,301.868625,309.97315,305.425875
302.205875,301.615175,302.373375,301.8948,310.0031,305.448875
302.210825,301.623325,302.4068,301.916475,310.0161,305.506275
302.218075,301.634525,302.426,301.955125,310.0476,305.526825
302.239825,301.6436,302.462625,302.015975,310.0853,305.5713
302.298425,301.654825,302.49085,302.07155,310.165225,305.62075
302.3892,301.668,302.513075,302.1523,310.191725,305.719025
302.41865,301.677375,302.54025,302.171275,310.198825,305.728525
302.459525,301.6936,302.569025,302.194875,310.2262,305.734825
302.478975,301.70885,302.5893,302.214725,310.23905,305.741925
302.497975,301.73355,302.74615,302.23835,310.24305,305.771275
302.535575,301.756775,302.776575,302.26725,310.251575,305.79415
302.5676,301.789625,302.804325,302.29935,310.260625,305.809025
302.58765,301.829125,302.8163,302.44815,310.268625,305.85965
302.6536,301.8585,302.8253,302.471525,310.28195,305.8943
302.686025,301.8785,302.83385,302.485,310.286425,305.933675
302.722825,301.915575,302.8379,302.510875,310.3128,305.966975
302.7873,301.9501,302.850175,302.538525,310.31835,306.02845
302.80945,302.02665,302.863625,302.5519,310.324575,306.056625
302.817375,302.060975,302.870225,302.57155,310.330725,306.1141
302.824875,302.111675,302.8779,302.59055,310.3564,306.1389
302.8368,302.149425,302.890875,302.6199,310.368075,306.1595
302.84585,302.163125,302.906625,302.668125,310.40905,306.16825
302.849225,302.1762,302.923325,302.766225,310.507125,306.19915
302.8573,302.18745,302.9427,302.7929,310.528075,306.23195
302.868975,302.198475,302.96,302.82375,310.5599,306.247375
302.8979,302.209975,302.9784,302.83265,310.669975,306.26415
302.924975,302.22815,303.01085,302.8479,310.687525,306.2727
302.949,302.26695,303.076625,302.8699,310.703575,306.389025
302.966475,302.29915,303.12855,302.8904,310.721175,306.43925
303.01965,302.324775,303.16345,302.903275,310.72525,306.517825
303.0485,302.353375,303.182525,302.909525,310.75705,306.6327
303.07725,302.392075,303.2097,302.91745,310.9422,306.693075
303.117325,302.45265,303.228025,302.923725,310.96385,306.712075
303.16145,302.4682,303.242175,302.933025,310.9773,306.756125
303.20815,302.485775,303.256675,302.939475,310.99535,306.803375
303.236775,302.501425,303.268925,302.955575,311.04385,306.8394
303.2868,302.5222,303.27495,302.976625,311.16305,306.881025
303.302775,302.548225,303.28895,302.99355,311.178875,306.93535
303.3355,302.584925,303.3041,303.0186,311.18915,307.1027
303.3759,302.632025,303.327725,303.05515,311.195025,307.1478
303.417675,302.660975,303.342625,303.163475,311.209425,307.17775
303.47505,302.7066,303.36345,303.1823,311.2214,307.208025
303.536075,302.77145,303.3811,303.2122,311.226425,307.24645
303.5617,302.8165,303.410375,303.255325,311.2534,307.283375
303.574525,302.832775,303.445575,303.2692,311.266375,307.333325
303.58595,302.84045,303.470225,303.282475,311.273175,307.357475
303.6008,302.847975,303.485425,303.2988,311.3043,307.38665
303.60845,302.855075,303.497725,303.3138,311.326225,307.437875
303.626225,302.87025,303.515075,303.3564,311.33425,307.497325
303.650725,302.8822,303.524175,303.38155,311.350175,307.643675
303.687875,302.8958,303.53755,303.43995,311.3594,307.712775
303.7547,302.91555,303.549825,303.49885,311.363925,307.7877
303.783925,302.9407,303.5591,303.51125,311.37125,307.8505
303.800025,302.95775,303.563525,303.516775,311.3748,307.96695
303.83965,302.9711,303.568025,303.53295,311.379225,308.02265
303.8577,302.995475,303.5901,303.5532,311.39065,308.0257
303.865425,303.027975,303.602775,303.567825,311.400975,308.033425
303.899025,303.0746,303.616775,303.577675,311.41435,308.053025
303.9106,303.1041,303.6268,303.5865,311.4373,308.099975
303.916525,303.14115,303.646525,303.59535,311.44505,308.1299
303.96195,303.2045,303.6631,303.60565,311.452975,308.157525
303.97965,303.243975,303.682975,303.622275,311.485275,308.203775
303.9989,303.28105,303.70855,303.640625,311.49585,308.279275
304.025975,303.309675,303.744625,303.654925,311.5034,308.32095
304.0677,303.369525,303.782875,303.6789,311.514575,308.368925
304.142125,303.41325,303.802425,303.710575,311.52475,308.47615
304.1596,303.462625,303.82685,303.764825,311.544475,308.5116
304.1784,303.49445,303.8429,303.8113,311.554625,308.559525
304.187875,303.52725,303.856075,303.83375,311.5614,308.582975
304.198425,303.53435,303.88075,303.858275,311.570675,308.6331
304.2066,303.563675,303.8909,303.875175,311.577575,308.64725
304.209625,303.580775,303.9101,303.8885,311.5846,308.696875
304.23335,303.598575,303.938975,303.9053,311.589525,308.742925
304.245125,303.613575,303.95865,303.91515,311.605925,308.787175
304.2521,303.624625,303.989125,303.9299,311.6109,308.82645
304.272875,303.6443,304.016375,303.94795,311.615675,308.861225
304.284025,303.6605,304.059625,303.97025,311.6219,308.87555
304.2914,303.676625,304.0992,303.984825,311.64875,308.913025
304.31085,303.693325,304.125775,304.002875,311.657925,308.931875
304.323625,303.7258,304.145,304.023725,311.665825,308.9931
304.341775,303.759125,304.16445,304.059025,311.67135,309.06005
304.351325,303.780475,304.18065,304.07365,311.679775,309.114125
304.357275,303.8392,304.1874,304.0917,311.7042,309.11595
304.371875,303.85955,304.217925,304.118725,311.711125,309.195075
304.391325,303.8797,304.267625,304.1429,311.7164,309.227275
304.401375,303.898,304.2858,304.155675,311.7461,309.282225
304.4128,303.9127,304.2941,304.172225,311.762875,309.327925
304.432175,303.940725,304.31,304.178875,311.776975,309.3925
304.44945,303.9746,304.34535,304.1877,311.790525,309.436
304.4682,304.000675,304.3535,304.1941,311.814225,309.495875
304.503425,304.0682,304.360475,304.200925,311.86725,309.5246
304.528775,304.133675,304.3685,304.211375,311.9134,309.5479
304.549825,304.164375,304.38105,304.218775,311.92545,309.5812
304.568725,304.174175,304.40055,304.22715,311.977975,309.63435
304.64375,304.18575,304.412625,304.23835,311.981875,309.648825
304.6728,304.19785,304.436525,304.24495,312.007425,309.7539
304.70835,304.21075,304.455175,304.279925,312.0151,309.79935
304.732925,304.228075,304.46995,304.292925,312.092925,309.8862
304.748225,304.242225,304.49585,304.2992,312.107175,309.964725
304.766475,304.2583,304.511975,304.3057,312.16585,309.995575
304.796225,304.2731,304.594475,304.314825,312.19115,310.0226
304.813075,304.28735,304.64915,304.320425,312.200125,310.129875
304.852525,304.29625,304.67885,304.327525,312.236925,310.2131
304.93635,304.316775,304.715825,304.334275,312.294875,310.2415
304.985025,304.32115,304.7272,304.343,312.47945,310.253975
305.028625,304.343425,304.746025,304.3552,312.489675,310.320025
305.068525,304.3618,304.762925,304.363575,312.49645,310.3923
305.08975,304.3737,304.78085,304.3694,312.5026,310.41915
305.1094,304.388025,304.8067,304.38365,312.50995,310.461275
305.115475,304.400175,304.855325,304.396675,312.513275,310.4889
305.127875,304.43755,304.90245,304.410725,312.5179,310.51605
305.169575,304.4602,304.92045,304.425575,312.5248,310.556275
305.213975,304.47255,304.9632,304.446175,312.538925,310.63665
305.34665,304.491425,304.995825,304.468925,312.5466,310.670975
305.37955,304.506525,305.02645,304.52235,312.5553,310.6897
305.40275,304.526875,305.047275,304.58525,312.593175,310.82745
305.416225,304.580175,305.0633,304.6396,312.605475,310.895
305.4349,304.61925,305.1216,304.681475,312.61135,310.92165
305.45935,304.668575,305.150425,304.7463,312.617825,310.982225
305.47095,304.7183,305.1833,304.774175,312.6243,310.997425
305.4836,304.7688,305.224275,304.7937,312.6308,311.02935
305.490325,304.79195,305.264475,304.824275,312.634775,311.059475
305.5003,304.823425,305.32375,304.84615,312.6555,311.1333
305.5157,304.889925,305.343,304.864425,312.66365,311.18425
305.523,304.979475,305.35485,304.8801,312.68085,311.20945
305.5313,305.05715,305.36515,304.91215,312.70855,311.270475
305.542825,305.09685,305.37385,305.02835,312.72385,311.315675
305.562825,305.118775,305.3888,305.0687,312.730025,311.3531
305.589875,305.13595,305.39635,305.10275,312.743375,311.37305
305.626425,305.166625,305.40855,305.140675,312.7469,311.3746
305.64345,305.195775,305.420075,305.161825,312.752025,311.3899
305.6732,305.231,305.4238,305.173425,312.7591,311.4388
305.71465,305.279225,305.43205,305.1885,312.764725,311.478
305.73335,305.32255,305.442375,305.203875,312.770325,311.53005
305.7484,305.369375,305.45915,305.225575,312.77665,311.640525
305.7659,305.3906,305.472525,305.240625,312.7863,311.6714
305.77915,305.409975,305.483125,305.25615,312.7999,311.711325
305.7884,305.42245,305.4895,305.27705,312.803825,311.8399
305.79605,305.46325,305.505925,305.2964,312.8199,311.882975
305.8086,305.481275,305.521275,305.311025,312.837825,311.909225
305.826125,305.503225,305.526925,305.3308,312.851675,311.9394
305.838925,305.513175,305.55765,305.35075,313.029925,311.959025
305.857075,305.518975,305.574675,305.366525,313.39845,312.00865
305.8707,305.529575,305.596225,305.38155,313.42795,312.0258
305.8791,305.5402,305.61195,305.398925,313.5137,312.059225
305.89695,305.5524,305.64815,305.41425,313.55815,312.1204
305.90965,305.57425,305.695625,305.4345,313.57035,312.1647
305.92005,305.59805,305.72575,305.44915,313.575125,312.1737
305.934575,305.6152,305.738425,305.453125,313.57885,312.251125
305.948625,305.642025,305.752675,305.46755,313.58215,312.371625
305.973025,305.66725,305.763625,305.477525,313.59795,312.430075
305.9863,305.69155,305.774575,305.492475,313.602425,312.544225
306.003675,305.717525,305.782975,305.49785,313.6077,312.612
306.02615,305.737925,305.789825,305.505475,313.62305,312.641975
306.054425,305.750175,305.79845,305.515875,313.628375,312.6776
306.06275,305.766425,305.80625,305.529775,313.6422,312.904525
306.07615,305.7794,305.81545,305.56485,313.646825,312.940875
306.09365,305.787075,305.823075,305.574125,313.6547,312.965825
306.10965,305.7937,305.8369,305.5953,313.661475,312.988075
306.132325,305.80275,305.84715,305.621525,313.6748,313.01705
306.1469,305.807975,305.856025,305.64795,313.69125,313.053225
306.1597,305.812775,305.86965,305.6828,313.697775,313.13895
306.170925,305.816825,305.880125,305.735125,313.70265,313.16825
306.184175,305.82525,305.89585,305.746875,313.709925,313.2592
306.2036,305.8456,305.907525,305.75125,313.72255,313.31335
306.224125,305.85985,305.91775,305.7563,313.72885,313.429975
306.253025,305.87235,305.9273,305.761675,313.73625,313.4648
306.26545,305.890525,305.952125,305.7683,313.7498,313.51465
306.2719,305.910525,305.9764,305.791175,313.762525,313.5494
306.2871,305.92555,305.9923,305.807175,313.781025,313.6928
306.343125,305.9334,306.014225,305.818325,313.787125,313.7394
306.358975,305.953375,306.02295,305.834025,313.800675,313.797375
306.3723,305.9695,306.0545,305.858375,313.811725,313.844175
306.389625,305.989825,306.061825,305.8691,313.8259,313.8547
306.402925,306.011975,306.071825,305.888675,313.837825,313.874625
306.4097,306.029125,306.077225,305.9039,313.863125,313.9102
306.420575,306.03515,306.101075,305.9107,313.873925,314.0128
306.4282,306.044025,306.111625,305.919575,313.877875,314.028625
306.4333,306.052675,306.1331,305.931275,313.881275,314.108875
306.4429,306.059975,306.1449,305.9423,313.8912,314.141075
306.463025,306.068475,306.163925,305.965825,313.910125,314.17785
306.473075,306.075625,306.173425,305.9803,313.915175,314.20235
306.4794,306.09315,306.186725,305.996425,313.9196,314.3238
306.487975,306.119175,306.1951,306.012175,313.92535,314.41495
306.49615,306.1355,306.2136,306.01805,313.930725,314.657225
306.50475,306.14205,306.231325,306.03155,313.9343,314.80495
306.5082,306.16735,306.24325,306.03775,313.9389,314.88555
306.513775,306.177675,306.289325,306.045925,313.9438,315.001825
306.5286,306.192175,306.301,306.052,313.95895,315.083475
306.53755,306.20275,306.339375,306.05805,313.9807,315.1444
306.5532,306.2212,306.35185,306.063575,313.99195,315.23085
306.5646,306.234675,306.36535,306.083925,314.0045,315.27745
306.604175,306.2455,306.38375,306.091775,314.0258,315.35165
306.62035,306.2561,306.3972,306.103875,314.037075,315.3908
306.63665,306.2634,306.409125,306.11885,314.0451,315.572175
306.653875,306.2704,306.426475,306.125725,314.061575,315.629225
306.6736,306.277475,306.4403,306.142475,314.0834,315.674
306.6978,306.2845,306.450325,306.1632,314.098475,315.736175
306.7171,306.290175,306.462075,306.174225,314.126225,315.75975
306.743925,306.30265,306.473175,306.185525,314.134925,315.8182
306.75955,306.31915,306.4827,306.202625,314.159225,315.87325
306.779775,306.334525,306.4887,306.229,314.1723,315.971925
306.812275,306.342475,306.5041,306.253775,314.199375,316.005825
306.837575,306.35265,306.5268,306.27645,314.216925,316.0409
306.8671,306.36595,306.5402,306.3056,314.2594,316.076325
306.899225,306.37765,306.5508,306.317325,314.2782,316.102225
306.943225,306.389675,306.5679,306.3365,314.32015,316.169575
306.972225,306.400525,306.5741,306.343375,315.054875,316.1753
307.004875,306.416825,306.586025,306.355775,315.69755,316.215275
307.05995,306.42795,306.61185,306.36585,315.994025,316.34815
307.100175,306.439075,306.629425,306.373175,316.047925,316.388475
307.1472,306.45105,306.63635,306.389125,316.071925,316.3968
307.1783,306.46445,306.653975,306.406375,316.243225,316.40695
307.21085,306.47755,306.69185,306.414225,316.3852,316.4156
307.234725,306.4928,306.70895,306.4272,316.49275,316.42255
307.276525,306.501575,306.725725,306.432475,316.508375,316.4309
307.322,306.5096,306.732875,306.44365,316.612625,316.433175
307.364925,306.524725,306.7499,306.45215,316.614875,316.515675
307.4144,306.542925,306.75595,306.4719,317.652375,316.582225
307.449225,306.559,306.772875,306.4997,317.756125,316.63285
307.494675,306.5748,306.7991,306.511575,317.76825,316.738625
307.5467,306.593075,306.811925,306.525725,317.842275,316.767925
307.57145,306.625225,306.836,306.55875,317.90905,316.81475
307.585675,306.64415,306.85805,306.578025,317.9252,316.868975
307.59145,306.659675,306.8743,306.5854,317.97015,316.92525
307.601225,306.680675,306.8902,306.5943,318.00735,316.974
307.60895,306.70505,306.921925,306.60345,318.0161,317.040375
307.618275,306.7282,306.937075,306.6093,318.028475,317.129725
307.628125,306.7479,306.953425,306.61735,318.0609,317.17085
307.636825,306.76855,306.976025,306.646675,318.16675,317.2175
307.651825,306.79425,306.998625,306.656075,318.2093,317.25335
307.690525,306.8171,307.0369,306.675225,318.215575,317.373725
307.773375,306.8343,307.051,306.683175,318.229075,317.41445
307.866725,306.861,307.062925,306.697875,318.23955,317.593125
307.9107,306.891625,307.0778,306.72695,318.266225,317.633825
307.919075,306.9213,307.178,306.747675,318.2781,317.669475
307.9338,306.94345,307.2012,306.766475,318.283475,317.737125
307.939425,306.96535,307.239425,306.792925,318.3126,317.7408
307.9483,306.986775,307.27245,306.8185,318.319575,317.758025
307.95635,307.008325,307.32575,306.831275,318.3482,317.766925
307.985425,307.042025,307.362425,306.8548,318.3653,317.773925
308.00405,307.075675,307.39625,306.870775,318.4326,317.78245
308.022575,307.104075,307.437475,306.9263,318.4674,317.895325
308.031625,307.12415,307.4953,306.951575,318.49505,317.9155
308.05415,307.15555,307.522,306.9764,318.503275,317.93385
308.061225,307.176775,307.555675,307.0011,318.51545,317.9634
308.07165,307.19995,307.5686,307.019175,318.552925,317.983275
308.086525,307.2207,307.5771,307.0518,318.5698,317.99885
308.10345,307.240975,307.584125,307.0788,318.5817,318.004175
308.1151,307.26745,307.606175,307.1217,318.672275,318.01895
308.138125,307.287825,307.61475,307.1414,318.7071,318.0595
308.159975,307.315475,307.65335,307.1737,318.7473,318.126275
308.1701,307.347825,307.69105,307.198075,318.7666,318.2043
308.182775,307.381325,307.749525,307.21205,319.199025,318.2676
308.201475,307.405475,307.830775,307.2318,320.274625,318.32545
308.21395,307.435225,307.8617,307.266825,320.7933,318.343725
308.225975,307.471175,307.9113,307.275525,321.1287,318.3571
308.282025,307.512825,307.939025,307.291875,321.7334,318.39625
308.3153,307.55265,307.9457,307.327475,322.27485,318.438025
308.355475,307.5708,307.953175,307.360475,322.350925,318.450175
308.388775,307.58455,307.967725,307.389625,322.356075,318.470075
308.4307,307.598375,307.9796,307.437325,322.36355,318.5363
308.5008,307.609575,307.9877,307.447225,322.381875,318.550425
308.538025,307.618175,307.995975,307.495025,322.387475,318.567775
308.5575,307.627325,308.016375,307.5332,322.429025,318.581475
308.577925,307.642225,308.02315,307.57615,322.647875,318.59125
308.599425,307.656175,308.085325,307.5925,322.923075,318.66345
308.612675,307.674425,308.098025,307.634825,323.008075,318.766575
308.628925,307.69845,308.11715,307.66275,323.026025,318.80225
308.633325,307.702075,308.133225,307.6885,323.1951,318.828375
308.639275,307.732025,308.157825,307.724575,323.210725,318.86955
308.66215,307.754775,308.16725,307.74855,323.226375,318.908425
308.692325,307.794,308.180775,307.790475,323.247775,318.9972
308.716525,307.864225,308.2025,307.907725,323.54275,319.0662
308.75705,307.9001,308.2415,307.945075,323.5614,319.18475
308.77445,307.91405,308.265225,307.9569,323.56295,319.2479
308.80425,307.9226,308.293,307.972175,323.57335,319.29625
308.825325,307.92795,308.31345,307.984325,323.593375,319.34115
308.8414,307.932725,308.35165,307.99445,323.6706,319.5342
308.8649,307.93675,308.380925,308.00885,323.805875,319.5789
308.8736,307.9428,308.42155,308.021475,323.86825,319.6363
308.89125,307.94765,308.44925,308.02685,323.9872,319.672525
308.89725,307.953625,308.477025,308.043275,324.019825,319.6806
308.902875,307.9585,308.495875,308.059125,324.047225,319.734
308.9135,307.965375,308.505225,308.067075,324.072275,319.841675
308.940725,307.97465,308.52535,308.074425,324.080675,319.924575
308.9536,307.981125,308.54575,308.0863,324.1014,319.969825
308.976725,307.985975,308.5802,308.094275,324.12155,319.995525
308.994875,307.999025,308.600775,308.10705,324.125875,320.273025
309.030975,308.017125,308.62345,308.139425,324.134725,320.2832
309.058825,308.029225,308.67875,308.151475,324.263925,320.317675
309.0904,308.0496,308.708875,308.166075,324.284275,320.332325
309.151825,308.057325,308.71335,308.181275,324.288475,320.351575
309.18635,308.068825,308.757,308.199475,324.3794,320.3996
309.20855,308.08215,308.776025,308.206975,324.391425,320.52265
309.2193,308.0934,308.787575,308.21725,324.3966,320.6576
309.227075,308.1235,308.803625,308.240725,324.4048,320.69815
