SPK_SPKC01a,SPK_SPKC03a,SPK_SPKC03b,SPK_SPKC06a,SPK_SPKC07a,SPK_SPKC10a,SPK_SPKC11a
13.9063,8.477575,25.469975,7.9668,35.546925,16.71985,3.28675
13.937525,8.512625,25.765625,8.053975,36.0581,17.10255,3.288775
14.0107,8.66225,26.2769,8.109925,36.613,17.49575,3.296875
14.166225,8.75815,26.32145,8.11575,37.489975,17.517625,3.3043
14.30975,8.850275,26.378525,8.1687,38.097,17.53705,3.3137
14.402675,8.867475,26.468125,8.239625,38.27105,17.544675,3.34705
14.42715,8.94055,26.5114,8.3104,38.365075,17.9518,3.37825
14.649775,8.9613,26.589625,8.3356,38.420075,18.0175,3.3832
14.92605,9.04315,27.2815,8.35405,38.71435,18.088925,3.42475
15.005525,9.064925,27.355575,8.35685,38.87745,19.120675,3.47755
15.16105,9.37995,27.503625,8.4014,39.863775,19.1269,3.564625
15.250825,9.580925,28.184075,8.4388,39.963725,19.12885,3.627025
15.3311,9.6103,28.318725,8.458825,40.58875,19.283,3.680225
15.3943,9.62705,28.379,8.499925,41.084475,19.439475,3.70755
15.4999,9.669275,28.9411,8.55405,41.182575,19.511725,3.7194
15.606075,9.69675,29.054425,8.601575,42.40745,20.25655,3.801175
15.668325,9.745025,29.209075,8.65885,43.711275,20.531125,3.851425
15.71375,9.849175,29.254025,8.68305,43.832825,22.061675,3.875325
15.727825,10.0186,29.49645,8.7324,44.318875,22.0789,3.913475
15.7979,10.039825,29.5429,8.786175,44.5488,22.11995,4.22
15.8867,10.0997,29.62375,8.8203,44.66415,22.461825,4.246475
15.98965,10.103475,29.76365,8.8333,44.874475,22.49945,4.2684
16.0941,10.223975,29.8875,8.897575,44.994575,22.52875,4.279825
16.32605,10.28655,30.004025,8.9603,45.3375,22.5541,4.286975
16.4368,10.321875,30.055175,9.041375,45.4199,22.7882,4.3028
16.475325,10.4253,30.146075,9.1505,46.747675,22.826875,4.306
16.4865,10.45365,30.172925,9.152475,47.0285,23.3142,4.316125
16.60415,10.4573,30.35215,9.2401,47.6777,23.3238,4.3411
16.716325,10.67205,30.440375,9.29485,47.964575,23.49545,4.344025
16.806475,10.70165,30.515625,9.329525,48.669,23.753325,4.369425
16.886325,10.703725,30.555175,9.348475,48.7779,23.81485,4.37365
16.9816,10.799775,30.600225,9.379025,49.2071,24.190675,4.394875
17.05645,10.91275,30.63675,9.407,49.897625,24.561925,4.4244
17.1085,10.998975,30.78225,9.46195,50.791925,24.644175,4.44305
17.195925,11.046675,30.84365,9.516675,50.843175,24.805625,4.45965
17.314425,11.083325,30.915925,9.59075,50.8687,24.982825,4.519925
17.403375,11.15255,31.021375,9.625075,51.265,25.12785,4.596625
17.497975,11.3655,31.360175,9.653375,51.793075,25.1638,4.760725
17.58845,11.415,31.480325,9.663125,52.14555,25.217175,4.8055
17.675325,11.49635,31.528025,9.66595,52.217275,25.424975,4.8678
17.726,11.651525,31.649625,9.668025,52.87765,25.6913,4.931075
17.77165,11.693025,31.705125,9.742625,53.634225,25.73095,5.02315
17.823825,11.71555,31.774375,9.83365,53.7057,25.8066,5.065725
17.903225,11.743875,31.779075,9.8733,53.716975,26.075325,5.0708
17.96075,11.855,31.823725,9.918725,54.501475,26.2358,5.080475
18.0584,12.033125,31.897175,9.969475,55.0054,26.67615,5.0893
18.12475,12.070875,31.90985,10.031475,55.580525,27.243875,5.096675
18.1553,12.157225,31.953825,10.061475,56.3034,27.360175,5.116225
18.223475,12.25515,32.04235,10.23715,56.429725,27.4204,5.1354
18.23735,12.392825,32.2306,10.2871,57.11275,27.744375,5.15045
18.3711,12.43215,32.32635,10.32345,57.627025,27.88345,5.156125
18.563475,12.49675,32.491575,10.3311,57.97155,27.92345,5.184675
18.673025,12.5936,32.73435,10.36345,58.041475,28.491675,5.25015
18.8432,12.59665,32.940475,10.4418,59.07085,28.53225,5.252075
18.922,12.68815,32.991225,10.4704,59.728425,28.563275,5.35095
19.08725,12.821475,33.270075,10.520025,60.3084,28.635025,5.3924
19.1662,12.99165,33.79085,10.589325,60.419,28.744575,5.434575
19.232575,12.998775,33.896825,10.624775,60.52245,28.8787,5.495325
19.441325,13.008225,34.04635,10.6358,60.925375,29.029825,5.546875
19.5921,13.054575,34.172375,10.659875,61.420275,29.400625,5.611575
19.69345,13.08185,34.5978,10.6994,62.842575,29.424825,5.6579
19.82665,13.198175,34.7066,10.763125,62.943925,29.756925,5.697025
19.9264,13.294225,35.587875,10.819725,64.19585,29.950025,5.7158
20.15135,13.428775,35.976975,10.872825,64.30445,30.323725,5.7259
20.21315,13.475525,36.3247,10.911975,64.8063,30.3337,5.735375
