SPK_SPKC02a (inhibited),SPK_SPKC05a (inhibited)
7.801525,31.096075
7.818725,31.21505
7.8275,31.356525
7.8651,31.395
7.877825,31.4421
7.88535,31.624225
7.898225,31.66005
7.920725,31.66945
7.9269,31.7956
7.943575,31.9841
7.97025,32.0962
7.9848,32.1251
8.007325,32.25045
8.01445,32.28045
8.0304,32.298525
8.0447,32.376425
8.068675,32.46055
8.077025,32.60105
8.0853,32.692775
8.09765,32.699025
8.102275,32.7286
8.11245,32.7909
8.140975,32.807525
8.14775,32.88295
8.16115,32.964525
8.166275,32.98475
8.1861,33.0233
8.198225,33.16645
8.2099,33.171625
8.226425,33.293175
8.24915,33.3098
8.266075,33.35635
8.2811,33.568675
8.2948,33.601875
8.30745,33.61535
8.34525,33.692425
8.364175,33.712175
8.384575,33.755525
8.390075,33.98445
8.4202,34.22535
8.441625,34.260225
8.4628,34.31925
8.466475,34.492375
8.4789,34.591925
8.490375,34.71855
8.494875,34.870725
8.50375,35.097275
8.52915,35.169925
8.539425,35.260175
8.570925,35.2695
8.6106,35.364175
8.61385,35.3708
8.63115,35.416225
8.6768,35.454325
8.688575,35.530575
8.701,35.590775
8.723675,35.6056
8.740025,35.627225
8.7473,35.7243
8.76165,35.78885
8.767575,36.00745
8.79595,36.0462
8.80415,36.090825
8.838825,36.1937
8.85615,36.228675
8.873925,36.31325
8.881825,36.340025
8.890975,36.417275
8.901625,36.4488
8.9283,36.767275
8.93565,36.932025
8.94595,37.052
8.954575,37.0621
8.98925,37.114425
8.9967,37.2714
9.010775,37.361575
9.025375,37.451575
9.036325,37.705425
9.0787,37.8337
9.10145,37.95305
9.12,38.13795
9.13815,38.204825
9.1427,38.38255
9.19435,38.401225
9.20445,38.534775
9.296575,38.727125
9.351925,38.8865
9.37285,38.938425
9.400675,39.126475
9.419775,39.140325
9.442575,39.21315
9.45185,39.267925
9.46775,39.333275
9.495475,39.4605
9.5202,39.47595
9.562225,39.589375
9.576775,39.612625
9.61665,39.70645
9.64535,39.77335
9.68125,40.011075
9.7052,40.061075
9.710375,40.096825
9.732725,40.149475
9.7786,40.25765
9.788125,40.371875
9.81015,40.583575
9.88405,40.62435
9.905275,40.684125
9.919425,40.859225
9.928,40.884975
9.947975,41.2313
9.974525,41.326575
9.98885,41.329825
10.0025,41.436175
10.02665,41.49845
10.076075,41.673675
10.0932,41.92985
10.117775,42.0431
10.153675,42.11095
10.16405,42.1259
10.1827,42.19305
10.19605,42.254425
10.2289,42.507025
10.240325,42.558275
10.24395,42.5838
10.26395,42.62535
10.274475,42.864
10.294225,42.8834
10.31085,43.0419
10.321025,43.13895
