SPK_SPKC08a (no opto-tagging),SPK_SPKC10a (inhi),SPK_SPKC11a (exc),SPK_SPKC12a (no response),SPK_SPKC12b (exc),SPK_SPKC14a (short inhi)
32.918325,1.62,2.058825,33.72095,2.897775,1.68185
33.134325,1.643125,2.11495,33.800925,2.901025,1.6956
33.513075,1.6716,2.126675,34.356425,2.91465,1.707375
33.560975,1.69675,2.163775,34.57535,2.94515,1.724875
33.855275,1.72655,2.173325,35.543025,2.9641,1.744925
33.99695,1.76175,2.2227,35.566125,2.985275,1.763975
34.049875,1.818,2.24105,35.59895,2.9998,1.782575
34.386,1.8322,2.25465,35.62015,3.0222,1.8246
34.477325,1.84715,2.27125,36.73605,3.059675,1.846125
34.7144,1.8583,2.28285,37.187925,3.075675,1.8609
34.733075,1.8862,2.290025,37.32715,3.099275,1.867975
34.797525,1.903725,2.29825,38.08415,3.1339,1.87525
35.090425,1.937625,2.30845,38.33625,3.154975,1.88905
35.20695,1.980425,2.32275,38.454475,3.180375,1.896775
35.290225,1.98165,2.324525,38.555925,3.201475,1.8989
35.35785,2.008825,2.334575,39.387875,3.24465,1.9089
35.4369,2.025325,2.354425,39.43425,3.2729,1.936125
36.16175,2.04125,2.3672,39.971775,3.3074,1.94755
36.95065,2.076925,2.376375,40.002,3.33415,1.96045
37.70775,2.086425,2.3854,41.4503,3.404275,1.975175
37.805575,2.102875,2.432925,41.871175,3.45285,2.001225
38.77145,2.1226,2.441225,41.972625,3.48265,2.022975
38.79905,2.133475,2.449875,42.7094,3.494175,2.04585
39.482125,2.1781,2.500525,43.50255,3.50745,2.0734
39.5685,2.1933,2.5386,43.5442,3.5216,2.092825
40.5923,2.1993,2.562,43.8065,3.5393,2.11095
40.9663,2.221875,2.584075,44.536425,3.55925,2.126225
41.1025,2.2371,2.604775,45.53325,3.584975,2.139225
41.21865,2.247,2.623475,45.58595,3.61225,2.1588
41.49325,2.25365,2.647125,45.649275,3.658775,2.17115
41.6221,2.27565,2.6758,45.928325,3.694,2.17785
41.693,2.290175,2.70075,46.040375,3.7212,2.183625
42.229225,2.325075,2.71935,46.1514,3.7433,2.189625
42.438625,2.34065,2.742725,47.33315,3.7639,2.19415
42.858525,2.35305,2.758475,47.59265,3.805225,2.198375
43.14335,2.3701,2.79675,49.847525,3.843125,2.20265
43.3445,2.384425,2.829475,50.252375,3.8632,2.20605
44.1617,2.399325,2.841375,50.2709,3.88425,2.210175
44.454325,2.410075,2.849925,50.28225,3.909025,2.218675
44.599725,2.4207,2.8577,50.2896,3.91975,2.25235
44.68805,2.441725,2.86375,50.701025,3.935175,2.257625
45.01145,2.4548,2.86485,51.106825,3.945825,2.27
45.0939,2.472075,2.86975,51.4982,3.953425,2.282425
45.098775,2.491525,2.871925,51.52295,3.96775,2.336725
45.561,2.514175,2.8807,51.5919,3.98495,2.358425
45.8099,2.540025,2.890175,51.603775,4.0016,2.36955
45.83675,2.5639,2.92215,51.709575,4.02165,2.38005
45.888075,2.6159,2.928625,51.915025,4.140125,2.38925
46.19165,2.662,2.93455,51.929925,4.181875,2.432125
46.547875,2.698775,2.967375,51.943975,4.219025,2.439375
46.742,2.743,2.9737,51.985175,4.262075,2.4488
46.7886,2.760525,2.993275,52.36125,4.294375,2.4568
47.0095,2.781975,2.99925,52.696775,4.313425,2.475775
47.58495,2.821325,3.02715,52.70995,4.3364,2.486825
48.27355,2.840725,3.0346,52.73305,4.393775,2.492075
48.4642,2.870875,3.050425,52.7382,4.419225,2.498
48.7896,2.877225,3.05845,52.7469,4.4328,2.509125
48.8622,2.8824,3.0905,52.79465,4.44315,2.52795
48.896175,2.884825,3.121525,52.824175,4.4555,2.5424
48.970525,2.888225,3.138275,52.870325,4.46295,2.55805
49.23035,2.8923,3.14635,53.15495,4.4689,2.60025
49.3871,2.893375,3.1569,53.20215,4.476325,2.613
49.70165,2.895625,3.176825,53.6147,4.5057,2.6274
49.77085,2.898825,3.223975,53.7216,4.535925,2.64705
49.9407,2.9051,3.24735,53.9153,4.588325,2.664675
49.9905,2.907925,3.2739,53.93445,4.618525,2.6853
50.025775,2.9192,3.303525,54.3265,4.670725,2.7299
50.164275,2.925725,3.33105,54.91005,4.72295,2.765175
51.756875,2.939025,3.35235,55.525225,4.778425,2.7928
52.032,2.954,3.407225,56.322625,4.825225,2.827425
52.203775,2.9861,3.44815,56.618725,4.8746,2.837275
52.419875,3.023,3.461675,56.6322,4.888075,2.846
52.484725,3.05595,3.471775,57.455075,4.902725,2.85365
53.26285,3.077425,3.515575,57.5843,4.915525,2.855825
53.301625,3.1157,3.53655,57.93825,4.940225,2.859925
53.756475,3.1449,3.54925,57.9686,4.963,2.867075
53.79295,3.154525,3.5695,58.2904,4.981075,2.882125
53.843825,3.1746,3.578425,58.3554,5.005825,2.89
54.4265,3.2282,3.589875,58.685975,5.0234,2.89495
54.670575,3.246025,3.61525,59.507075,5.030925,2.9034
54.673375,3.2618,3.620175,59.5259,5.0467,2.909075
55.1122,3.27465,3.633775,59.863475,5.060075,2.914875
55.2699,3.294225,3.6583,59.885925,5.082525,2.937875
55.27165,3.3212,3.670275,59.924425,5.1001,2.939225
55.439875,3.3225,3.673875,60.423,5.1253,2.945825
55.457175,3.348725,3.70965,60.650625,5.1522,2.954625
55.80305,3.374825,3.71675,60.937225,5.1811,2.960825
55.818675,3.40825,3.7291,61.195725,5.229725,2.96865
56.71895,3.4324,3.742925,61.543225,5.259875,2.977925
56.845075,3.4606,3.76935,61.55065,5.314525,2.98515
56.94645,3.480625,3.7902,61.909425,5.344025,2.994275
57.19415,3.5088,3.804275,62.295125,5.356625,3.042175
57.679225,3.51865,3.827925,62.491175,5.369925,3.054075
59.775,3.5229,3.8521,62.646325,5.391425,3.06515
60.2233,3.5386,3.876925,62.745575,5.404675,3.079375
60.36755,3.551675,3.90255,63.1262,5.424325,3.099475
60.9693,3.567975,3.9235,64.19135,5.446,3.108275
61.338125,3.578975,3.95815,65.101525,5.466075,3.126075
61.41505,3.58935,4.00025,65.18815,5.4952,3.1397
61.674375,3.59675,4.047575,66.1162,5.52165,3.1638
61.72695,3.603725,4.0649,66.4144,5.564175,3.1829
62.11005,3.61265,4.089575,66.81665,5.611,3.20515
62.128375,3.6214,4.148675,67.4133,5.6472,3.229775
62.164025,3.629375,4.20245,67.4853,5.68895,3.2515
62.596875,3.636425,4.238925,67.904075,5.704575,3.285225
62.6198,3.65065,4.25635,67.9184,5.734925,3.332875
62.623225,3.6566,4.269625,68.04205,5.751075,3.382
62.78705,3.664325,4.2922,68.424,5.768275,3.41025
63.079525,3.6722,4.317075,68.43135,5.79625,3.437875
