SPK_SPKC01a (no response),SPK_SPKC15a (no response)
,351.4894
,351.5357
,351.569525
,351.656975
,351.722875
,351.78265
,351.8411
,351.956025
,352.03
,352.08305
,352.144475
,352.268025
,352.310025
,352.366275
,352.4463
,352.492725
,352.55085
,352.6076
,352.65675
,352.7226
,352.787625
,352.853275
,352.889675
,352.97615
,353.142875
,353.2044
,353.249225
,353.2965
,353.3491
,353.444275
,353.5028
,353.5336
,353.576025
,353.6217
,353.662325
,353.738425
,353.795925
,353.8708
,353.92295
,353.959875
,354.0477
,354.1092
,354.191075
,354.24485
,354.3293
,354.431725
,354.527925
,354.585725
,354.651825
,354.696375
,354.7417
,354.866075
,355.008125
,355.067175
,355.120675
,355.205975
,355.2663
,355.32935
,355.36645
,355.470825
,355.541375
,355.62355
,355.77205
,355.8195
,355.876925
,355.975775
,356.107475
,356.19515
,356.2494
,356.309575
,356.371975
,356.5146
,356.68495
,356.80495
,356.8688
,356.91515
,356.9745
,357.0325
,357.159275
,357.21155
,357.2737
,357.3752
,357.446875
,357.57645
,357.731475
,357.78335
,357.887125
,357.949675
,358.039975
,358.1286
,358.222025
,358.266725
,358.308125
,358.38665
,358.48575
,358.6747
,358.924875
,358.987975
,359.10785
,359.359325
,359.58855
,360.188175
,360.32235
,360.841525
,360.92065
,361.003875
,361.24115
,361.413
,361.569275
,361.7808
,361.88005
,362.12875
,362.1865
,362.316475
,362.441275
,362.50925
,362.72465
,362.789675
,362.856725
,362.902125
,362.9606
,362.987
,363.05975
,363.122725
,363.17895
,363.2376
,363.342425
,363.40505
,363.53565
,363.5799
,363.66035
,363.713525
,363.818525
,363.880475
,363.98365
,364.137975
,364.211525
,364.253875
,364.3156
,364.38835
,364.4691
,364.64025
,364.7163
,364.898775
,364.99235
,365.04665
,365.1845
,365.377325
,365.704675
,365.9935
,366.057525
,366.311925
,366.400225
,366.493975
,366.640375
,367.009375
,367.1079
,367.3186
,367.431225
,367.509575
,367.658
,370.619425
,370.818025
,371.278
,371.451325
,371.507875
,371.594975
,372.13535
,372.282675
,372.379475
,372.488425
