SPK_SPKC02a (no response),SPK_SPKC07a (exc/inh)
264.445125,273.2498
264.513325,273.438075
264.5645,273.490925
264.68005,273.54195
264.773575,273.5667
264.8485,273.57335
264.962275,273.712225
265.062525,273.738075
265.112475,273.82455
265.16135,273.8896
265.246,273.95575
265.29115,274.1084
265.371,274.312425
265.442375,274.3592
265.47205,274.46785
265.546925,274.554925
265.609725,274.7453
265.694725,274.749125
265.77025,274.8557
265.864675,274.927475
265.938275,275.0984
266.038875,275.8816
266.131425,276.348075
266.2046,276.602925
266.290225,276.96625
266.411075,277.38695
266.565825,277.547
266.627375,278.1327
266.689125,278.446
266.79475,278.8777
266.865425,279.241
266.9935,279.308425
267.04805,279.32935
267.129775,279.584525
267.199475,279.675775
267.2749,280.088575
267.39725,280.11045
267.4715,280.16525
267.59535,280.544
267.7612,280.61305
267.84505,280.70435
267.941675,281.0418
267.981275,281.1701
268.053225,281.9196
268.1242,282.2408
268.21165,282.5088
268.3499,282.5352
268.428425,282.677625
268.490575,282.892275
268.56135,283.43025
268.626,283.482925
268.6897,283.537775
268.825075,283.869075
268.895825,284.063975
268.938075,284.0702
269.088225,284.14015
269.181075,284.330725
269.28695,284.373725
269.38825,284.436025
269.441125,284.943225
269.58265,285.046475
269.6541,285.1173
269.82005,285.402025
269.8881,285.504575
269.95025,285.8639
270.043325,285.894725
270.125875,285.92095
270.20145,285.965575
270.2752,286.599
270.3244,286.876875
270.418575,287.4129
270.549325,287.6554
270.59065,288.71065
270.698025,289.132175
270.78175,289.604375
270.88445,289.80445
270.983675,290.2616
271.065175,290.4965
271.11415,290.985975
271.193775,291.48295
271.263375,291.899375
271.349325,292.4981
271.40685,292.5524
271.503175,292.6918
271.65215,292.7786
271.72895,292.80935
271.780375,292.963375
271.87375,293.038175
271.975375,293.2623
272.0603,293.349675
272.16195,293.530825
272.251825,294.440425
272.3058,295.0555
272.392775,295.169
272.47455,295.28875
272.58545,295.473625
272.6792,295.911975
272.76235,296.189575
272.8862,296.371775
272.951975,296.94845
273.091225,297.049175
273.164725,297.20775
273.217775,297.26015
273.2747,297.6303
273.37725,297.651475
273.53055,297.686675
273.587525,297.85
273.68075,297.9382
273.742925,298.0906
273.8182,298.36995
273.8903,298.64255
273.952275,298.785475
274.07265,298.994575
274.18955,299.063475
274.247425,299.12455
274.331725,299.24675
274.395025,300.016675
274.423475,300.0612
274.547075,300.064725
274.60985,300.293375
274.648525,300.4996
274.68685,300.560325
274.83415,300.590875
275.0188,300.633925
275.261875,300.66915
275.344125,300.7219
275.4567,300.79235
275.57165,300.818875
275.67225,300.894125
275.7635,301.024675
275.9477,301.07375
276.029425,301.091925
276.089975,301.11485
276.161775,301.42705
276.21805,301.43325
276.246425,301.60835
276.286875,301.704525
276.351625,301.72365
276.42455,301.829225
276.4817,301.8562
276.5457,301.87695
276.575375,301.896075
276.672175,302.00295
276.765375,302.2824
276.8044,302.332775
276.837925,303.0513
276.85555,303.348625
276.9518,303.39855
277.057075,303.4037
277.128825,303.41955
277.15045,303.557175
277.194575,303.605
277.2796,303.661675
277.380875,303.768625
277.43525,303.8666
277.46175,303.88225
277.5117,303.92025
277.623725,304.0054
277.6843,304.152575
277.73655,304.253375
277.795475,304.291925
277.86515,304.472275
277.9549,304.5537
278.002575,304.72935
278.066625,304.833425
278.118475,304.88165
278.17915,304.987825
278.249225,305.01935
278.38665,305.5661
278.4882,305.777125
278.578875,306.120875
278.642125,306.152475
278.7016,306.1738
278.742025,306.1921
278.77595,306.21385
278.848625,306.2332
278.887575,306.25245
278.939425,306.35835
279.010425,306.384875
279.049275,306.392525
279.138425,306.632325
279.20785,306.8208
279.2926,306.864125
279.33115,306.904675
279.374075,306.936225
279.469575,307.18695
279.55785,307.208025
279.64265,307.214975
