SPK_SPKC04a (no effect),SPK_SPKC08a (excited)
17.152775,18.033525
17.299825,18.0916
17.337975,18.1676
17.354325,18.256575
17.41675,18.3416
17.4513,18.376525
17.489,18.478675
17.525075,18.605825
17.580075,18.625375
17.681925,18.64915
17.728775,18.67165
17.80455,18.713025
17.90445,18.79885
17.94245,18.8445
17.97505,18.879675
18.04855,19.028675
18.11675,19.0533
18.149525,19.1117
18.232925,19.16985
18.26585,19.2727
18.355525,19.35805
18.3637,19.417625
18.455075,19.4528
18.515025,19.511925
18.520525,19.58395
18.541975,19.73745
18.629375,19.82665
18.73055,19.87175
18.943575,19.89205
18.987275,19.91715
19.02885,20.04035
19.07365,20.1321
19.09875,20.17275
19.159825,20.200425
19.181375,20.27275
19.207425,20.315375
19.228975,20.3758
19.267975,20.40745
19.354375,20.485775
19.395075,20.540975
19.413575,20.59245
19.44685,20.656325
19.480175,20.673675
19.51245,20.7397
19.6541,20.769825
19.73195,20.83985
19.7614,20.882825
19.784225,20.918125
19.880275,20.965625
19.921875,20.99915
20.075825,21.0571
20.205875,21.092225
20.2261,21.09895
20.24175,21.115275
20.253475,21.129875
20.50595,21.13625
20.557175,21.14525
20.60785,21.291675
20.622425,21.31875
20.66835,21.355
20.6846,21.3905
20.732825,21.413075
20.779275,21.43965
20.901125,21.471525
20.902825,21.4887
21.077025,21.501175
21.1737,21.5743
21.2417,21.63315
21.291325,21.709575
21.295775,21.778025
21.34145,21.80405
21.375225,21.874875
21.411575,21.92555
21.469075,21.94875
21.533775,22.0017
21.719775,22.037925
21.802225,22.068325
21.949025,22.10155
22.00955,22.1196
22.03905,22.130775
22.043625,22.1757
22.114475,22.21035
22.27605,22.24025
22.302975,22.2756
22.31765,22.310425
22.390975,22.3646
22.462975,22.460125
22.4924,22.492875
22.55625,22.5434
22.576125,22.56745
22.636775,22.591175
22.69695,22.62075
22.724175,22.669775
22.79205,22.692275
22.8201,22.724
22.835225,22.763725
22.870475,22.79035
22.9412,22.792675
22.9831,22.829775
23.021,22.87845
23.055475,22.934225
23.2388,22.96755
23.439375,23.0099
23.4976,23.047325
23.53035,23.093175
23.650075,23.1586
23.67635,23.17565
23.708125,23.2072
23.813175,23.253425
23.91035,23.310425
23.92005,23.35805
24.0139,23.44645
24.10235,23.4647
24.127325,23.49565
24.2949,23.53615
24.309525,23.5689
24.5019,23.617375
24.522625,23.66235
24.65995,23.72125
24.70525,23.7434
24.715125,23.755925
24.7357,23.77665
24.7425,23.8191
24.828625,23.85215
24.893325,23.892525
24.92635,23.945825
25.062125,24.032525
25.406025,24.09375
25.457025,24.11135
25.64715,24.13025
25.696175,24.15285
25.72125,24.193575
25.8212,24.225475
25.835175,24.242
25.844575,24.26305
25.865625,24.319725
25.884275,24.37085
25.8878,24.423025
25.918575,24.4485
25.9822,24.531225
26.015125,24.625875
26.068275,24.65945
26.11325,24.674225
26.413475,24.677675
26.458175,24.715325
26.502575,24.7812
26.613625,24.82975
26.641075,24.85455
26.66285,24.891
26.860025,24.917875
26.94275,24.9486
