SPK_SPKC01a (inhi),SPK_SPKC02a (maybe inhi),SPK_SPKC02b (inhi),SPK_SPKC06a (inhi),SPK_SPKC13a (inhi),SPK_SPKC13b (exc),SPK_SPKC16a (no opto-tagging)
205.846575,202.5012,201.423,201.44535,201.3153,206.92595,204.3398
205.8776,202.5074,201.436875,201.45225,201.32775,206.9671,204.41645
206.016625,202.52255,201.457475,201.459425,201.33555,207.01255,204.47875
206.140275,202.5361,201.4798,201.470975,201.341425,207.35065,204.5108
206.382775,202.58245,201.488975,201.477075,201.349725,207.719325,204.5784
206.40335,202.637925,201.495825,201.50825,201.35905,207.74205,204.60445
206.5862,202.64465,201.502175,201.5216,201.36965,207.9519,204.62955
206.603875,202.6875,201.5232,201.537125,201.383275,207.966775,204.684325
206.615025,202.69675,201.54205,201.546825,201.38845,208.03145,204.715975
206.664175,202.760075,201.549325,201.55635,201.39475,208.087325,204.77875
206.667975,202.7812,201.56345,201.587575,201.4011,208.37215,204.81655
206.709575,202.816,201.570025,201.604425,201.4085,208.4758,204.852675
206.7902,202.823325,201.581225,201.6218,201.414375,208.5219,204.904725
206.99665,202.8372,201.59555,201.634325,201.425025,208.573275,204.943
207.102825,202.84535,201.602375,201.64595,201.433775,208.6225,204.9801
207.341975,202.8805,201.624475,201.659375,201.4443,208.662075,205.018825
207.347125,202.9196,201.633375,201.66685,201.45835,208.70085,205.0983
207.4117,202.94125,201.642075,201.678175,201.4705,208.809225,205.125475
207.55265,202.99715,201.65295,201.69345,201.4906,208.997475,205.151075
207.67835,203.017225,201.664575,201.699475,201.49835,209.046325,205.21165
207.7,203.029075,201.674475,201.718125,201.505575,209.27725,205.215225
207.762,203.06465,201.685625,201.749875,201.513075,209.61065,205.28515
207.891775,203.0932,201.7031,201.765725,201.5248,209.6541,205.28655
207.908675,203.161875,201.709175,201.77875,201.533125,209.66345,205.3001
208.089325,203.18675,201.719725,201.78835,201.53955,210.055425,205.302825
208.1832,203.193775,201.7414,201.808325,201.546525,210.4527,205.36905
208.2051,203.208025,201.75865,201.8169,201.5548,210.474925,205.42155
208.2624,203.24515,201.821,201.824125,201.560725,210.6315,205.490475
208.34145,203.246225,201.84335,201.835625,201.567625,210.72375,205.5879
208.38045,203.295225,201.863925,201.853475,201.573475,210.736525,205.607725
208.3993,203.311775,201.881775,201.86715,201.583975,210.9505,205.650075
208.433075,203.33505,201.89825,201.8784,201.588775,210.991425,205.6655
208.468675,203.366125,201.934775,201.88975,201.59255,211.02615,205.67185
208.53955,203.38105,201.956775,201.899525,201.605675,211.2916,205.702125
208.614825,203.38835,201.981725,201.909275,201.6106,211.452625,205.73605
208.629625,203.453975,202.006175,201.9179,201.615925,211.4858,205.7872
208.679575,203.4674,202.027175,201.93075,201.622325,211.7658,205.80455
208.738975,203.48365,202.044675,201.955725,201.626575,211.773725,205.844825
208.75035,203.5218,202.069675,201.962325,201.631,212.0499,205.900775
209.002125,203.5282,202.09155,201.978275,201.63945,212.20235,205.9307
209.029575,203.560175,202.1037,201.988825,201.643775,212.3075,205.97265
209.0416,203.63965,202.109275,202.006,201.6544,212.461725,205.996775
209.074275,203.7082,202.114425,202.013975,201.661725,212.501475,206.193025
209.231875,203.724475,202.1191,202.0354,201.667275,212.555675,206.219225
209.237475,203.733425,202.1262,202.04445,201.67205,212.62255,206.235175
209.363825,203.7774,202.12965,202.05445,201.67825,212.723925,206.29175
209.3757,203.829075,202.133975,202.055475,201.685975,212.73945,206.350525
209.588325,203.8832,202.137975,202.07625,201.693125,212.77705,206.437075
209.631175,203.897825,202.1421,202.08185,201.699775,212.80705,206.467425
209.675825,203.9367,202.148175,202.0986,201.710475,213.0452,206.4736
209.839625,203.944525,202.1636,202.111375,201.719975,213.146825,206.797225
209.890025,203.957475,202.1679,202.1173,201.73675,213.321725,207.01405
210.2141,204.011175,202.177875,202.126675,201.7686,213.416475,207.12155
210.3812,204.07625,202.187975,202.134875,201.810675,213.54305,207.248825
210.880625,204.0833,202.227275,202.153375,201.829975,213.59415,207.30605
211.21545,204.12325,202.242975,202.161125,201.8524,213.68185,207.3578
211.238625,204.1353,202.24845,202.169775,201.883275,213.700575,207.38715
211.248275,204.138425,202.25985,202.20535,201.90375,213.84565,207.446875
211.2529,204.142575,202.2684,202.221225,201.926325,213.8641,207.456925
211.3343,204.1642,202.273275,202.23025,201.9478,213.911975,207.5116
211.547575,204.21925,202.284325,202.2383,202.04775,213.958075,207.592225
211.552925,204.2248,202.292225,202.261525,202.09385,213.969775,207.62835
211.585925,204.24625,202.3064,202.27465,202.10895,214.102,207.706675
211.59035,204.263525,202.322225,202.285475,202.119575,214.12005,207.807125
211.662575,204.2928,202.336975,202.293425,202.1319,214.1783,207.902325
211.689725,204.312475,202.348075,202.306975,202.148275,214.328075,207.9613
211.691725,204.326375,202.35315,202.32785,202.1577,214.4431,208.046375
211.903325,204.3343,202.3741,202.3618,202.180775,214.474625,208.079775
211.96255,204.35505,202.3813,202.371075,202.1882,214.539775,208.1101
211.9689,204.3634,202.3956,202.4002,202.19275,214.583825,208.1524
212.024125,204.36975,202.41085,202.40755,202.197325,214.81635,208.215375
212.056325,204.397675,202.4218,202.4274,202.2031,215.0144,208.44655
212.08965,204.45635,202.429775,202.434625,202.208925,215.0184,208.466
212.135525,204.545325,202.436875,202.44295,202.216925,215.097875,208.59995
212.184325,204.547175,202.4488,202.451775,202.220925,215.1343,208.6369
212.20805,204.550975,202.4547,202.468425,202.22445,215.15845,208.704575
212.218225,204.552925,202.4609,202.48085,202.2296,215.2006,208.74025
212.259075,204.568575,202.472875,202.490925,202.233175,215.2826,208.84535
212.52825,204.599625,202.4983,202.496475,202.236575,215.379675,208.892475
212.611975,204.68075,202.5058,202.50635,202.2395,215.389725,208.949275
212.811425,204.6825,202.51765,202.52015,202.2425,215.43245,208.99305
212.8254,204.704075,202.52745,202.525675,202.24585,215.453575,209.0107
212.905125,204.705975,202.5375,202.530675,202.249325,215.91355,209.071875
212.912175,204.71465,202.552975,202.5462,202.25465,215.982925,209.128225
