SPK_SPKC01a (excited),SPK_SPKC04a (inhibited),SPK_SPKC09b (excited),SPK_SPKC10b (excitation + inhibition),SPK_SPKC11a (inhibited),SPK_SPKC11b (excited),SPK_SPKC12a (excited),SPK_SPKC13a (excited),SPK_SPKC14a (excited),SPK_SPKC15a (NA),SPK_SPKC16a (excited)
1.856175,0.7849,4.031225,2.425925,4.32075,31.9294,3.282175,10.25965,37.595175,13.304975,11.700025
1.890525,0.799025,4.116025,2.465425,4.36365,31.936575,3.382725,10.88385,37.6344,13.388775,11.93385
1.92105,0.81105,4.1366,2.54535,4.406875,31.9563,3.48695,10.92975,37.68025,13.5647,12.1243
1.943,0.823925,4.18485,2.67785,4.445425,32.211225,3.521175,10.97845,38.489575,13.74205,12.16235
1.968925,0.832975,4.784525,2.76265,4.560475,32.234875,3.565025,11.391,40.05055,13.894225,12.22715
1.99325,0.851,4.851125,2.830625,4.562875,32.289725,3.6012,11.633175,40.142825,14.004875,12.270775
2.0137,0.8583,4.86755,2.8848,4.724625,32.3499,3.627525,12.172425,40.6593,14.07175,12.333125
2.028275,0.872125,4.916175,2.907275,4.755675,32.55365,3.695975,12.25005,40.80305,14.1233,12.4596
2.04905,0.881625,4.96405,2.926525,4.8183,32.803825,3.75265,12.63165,40.88135,14.3156,12.539975
2.0731,0.895525,4.9926,2.953825,4.8564,32.81445,3.801475,12.859475,42.9062,14.44885,12.688725
2.098825,0.910725,5.029075,2.9844,4.9402,32.827875,3.880925,12.904375,42.9518,14.571125,13.409925
2.1287,0.922075,5.556925,3.03825,5.17245,32.91395,3.92575,13.42735,43.347775,14.969575,13.460225
2.173775,0.932,5.57335,3.069525,5.2031,32.963975,3.955675,13.613,43.419375,15.028475,13.506225
2.190575,0.946925,5.606575,3.1804,5.24345,32.9727,3.996175,13.785625,43.73515,15.099725,13.581725
2.20595,0.9598,5.64835,3.268275,5.338325,33.006725,4.01125,13.9883,43.760875,15.450675,13.675
2.22385,0.97335,5.667175,3.355275,5.3451,33.0324,4.034975,14.105175,43.9173,15.4527,13.792925
2.240475,0.98725,5.686525,3.5185,5.407975,33.0575,4.055425,14.137525,44.083625,15.502625,13.82505
2.259575,1.006575,5.701425,3.5677,5.4285,33.080475,4.080225,14.472725,44.4012,15.51525,13.8625
2.285375,1.0198,5.724025,3.616,5.460525,33.0998,4.11595,14.796525,44.51485,15.52535,13.91115
2.313025,1.03575,5.7449,3.63635,5.489475,33.11335,4.135075,15.088225,44.695475,15.54735,13.977375
2.33195,1.050975,5.785325,3.9671,5.5233,33.167975,4.1622,15.18255,44.8754,15.554725,14.00795
2.36265,1.06375,6.083,4.006525,5.594075,33.219225,4.2459,15.390375,45.160325,15.857825,14.077675
2.388,1.077775,6.1538,4.031175,5.64245,33.29385,4.2649,15.929325,45.26855,15.9366,14.154775
2.434775,1.0926,6.29865,4.074125,5.7661,33.333625,4.32075,16.307975,45.368875,16.008075,14.492275
2.466625,1.10475,6.313625,4.116,5.78065,33.34135,4.40685,16.6982,45.40075,16.17085,14.5872
2.4933,1.12005,6.322375,4.13655,5.822375,33.6195,4.4454,16.787125,45.508325,16.2556,14.660675
2.524475,1.1343,6.34525,4.184825,5.8623,33.6459,4.56045,16.936375,45.6653,16.314,14.99275
2.54865,1.146025,6.370225,4.488575,5.91365,33.666725,4.7246,16.980675,45.672475,16.463325,15.078575
2.571725,1.157125,6.38975,4.583325,5.9542,33.753675,4.755675,17.066875,45.786775,16.58335,15.246
2.59915,1.171,6.407175,4.784475,5.9931,33.7994,4.78485,17.15365,46.99405,16.69815,15.4528
