SPK_SPKC04a (NA),SPK_SPKC08a (excited),SPK_SPKC12a (inhibited)
34.94205,14.537325,3.4984
35.0931,14.543125,3.5057
35.10255,14.638125,3.53145
35.155825,14.6491,3.54345
35.28075,14.658825,3.554425
35.30025,14.664925,3.5729
35.48125,14.748175,3.6199
35.706025,14.83375,3.625675
35.7313,14.8579,3.62985
35.853775,15.033825,3.6544
35.89815,15.058625,3.673075
35.92125,15.06545,3.68165
35.958475,15.10025,3.69035
36.0417,15.192925,3.699725
36.052125,15.230725,3.717775
36.059025,15.238425,3.7293
36.83645,15.258425,3.7358
37.097775,15.3022,3.745525
37.1655,15.314175,3.753175
37.168925,15.32865,3.754575
37.2355,15.38105,3.7635
37.28595,15.48055,3.788425
37.59025,15.554275,3.807975
37.62615,15.610575,3.81675
37.842175,15.709925,3.828325
37.847675,15.720775,3.84145
38.3394,15.7373,3.855825
38.364575,15.767575,3.864225
38.412575,15.820775,3.86975
38.433125,15.872625,3.883275
38.5991,15.914425,3.88965
38.693275,15.9623,3.934625
39.197475,15.981675,3.956575
39.2041,16.04355,3.9786
39.6814,16.088925,4.01585
39.807725,16.107525,4.03285
39.889725,16.12065,4.040375
40.1815,16.175175,4.056975
40.608525,16.279725,4.0713
40.705675,16.3301,4.10595
40.80145,16.3672,4.125025
40.8614,16.40295,4.13785
40.956175,16.4202,4.149225
41.067375,16.5013,4.158025
41.073625,16.654475,4.176375
41.101925,16.68225,4.1947
41.716625,16.72075,4.2014
41.8208,16.746725,4.22105
41.825275,16.810125,4.238175
41.855775,16.875525,4.253975
42.054325,16.885925,4.281075
42.6291,16.92565,4.293075
42.631275,16.936525,4.301075
42.690725,17.017825,4.30655
42.916575,17.0204,4.318425
43.17675,17.1309,4.3431
43.31645,17.15515,4.35995
43.3301,17.39255,4.3635
43.37295,17.406675,4.38415
43.39705,17.479775,4.392875
44.052925,17.6667,4.40985
44.35175,17.72375,4.42335
44.45615,17.8451,4.426525
44.551525,17.90855,4.437425
45.16155,17.967825,4.44335
45.417175,17.9942,4.468975
45.432575,18.02485,4.498875
45.46065,18.175475,4.504225
45.462775,18.203375,4.5119
45.51915,18.2217,4.532175
45.541575,18.25695,4.542125
45.70565,18.2841,4.5496
45.9728,18.428725,4.572425
45.9826,18.47635,4.577725
46.1206,18.5545,4.582775
46.467175,18.5774,4.5892
46.578525,18.618925,4.62075
46.6711,18.64145,4.63255
46.688975,18.669275,4.64215
47.08515,18.6775,4.66185
47.100575,18.79175,4.688275
47.103175,18.850225,4.7197
47.635975,18.906325,4.76435
47.660525,18.915,4.765575
47.8491,18.928325,4.783175
48.0895,18.97925,4.7932
48.5747,19.1152,4.7969
48.668975,19.178175,4.815175
48.69035,19.19985,4.839625
49.14305,19.2355,4.851825
49.525825,19.26835,4.872175
49.841325,19.3767,4.88595
50.084875,19.5007,4.895375
50.448375,19.6216,4.907825
50.563125,19.65995,4.9156
50.574525,19.6904,4.928825
50.8931,19.724575,4.9649
50.8993,19.72815,4.981825
50.909625,19.846725,4.99785
51.3275,19.9029,5.00485
51.490725,19.951825,5.022525
51.588125,19.956475,5.03185
51.748325,20.03895,5.062725
51.927475,20.040175,5.0712
52.3783,20.0589,5.0986
52.458325,20.071225,5.132625
52.66705,20.321825,5.142475
52.922225,20.347325,5.16075
52.96895,20.40435,5.172475
53.07105,20.506675,5.1849
53.25095,20.520875,5.197725
53.33035,20.569375,5.20175
53.5977,20.650675,5.238125
53.88215,20.689075,5.2525
53.9641,20.69275,5.26625
54.18275,20.796375,5.282775
54.52105,20.80395,5.303225
54.645975,20.854675,5.315925
54.8043,20.975025,5.34095
54.822675,21.0339,5.4171
54.847425,21.0607,5.4353
54.984575,21.0796,5.452025
55.0351,21.2207,5.47215
55.05015,21.322625,5.54045
55.150125,21.359375,5.546275
55.29635,21.503075,5.563275
55.45355,21.566175,5.5704
55.5437,21.6484,5.572975
55.616675,21.687175,5.592625
55.69965,21.738825,5.621575
55.8136,21.778475,5.650125
56.043825,21.876975,5.657375
56.138425,21.892875,5.669925
56.15125,21.910675,5.702725
56.1848,21.938925,5.736075
56.208125,22.064725,5.74635
56.256825,22.079975,5.759525
56.616675,22.09255,5.772575
56.76835,22.101675,5.7847
56.804025,22.15675,5.80155
57.20085,22.23015,5.829325
57.24875,22.26395,5.84685
57.409825,22.287575,5.864225
57.67325,22.3381,5.880275
58.05995,22.370875,5.904075
58.186125,22.43995,5.917
58.503525,22.586825,5.947775
58.6454,22.58995,5.95615
58.718225,22.756025,5.9939
58.742275,22.77405,6.0173
59.1025,22.807375,6.03845
59.259175,22.84245,6.054125
59.407875,22.87765,6.08385
59.560375,22.898925,6.114375
59.971525,22.9829,6.12585
60.282475,23.1791,6.14965
60.4878,23.197825,6.17055
60.748475,23.216875,6.204125
60.81705,23.2922,6.219925
60.8593,23.32165,6.237475
61.24655,23.429275,6.2916
61.318875,23.44365,6.31725
61.345425,23.566625,6.331525
61.3794,23.62435,6.346025
61.437825,23.6719,6.3764
61.635375,23.7084,6.3963
61.709325,23.849875,6.445725
62.009675,23.909475,6.491975
62.25695,23.926375,6.52115
62.397625,24.006575,6.532475
62.652075,24.0142,6.57385
62.9539,24.074725,6.632425
63.067775,24.101125,6.657325
63.772975,24.1296,6.67595
63.832025,24.185525,6.72485
64.0578,24.23825,6.7587
64.307075,24.29545,6.7816
64.39735,24.3527,6.79525
64.482175,24.454175,6.83275
65.1407,24.491025,6.8752
65.3134,24.524925,6.91235
65.575775,24.55875,6.947325
65.618525,24.6144,6.96455
66.184025,24.66005,6.991575
66.45715,24.661475,7.023175
66.5897,24.77155,7.055825
66.8384,24.78785,7.05695
67.4654,24.885225,7.0768
67.517,24.8909,7.0847
67.87545,24.955775,7.132375
68.487175,25.0747,7.15975
68.992475,25.14865,7.178675
69.76855,25.17215,7.2261
70.145025,25.224075,7.254575
70.236125,25.25605,7.3047
70.4357,25.36745,7.3369
71.420875,25.392625,7.344075
71.564025,25.4312,7.406075
71.6846,25.4371,7.45935
72.04895,25.517,7.4709
72.18225,25.61605,7.47865
72.29915,25.63055,7.512175
72.58775,25.67015,7.528175
72.6964,25.745925,7.547175
72.777,25.7627,7.561475
72.94695,25.798975,7.590025
73.025775,25.962325,7.603875
73.048875,25.978425,7.6399
73.43615,26.08665,7.81785
73.7223,26.1259,7.8729
74.1265,26.1362,7.907625
74.3907,26.175125,7.92675
74.5125,26.23135,7.94375
75.125925,26.250425,8.08325
75.757725,26.269075,8.108225
75.9307,26.285975,8.2154
76.153875,26.3285,8.23235
76.362475,26.42175,8.234525
76.4868,26.5525,8.265975
76.605425,26.561275,8.2957
76.6948,26.607175,8.3117
77.073875,26.6253,8.3283
77.268575,26.87565,8.354625
78.147175,26.914975,8.39765
78.27775,26.9491,8.44065
78.329775,26.996025,8.453225
78.6867,27.0192,8.5188
78.86265,27.0526,8.532575
79.371175,27.141675,8.5385
79.41725,27.14475,8.552625
79.6739,27.1474,8.5577
79.793,27.21705,8.5692
79.8453,27.30945,8.629725
79.893275,27.3183,8.67305
79.996425,27.355175,8.684325
80.272175,27.3925,8.692525
80.32595,27.413075,8.71275
80.6669,27.416825,8.7186
80.68825,27.435475,8.73555
80.7127,27.487525,8.756
80.747,27.542875,8.77305
80.875625,27.6001,8.788825
81.0942,27.625875,8.819725
81.152325,27.651275,8.846925
81.186725,27.726725,8.86325
81.3144,27.856,8.900025
81.33725,27.899975,8.925475
81.3707,27.9262,8.988425
81.4199,27.9517,9.018575
81.7996,27.990225,9.0362
82.0839,28.0178,9.050325
82.13785,28.079575,9.05975
82.271375,28.087275,9.069175
82.42535,28.169225,9.075225
82.75085,28.19625,9.096075
82.898775,28.1993,9.11405
82.919375,28.24995,9.132625
83.20825,28.40465,9.166425
83.286775,28.594825,9.178875
83.582675,28.602725,9.19045
83.68305,28.619475,9.222675
84.0625,28.63025,9.244675
84.18205,28.64725,9.25285
84.2521,28.678875,9.2659
84.287425,28.7126,9.2771
84.5634,29.10735,9.29775
84.7062,29.137025,9.3102
84.77615,29.172425,9.315625
84.999175,29.2574,9.330675
85.08475,29.311,9.401025
85.089725,29.3485,9.408625
85.2786,29.37265,9.433725
85.472125,29.386525,9.467075
85.543175,29.5537,9.5355
85.588075,29.588875,9.56095
85.7707,29.64985,9.56535
85.9003,29.663775,9.56655
86.44275,29.7955,9.57095
86.6527,29.894625,9.577025
86.67045,29.9652,9.5786
86.698825,30.09865,9.608075
86.800625,30.156425,9.63965
86.883775,30.265,9.678025
87.4539,30.380575,9.71925
87.484675,30.4204,9.74245
87.66335,30.4693,9.77075
87.7701,30.553675,9.779925
87.9424,30.58355,9.805
88.126625,30.64525,9.86535
88.334025,30.65135,9.89705
88.698975,30.672825,9.919275
89.22845,30.6742,9.938425
89.53755,30.728225,9.951575
89.66825,30.7729,9.98495
89.7143,30.8252,10.0011
89.72705,30.876175,10.026725
