SPK_SPKC03a (inhibited),SPK_SPKC10a (inhibited),SPK_SPKC10b (inhibited),SPK_SPKC11a (short inhibition),SPK_SPKC11c (NA),SPK_SPKC12a (NA),SPK_SPKC13a (NA),SPK_SPKC16a (NA)
13.299375,17.342125,1.2563,16.253675,1.01725,9.976225,4.176825,47.097
13.328875,17.405375,1.266,16.36015,1.031125,10.426075,4.190675,47.1419
13.331025,17.562725,1.27155,16.396075,1.0484,10.48215,4.2128,47.162575
13.3774,17.7922,1.354825,16.463025,1.061525,10.492,4.24345,47.18825
13.59005,17.8897,1.373575,16.7542,1.07445,10.71365,4.300125,47.20825
13.869175,17.916,1.383225,17.042775,1.088225,10.85165,4.35535,47.230425
13.975575,17.98265,1.415,17.04645,1.115125,10.933925,4.55425,47.246425
14.0366,17.9865,1.432375,17.164425,1.1335,11.028275,4.62495,47.26375
14.159275,18.07735,1.44605,17.25265,1.148775,11.168225,4.66445,47.278375
14.5365,18.165325,1.45405,17.367025,1.15785,11.8019,4.6906,47.31755
14.571675,18.212425,1.456675,17.449875,1.1705,12.361475,4.71215,47.334625
14.616925,18.374025,1.49585,17.48315,1.1778,12.400625,4.72745,47.347275
14.62525,18.519575,1.506675,17.65105,1.183775,12.44435,4.740475,47.361625
14.627825,18.54065,1.52415,17.828075,1.19035,12.496125,4.755325,47.375175
14.8893,18.5701,1.53075,17.835125,1.19475,12.5244,4.79565,47.384975
14.986625,18.5859,1.538325,17.877375,1.20195,12.594575,4.808925,47.3987
15.369375,18.61635,1.578975,18.007925,1.20685,13.210375,4.834025,47.409125
15.372675,18.6267,1.584,18.01725,1.21745,13.336275,4.84465,47.421675
15.4397,18.708425,1.6059,18.07735,1.220875,13.405525,4.8576,47.43065
15.50795,19.21145,1.611525,18.198325,1.225425,13.447325,4.862975,47.444025
15.54035,19.5246,1.616125,18.223875,1.23065,13.56615,4.88075,47.457925
15.628675,19.952675,1.62115,18.310225,1.244225,13.936825,4.9089,47.479275
15.640875,20.0896,1.70565,18.374025,1.256275,14.466325,4.953225,47.5028
15.6436,20.111375,1.721125,18.42945,1.266,14.545825,5.02955,47.5149
16.029275,20.4358,1.736275,18.4822,1.2742,14.60765,5.094475,47.527825
16.0343,20.651775,1.767125,18.5701,1.305975,14.642675,5.159925,47.536
16.16905,20.663175,1.7869,18.721175,1.35485,14.6625,5.345525,47.55
16.22665,20.68455,1.806125,18.750775,1.373575,14.667,5.36955,47.57255
16.463375,20.6939,1.843725,19.17105,1.39495,14.7149,5.41265,47.5834
16.6083,20.804225,1.85785,19.236625,1.4128,14.7586,5.437225,47.59425
16.650225,20.824325,1.871725,19.2914,1.421825,15.18995,5.480825,47.605525
16.721375,20.83755,1.8965,19.3182,1.432375,15.23815,5.5026,47.61455
16.735825,21.2229,1.9082,19.54165,1.454075,15.268925,5.51605,47.628825
16.79945,21.5079,1.924775,19.639125,1.47485,15.378275,5.5498,47.6368
16.80545,21.645125,1.97185,19.7175,1.495875,15.496,5.5832,47.650475
17.2342,22.03565,1.976975,19.79915,1.506675,15.524725,5.6124,47.660225
17.29865,22.222075,1.985875,19.855475,1.516325,15.713225,5.62895,47.669025
17.304225,22.47875,1.9885,20.08195,1.524175,15.9061,5.655125,47.677775
17.4834,22.732175,2.0018,20.117575,1.53075,16.008225,5.67695,47.68525
17.48585,22.7969,2.0113,20.125125,1.54755,16.048975,5.720925,47.693425
17.933575,23.145025,2.018725,20.1618,1.563775,16.149975,5.747825,47.6971
18.023775,23.476675,2.029075,20.252325,1.567175,16.18065,5.788,47.70475
18.9376,23.853925,2.0395,20.66315,1.579,16.32865,5.89505,47.72255
19.598575,24.0537,2.051775,20.765175,1.584,16.36,5.92965,47.731975
19.817,24.12045,2.069225,20.79685,1.605925,16.37345,5.964275,48.057275
19.8224,24.289075,2.092775,20.824325,1.61155,16.3959,5.998925,48.0781
19.8676,24.690175,2.115825,20.84345,1.621175,16.5305,6.03935,48.0971
20.227075,24.83585,2.12535,20.87925,1.629475,16.73925,6.093,48.119225
20.22985,24.853925,2.138175,20.900475,1.652575,16.806925,6.13185,48.130125
20.235275,25.033375,2.15335,20.96455,1.6678,16.86075,6.179925,48.152625
20.24625,25.109475,2.158675,21.004875,1.67895,16.9969,6.248875,48.161925
20.296275,25.33385,2.16835,21.04295,1.680275,17.1228,6.369,48.181425
20.311825,25.775225,2.18945,21.0973,1.693375,17.164375,6.565925,48.20125
20.6127,26.0425,2.208525,21.14685,1.70565,17.222925,6.619925,48.217575
20.6469,26.19935,2.249875,21.174425,1.721125,17.291725,6.6472,48.23245
20.717275,26.492025,2.2516,21.3155,1.736275,17.386225,6.689725,48.24685
20.725875,26.5953,2.2711,21.5575,1.765625,17.406025,6.7509,48.257475
20.728,27.099375,2.2921,21.597025,1.767125,17.55205,6.810375,48.273225
20.76805,27.19345,2.306825,21.6264,1.786925,17.622375,7.018975,48.580675
21.0917,27.203925,2.3201,21.9978,1.8249,17.63525,7.030875,48.628325
21.09395,27.447925,2.326325,22.023825,1.8437,17.77925,7.050975,48.6683
21.10015,27.56925,2.333575,22.062325,1.85785,17.892875,7.066975,48.68975
21.15675,27.587375,2.33945,22.36595,1.87175,17.935925,7.087825,48.71365
21.4155,27.984225,2.37665,22.4652,1.8965,17.948825,7.0951,48.73365
22.105975,27.98555,2.38575,22.47875,1.908225,17.989075,7.120725,48.752975
22.195925,28.1538,2.40935,22.523425,1.924775,18.0077,7.164775,48.7799
22.1983,28.252,2.414825,22.6327,1.94955,18.041325,7.604375,48.793775
22.248675,28.5276,2.427075,22.6569,1.956,18.316475,7.6503,48.816175
22.388975,28.743125,2.44635,22.868625,1.971875,18.4472,7.675825,48.831525
22.474625,28.860075,2.45715,23.140675,1.976975,18.47175,7.69165,48.848275
22.7945,29.254325,2.4669,23.170275,1.9859,18.58815,7.715325,48.867575
22.835,29.30065,2.488225,23.2062,1.993025,18.680475,7.802925,48.8825
23.070725,29.56705,2.4982,23.24515,2.011325,18.721025,7.907625,48.898925
23.085875,29.586925,2.504025,23.29775,2.01875,18.750675,7.988925,48.910575
23.1804,29.759575,2.5179,23.476675,2.0291,18.846025,8.083475,48.9271
23.228925,29.786925,2.5294,23.833375,2.0395,19.11645,8.196225,48.939825
23.280425,30.057775,2.53205,23.83645,2.051775,19.236475,8.281975,48.949425
23.316075,30.06295,2.547875,23.870325,2.06925,19.322475,8.3574,48.963925
23.3314,30.12535,2.55465,24.01345,2.078675,19.409675,8.41385,49.46555
23.6915,30.1357,2.561075,24.298925,2.092775,19.541525,8.429775,49.5401
23.86655,30.197475,2.565225,24.3213,2.101925,19.577175,8.45535,49.5684
24.250925,30.2183,2.572025,24.3333,2.115825,19.6407,8.488075,49.5908
24.286675,30.3097,2.639825,24.361925,2.12535,19.717375,8.539275,49.6113
24.2894,30.42,2.65195,24.380825,2.131025,19.7527,8.577225,49.639175
24.34825,31.36985,2.6628,24.603225,2.138175,19.799025,8.9205,49.6596
24.48895,31.41405,2.674375,24.62255,2.146125,20.124975,9.0281,49.68145
24.8105,31.425375,2.6853,24.84745,2.158675,20.16165,9.067625,49.700175
24.84565,31.612375,2.71985,24.937875,2.16835,20.216375,9.095225,49.7181
24.87865,31.687,2.736175,24.9796,2.17885,20.22765,9.1216,49.737925
24.943775,31.778575,2.74995,25.019675,2.189425,20.246575,9.145775,49.7602
24.946975,32.412825,2.780825,25.082425,2.199725,20.2694,9.15625,49.77895
24.9574,32.60885,2.80045,25.12855,2.21795,20.321025,9.207825,49.796375
25.182475,33.1333,2.825625,25.17825,2.240275,20.584325,9.339275,49.813825
25.25705,33.190875,2.8269,25.2905,2.2516,20.66295,9.36935,49.8332
25.30385,33.2344,2.8624,25.48595,2.26415,20.9644,9.69345,49.8454
25.324975,33.40235,2.90565,25.602075,2.2921,21.042775,9.742675,49.863375
25.3616,33.768075,2.9232,25.738525,2.306825,21.275825,9.76175,49.878625
25.759925,34.287925,2.9484,25.7859,2.320125,21.4509,9.80195,49.894125
25.918825,34.35705,2.957575,25.93095,2.333575,21.49425,9.815475,49.91015
25.962975,34.4509,2.974,26.033225,2.351175,21.528875,9.832275,49.92615
26.2747,34.6667,3.0076,26.132775,2.358,21.626225,9.86735,49.939
26.328275,34.72955,3.0115,26.2699,2.376675,21.7638,9.885125,49.952275
26.4484,35.1002,3.021325,26.44145,2.385775,21.889125,9.888525,49.966275
26.450775,35.149275,3.0362,26.504525,2.40235,21.91695,9.9117,49.97745
26.524175,35.214475,3.039775,26.564875,2.40935,21.940425,9.976175,49.9907
26.7823,35.22975,3.042325,26.666325,2.427075,21.997625,10.370075,50.0041
26.87245,35.563875,3.070875,26.694675,2.434875,22.023675,10.394775,50.0132
26.8857,35.664375,3.082325,26.70775,2.44635,22.096275,10.414475,50.02655
26.887075,35.80225,3.093175,26.7236,2.457175,22.143525,10.42615,50.0406
26.958625,35.916975,3.102925,26.7413,2.46695,22.180725,10.445825,50.052225
27.47465,35.931575,3.158025,26.811025,2.474575,22.189225,10.4821,50.063825
27.82895,36.2672,3.1619,26.929425,2.47985,22.26125,10.7136,50.07815
27.833675,36.320975,3.181575,26.954625,2.48825,22.2686,10.761975,50.0932
29.1201,36.345075,3.19765,27.105625,2.4982,22.3658,10.834575,50.1028
29.15725,36.456575,3.20505,27.193425,2.504,22.3818,10.851525,50.114625
29.191425,36.482075,3.225025,27.352925,2.517925,22.40785,10.8677,50.12565
29.532825,36.583075,3.235425,27.522325,2.5294,22.426825,10.902625,50.13745
29.567525,36.828175,3.257725,27.5612,2.54365,22.57285,10.93385,50.148225
29.57145,36.968525,3.262675,27.675275,2.561075,22.601225,10.9534,50.508525
30.0599,36.99475,3.274275,27.70105,2.57205,22.63255,11.02825,50.54645
30.3677,37.106925,3.306,27.7301,2.57855,22.6567,12.147525,50.5799
30.64845,37.113775,3.322775,27.761325,2.621525,22.692675,12.25535,50.6073
31.7608,37.658475,3.331125,27.810975,2.639825,22.703375,12.2727,50.62685
31.858475,37.884375,3.345625,27.8246,2.662825,22.723425,12.31705,50.646825
32.230675,38.203225,3.35915,27.835925,2.66445,22.74055,12.3427,50.6763
32.355725,38.26125,3.36175,27.8398,2.67435,22.76285,12.361375,50.71085
32.366625,38.332025,3.3644,27.89015,2.736175,22.774625,12.378725,50.738225
32.404325,38.3533,3.3779,27.981075,2.749975,22.8135,12.400575,50.76045
32.7155,38.702425,3.383325,28.077625,2.780825,22.879275,12.444325,50.78655
32.7187,39.0178,3.39025,28.17195,2.800425,22.948625,12.49605,50.81665
33.687825,39.1747,3.399675,28.22945,2.825625,22.97705,12.524325,50.839625
33.693525,39.198225,3.406575,28.3304,2.850625,22.991975,12.5769,50.862675
33.697075,39.320275,3.415225,28.353975,2.8624,23.1405,12.594525,55.153975
34.101925,39.507225,3.4193,28.546825,2.871625,23.1701,12.660775,55.22695
34.139325,39.667825,3.424725,28.57845,2.892775,23.206125,12.68795,55.426275
34.177125,39.688225,3.43845,28.703925,2.90565,23.245,12.70305,55.489025
34.626775,40.005975,3.45265,28.748475,2.9232,23.2863,12.801675,55.53385
35.026025,40.1876,3.4644,28.7864,2.93655,23.5353,12.925075,55.573975
35.02845,40.2434,3.479925,28.8079,2.948375,23.605675,12.971675,55.606875
35.117075,40.395575,3.488625,29.1189,2.957575,23.655725,13.021025,55.625275
35.9248,40.7433,3.492875,29.16385,2.974,23.7988,13.21035,55.648475
35.961325,41.173575,3.517475,29.299525,2.994975,23.813775,13.231325,55.67075
36.385525,41.230775,3.52445,29.37085,3.0115,23.8363,13.2735,55.69275
36.87815,41.272475,3.560925,29.41905,3.021325,24.02555,13.336175,55.72925
37.05455,41.28065,3.5747,29.4786,3.039775,24.230325,13.40545,55.751925
37.27425,41.6708,3.58125,29.503275,3.053125,24.236675,13.42935,55.77965
38.5673,41.732275,3.615425,29.529875,3.070875,24.272925,13.44725,55.8022
38.602925,41.8969,3.67775,29.61515,3.082325,24.298725,13.47555,55.8217
38.6383,41.904675,3.681,29.63235,3.102925,24.30675,13.520475,57.213975
39.8655,42.0648,3.6895,29.667525,3.1279,24.461975,13.558075,57.308525
40.19615,42.13765,3.694825,29.7074,3.142825,24.487925,13.5661,57.380925
40.231225,42.2249,3.70755,29.7312,3.161925,24.509875,13.66875,57.429025
41.888975,42.350625,3.722175,29.75225,3.181575,24.6367,13.718925,57.45425
43.9173,42.42725,3.73605,29.9095,3.20505,24.914025,13.8031,57.495925
44.012525,42.548875,3.756125,29.98645,3.235425,25.08225,13.849225,57.5372
44.154825,42.608225,3.779175,30.093875,3.257725,25.1781,13.907575,57.665725
45.0278,42.6694,3.78895,30.120625,3.2743,25.2091,13.936775,57.70785
45.144225,42.681675,3.802225,30.2141,3.28535,25.290325,13.9695,57.75275
45.224125,42.705075,3.816075,30.402875,3.322775,25.601875,13.99355,57.77835
45.68135,42.8417,3.83,30.4637,3.33115,25.67795,14.0172,57.81005
46.29195,42.856675,3.84655,30.488425,3.34655,25.816875,14.0263,57.8393
46.296425,42.88035,3.887725,30.5044,3.35915,25.850375,14.04745,57.862
46.778375,43.203975,3.89435,30.51685,3.3644,26.0331,14.09555,57.88075
46.83815,43.27355,3.903175,30.550775,3.371325,26.13265,14.176075,57.909925
47.2589,43.2971,3.91265,30.75685,3.38335,26.22795,14.3436,57.9415
47.64485,43.53645,3.936375,30.77645,3.39025,26.267425,14.38265,57.9823
48.040425,43.59585,3.942475,30.80925,3.39505,26.283325,14.43575,57.99785
48.098725,43.69145,3.94565,30.89405,3.3997,26.302875,14.46625,58.020875
48.22215,43.69575,3.9649,31.04415,3.41525,26.33665,14.488475,58.03015
48.26825,43.718425,3.970425,31.1645,3.452675,26.355375,14.50945,58.04005
48.614375,43.806425,3.9768,31.172,3.464375,26.37415,14.520775,58.0702
48.652375,44.470075,3.993475,31.2362,3.479925,26.38595,14.545825,58.09985
48.7282,44.511975,4.004325,31.27135,3.492875,26.425725,14.5554,58.1498
48.9324,44.57685,4.022375,31.4018,3.501275,26.44125,14.56835,58.177525
48.9443,44.6118,4.026,31.44415,3.517475,26.459375,14.586925,58.2063
48.9522,44.65955,4.041375,31.494625,3.52445,26.5044,14.607625,58.233425
48.981575,44.687775,4.0432,31.55,3.544025,26.520475,14.642625,59.7627
49.050975,44.736625,4.06305,31.627625,3.5512,26.666175,14.662475,59.864775
49.36665,44.7627,4.0791,31.661225,3.5609,26.694525,14.666975,59.908025
49.41415,44.78745,4.092225,31.731075,3.5747,26.741075,14.7149,59.93945
49.541775,44.977075,4.1035,31.807875,3.581275,26.7579,14.758525,59.989775
49.550075,45.136125,4.1083,31.8933,3.598625,26.793175,14.820225,60.023575
49.558925,45.2985,4.12515,32.0064,3.605375,26.831625,14.8692,60.05625
49.6179,45.44595,4.138125,32.0142,3.629675,26.8648,14.973625,60.1302
49.75495,45.608725,4.172925,32.032675,3.6352,26.954425,15.007675,60.16465
50.23745,45.61385,4.185075,32.039325,3.677775,27.03355,15.07225,60.23175
50.2546,45.997225,4.198675,32.0979,3.694825,27.105475,15.131475,60.26325
50.2831,46.1146,4.238925,32.1658,3.722175,27.1386,15.1601,60.29575
50.3,46.3853,4.25655,32.3993,3.736075,27.312325,15.189925,62.06815
50.395175,46.556775,4.26875,32.52085,3.756725,27.469475,15.214275,62.4595
50.544225,46.619525,4.281325,32.580575,3.779175,27.53805,15.238075,62.57495
50.546375,46.779275,4.314175,32.6613,3.78895,27.585875,15.25745,62.610025
50.5546,46.797275,4.35055,32.771875,3.80225,27.68345,15.268875,62.6481
50.715475,46.81955,4.36575,32.88795,3.8161,27.700875,15.2906,62.669325
50.72235,46.9713,4.392425,33.171675,3.830025,27.791675,15.315525,62.69935
50.953975,47.04025,4.43715,33.373825,3.846575,27.81085,15.3391,62.73825
50.979425,47.291525,4.4464,33.39475,3.875425,27.83575,15.378275,62.773925
50.9904,47.2959,4.464675,33.443575,3.8814,27.89595,15.389825,62.793925
51.0772,47.7612,4.473225,33.487575,3.887725,27.93985,15.418425,62.82165
51.302075,47.855,4.483,33.51845,3.894375,28.11605,15.439275,62.84305
51.366325,47.939475,4.487975,33.644725,3.903175,28.171775,15.445025,62.872475
51.3894,48.0955,4.51495,33.77315,3.912675,28.21855,15.495925,62.90125
51.397175,48.15585,4.519775,33.941625,3.92795,28.229375,15.5569,62.92655
51.657975,48.21965,4.526275,33.99935,3.936375,28.294925,15.586075,62.961125
51.687275,48.309875,4.53515,34.028125,3.9425,28.330275,15.6402,63.003425
51.7015,48.3813,4.53995,34.14405,3.9649,28.342425,15.671275,63.048175
51.707125,48.531625,4.5555,34.196175,3.97045,28.3538,15.7132,63.073625
51.714375,48.587625,4.56125,34.205275,3.985275,28.367475,15.725025,63.0936
51.763925,48.599325,4.58105,34.4606,3.993475,28.386975,15.77345,63.1198
51.801375,48.60315,4.613575,34.4999,4.00435,28.409775,15.823675,63.14525
51.8262,48.652925,4.622,34.60265,4.022375,28.43395,15.832975,63.16675
51.851525,48.699075,4.634525,34.6145,4.0432,28.49645,15.8599,63.228625
51.9364,48.97695,4.645375,34.620225,4.06305,28.596525,15.90605,63.24775
51.9501,49.014075,4.66335,34.642175,4.0791,28.646675,15.93345,63.26895
52.056925,49.30965,4.6896,34.6563,4.092225,28.703775,16.008125,63.29005
52.42905,49.455425,4.704175,34.729525,4.1083,28.74835,16.0489,63.316475
52.443325,49.572975,4.715175,34.856925,4.12515,28.8668,16.1806,63.342875
52.522525,49.60485,4.73085,34.99505,4.138125,28.9155,16.239175,63.36835
52.57755,49.606075,4.759775,35.211425,4.1553,28.97525,16.25345,63.3923
52.616125,50.294075,4.80595,35.301075,4.17295,29.001775,16.288475,63.41985
52.85485,50.82725,4.809175,35.39315,4.1818,29.0781,16.3286,63.439225
52.905825,50.92735,4.823175,35.450275,4.19165,29.408625,16.359925,63.48735
52.9097,50.95455,4.842075,35.503825,4.1987,29.44055,16.3734,63.50755
52.944075,50.9796,4.851225,35.7089,4.216475,29.455625,16.39585,63.53455
52.975825,50.9907,4.85825,35.7676,4.220825,29.47845,16.4595,63.559625
52.986225,51.427625,4.867775,35.814,4.238925,29.503125,16.530475,63.5869
