SPK_SPKC02a,SPK_SPKC02b,SPK_SPKC06a,SPK_SPKC08a,SPK_SPKC10a
5.8046,23.354325,2.011875,3.1212,1.987275
5.861375,23.39575,2.0305,3.1332,1.993125
5.87535,23.5138,2.0462,3.174425,2.01915
5.975825,23.629275,2.08645,3.229025,2.0261
6.1086,23.9656,2.1026,3.27355,2.04255
6.2321,24.0228,2.12285,3.2936,2.050525
6.305575,24.517425,2.134275,3.318225,2.074725
6.3117,24.65815,2.16415,3.363925,2.08995
6.43685,24.6947,2.185225,3.379025,2.1009
6.590325,24.705,2.21725,3.39025,2.114825
6.6818,25.0352,2.235675,3.398475,2.130025
6.7296,25.9036,2.258925,3.434975,2.1536
6.764075,26.094825,2.2846,3.44285,2.192875
6.8106,26.731275,2.320775,3.49275,2.22185
6.885075,26.9026,2.351475,3.516325,2.269075
6.951775,27.050275,2.370275,3.529175,2.29945
7.034375,27.748125,2.3774,3.5424,2.316375
7.039325,27.7972,2.38955,3.57135,2.348125
7.14785,28.128825,2.396075,3.58515,2.360875
7.165325,28.2005,2.4076,3.604625,2.37415
7.178125,28.282775,2.411675,3.615825,2.38285
7.194225,28.3013,2.415325,3.647075,2.3866
7.211125,28.314025,2.424825,3.66495,2.389675
7.3284,28.320025,2.42895,3.7042,2.3922
7.35175,28.7709,2.456825,3.720075,2.4131
7.42025,28.93455,2.46785,3.73835,2.4179
7.508175,29.149725,2.4828,3.75735,2.4223
7.6724,29.46155,2.494525,3.76925,2.447325
7.731975,29.4757,2.5058,3.781975,2.46765
7.870675,29.601525,2.5279,3.806825,2.4831
7.886475,29.882825,2.5448,3.8234,2.51435
7.9108,29.9452,2.570875,3.853425,2.525575
7.923075,30.155075,2.591175,3.865525,2.549075
7.975875,30.246025,2.640575,3.892275,2.558975
7.987875,30.372725,2.657025,3.910075,2.573775
7.995275,30.41985,2.69425,3.937125,2.58405
8.0439,30.756425,2.714575,3.96905,2.598675
8.1774,30.810975,2.735325,3.988575,2.605025
8.214875,31.20255,2.78685,4.0098,2.6279
8.23595,31.245375,2.81045,4.04595,2.633275
8.264425,31.552,2.843975,4.0765,2.660975
8.387325,31.863675,2.883,4.091925,2.68395
8.4123,31.868725,2.893025,4.10155,2.742775
8.4187,31.8845,2.89945,4.13815,2.753825
8.519075,32.03445,2.91205,4.14585,2.76525
8.571825,32.484175,2.9198,4.1776,2.783175
8.5861,33.093625,2.92815,4.188775,2.847275
8.602775,33.2004,2.932675,4.203225,2.8759
8.6128,33.298125,2.9387,4.23375,2.8981
8.872625,33.3776,2.94775,4.2406,2.907075
8.896975,33.460875,2.9586,4.28585,2.9164
9.032625,34.0696,2.964525,4.299675,2.923475
9.04605,34.086925,2.97705,4.34775,2.928925
9.233025,34.151625,3.010675,4.35805,2.9343
9.38425,34.20385,3.05735,4.3825,2.948775
9.418525,34.3621,3.0862,4.3971,2.96145
9.553,35.0425,3.1223,4.456275,2.96945
9.56645,35.601,3.151075,4.468,2.981
9.6099,36.027875,3.171225,4.484975,2.9901
9.6852,36.172275,3.1906,4.508025,3.00405
9.7485,36.5746,3.21655,4.52045,3.01225
9.75975,36.599025,3.276375,4.546225,3.037575
9.874475,37.177425,3.29615,4.55855,3.0498
10.009225,37.229175,3.31535,4.576175,3.088125
10.07895,37.350375,3.355075,4.598275,3.143475
10.090675,37.570775,3.37945,4.612725,3.1597
10.322625,37.6966,3.3929,4.627,3.178025
10.65165,37.707575,3.4101,4.6502,3.1889
11.00785,37.72295,3.4167,4.671525,3.23165
11.6403,37.904275,3.42365,4.721225,3.281125
12.823325,37.923325,3.4307,4.73845,3.296825
13.0686,38.21015,3.447875,4.7495,3.3069
13.327225,38.318225,3.459725,4.755375,3.31605
13.346025,38.33775,3.471075,4.764575,3.325225
13.374525,38.56405,3.483275,4.776075,3.35595
13.60365,38.82995,3.49045,4.783925,3.3639
13.983725,38.917725,3.518,4.7956,3.37185
14.111225,39.539575,3.537875,4.823575,3.380025
14.43255,39.703175,3.550025,4.856125,3.391075
14.518975,39.815425,3.5706,4.88685,3.396975
14.588075,40.2582,3.586925,4.8999,3.4046
14.785125,40.3941,3.60445,4.977375,3.413875
15.3449,40.515975,3.62295,5.008125,3.42065
15.35505,40.542325,3.65145,5.027325,3.42995
15.4926,40.881725,3.679375,5.063575,3.43685
15.505275,41.0191,3.691025,5.0795,3.444225
15.927675,41.1089,3.71105,5.149925,3.45065
16.162,41.19985,3.73765,5.183275,3.457125
16.26165,41.455775,3.756425,5.2061,3.490725
16.35765,41.68705,3.7704,5.215975,3.500725
16.38415,41.813325,3.779875,5.2549,3.508525
16.407175,41.87485,3.786625,5.2715,3.532225
16.475925,42.173275,3.79705,5.31645,3.56085
16.5055,42.242175,3.80555,5.3422,3.57515
16.601225,42.298475,3.813925,5.4187,3.589775
16.6586,42.49595,3.820975,5.478,3.6094
16.680325,42.659575,3.8344,5.4917,3.7025
16.744425,42.843175,3.8548,5.508075,3.7125
16.990725,43.04775,3.8807,5.538675,3.732875
17.017825,43.117825,3.908775,5.586325,3.74935
17.25535,43.2949,3.931975,5.630175,3.790175
17.29855,43.94155,3.965575,5.677625,3.799025
17.3123,44.1632,3.981725,5.69505,3.80845
17.413,44.310125,4.008975,5.709025,3.822475
17.451375,44.663175,4.025,5.73065,3.8369
17.47555,44.999225,4.071775,5.7654,3.84655
17.724025,45.409025,4.0796,5.7977,3.8599
18.103825,45.4928,4.084725,5.8172,3.88635
18.21415,45.60505,4.0885,5.83165,3.9121
18.300825,45.668975,4.09435,5.844075,3.935975
18.318175,45.7168,4.0978,5.85025,3.958275
18.5967,45.89955,4.101,5.869625,3.996925
18.634225,45.943775,4.108775,5.929625,4.041275
18.648,45.9937,4.119875,6.0049,4.085475
18.76315,46.1765,4.132925,6.028825,4.10025
18.806075,46.217825,4.138725,6.072825,4.111575
18.8377,46.366575,4.154075,6.090825,4.1227
18.8559,46.8478,4.163975,6.12285,4.130425
18.87455,46.998775,4.17755,6.153775,4.136275
18.93595,47.027325,4.188075,6.1704,4.144175
18.94125,47.5635,4.1958,6.225125,4.16805
18.9906,47.8995,4.21085,6.261225,4.17895
19.041825,47.907725,4.224,6.273525,4.183925
19.138875,48.219375,4.247925,6.28985,4.195575
19.149225,48.5627,4.2678,6.35775,4.207125
19.192525,48.662525,4.28495,6.4011,4.2216
19.891225,48.953625,4.305575,6.4209,4.232975
19.98985,49.21585,4.324275,6.433075,4.24425
20.473325,49.3253,4.354475,6.437725,4.26035
20.531075,49.3521,4.369675,6.443075,4.272875
20.536325,50.20685,4.383575,6.456025,4.28925
20.551975,50.46355,4.396625,6.4772,4.3008
20.6979,50.665575,4.407425,6.487425,4.3152
20.7741,52.30265,4.41995,6.51235,4.336325
20.81975,52.334775,4.456,6.5531,4.374525
20.91325,52.5169,4.47645,6.567225,4.39
20.961975,52.664125,4.507125,6.583575,4.416375
20.9988,53.200375,4.5332,6.6187,4.446425
21.091,53.2416,4.566425,6.63485,4.4802
21.1397,53.60945,4.583725,6.649725,4.5213
21.330525,53.8227,4.621775,6.70205,4.5474
21.691725,53.859075,4.649725,6.725775,4.57645
21.704925,54.063275,4.671525,6.75825,4.59725
21.7508,54.646625,4.683675,6.768375,4.636875
22.3149,55.039425,4.70215,6.777575,4.6892
22.468325,55.096425,4.7255,6.79945,4.71425
22.930575,55.195,4.74215,6.80605,4.725625
23.1094,55.259575,4.75385,6.816875,4.7363
23.273875,55.334025,4.7658,6.871675,4.7423
23.294975,55.52505,4.769425,6.88895,4.75435
23.306375,55.558125,4.77665,6.917525,4.758925
23.3121,56.0477,4.78555,6.93165,4.76455
23.50035,56.073225,4.792725,6.933275,4.769475
23.78445,56.096825,4.799775,6.95705,4.774775
23.79585,56.199225,4.80705,6.979675,4.78215
