SPK_SPKC03a,SPK_SPKC08a,SPK_SPKC09a,SPK_SPKC09b
3.298775,17.647525,32.4684,3.078275
3.318025,17.699025,32.539325,3.0872
3.340525,17.826125,32.632075,3.096375
3.363175,18.06075,32.647125,3.103925
3.377975,18.099875,33.13205,3.116275
3.3957,18.104575,33.208025,3.12475
3.430375,18.250975,33.706575,3.1309
3.452125,18.30915,33.7161,3.138425
3.465575,18.362725,33.7394,3.152225
3.5169,18.468525,33.86105,3.16205
3.532775,18.5414,33.9307,3.181675
3.5585,18.73805,33.977525,3.19385
3.578625,18.741225,34.081175,3.2075
3.602175,18.8564,34.225825,3.21925
3.62565,19.069175,34.8711,3.23765
3.6492,19.099775,35.549725,3.24985
3.671275,19.16635,35.698575,3.262025
3.6939,19.211125,35.8008,3.279425
3.70895,19.276925,36.055775,3.292925
3.724825,19.333575,36.095225,3.3043
3.731075,19.361575,36.514875,3.32315
3.74375,19.495375,36.988625,3.33915
3.759025,19.699375,37.367275,3.3492
3.771675,19.701425,37.514675,3.361675
3.790075,19.7562,37.531175,3.37425
3.838425,19.87345,37.541475,3.404875
3.85665,20.066375,37.572575,3.434225
3.883875,20.113375,37.6847,3.458325
3.93295,20.1516,37.716625,3.511725
3.95,20.185325,37.7658,3.550625
3.9737,20.22375,37.838675,3.59235
3.9936,20.27525,37.888675,3.690175
4.013125,20.3549,38.428525,3.706875
4.034525,20.358875,38.65295,3.7163
4.052775,20.484525,39.012325,3.7413
4.075425,20.66415,39.544975,3.775375
4.088575,20.688425,39.782425,3.795775
4.112425,20.731775,39.854875,3.8132
4.1373,20.802275,39.955175,3.83105
4.18415,20.859725,40.129075,3.846325
4.202375,21.165675,40.3044,3.85495
4.2229,21.2592,40.354325,3.880925
4.239225,21.30705,40.38795,3.890825
4.254475,21.416775,40.527275,3.919225
4.273825,21.4279,40.74115,3.9325
4.2907,21.4681,41.203575,3.960375
4.32745,21.728925,41.345425,3.971875
4.344525,21.7799,41.467525,3.9917
4.352425,21.78975,41.48935,4.037325
4.374175,21.802075,41.54595,4.0636
4.382325,21.89025,41.7053,4.08995
4.396725,21.911,41.842025,4.1051
4.40745,22.1357,41.880225,4.1725
4.435625,22.29095,41.9492,4.199875
4.459625,22.35435,41.984975,4.219375
4.481825,22.390075,42.03595,4.328275
4.515025,22.39565,42.140325,4.382225
4.52975,22.5183,42.19625,4.40435
4.57275,22.540025,42.308475,4.42805
4.59435,22.55515,42.526825,4.436725
4.616625,22.583725,42.5637,4.45155
4.633425,22.67515,43.15665,4.46385
4.6593,23.08505,43.196925,4.4812
4.673575,23.146125,43.462025,4.492525
4.69195,23.22705,43.539125,4.506225
4.7117,23.242,43.741,4.514475
4.74595,23.308425,43.784725,4.5327
4.759525,23.346625,43.8106,4.5437
4.776925,23.5886,43.87715,4.571775
4.807725,23.65855,44.1126,4.581175
4.827225,23.7585,44.339175,4.594925
