SPK_SPKC02a (short excitation),SPK_SPKC05a (no effect),SPK_SPKC07a (no effect),SPK_SPKC09a (no effect),SPK_SPKC11a (no effect),SPK_SPKC11b (no effect)
31.30125,151.298075,24.407125,191.7426,2.925825,40.953575
31.3468,152.5283,25.047525,192.060175,3.166725,40.980625
31.551125,153.902975,25.0748,194.083525,3.1964,41.347025
31.82605,154.1475,25.344925,196.49915,3.21465,41.6883
31.9102,154.208525,25.348075,197.85155,3.2308,42.44625
31.92895,154.82695,25.532775,198.18315,3.24975,43.008225
32.05775,155.1758,25.605775,199.724875,3.259025,43.013775
32.206675,156.630375,25.6701,199.7789,3.27475,43.6072
32.27065,157.044475,25.74945,199.834675,3.283025,43.636925
32.37035,157.727175,26.0376,200.30095,3.28935,44.165475
32.45215,157.96905,26.3431,202.11595,3.29565,44.4103
32.468775,158.11205,26.9327,206.56145,3.297825,44.687675
32.499125,158.46325,26.99895,207.662675,3.3054,45.145875
32.658,160.10825,27.4637,207.943975,3.316475,46.4816
33.0385,160.1492,27.679575,208.805325,3.343425,46.54285
33.0514,160.849225,27.7005,210.457775,3.361875,46.6555
33.18825,161.158675,27.722475,210.777825,3.37765,47.074225
33.20905,161.646,27.777075,211.82225,3.395125,47.18445
33.370275,162.42095,28.18075,212.36745,3.430775,47.270675
33.49885,164.850775,28.209375,217.021475,3.4492,47.80405
33.667925,165.988225,28.766225,217.928775,3.54235,47.8502
33.76195,166.0745,28.87905,218.879925,3.65785,48.23725
33.781325,167.967075,29.21015,219.5401,3.697575,48.7599
33.873875,169.2314,29.3257,219.55715,3.712475,49.320925
33.94035,170.6551,29.44735,219.747725,3.724325,52.85555
34.245925,175.304,29.6875,220.185575,3.757075,53.07865
34.645975,176.073575,29.91945,223.4197,3.772275,54.213225
34.9674,178.200075,29.9662,225.82015,3.7827,54.251425
35.068175,179.30425,29.9887,227.948075,3.813675,54.389675
35.21945,179.3508,30.6597,228.675275,3.8262,54.612075
35.3439,180.403525,30.71495,228.9484,3.83865,54.6226
35.905325,180.940575,30.72665,230.0117,3.862625,54.6516
35.95735,182.339675,31.2184,230.428475,3.875775,54.7232
36.128975,183.39105,31.44835,233.7033,3.95365,54.9255
36.1581,184.246425,31.544325,234.457075,4.012275,57.092975
36.1931,184.575725,31.711225,235.20955,4.070275,57.857625
36.479075,184.6042,31.91,235.585725,4.13085,58.769825
36.92465,185.806225,32.20705,236.475325,4.284,59.29825
37.011925,186.129225,32.302225,238.05145,4.349975,59.337425
37.07375,186.7331,32.543175,241.064875,4.382575,59.83285
37.12635,188.15235,32.5663,241.2462,4.39425,60.7151
37.1676,188.984225,32.987975,241.731825,4.40305,61.361875
37.3901,189.06415,33.0399,242.1881,4.422175,61.54205
37.7033,190.942725,33.585675,242.48335,4.4306,61.615075
38.0851,195.831725,34.100775,242.83955,4.4384,61.6254
38.410325,196.4126,34.141525,243.60335,4.451975,61.688875
39.091125,197.0393,34.319875,244.162325,4.465675,61.988675
39.378325,197.862575,34.6086,244.700575,4.47585,62.0137
39.406175,197.9837,34.66705,244.7871,4.483325,62.304275
39.464925,199.211475,34.922,245.2193,4.50485,63.06445
39.47595,201.183175,35.243075,245.995825,4.539375,64.13605
39.65655,201.904,35.70305,248.71435,4.574775,65.3006
39.71425,201.921075,36.1371,249.432025,4.59075,65.3035
39.8443,202.747175,36.253825,249.661725,4.63465,65.923375
39.8904,204.179125,36.29185,249.701575,4.7563,65.937675
39.9052,204.850425,36.54265,250.56165,4.8358,66.0621
40.3359,204.993575,36.859875,250.57865,4.89375,66.6744
40.487075,205.233825,37.0983,251.16385,4.92495,67.03535
40.542875,205.5702,37.297275,251.70695,4.945875,67.265975
40.84785,205.8156,37.480875,252.75095,4.955725,68.236375
41.033775,206.4755,38.187175,252.788375,4.99115,68.3527
41.22275,207.13495,38.8123,254.7951,5.003575,68.983925
41.31955,207.16735,39.08745,254.834475,5.0178,69.600325
41.372775,208.32885,39.383775,255.7394,5.042825,71.1888
41.687425,208.42975,39.63275,257.579125,5.08445,71.894975
41.700825,209.251225,39.8515,258.028675,5.102,72.075875
41.77845,209.5109,40.36055,258.38975,5.1264,72.300875
41.887675,209.8874,40.3758,258.67885,5.154025,73.116725
42.2207,210.839525,40.80185,259.40135,5.216525,73.256475
42.26165,211.426275,41.3128,259.403825,5.282375,73.2597
42.275525,212.868,41.339625,260.050825,5.405675,74.6107
42.290875,213.284725,41.82585,262.3393,5.4102,75.3477
42.29735,214.99075,42.2197,263.2609,5.4183,75.565575
42.409375,216.429825,42.416125,263.5514,5.42295,75.939925
42.49095,216.67985,42.6767,263.704175,5.4329,75.963425
