SPK_SPKC06a (no effect),SPK_SPKC09a (excited),SPK_SPKC11a (no effect),SPK_SPKC11b (excited),SPK_SPKC13a (no effect),SPK_SPKC14a (no effect),SPK_SPKC15a (excited)
236.556375,127.679175,84.119625,119.635125,101.85765,50.283725,208.09995
236.643675,127.6909,84.167,119.783975,101.964,50.2978,208.162975
236.812475,127.72215,84.1866,119.797425,102.004025,50.333925,208.21625
236.92215,127.753925,84.196975,119.815225,102.0328,50.34055,208.24705
236.97055,127.772525,84.20375,119.8444,102.0811,50.348025,208.307675
236.98955,127.80995,84.25905,119.94065,102.086925,50.3556,208.32605
237.077575,127.8245,84.3185,119.98075,102.12305,50.3857,208.367
237.08615,127.83645,84.3254,120.0324,102.1625,50.391175,208.3866
237.147225,127.879975,84.337025,120.038325,102.21085,50.396375,208.42365
237.2718,127.9066,84.38705,120.067425,102.235025,50.426825,208.57375
237.3533,127.92495,84.435325,120.102525,102.288525,50.44665,208.606
237.448,127.947425,84.446675,120.1359,102.310375,50.48805,208.655625
237.5793,127.9615,84.4559,120.17855,102.350575,50.50465,208.782475
237.616375,127.976875,84.4864,120.2239,102.45215,50.509875,208.874
237.7356,127.996575,84.4926,120.2652,102.493325,50.5148,208.9068
237.829425,128.009475,84.508675,120.289225,102.556125,50.537025,208.93235
237.872325,128.023675,84.528225,120.406475,102.593425,50.5431,208.9341
238.023875,128.033275,84.5622,120.446025,102.6254,50.550625,208.954275
239.167575,128.040075,84.5837,120.51645,102.6994,50.616075,209.139775
239.6773,128.071525,84.591975,120.542925,102.7666,50.6478,209.247
239.687825,128.080125,84.609225,120.611875,102.775775,50.68225,209.30585
240.411525,128.08665,84.6524,120.63365,102.800725,50.702875,209.332875
240.550975,128.095225,84.709625,120.765025,102.831175,50.716125,209.407475
240.7599,128.1241,84.71885,120.847375,102.8949,50.730425,209.432425
241.02365,128.14355,84.752525,120.8833,102.920725,50.743425,209.6103
241.1433,128.165275,84.75665,121.005575,102.951175,50.756825,209.65055
241.346575,128.187225,84.76325,121.232225,102.968275,50.766525,209.673975
241.507625,128.211525,84.8362,121.349875,103.097875,50.79085,209.712125
241.673525,128.23845,84.9961,121.377825,103.107,50.82795,209.714475
241.843425,128.284275,85.052275,121.439475,103.13975,50.835175,209.721625
241.8634,128.29455,85.101075,121.5483,103.1573,50.85425,209.7459
241.8848,128.297075,85.111225,121.72865,103.29245,50.869075,209.760825
242.0482,128.329325,85.147025,121.81185,103.3397,50.94035,209.784125
242.748575,128.355575,85.22275,121.84135,103.36375,50.959875,209.852425
243.32435,128.36585,85.31475,121.875275,103.3814,50.975375,209.92015
243.488225,128.476775,85.333175,122.054,103.409225,51.023025,209.94685
243.804075,128.50275,85.39205,122.088825,103.512,51.040425,209.95655
244.085525,128.535575,85.4124,122.151475,103.532,51.059825,209.9927
244.17345,128.578275,85.46945,122.209125,103.61735,51.072025,210.20975
244.225875,128.607825,85.557025,122.252875,103.620575,51.079625,210.33075
244.252175,128.635625,85.5748,122.313025,103.672125,51.103675,210.387975
244.276175,128.6606,85.587675,122.3359,103.752075,51.112725,210.400075
244.2939,128.6754,85.626,122.353175,103.786525,51.120975,210.409625
244.299175,128.71205,85.665725,122.544875,103.85835,51.133875,210.492225
244.419125,128.733125,85.69835,122.581125,103.874275,51.142725,210.51415
244.5467,128.75785,85.7047,122.609925,103.896625,51.15385,210.5502
244.64965,128.787375,85.718625,122.63325,103.95135,51.15875,210.5788
244.65465,128.81845,85.76325,122.68695,103.95955,51.1847,210.6453
244.754525,128.84255,85.808125,122.72375,103.991175,51.204675,210.66255
244.7983,128.859425,85.84685,122.950775,104.00945,51.247875,210.670475
244.824075,128.879275,85.877025,122.97705,104.030525,51.276675,210.708875
244.957175,128.8986,85.9474,122.9792,104.05025,51.29385,210.7488
245.024825,128.92185,85.959275,123.00125,104.11025,51.319525,210.8352
245.06005,128.942625,86.018,123.046275,104.171425,51.32675,210.866075
245.11135,128.952075,86.02375,123.1272,104.1947,51.333225,210.8765
245.149125,128.96265,86.189225,123.19605,104.2315,51.3397,210.89905
245.3595,128.97855,86.2045,123.2339,104.2508,51.389625,210.9217
245.38455,128.98885,86.2989,123.27615,104.271075,51.433525,210.922725
245.47425,129.00845,86.308725,123.3076,104.29895,51.4582,210.954575
245.481625,129.0275,86.339575,123.3585,104.32795,51.4733,211.060575
245.54265,129.1014,86.36895,123.407675,104.36255,51.489875,211.0867
245.6641,129.1399,86.4034,123.468175,104.45105,51.508475,211.116075
245.778375,129.15915,86.431875,123.523375,104.46395,51.595075,211.33195
245.86245,129.183675,86.45545,123.54105,104.4966,51.619,211.356175
245.909,129.211575,86.46005,123.664725,104.5065,51.634475,211.497725
246.000175,129.23805,86.464225,123.793775,104.52365,51.650375,211.52445
246.0507,129.248725,86.517275,123.825525,104.5798,51.67295,211.540975
246.2115,129.259725,86.631275,123.86475,104.5935,51.692675,211.599325
246.306225,129.3458,86.6584,124.1265,104.606125,51.70955,211.67
246.405175,129.3574,86.697075,124.15345,104.642475,51.7283,211.720225
246.466125,129.36815,86.707425,124.200825,104.725325,51.758175,211.7438
246.490325,129.375875,86.713675,124.290775,104.729575,51.774375,211.7536
246.621875,129.392575,86.7339,124.379475,104.7547,51.786925,211.795225
246.669775,129.43795,86.749,124.459825,104.797225,51.80525,211.85575
246.708925,129.46115,86.765675,124.495275,104.84475,51.821825,211.87165
246.754825,129.474925,86.774625,124.525425,104.859875,51.84875,212.001625
246.794325,129.485875,86.7906,124.542775,104.87175,51.88315,212.02715
246.861775,129.529525,86.7934,124.565,104.912575,51.8984,212.093575
246.982225,129.5511,86.834775,124.6528,104.94475,51.91645,212.1033
247.015125,129.57165,86.91665,124.705625,104.9772,51.969075,212.1124
247.0336,129.593625,86.94315,124.7345,104.9945,51.982575,212.249575
247.092175,129.63875,87.038825,124.924325,105.061725,52.00475,212.26285
247.12035,129.665425,87.05505,124.959975,105.070825,52.014775,212.3228
247.22485,129.675475,87.063675,124.996475,105.108475,52.045725,212.331
247.437825,129.691225,87.0982,125.029925,105.145925,52.0993,212.3641
247.559475,129.7074,87.173975,125.168325,105.16355,52.1234,212.380425
247.62305,129.721225,87.23235,125.2346,105.213225,52.214125,212.410475
247.6667,129.731975,87.235825,125.31275,105.236975,52.235875,212.588375
247.72935,129.75315,87.298225,125.34795,105.263575,52.26605,212.602975
247.754075,129.7683,87.3214,125.3502,105.2955,52.2792,212.621525
247.902675,129.7846,87.342675,125.413425,105.32145,52.301375,212.691
248.233275,129.7882,87.357075,125.520075,105.4296,52.3189,212.83835
248.32345,129.8041,87.36775,125.601875,105.4457,52.373025,212.8517
248.5286,129.838675,87.4134,125.65085,105.545825,52.4007,212.947775
248.727675,129.86315,87.42355,125.687475,105.570725,52.414,213.016375
248.837325,129.867475,87.4315,125.756525,105.5857,52.428975,213.039625
248.880925,129.885475,87.4562,125.775575,105.626875,52.4414,213.142325
248.94115,129.9069,87.457375,125.826975,105.696325,52.4589,213.173775
249.06705,129.95285,87.4657,125.890925,105.72415,52.4702,213.254275
249.148825,129.965375,87.5,126.01015,105.785225,52.5129,213.442275
249.24145,129.985325,87.9176,126.0546,105.865525,52.529275,213.573075
249.351075,129.997475,88.021875,126.061125,105.912725,52.5513,213.596225
249.56895,130.0038,88.026775,126.19195,105.938425,52.5661,213.606525
249.6758,130.01575,88.0973,126.23685,105.9683,52.592025,213.62565
249.896275,130.0233,88.111575,126.25235,106.0486,52.6112,213.6456
250.12765,130.02965,88.116375,126.32065,106.070675,52.639875,213.67515
250.6505,130.054975,88.2446,126.382075,106.147875,52.650375,213.705375
250.9512,130.10165,88.24965,126.418275,106.1827,52.659425,213.71425
250.958925,130.1394,88.2521,126.442275,106.209375,52.66625,213.726175
251.02535,130.1483,88.25875,126.489475,106.23615,52.68265,213.73775
251.0956,130.1609,88.273675,126.5302,106.26075,52.70635,213.75075
251.224825,130.187875,88.31495,126.604325,106.350225,52.717675,213.771475
251.5115,130.2108,88.399025,126.843,106.38915,52.7514,213.8111
251.814925,130.239675,88.509875,126.906675,106.41185,52.781025,213.824225
252.05495,130.254975,88.52505,126.96175,106.42775,52.792,213.847325
253.02445,130.271825,88.56885,127.016075,106.480175,52.80015,213.857
253.0327,130.31035,88.597575,127.165675,106.4958,52.8213,213.87095
253.038475,130.3276,88.6924,127.274075,106.510625,52.85405,213.8915
253.1619,130.357075,88.756725,127.3618,106.54495,52.90115,213.902325
253.18155,130.380025,88.8583,127.59925,106.6075,52.929675,213.92635
253.185975,130.41955,88.946675,127.66175,106.671175,52.945075,213.9445
253.3667,130.446075,88.990975,127.6716,106.693075,52.966375,213.95375
253.5655,130.51685,88.993625,127.70145,106.77005,52.97835,213.98615
253.6668,130.5339,89.03365,127.75925,106.787975,53.01135,214.002825
253.7421,130.55015,89.1482,127.8019,106.8513,53.02745,214.16385
253.774525,130.56225,89.229275,127.898925,106.88585,53.05225,214.21375
253.829,130.572,89.23545,127.9162,106.9074,53.094975,214.23165
253.9128,130.587,89.277275,127.934,106.934375,53.117575,214.27465
254.028475,130.6071,89.343975,128.04245,107.001875,53.142525,214.356
254.148475,130.648725,89.390925,128.158125,107.0673,53.1963,214.377825
254.22235,130.662375,89.42335,128.21855,107.0775,53.20955,214.392475
254.28525,130.675625,89.438275,128.355625,107.10695,53.251025,214.42635
254.377375,130.69185,89.651625,128.387,107.129075,53.284625,214.4737
254.444525,130.74805,89.747225,128.475175,107.156375,53.3136,214.537325
254.501175,130.76485,89.7808,128.60425,107.18965,53.343475,214.542775
254.553575,130.797575,89.806175,128.686925,107.22155,53.397,214.562775
254.640225,130.8187,89.8222,128.710325,107.238475,53.416975,214.568075
254.7291,130.887975,89.971225,128.7194,107.257025,53.433375,214.573425
254.816525,130.93245,89.9813,128.74345,107.301875,53.4427,214.6092
254.8972,130.957875,90.011725,128.94565,107.399475,53.4627,214.61545
254.923375,130.99325,90.1103,128.979075,107.423775,53.4959,214.628025
255.089825,131.044425,90.209575,128.996275,107.46935,53.501825,214.721725
255.227725,131.12555,90.2438,129.09535,107.537275,53.5064,214.744725
255.4574,131.1736,90.26415,129.2234,107.57455,53.5174,214.803875
255.573725,131.184625,90.267025,129.2512,107.603025,53.54275,214.893325
256.10865,131.196075,90.276225,129.269975,107.68315,53.572475,215.02655
256.237175,131.203225,90.3119,129.364275,107.729425,53.59325,215.056475
256.431325,131.214275,90.3368,129.677775,107.813175,53.627375,215.1704
256.89285,131.23315,90.34735,129.7927,107.84125,53.658325,215.1815
257.846675,131.29415,90.385425,129.824325,107.879775,53.697075,215.237475
257.947425,131.360275,90.38655,129.847275,107.909525,53.729575,215.277275
257.98245,131.389775,90.3928,129.886625,107.9636,53.76575,215.38255
258.082575,131.4206,90.4065,129.938225,107.989225,53.7844,215.3983
258.139875,131.45345,90.45235,129.98025,108.040375,53.8059,215.4697
258.3594,131.4745,90.5175,130.089375,108.058125,53.82555,215.5494
258.376175,131.50455,90.551625,130.1478,108.0728,53.84475,215.553525
258.39915,131.53315,90.5762,130.168825,108.124125,53.8798,215.64385
258.430275,131.589275,90.6175,130.18565,108.1492,53.894075,215.7071
258.44745,131.60515,90.9031,130.213825,108.17745,53.991325,215.762975
258.456,131.624025,90.90935,130.3228,108.2066,54.0392,215.846975
258.460925,131.641875,90.949675,130.34915,108.23825,54.064925,215.8926
258.6269,131.661025,90.9753,130.54025,108.2475,54.109125,215.8963
258.69195,131.685525,91.0294,130.561225,108.3385,54.16205,215.946825
258.703375,131.7208,91.0384,130.583125,108.358275,54.18525,215.982875
258.772175,131.77885,91.0404,130.62995,108.40095,54.204175,216.077325
258.8513,131.81395,91.360925,130.65575,108.426675,54.216425,216.115225
258.88025,131.83625,91.414975,130.69935,108.44635,54.230725,216.155525
258.9063,131.865925,91.4534,130.852475,108.4973,54.2579,216.165175
258.974225,131.899275,91.4877,131.176925,108.546825,54.2863,216.2137
258.999175,131.929975,91.49925,131.195225,108.586725,54.3182,216.273375
259.021625,131.9462,91.622325,131.223825,108.611475,54.36385,216.320775
259.05845,132.020225,91.6429,131.37175,108.6455,54.383375,216.3909
259.11215,132.16425,91.644,131.3979,108.6925,54.4204,216.56445
259.170875,132.1936,91.7788,131.4748,108.737825,54.472125,216.64085
259.2539,132.197825,91.7869,131.526875,108.763125,54.504025,216.78365
259.386625,132.216,91.819025,131.6925,108.835725,54.523075,217.025125
259.4411,132.239675,91.8222,131.758825,108.87675,54.56515,217.082475
259.490225,132.288025,91.8312,131.87065,108.918725,54.61905,217.10705
259.5521,132.3181,91.834425,131.897175,108.952975,54.6518,217.1598
259.5882,132.339675,91.849375,131.931125,109.010575,54.69335,217.180625
259.831125,132.374975,91.974025,132.18355,109.023325,54.73615,217.201975
259.966275,132.39225,92.041875,132.199,109.066925,54.75935,217.217325
260.016925,132.3975,92.0447,132.212225,109.071025,54.77685,217.22185
260.14605,132.403925,92.282425,132.2414,109.095825,54.809075,217.23415
260.248525,132.428125,92.29775,132.326775,109.1268,54.8226,217.28645
260.507675,132.468425,92.331575,132.3921,109.15395,54.882225,217.335075
260.5817,132.482975,92.3774,132.43995,109.1696,54.9126,217.360875
260.681325,132.507575,92.440475,132.546225,109.1835,54.943975,217.6284
260.77995,132.518925,92.4549,132.5735,109.184625,54.973825,217.649625
260.8305,132.523,92.471125,132.8422,109.1895,55.0154,217.78885
260.85385,132.5327,92.492825,132.990275,109.198375,55.030975,217.811575
260.8915,132.562175,92.557925,133.04145,109.2283,55.045,217.855375
260.981725,132.57935,92.5975,133.29305,109.265,55.06565,217.988225
261.001625,132.6145,92.606725,133.342075,109.28505,55.07935,218.0503
261.1712,132.648175,92.622275,133.3633,109.2864,55.111225,218.065675
261.240225,132.662825,92.637925,133.432225,109.369425,55.131975,218.0729
261.281925,132.67155,92.654175,133.528975,109.401875,55.14455,218.0951
261.311525,132.678225,92.6622,133.6175,109.458025,55.15915,218.144425
261.3233,132.691525,92.76805,133.68775,109.496575,55.18545,218.1622
261.4546,132.711275,92.833425,133.731125,109.510775,55.2072,218.243525
261.62875,132.745075,92.876075,133.7793,109.5251,55.227775,218.281825
261.68795,132.819525,92.884425,133.826175,109.561,55.24425,218.2889
261.75595,132.857075,92.927425,133.863975,109.57975,55.269475,218.295475
261.77095,132.89545,92.946475,133.928925,109.615075,55.30455,218.3024
261.926,132.947275,93.0126,134.072875,109.6374,55.316325,218.3395
262.006125,133.005725,93.049475,134.19995,109.6654,55.346125,218.34955
262.053925,133.022175,93.0858,134.2395,109.6999,55.379075,218.36905
262.1628,133.05405,93.1374,134.303225,109.723575,55.451475,218.3955
262.229125,133.07695,93.165625,134.469075,109.7765,55.484975,218.51005
262.5402,133.09775,93.17615,134.5085,109.792175,55.511125,218.5656
262.5745,133.130525,93.200425,134.536375,109.8445,55.5677,218.63075
262.60685,133.17025,93.237875,134.5867,109.8702,55.602275,218.670075
262.941375,133.193025,93.42635,134.656675,109.878025,55.615575,218.67685
263.459875,133.2134,93.49005,134.66615,110.00195,55.6491,218.724225
263.67885,133.2869,93.52755,134.676425,110.0332,55.67375,218.772225
263.768375,133.31455,93.54485,134.693375,110.059775,55.711725,218.813725
263.838175,133.34985,93.56005,134.73295,110.08385,55.751375,218.848125
264.06345,133.38165,93.562875,134.764775,110.10905,55.795875,218.87655
264.127175,133.420325,93.615275,134.850675,110.1239,55.8224,218.90545
264.518175,133.433325,93.63635,134.885425,110.1385,55.84495,218.9101
264.67435,133.46925,93.647,134.9518,110.154575,55.866975,219.0005
264.7292,133.483075,93.692225,135.027175,110.209525,55.890375,219.021675
265.282475,133.512775,93.7244,135.05475,110.224375,55.9039,219.0956
265.483975,133.5288,93.8116,135.1055,110.2393,55.91835,219.1058
265.75205,133.543325,93.840025,135.204225,110.2763,55.968725,219.231325
265.776025,133.556875,93.846375,135.301225,110.294925,55.99115,219.4242
265.824425,133.57425,93.87815,135.30625,110.33685,56.036075,219.55675
265.83525,133.589025,93.9346,135.42205,110.3386,56.06195,219.566875
266.02105,133.605225,93.95845,135.5079,110.3603,56.0816,219.581375
266.287125,133.6467,94.032925,135.611,110.40905,56.104375,219.634425
266.47675,133.668725,94.0449,135.70665,110.43185,56.134525,219.706875
266.66835,133.69695,94.072475,135.7978,110.46535,56.152525,219.751
266.71905,133.7191,94.09825,135.8269,110.508225,56.16805,219.80855
266.733575,133.739675,94.1134,135.82995,110.531425,56.184225,219.823025
266.754575,133.7708,94.119275,136.05125,110.5549,56.1951,219.840125
266.760025,133.786575,94.139825,136.072525,110.58005,56.215575,219.854775
266.8503,133.817275,94.16345,136.116575,110.606525,56.2389,219.940775
266.861675,133.838325,94.20215,136.16725,110.63975,56.2675,220.06935
266.962575,133.858825,94.2423,136.4066,110.650825,56.286525,220.1153
267.0439,133.9037,94.347925,136.544875,110.664275,56.319825,220.124
267.078625,133.925975,94.390625,136.6057,110.6828,56.348175,220.13585
267.13005,133.9405,94.534925,136.6507,110.7007,56.417875,220.1417
267.151975,133.955025,94.56115,136.66605,110.7807,56.4456,220.19235
267.1661,134.014975,94.616175,136.6671,110.803225,56.470325,220.1976
267.189,134.041725,94.65475,136.68665,110.899525,56.4912,220.20265
267.2201,134.0696,94.705075,136.694025,110.9103,56.51065,220.2356
267.308425,134.109425,94.81515,136.6967,110.929325,56.530375,220.274975
267.314325,134.14495,94.84385,136.73505,110.9456,56.549475,220.2831
267.4575,134.162125,94.854025,136.841925,110.96715,56.5662,220.3352
267.5418,134.1891,94.911475,136.848075,110.984025,56.595825,220.3474
267.550225,134.205725,95.1865,136.88635,111.019025,56.6333,220.455075
267.8132,134.24955,95.23075,136.9978,111.118675,56.661425,220.456425
267.9154,134.28795,95.34465,137.0161,111.237,56.688425,220.4706
268.03605,134.314075,95.3734,137.0497,111.365325,56.730125,220.4777
268.20165,134.358,95.424275,137.186675,111.392825,56.750475,220.497725
268.2575,134.3785,95.61925,137.2081,111.40055,56.751825,220.516725
268.2616,134.4217,95.658375,137.214825,111.442925,56.784775,220.539625
268.68645,134.452075,95.66825,137.228675,111.4655,56.8001,220.640575
269.0148,134.50315,95.82935,137.23535,111.506525,56.8224,220.7221
269.2264,134.528925,95.8979,137.282325,111.581475,56.839225,220.942825
269.25865,134.556975,96.040875,137.30705,111.6448,56.86305,221.0433
269.353875,134.580875,96.07165,137.324,111.662925,56.891525,221.069275
269.389525,134.5987,96.1679,137.37995,111.706825,56.907325,221.175375
269.439775,134.634225,96.20165,137.495875,111.735875,56.93235,221.24615
269.46115,134.65745,96.419575,137.51945,111.80765,56.9489,221.265775
269.48875,134.675125,96.5128,137.5787,111.854,56.955875,221.300025
269.5436,134.690725,96.595325,137.625175,111.889425,56.965225,221.3929
269.63215,134.721125,96.609125,137.71225,111.90395,57.004875,221.477
269.7047,134.76795,96.6179,137.7497,111.924375,57.014025,221.567575
269.979475,134.820075,96.721425,137.792625,111.968025,57.022275,221.595625
270.1287,134.854425,96.7649,137.86745,112.0154,57.03,221.69895
270.168,134.885175,96.77915,137.95225,112.0807,57.03705,221.730925
270.33275,134.926075,96.781675,138.183175,112.15005,57.055275,221.9522
270.3615,134.944175,96.897875,138.220975,112.21895,57.092975,221.992725
270.47045,134.9625,96.93475,138.262425,112.265225,57.105525,222.004575
270.52375,134.976825,96.94955,138.2859,112.30285,57.113975,222.0227
270.5644,135.000575,96.9666,138.304075,112.332025,57.16025,222.152325
270.6045,135.0285,97.029825,138.315425,112.361425,57.189075,222.19525
270.74165,135.0651,97.07815,138.324125,112.3838,57.19855,222.248675
270.785875,135.098825,97.129625,138.35615,112.41105,57.206375,222.288025
271.2063,135.16215,97.18605,138.39155,112.438775,57.226025,222.377575
271.292925,135.181975,97.18855,138.439475,112.48025,57.243375,222.424575
271.324375,135.209325,97.212175,138.468225,112.538825,57.256425,222.45005
271.39315,135.279575,97.265775,138.5573,112.5823,57.279275,222.500575
271.4951,135.3,97.297725,138.57885,112.619625,57.31245,222.600675
271.613175,135.31965,97.33275,138.679875,112.625775,57.3297,222.688075
271.6598,135.333375,97.352275,138.7806,112.649525,57.3629,222.751125
271.7439,135.341875,97.39235,138.8546,112.6959,57.413625,222.785375
271.9699,135.350575,97.4075,138.90465,112.7204,57.44425,222.825725
272.0865,135.398675,97.461825,139.053425,112.828525,57.466,222.840375
272.40605,135.4445,97.4832,139.2681,112.84505,57.495125,222.884375
272.4706,135.464925,97.54055,139.348325,112.8664,57.517575,222.926225
272.4916,135.494325,97.56065,139.4803,112.86995,57.5701,222.9551
272.832675,135.502325,97.57705,139.52155,112.9234,57.581875,222.96865
272.87495,135.529825,97.58575,139.576,112.968175,57.605825,222.98295
272.96605,135.56585,97.612825,139.7959,112.981,57.62335,223.001225
273.455375,135.595,97.620725,139.8222,113.012075,57.6372,223.02505
273.474775,135.62385,97.657,139.8243,113.03735,57.673125,223.054175
273.64025,135.6425,97.677225,139.832275,113.046325,57.694575,223.079275
273.75675,135.672925,97.698375,139.938925,113.116725,57.716625,223.11775
273.873175,135.6946,97.713725,140.035875,113.24125,57.737375,223.261025
273.880925,135.817275,97.757225,140.0829,113.29645,57.7601,223.27955
274.049175,135.842575,97.795375,140.15405,113.351925,57.794,223.31215
274.15275,135.86285,97.8621,140.216325,113.3538,57.811725,223.340275
274.31765,135.8884,97.87715,140.43685,113.37365,57.822275,223.354775
274.5155,135.90915,97.878425,140.479475,113.400125,57.877,223.43085
274.6735,135.950475,97.9094,140.518375,113.4219,57.89475,223.487225
275.42155,135.961125,97.961525,140.577225,113.474225,57.91255,223.587175
275.464925,135.972425,97.9646,140.653725,113.507575,57.953925,223.6052
275.510025,136.0141,97.9851,140.70445,113.543925,58.002225,223.685025
275.912375,136.032325,98.009725,140.737375,113.571925,58.022375,223.7131
275.921575,136.048775,98.030675,140.777425,113.604575,58.041775,223.725625
276.291575,136.06585,98.0505,140.82585,113.652425,58.057075,223.791475
276.4176,136.07665,98.0934,140.93155,113.70475,58.065525,223.831725
276.5225,136.101375,98.097775,141.074725,113.799625,58.0751,223.838075
276.59285,136.113175,98.1114,141.12525,113.831825,58.092675,223.862475
276.6435,136.1575,98.125675,141.156575,113.845025,58.107875,224.063025
276.829525,136.189575,98.128425,141.25035,113.86755,58.1204,224.096375
277.000175,136.210925,98.1428,141.3268,114.016575,58.13635,224.132375
277.139325,136.23125,98.1743,141.33235,114.049425,58.161875,224.2295
277.210275,136.282625,98.183875,141.3842,114.06915,58.1803,224.244925
277.248875,136.301275,98.187075,141.407975,114.10465,58.208,224.37205
277.5469,136.315375,98.227175,141.510675,114.108675,58.226425,224.3886
277.60845,136.33395,98.305325,141.57795,114.114025,58.2479,224.406475
277.6503,136.359675,98.34005,141.612425,114.133425,58.2662,224.429
277.674325,136.367525,98.379875,141.891125,114.15255,58.287525,224.44145
277.88245,136.372525,98.393825,141.96045,114.2229,58.3118,224.4665
277.952375,136.3879,98.408275,142.009425,114.3122,58.338175,224.49455
278,136.4004,98.50215,142.03795,114.38405,58.36905,224.533775
278.022275,136.424825,98.5241,142.07965,114.4649,58.386575,224.5501
278.12395,136.43855,98.545925,142.1055,114.506925,58.4122,224.61485
278.34385,136.46485,98.5486,142.10795,114.53305,58.4426,224.636575
278.457,136.48935,98.5916,142.2025,114.552375,58.512825,224.6666
278.8364,136.528075,98.6082,142.253,114.588225,58.5455,224.69885
279.05205,136.5537,98.6116,142.3703,114.611775,58.568025,224.716
279.939675,136.581,98.631275,142.427825,114.6318,58.599075,224.7394
280.2018,136.59595,98.63795,142.452425,114.651875,58.619575,224.783325
280.310625,136.6155,98.6811,142.4647,114.6805,58.64745,224.823475
280.81295,136.63435,98.749675,142.611,114.721325,58.67135,224.849525
281.33955,136.713625,98.769275,142.8237,114.755225,58.715575,224.86525
281.355975,136.738925,98.79075,142.838075,114.794525,58.7304,224.898325
281.360475,136.76115,98.884375,142.8743,114.857525,58.7905,224.915675
281.911925,136.814075,98.982875,142.904475,114.872325,58.815875,224.9327
281.998,136.833275,99.01445,142.966225,114.90335,58.8485,224.9691
282.034675,136.85685,99.13635,142.98555,114.932575,58.866925,225.01
282.080825,136.865475,99.177075,143.224975,114.951175,58.8863,225.04335
282.169675,136.887375,99.219425,143.2461,114.9982,58.924025,225.069675
282.224125,136.89375,99.2311,143.3686,115.0353,58.96355,225.080875
282.24405,136.89925,99.270025,143.4249,115.045625,58.9841,225.108825
282.275725,136.921975,99.2867,143.4588,115.10415,59.00375,225.169575
282.307475,136.9551,99.294775,143.4985,115.145675,59.024875,225.19
282.343575,136.97895,99.3524,143.6264,115.1571,59.052175,225.19365
282.4874,137.002925,99.417525,143.672725,115.166825,59.09905,225.1948
282.502575,137.0215,99.4223,143.7291,115.20695,59.10845,225.234375
282.600975,137.0384,99.517375,143.829975,115.2294,59.13145,225.2857
282.6352,137.052975,99.54565,143.92775,115.237075,59.17955,225.32485
282.690725,137.0587,99.581525,144.0389,115.315075,59.214825,225.339975
282.728475,137.063375,99.642,144.089425,115.33305,59.25055,225.355325
282.757575,137.087525,99.65335,144.151925,115.36215,59.287175,225.366275
282.78965,137.1255,99.67885,144.1792,115.442125,59.315125,225.402
282.871175,137.1784,99.69475,144.19115,115.4527,59.338125,225.436675
282.975075,137.2008,99.71315,144.19935,115.499475,59.36655,225.48265
283.07155,137.2178,99.83395,144.227025,115.5027,59.3889,225.5353
283.124775,137.22795,99.847575,144.32955,115.508625,59.412225,225.551025
283.3799,137.2626,99.8585,144.420325,115.55105,59.438,225.625625
283.409675,137.283725,99.8739,144.493425,115.5629,59.488225,225.639625
283.523675,137.3127,99.927775,144.52605,115.58065,59.549975,225.64565
283.602875,137.328825,99.997925,144.60065,115.6028,59.585225,225.66195
283.6306,137.3723,100.0241,144.68385,115.6151,59.61925,225.7767
283.66405,137.3866,100.04295,144.845825,115.657775,59.63885,225.79085
283.83695,137.4199,100.06815,144.912575,115.663375,59.657375,225.974425
283.995925,137.45455,100.07205,144.93375,115.698175,59.668625,225.98635
284.098975,137.4903,100.10175,144.968,115.721825,59.689875,226.02935
284.5131,137.509475,100.1354,145.0031,115.7401,59.702375,226.102475
285.0724,137.557725,100.18895,145.038225,115.80745,59.726275,226.12205
285.085175,137.57775,100.33005,145.26695,115.833425,59.7634,226.13145
285.21685,137.583675,100.3624,145.31375,115.8981,59.775525,226.142875
285.2433,137.605775,100.39805,145.367,115.9507,59.7885,226.23985
285.415775,137.629725,100.548975,145.3801,115.952825,59.8001,226.40455
285.489775,137.72745,100.6329,145.5502,115.97965,59.821,226.4219
285.543025,137.7666,100.727125,145.602075,116.010225,59.8546,226.485425
285.804775,137.806025,100.747,145.758425,116.037275,59.887025,226.5668
285.859875,137.857825,100.85145,145.82945,116.064475,59.91135,226.62395
285.898275,137.89455,100.8556,145.92355,116.086675,59.932575,226.660125
285.9512,137.926625,100.888575,145.957425,116.11945,59.987425,226.6694
286.210125,138.02095,100.906575,146.03395,116.1767,60.035,226.680025
286.454475,138.046175,101.025325,146.19245,116.216525,60.055125,226.784275
286.5905,138.06885,101.0664,146.24915,116.24075,60.070875,226.7927
286.871975,138.1015,101.08985,146.3299,116.2548,60.091375,226.88625
287.1662,138.1097,101.10245,146.4073,116.318525,60.122175,226.9044
287.695675,138.134475,101.122725,146.475775,116.356175,60.15285,226.94235
288.039975,138.149475,101.224375,146.6491,116.3774,60.180975,226.963725
288.934125,138.15725,101.250375,146.7351,116.415325,60.1975,226.997125
289.001125,138.17075,101.2775,146.79645,116.4427,60.218425,227.051525
289.0125,138.192325,101.311075,146.959175,116.47225,60.241925,227.0628
289.1276,138.212125,101.3352,147.003875,116.499825,60.267375,227.098625
289.182325,138.247,101.436,147.201075,116.52795,60.286275,227.125625
289.3443,138.262975,101.469225,147.366025,116.550975,60.301625,227.13705
289.348275,138.283625,101.51115,147.4571,116.566875,60.314825,227.322275
