SPK_SPKC06a (no effect),SPK_SPKC09a (excited),SPK_SPKC11a (no effect),SPK_SPKC11b (excited),SPK_SPKC13a (no effect),SPK_SPKC14a (no effect),SPK_SPKC15a (excited)
12.3224,15.110975,5.529,4.616175,4.709975,2.494425,9.990075
12.39135,15.11715,5.774625,4.712675,4.781025,2.5066,10.055125
12.4588,15.373075,5.795975,4.7239,4.91935,2.5425,10.118475
12.7082,15.599025,5.841925,4.7407,4.967825,2.57035,10.19905
12.7451,15.68855,5.97335,4.79265,4.983775,2.5818,10.32555
12.8791,15.791275,5.99075,4.88185,5.001725,2.588125,10.740375
13.05525,15.824475,6.013625,4.92205,5.00925,2.603675,10.826475
13.148425,15.9081,6.0279,5.039125,5.05055,2.6214,10.8531
13.239975,16.094475,6.043,5.051125,5.08205,2.639125,11.820325
13.3465,16.17085,6.146575,5.073225,5.180075,2.653625,11.964175
13.38465,16.2271,6.2244,5.1285,5.198175,2.6782,11.9674
13.409375,16.547575,6.30395,5.29575,5.28435,2.704225,12.0576
13.488625,16.658725,6.344975,5.355375,5.305275,2.712625,12.22225
13.501975,16.685425,6.431375,5.373875,5.336,2.744575,12.261975
13.69295,16.753775,6.45595,5.37995,5.3732,2.761275,12.304325
13.788875,17.0236,6.557925,5.389425,5.430875,2.776525,12.46195
14.2254,17.070425,6.62755,5.457325,5.47155,2.792025,12.871225
14.354225,17.097275,6.636475,5.4728,5.52905,2.822225,13.012975
14.449925,17.1198,6.6477,5.558125,5.547875,2.838525,13.1001
14.475525,17.319325,6.6516,5.581175,5.555675,2.84755,13.13755
14.678425,17.427975,6.7685,5.603125,5.5776,2.85715,13.1695
14.93325,17.7431,6.781675,5.716125,5.7618,2.8693,13.1708
15.045175,17.78485,7.031825,5.75965,5.7708,2.885275,13.225825
15.0915,17.927925,7.074825,5.76435,5.817475,2.9088,13.2688
15.142325,17.963425,7.100375,5.7754,6.032275,2.9258,13.365825
15.212225,18.0932,7.127125,5.81265,6.0852,3.016625,13.41355
15.2702,18.1752,7.194475,5.83985,6.09855,3.046675,13.561525
15.301125,18.23585,7.20425,5.98195,6.133975,3.073475,13.576575
15.329275,18.24765,7.440025,5.9831,6.1598,3.117075,13.75315
15.344625,18.259975,7.517375,6.0475,6.293425,3.1561,14.336425
15.396275,18.345325,7.670275,6.05345,6.303975,3.186775,14.64485
15.50795,18.35755,7.688575,6.108925,6.347375,3.21035,14.754075
15.719975,18.506875,7.7298,6.150875,6.44065,3.225775,14.86585
15.9342,18.634025,7.767525,6.24185,6.459225,3.239725,15.021875
16.389525,18.658475,7.78065,6.28805,6.506275,3.258075,15.205175
16.8665,18.866125,7.7895,6.39265,6.5319,3.2758,15.224175
17.290875,19.01635,7.9274,6.40005,6.554375,3.299075,15.305225
17.43165,19.07605,7.936075,6.4099,6.561375,3.341675,15.3117
18.2596,19.122425,8.0201,6.4178,6.583675,3.39235,15.3633
18.48765,19.237675,8.112225,6.4324,6.6064,3.418575,15.3665
19.39065,19.287675,8.167925,6.435325,6.614125,3.4548,15.384275
19.7174,19.327075,8.21155,6.4733,6.635325,3.510675,15.469225
19.804375,19.49685,8.330275,6.496025,6.712075,3.54035,15.5014
19.9615,19.617825,8.4295,6.590175,6.801625,3.558525,15.7552
20.016525,19.662525,8.438125,6.653475,6.83405,3.590725,15.945275
20.0362,19.683625,8.445475,6.6713,6.846075,3.615175,15.95905
20.071875,19.794375,8.46245,6.707475,6.9182,3.649625,15.983575
20.12805,19.967075,8.46655,6.766825,6.9196,3.693175,16.22845
20.193325,20.42175,8.476525,6.844275,6.946525,3.717875,16.36115
20.288375,20.954,8.50135,6.86695,7.190475,3.72665,16.5763
20.331175,20.9741,8.703,6.935425,7.21115,3.779375,17.1615
20.36705,20.991025,8.719525,6.958375,7.411825,3.811175,17.308675
20.446125,21.387,8.753525,7.067775,7.4486,3.838325,17.5911
20.469025,21.43385,8.7659,7.073025,7.515125,3.85165,17.634925
20.70885,21.52775,8.84725,7.12335,7.6792,3.8922,17.752875
20.833325,21.724025,9.06805,7.1375,7.755325,3.899025,18.194275
20.9624,21.7885,9.081375,7.147075,7.78525,3.9105,18.2691
20.9879,21.8892,9.108125,7.16095,7.822675,3.9343,18.439775
21.069725,21.9284,9.486775,7.1703,7.999125,3.961,18.464
21.128825,22.0089,9.510825,7.189925,8.024825,3.987675,18.74595
21.154925,22.075975,9.546675,7.198975,8.04535,4.02,18.9954
21.3417,22.251,9.564875,7.249,8.055625,4.03805,19.126625
21.387125,22.321675,9.7424,7.278875,8.0908,4.065725,19.13215
21.4794,22.39075,9.754925,7.444875,8.1299,4.083175,19.2296
21.515675,22.41815,9.776475,7.449825,8.169625,4.09895,19.2453
21.5966,22.538975,9.803,7.563475,8.20735,4.125025,19.27055
21.694775,22.62975,9.81565,7.59515,8.253125,4.136925,19.28605
21.7504,22.66705,9.8362,7.599875,8.278225,4.14655,19.34625
21.872825,22.6884,9.9221,7.607425,8.332875,4.169325,19.37165
21.933675,22.752575,9.9999,7.635775,8.336375,4.179175,19.6851
21.978925,22.766,10.054825,7.85245,8.3822,4.18885,19.698425
22.03135,22.985625,10.07385,7.87095,8.40625,4.206975,19.734425
22.164625,23.0165,10.1061,7.92225,8.6435,4.2473,19.755475
22.226725,23.070175,10.203775,8.043075,8.6708,4.27455,19.761625
22.6824,23.085425,10.2507,8.07005,8.7667,4.312475,19.956225
22.772075,23.1416,10.2795,8.107575,8.893625,4.372225,20.268275
