SPK_SPKC01a,SPK_SPKC04a,SPK_SPKC05a,SPK_SPKC08a,SPK_SPKC13a,SPK_SPKC13b
522.046425,527.65035,524.4805,,512.386475,
522.081075,527.67975,524.50885,,512.39985,
522.110275,527.6988,524.55975,,512.417325,
522.113475,527.742375,524.58965,,512.4317,
522.17495,527.8416,524.631425,,512.453375,
522.2291,527.8827,524.66745,,512.464525,
522.268225,527.908375,524.7137,,512.4852,
522.366875,527.945525,524.7471,,512.502225,
522.3947,528.185275,524.787675,,512.5252,
522.414275,528.20715,524.84385,,512.55125,
522.4788,528.217625,524.905175,,512.570125,
522.518225,528.44755,524.939525,,512.57845,
522.561275,528.7735,524.9738,,512.588875,
522.594375,528.8367,525.012425,,512.60175,
522.626225,528.873475,525.0456,,512.613725,
522.67965,529.17265,525.052225,,512.626475,
522.7137,529.181875,525.090825,,512.64755,
522.785225,529.247225,525.116475,,512.6605,
522.851775,529.271425,525.1517,,512.67725,
522.8896,529.3477,525.222475,,512.722025,
522.918975,529.3682,525.265475,,512.734275,
522.946875,529.464225,525.323325,,512.752275,
522.96595,529.5703,525.353175,,512.7623,
522.993625,529.5876,525.4158,,512.79185,
523.046225,529.675675,525.478375,,512.80825,
523.0687,529.74825,525.540125,,512.82825,
523.183275,529.7712,525.600225,,512.8366,
523.225575,529.870925,525.65515,,512.860475,
523.272175,529.944025,525.683025,,512.8713,
523.287575,530.007875,525.763625,,512.884925,
523.29075,530.01955,525.81815,,512.91445,
523.313725,530.071575,525.849775,,512.9312,
523.339275,530.22455,525.892625,,512.956425,
523.433425,530.286625,525.947675,,512.9641,
523.5004,530.384275,526.085675,,512.98755,
523.60375,530.4812,526.16095,,513.00145,
523.638575,530.68245,526.206125,,513.012475,
523.7004,530.781125,526.250025,,513.027025,
523.73745,530.834225,526.311975,,513.040175,
523.789625,530.855475,526.527475,,513.06155,
523.799525,530.9668,526.562975,,513.071275,
523.81115,531.013575,526.633,,513.108475,
523.827825,531.071175,526.6979,,513.124525,
523.888475,531.27715,526.7809,,513.14455,
523.969325,531.341125,526.8199,,513.15815,
524.007975,531.38375,526.88905,,513.179625,
524.11065,531.4439,526.93705,,513.19095,
524.1467,531.52775,526.991425,,513.20905,
524.159525,531.570325,527.076225,,513.22295,
524.190625,531.61295,527.198225,,513.245325,
524.28755,531.695325,527.2365,,513.286925,
524.44025,531.7172,527.27425,,513.3023,
524.506925,531.7548,527.38505,,513.32905,
524.588725,531.783675,527.42115,,513.3693,
524.627625,531.828825,527.447275,,513.3959,
524.64815,531.867825,527.48235,,513.418225,
524.681075,531.908425,527.560175,,513.452975,
524.7113,531.988625,527.601875,,513.470875,
524.77865,532.0265,527.662225,,513.4797,
524.815225,532.0569,527.71135,,513.487775,
524.834,532.1337,527.742575,,513.501925,
524.85615,532.14805,527.810025,,513.52395,
524.86375,532.1702,527.910875,,513.546175,
524.910175,532.252325,527.927875,,513.5634,
524.960425,532.30055,527.9452,,513.5914,
524.99085,532.4516,527.9849,,513.631825,
525.031525,532.47255,528.003125,,513.6557,
525.068525,532.572,528.037275,,513.6735,
525.094875,532.66685,528.195175,,513.68615,
525.156775,532.735775,528.22185,,513.703275,
525.202275,532.886775,528.236125,,513.72075,
525.247875,532.92525,528.26205,,513.731475,
525.4002,532.941475,528.28005,,513.732525,
525.447275,533.017325,528.308725,,513.740725,
525.5229,533.14535,528.350375,,513.761975,
525.589075,533.169625,528.399525,,513.783325,
525.61515,533.194025,528.42435,,513.817875,
525.628525,533.221575,528.442,,513.86365,
525.643475,533.32205,528.464,,513.891825,
525.661375,533.350875,528.51165,,513.912225,
525.677525,533.4043,528.5349,,513.93185,
525.782075,533.627725,528.555225,,513.964575,
525.85485,533.6845,528.601125,,513.9808,
525.8657,533.722225,528.6592,,514.01665,
526.0202,533.819525,528.75185,,514.063375,
526.2443,533.917,528.796425,,514.07865,
526.283675,534.009125,528.8064,,514.090575,
526.3057,534.083225,528.8126,,514.1539,
526.384875,534.121,528.827025,,514.175525,
526.432425,534.16415,528.831275,,514.1855,
526.455875,534.2133,528.836725,,514.193775,
526.550675,534.235575,528.844925,,514.2527,
526.597525,534.256825,528.850525,,514.26485,
526.62555,534.338375,528.867975,,514.2814,
526.652375,534.36175,528.892025,,514.303925,
526.653475,534.38125,528.90185,,514.350075,
526.71255,534.4025,528.955875,,514.371025,
526.73785,534.440025,528.993675,,514.3853,
526.763275,534.5146,529.039825,,514.391875,
526.787475,534.57115,529.0725,,514.4123,
526.813275,534.606225,529.121225,,514.42395,
526.867175,534.63905,529.149625,,514.428575,
526.901875,534.653925,529.182275,,514.473725,
526.9315,534.71765,529.206875,,514.4826,
526.961975,534.8111,529.301525,,514.493,
527.0016,534.90695,529.374825,,514.53,
527.153625,535.059525,529.405625,,514.5638,
527.1761,535.092725,529.430475,,514.58865,
527.18555,535.124825,529.46255,,514.600475,
527.18795,535.264675,529.49345,,514.6245,
527.210225,535.293925,529.51815,,514.652675,
527.269325,535.321,529.54505,,514.6646,
527.372825,535.36345,529.555225,,514.683475,
527.38285,535.40585,529.568725,,514.70965,
527.40245,535.510125,529.590525,,514.7361,
527.4038,535.538375,529.61265,,514.757475,
527.41395,535.558075,529.626575,,514.77015,
527.423225,535.583025,529.637925,,514.834275,
527.429975,535.628975,529.6531,,514.8495,
527.46295,535.67925,529.66235,,514.85525,
527.4816,535.734825,529.677025,,514.869875,
527.4869,535.76205,529.705875,,514.8786,
