SPK_SPKC01a,SPK_SPKC03a,SPK_SPKC07a,SPK_SPKC09b,SPK_SPKC10a,SPK_SPKC15a
3864.5862,,3992.997575,3993.56035,,3874.71485
3864.60175,,3993.799575,3993.7184,,3874.796075
3864.701475,,3993.836625,3993.83685,,3874.9019
3864.801425,,3994.8313,3994.686,,3875.075
3864.8084,,3995.459225,3994.77265,,3875.1346
3865.13775,,3995.7947,3995.33095,,3875.2545
3865.46985,,3996.041825,3995.81575,,3875.27455
3865.47555,,3996.1769,3995.91465,,3875.380725
3865.597,,3996.4315,3996.8651,,3875.48125
3865.625625,,3996.71965,3997.009725,,3875.5652
3866.09085,,3996.8288,3997.6118,,3876.006075
3866.567375,,3996.926575,3997.975475,,3876.833875
3866.60325,,3997.489325,3998.256325,,3877.072325
3866.720975,,3997.668625,3998.377975,,3877.3708
3866.73695,,3998.1668,3999.32815,,3877.7455
3867.009775,,3998.41265,3999.40695,,3877.987575
3867.072925,,3998.452725,3999.5361,,3878.2232
3867.34445,,3998.49225,3999.861775,,3878.548325
3867.52375,,3998.63875,3999.9422,,3878.8117
3867.625275,,3999.02535,,,3878.905325
3867.73935,,3999.185025,,,3879.464425
3867.75285,,3999.283575,,,3879.82055
3868.378075,,3999.362475,,,3879.841025
3868.39165,,,,,3879.9305
3868.52175,,,,,3880.03315
3868.791425,,,,,3880.183425
3868.868775,,,,,3880.570125
3869.0078,,,,,3880.8254
3869.0951,,,,,3880.8783
3869.25365,,,,,3881.091225
3869.403575,,,,,3881.7881
3869.560375,,,,,3882.102725
3869.63095,,,,,3882.598125
3869.865575,,,,,3882.831725
3869.9565,,,,,3883.0689
3870.03395,,,,,3883.14445
3870.19085,,,,,3884.01305
3870.74975,,,,,3884.235025
3870.8195,,,,,3884.299225
3870.941,,,,,3884.43975
3871.538875,,,,,3885.22935
3871.7895,,,,,3885.6734
3871.870625,,,,,3885.80885
3871.99345,,,,,3885.861725
3872.3684,,,,,3885.9214
3872.44385,,,,,3886.0491
3872.52365,,,,,3886.16325
3872.914475,,,,,3886.368575
3873.01575,,,,,3886.43715
3873.090425,,,,,3886.484175
3873.408225,,,,,3886.681125
3873.69955,,,,,3886.79425
3873.975025,,,,,3886.98205
3874.03805,,,,,3887.475
3874.0736,,,,,3887.58135
3874.127875,,,,,3887.84145
3874.136975,,,,,3887.9117
3874.425425,,,,,3888.051275
3874.507575,,,,,3888.139075
3874.6958,,,,,3888.3005
3874.932525,,,,,3888.496925
3875.05125,,,,,3888.658375
3875.488175,,,,,3888.86055
3875.562275,,,,,3888.995475
3875.59575,,,,,3889.247875
3875.939825,,,,,3889.4116
3876.143975,,,,,3889.593475
3876.483725,,,,,3889.60945
3876.643775,,,,,3889.66105
3876.8207,,,,,3889.7218
3876.9083,,,,,3889.953825
3877.09385,,,,,3890.053
3877.232825,,,,,3890.36455
3877.382975,,,,,3890.5102
3877.502675,,,,,3890.57645
3877.57905,,,,,3890.632375
3878.429225,,,,,3890.718375
3878.476775,,,,,3890.993025
3878.56785,,,,,3891.04295
3878.6563,,,,,3891.0874
3878.777325,,,,,3891.1662
3878.9427,,,,,3891.270625
3878.9948,,,,,3891.319025
3879.025225,,,,,3891.36605
3879.234525,,,,,3891.50755
3879.7241,,,,,3891.544375
3879.7817,,,,,3891.616425
3879.9635,,,,,3891.829125
3880.43295,,,,,3891.9483
3880.579,,,,,3892.03665
3880.699225,,,,,3892.10265
3880.810325,,,,,3892.110925
3881.092725,,,,,3892.41305
3881.2612,,,,,3892.61415
3882.084125,,,,,3892.718925
3882.154475,,,,,3893.113475
3882.778875,,,,,3893.38745
3883.0307,,,,,3893.51715
3883.1443,,,,,3893.75665
3883.30495,,,,,3894.001625
3883.419925,,,,,3894.20895
3883.558225,,,,,3894.766725
3883.84725,,,,,3894.796525
3884.0381,,,,,3894.82035
3884.42125,,,,,3894.9808
3884.5236,,,,,3895.1914
3884.536875,,,,,3895.5425
3884.860675,,,,,3895.8538
3884.877575,,,,,3896.045425
3884.9276,,,,,3896.455575
3884.96415,,,,,3896.47545
3885.16735,,,,,3896.927025
3885.37775,,,,,3897.337475
3885.51175,,,,,3897.365425
