SPK_SPKC05a (exc),SPK_SPKC15a (no response)
697.85585,
697.90125,
697.9298,
698.1412,
698.253375,
698.367075,
698.461325,
698.61915,
698.704725,
698.8618,
698.9854,
699.04325,
699.163925,
699.198725,
699.214525,
699.248675,
699.27525,
699.306425,
699.308925,
699.34135,
699.3779,
699.60365,
699.726825,
699.757875,
699.799275,
699.91325,
700.116275,
700.134225,
700.240025,
700.282425,
700.2898,
700.2981,
700.432075,
700.4771,
700.5615,
700.6569,
700.679125,
700.7051,
700.791875,
700.84815,
700.938575,
701.0169,
701.07275,
701.092525,
701.2165,
701.229825,
701.60995,
701.6504,
701.673175,
701.699675,
701.740475,
701.7563,
701.815925,
701.911175,
701.9131,
701.9649,
701.99505,
702.1524,
702.229325,
702.264875,
702.339525,
702.416975,
702.46565,
702.5218,
702.5365,
702.571725,
702.60645,
702.7178,
702.820575,
702.8917,
702.9401,
702.991575,
703.066325,
703.2849,
703.298275,
703.322275,
703.409225,
703.547975,
703.5586,
703.56325,
703.568325,
703.58,
703.6063,
703.658275,
703.6698,
703.823775,
703.87275,
703.898675,
703.96675,
704.02725,
704.03025,
704.047225,
704.25175,
704.301975,
704.377175,
704.553125,
704.57985,
704.591425,
704.6332,
704.658875,
704.667975,
704.711525,
704.72655,
704.751725,
704.87915,
705.013725,
705.079625,
705.1348,
705.168925,
705.20785,
705.327725,
705.416425,
705.426575,
705.523425,
705.568425,
705.5782,
705.662325,
705.714,
705.85695,
705.90685,
705.9546,
705.99055,
706.0009,
706.00255,
706.018525,
706.150875,
706.199725,
706.25735,
706.28015,
706.28525,
706.442775,
706.546625,
706.570475,
706.5982,
706.612925,
706.62255,
706.6684,
706.7075,
706.8149,
706.832475,
706.913425,
706.976925,
707.0585,
707.1224,
707.1361,
707.1606,
707.208325,
707.22085,
707.226225,
707.315825,
707.339525,
707.49785,
707.634275,
707.658875,
707.693775,
707.927475,
708.007375,
708.055375,
708.117775,
708.1846,
708.340925,
708.629775,
708.6482,
708.833025,
708.85325,
708.877125,
709.038975,
709.04395,
709.180675,
709.271925,
709.30935,
709.4369,
709.6527,
709.745,
709.7494,
709.871625,
710.065125,
710.419825,
710.546175,
710.5905,
710.600675,
710.680075,
710.71165,
710.728125,
711.31085,
711.3179,
711.410125,
711.634525,
711.8336,
711.933375,
711.96715,
712.2283,
712.299475,
712.323575,
712.402175,
712.505275,
712.6271,
712.68295,
712.756525,
712.81355,
712.88795,
713.342225,
713.625,
713.6923,
713.731375,
713.785375,
714.072125,
714.223375,
714.3086,
714.375675,
714.45135,
714.554575,
714.5947,
714.739275,
714.80735,
714.8483,
714.948,
715.05465,
715.08715,
715.136725,
715.197375,
715.256725,
715.3289,
715.3915,
715.485,
715.6186,
715.8076,
715.916325,
716.00595,
716.133925,
716.262375,
716.283325,
716.294525,
716.4073,
716.51315,
716.564625,
716.584975,
716.875125,
716.918575,
716.966625,
717.09435,
717.147725,
717.18915,
717.2733,
717.361775,
717.546325,
717.6236,
717.7669,
717.81955,
717.87195,
718.119325,
718.26895,
718.281975,
718.326025,
718.345325,
718.572825,
718.6819,
718.81445,
718.9067,
718.955925,
718.994075,
719.3708,
719.520325,
719.603525,
719.7448,
719.828025,
720.006225,
720.042625,
720.0595,
720.130525,
720.279325,
720.381475,
720.488,
720.561625,
720.814825,
721.03995,
721.193425,
721.26195,
721.265275,
721.324175,
721.38435,
721.5107,
721.5885,
721.663275,
721.73,
721.742425,
721.90065,
722.024675,
722.063825,
722.1052,
722.15255,
722.202225,
722.253,
722.291775,
722.570325,
722.645,
722.680575,
722.72385,
723.183775,
723.246125,
723.2678,
723.3139,
723.45885,
723.545275,
723.59665,
723.724875,
723.73495,
723.860325,
723.864375,
723.949325,
724.054175,
724.107575,
724.230825,
724.33235,
724.339575,
724.45665,
724.532025,
724.549625,
724.572325,
724.616625,
724.861225,
724.96435,
725.018425,
725.1156,
725.1795,
725.271025,
725.3868,
725.4058,
725.4411,
725.546025,
725.580075,
725.6062,
725.754025,
725.857525,
726.017275,
726.0652,
726.1523,
726.28915,
726.450925,
726.5512,
726.6312,
726.725475,
726.80715,
726.882175,
726.986925,
727.03745,
727.099625,
727.16355,
727.2323,
727.33735,
727.44785,
727.6182,
727.708175,
727.80025,
728.2243,
728.426275,
728.494225,
728.50625,
728.610975,
728.72975,
729.087175,
729.140375,
729.6427,
729.719725,
729.76385,
729.8581,
729.928975,
730.0303,
730.08655,
730.1437,
730.197225,
730.3104,
730.388575,
730.4828,
730.5621,
730.6575,
731.076275,
731.21555,
731.55285,
731.595925,
731.869575,
732.14315,
732.197625,
732.2506,
732.26345,
732.3403,
732.364075,
732.514375,
732.578225,
732.6412,
732.719725,
733.46405,
733.5845,
733.7782,
733.844325,
734.205925,
734.301075,
734.707925,
734.765425,
734.82985,
734.86075,
734.885225,
734.947275,
734.9565,
734.993775,
735.05125,
735.07495,
735.093475,
735.2012,
735.253525,
735.280875,
735.2903,
735.2924,
735.51905,
735.57385,
735.65795,
735.6779,
736.029225,
736.3284,
736.3363,
736.415725,
736.6168,
736.65265,
736.701225,
736.798225,
737.083125,
737.117525,
737.183375,
737.410675,
737.617925,
737.71095,
737.86935,
737.9054,
738.039725,
738.1106,
738.1956,
738.383725,
738.43795,
738.44235,
738.47075,
738.70725,
738.748975,
738.7919,
738.8288,
739.002275,
739.127775,
739.206075,
739.2097,
739.317075,
739.397425,
739.466275,
739.4835,
739.50705,
739.554375,
739.577375,
739.6612,
739.699075,
739.740525,
739.76015,
739.794375,
739.814725,
739.820225,
739.83675,
739.8382,
739.85495,
739.867,
739.901675,
739.949425,
739.954975,
739.967425,
740.05365,
740.07975,
740.107125,
740.1975,
740.198775,
740.29825,
740.355225,
740.360825,
740.56415,
740.772825,
740.7869,
740.8478,
740.987675,
741.015925,
741.112625,
741.133575,
741.1738,
741.208925,
741.25395,
741.356675,
741.362,
741.3729,
741.42485,
741.450175,
741.45405,
741.493625,
741.509375,
741.59435,
741.6113,
741.664025,
741.668975,
741.671175,
741.677025,
741.69285,
741.72785,
741.757775,
741.777975,
741.780675,
741.928375,
741.954775,
742.0038,
742.04825,
742.073425,
742.09345,
742.12535,
742.149975,
742.1728,
742.2952,
742.336125,
742.3578,
742.3988,
742.411125,
742.4297,
742.4635,
742.488525,
742.51925,
742.613325,
742.6481,
742.725875,
