SPK_SPKC07a,SPK_SPKC07b,SPK_SPKC11a
29.1708,6.55145,6.63715
29.19515,6.569225,6.6507
29.358875,6.57975,6.6741
29.409875,6.59025,6.694425
29.529075,6.619275,6.790525
29.568575,6.65315,6.85465
29.66105,6.67935,6.8731
29.72205,6.6838,6.9444
29.790925,6.686625,6.963975
29.80055,6.713,6.965
29.959675,6.737675,7.025625
30.005725,6.756825,7.156025
30.01975,6.770725,7.181375
30.29575,6.79315,7.22965
30.4848,6.79755,7.237725
30.635,6.81365,7.256475
30.756225,6.82715,7.269725
31.27655,6.8833,7.307575
31.758225,6.9211,7.355225
31.94345,6.93285,7.413575
32.049,6.95645,7.424375
32.060875,7.0334,7.4608
32.16715,7.04145,7.49115
32.217825,7.04895,7.521625
32.2381,7.081425,7.5551
32.49265,7.087425,7.572725
32.516125,7.10875,7.65
32.7761,7.1362,7.703225
32.8283,7.150625,7.7164
33.03185,7.162275,7.734675
33.107475,7.177575,7.741725
33.165,7.1858,7.757975
33.3285,7.1983,7.7789
33.65345,7.24965,7.806275
33.787175,7.2684,7.827475
34.208375,7.305075,7.835225
34.230075,7.35715,7.86155
34.39855,7.3811,7.875275
34.452575,7.39545,7.9177
34.470625,7.4022,7.951175
34.5081,7.4309,8.0521
34.6573,7.45,8.059075
34.68115,7.467025,8.0899
34.69775,7.484325,8.098975
34.74665,7.4999,8.112925
34.81135,7.593875,8.14365
34.8308,7.668925,8.144875
34.8622,7.7019,8.162325
35.297375,7.718975,8.2102
35.313275,7.725025,8.22615
35.346075,7.734975,8.23725
35.5307,7.80125,8.3023
35.641125,7.8232,8.346825
35.6496,7.87295,8.414575
35.795525,7.903725,8.42855
35.934175,7.92845,8.444975
36.2688,7.962575,8.503675
36.85575,7.9807,8.518775
36.986425,7.9894,8.52415
37.0283,7.998975,8.587775
37.369025,8.047575,8.600325
37.485425,8.05485,8.63045
37.677675,8.074775,8.6454
37.932025,8.1048,8.666
38.195625,8.12795,8.682525
38.29225,8.1388,8.702525
38.323025,8.178325,8.799975
38.406475,8.244975,8.834175
38.476125,8.2717,8.851175
38.586275,8.2965,8.892475
38.7024,8.3279,8.91215
38.79805,8.332675,8.960675
38.905925,8.344125,8.975425
38.967775,8.38515,9.006525
39.0853,8.39405,9.060875
39.669275,8.41085,9.12505
39.673825,8.43265,9.17285
39.6907,8.4441,9.1965
39.69225,8.48355,9.2373
39.8657,8.49855,9.2585
40.0316,8.5255,9.27135
40.095375,8.536875,9.29105
40.146875,8.553575,9.32975
40.187575,8.584575,9.3866
40.1893,8.61665,9.39315
40.382975,8.663425,9.409925
40.59045,8.678475,9.44515
40.671025,8.70505,9.4928
40.809,8.724125,9.511825
40.83965,8.7621,9.55765
40.9638,8.779775,9.600675
41.151925,8.7907,9.62325
41.344525,8.8274,9.677875
41.361975,8.868475,9.686875
41.37435,8.894475,9.69725
41.47055,8.94595,9.716075
41.49185,8.97225,9.71765
41.608625,9.009225,9.801175
41.6865,9.02815,9.816975
41.86045,9.041325,9.838
42.366975,9.052175,9.855
42.95255,9.0698,9.939075
43.0279,9.0853,9.96765
43.059125,9.09065,9.98155
43.094325,9.103525,9.9979
43.27055,9.1092,10.0207
43.31755,9.11725,10.02815
43.372725,9.122275,10.0809
43.38405,9.130975,10.0843
43.52785,9.138275,10.1204
43.63955,9.17465,10.144
43.6807,9.2092,10.1655
43.8312,9.24415,10.181525
43.89525,9.269975,10.210325
44.052025,9.297425,10.2131
44.104875,9.330525,10.307775
44.212275,9.4045,10.3202
44.339725,9.422975,10.322975
44.4978,9.456525,10.342075
44.63735,9.476875,10.36
45.627875,9.5335,10.3755
45.914025,9.564825,10.3887
46.0023,9.604875,10.405
46.24825,9.614875,10.438075
46.31925,9.623625,10.45855
46.3338,9.64905,10.50935
46.466225,9.679475,10.52475
46.4873,9.6994,10.56675
46.521925,9.704975,10.6075
46.589375,9.71625,10.670575
46.653825,9.73005,10.696575
46.68965,9.7519,10.716625
46.864975,9.7652,10.75645
46.914725,9.798575,10.7715
47.009875,9.823625,10.795725
47.5237,9.89775,10.806075
47.55635,9.90995,10.819
47.84585,9.93235,10.84475
47.967325,9.937625,10.857725
47.994,9.980075,10.866175
48.0806,10.04585,10.88055
48.447925,10.091125,10.898325
48.551325,10.108425,10.92405
48.604275,10.121875,10.93145
48.69045,10.1387,11.056075
48.7122,10.169025,11.0763
48.912,10.21135,11.10255
49.016125,10.239275,11.12535
49.145375,10.259,11.16155
49.176425,10.272175,11.188225
49.2024,10.282375,11.20175
49.40825,10.292225,11.22885
49.51925,10.340425,11.25035
49.880675,10.45585,11.2759
50.021225,10.475625,11.27735
50.16065,10.495,11.31445
50.1973,10.508225,11.32395
50.680125,10.515625,11.330975
50.9312,10.54335,11.3399
50.952125,10.576,11.3765
50.977975,10.58365,11.40385
51.0522,10.594275,11.412225
51.136125,10.611475,11.503725
51.560875,10.6221,11.515375
51.733375,10.630225,11.55855
51.8134,10.648725,11.58155
51.81755,10.687275,11.58815
51.852,10.711,11.6279
51.8728,10.793275,11.6575
52.228975,10.824425,11.706375
52.37835,10.836075,11.749925
52.483825,10.897025,11.762525
52.735525,10.920525,11.833275
53.2492,10.9712,11.873125
53.2591,10.985175,11.886325
53.383625,11.01315,11.92295
53.394725,11.03905,11.94325
53.828525,11.0509,11.990925
54.191325,11.06615,12.00975
54.198925,11.079,12.021875
54.254125,11.11595,12.061075
54.37455,11.1449,12.09135
54.464425,11.174625,12.125575
54.5033,11.216975,12.135125
54.669075,11.278975,12.167325
54.880475,11.2837,12.197825
55.0625,11.347725,12.238425
55.439625,11.35955,12.261675
55.56525,11.368775,12.287325
55.732025,11.40645,12.323475
56.025275,11.416,12.336975
56.12955,11.422775,12.373425
56.14145,11.43825,12.377725
56.1626,11.4562,12.5111
56.2325,11.48095,12.584925
56.27025,11.511075,12.63475
56.3726,11.626025,12.66875
56.50135,11.6616,12.695025
56.612,11.67635,12.717525
56.708075,11.6812,12.7286
56.7214,11.69305,12.78045
56.796425,11.702675,12.833675
56.815875,11.70915,12.843875
56.852275,11.74595,12.871675
56.908,11.757725,12.910425
56.975925,11.772925,12.924725
56.98515,11.8353,12.93575
57.089225,11.88855,12.94455
57.331125,11.96315,12.986925
57.347525,11.97345,13.01115
57.358875,12.04395,13.02635
57.3645,12.121275,13.0774
57.374975,12.135375,13.099625
57.600375,12.144975,13.12915
57.63175,12.15595,13.181775
57.769775,12.1719,13.209325
57.832425,12.1904,13.2247
57.900375,12.19895,13.27475
57.95265,12.221425,13.33395
58.0131,12.24455,13.3391
58.228775,12.3742,13.34925
58.449825,12.4372,13.382425
58.6523,12.44465,13.43535
58.725275,12.4692,13.44485
58.781725,12.490275,13.50195
58.86545,12.50315,13.593375
58.872425,12.509625,13.6098
59.2509,12.5265,13.62155
59.391775,12.5365,13.6751
59.71075,12.541225,13.789775
59.72665,12.59285,13.901175
59.7447,12.618275,13.9162
59.757975,12.6248,13.92845
59.8233,12.6553,13.951225
60.3502,12.67945,13.975325
60.3606,12.687375,13.984775
60.38955,12.69725,14.004125
60.4621,12.71925,14.025075
60.4699,12.76965,14.03595
60.5133,12.837525,14.04095
60.52985,12.845675,14.180875
60.541,12.867875,14.1914
61.2736,12.882475,14.2371
61.303375,12.8982,14.25475
61.318875,12.905775,14.2801
61.397375,12.914675,14.3158
61.4018,12.92235,14.346725
61.502625,12.958725,14.378
61.723975,13.079775,14.400875
61.753075,13.0971,14.410725
61.7784,13.132725,14.455875
61.794375,13.16365,14.491225
61.890375,13.175925,14.51045
62.477375,13.18845,14.527775
62.63375,13.19595,14.555375
62.79965,13.20555,14.56375
62.934275,13.2102,14.603175
63.0972,13.216125,14.612075
63.1238,13.2217,14.682175
63.485025,13.226725,14.694075
63.514075,13.231,14.705
63.703725,13.247175,14.7096
63.86885,13.264675,14.764525
63.9755,13.267925,14.78235
64.048825,13.2814,14.8726
64.05745,13.3015,14.882575
64.064125,13.3378,14.948525
64.114075,13.35785,14.96655
64.18945,13.37575,15.01185
64.4426,13.450725,15.018975
64.58505,13.47525,15.04465
64.65885,13.49185,15.1575
64.73185,13.5046,15.16785
64.838675,13.519675,15.1849
64.93915,13.591325,15.21295
65.04655,13.6125,15.256125
65.12615,13.63515,15.30975
65.34795,13.672475,15.33225
65.42025,13.716975,15.339625
65.6432,13.73685,15.357225
66.038275,13.74965,15.3589
66.093125,13.7891,15.362725
66.1231,13.81145,15.371625
