SPK_SPKC03a,SPK_SPKC04a,SPK_SPKC05a,SPK_SPKC06b,SPK_SPKC10b,SPK_SPKC11a,SPK_SPKC16a
416.61695,416.23345,419.85285,413.643725,433.373075,408.567425,402.87085
416.690025,416.28305,420.265375,413.7897,433.6482,408.571275,402.9037
416.73125,416.3449,420.35475,413.8667,434.4995,408.6675,402.91545
416.9237,416.399975,420.358275,414.09445,434.554675,408.710475,402.92685
417.061725,416.496475,420.40095,414.137725,434.694475,408.7182,402.94545
417.1337,416.616975,420.745375,414.253925,434.739375,408.78605,402.969625
417.230775,416.69005,421.041225,414.351875,435.32975,408.788275,402.984925
417.262775,416.731275,421.338325,414.4719,435.486125,408.8919,402.998125
417.5636,416.92375,421.61975,414.48685,436.36745,409.0176,403.005575
417.624325,417.0618,421.747025,414.581375,436.53275,409.03375,403.0133
417.7007,417.13375,421.917375,414.670625,436.850075,409.104625,403.02905
417.73445,417.2309,421.9714,414.72985,437.08425,409.1173,403.046775
417.784225,417.262875,422.004925,414.7923,437.81695,409.1396,403.06415
417.9777,417.315975,422.032075,414.896225,438.178775,409.152425,403.079175
418.059125,417.563675,422.2057,414.95405,438.792325,409.230375,403.097475
418.092925,417.6244,422.671725,415.036125,438.950375,409.287525,403.125475
418.123525,417.7008,422.730375,415.14115,439.2919,409.352575,403.158025
418.17885,417.73445,422.74105,415.2442,440.5153,409.4094,403.32855
418.2706,417.770475,423.09205,415.3486,440.6625,409.481425,403.339925
418.349425,417.78425,423.135775,415.474975,441.988125,409.557325,403.34865
418.4307,417.97775,423.19015,415.5042,442.474625,409.65345,403.35505
418.532725,418.092975,423.2268,415.5638,443.106975,409.712675,403.361925
418.58415,418.123575,423.41375,415.648425,443.3339,409.8189,403.372375
418.662725,418.178975,423.55225,415.74965,443.9123,409.867725,403.3833
418.76935,418.349425,423.609175,415.796225,444.04985,409.897925,403.394075
418.823,418.4307,423.67625,415.8736,444.53155,409.9304,403.401575
418.881575,418.532775,423.744375,416.000525,444.695725,409.93785,403.424925
418.9525,418.5842,423.772675,416.093,444.758725,409.9886,403.437675
419.051875,418.662725,423.980825,416.14125,444.9267,410.0689,403.4613
419.218375,418.7694,424.002975,416.22235,444.935075,410.132575,403.4731
419.302675,418.82305,424.185925,416.268775,444.9499,410.151325,403.48815
419.345275,418.8816,424.23095,416.309,445.079725,410.259275,403.507775
419.3717,418.95265,424.33475,416.362075,445.132475,410.304775,403.547575
419.408375,419.05195,424.357825,416.419475,445.19995,410.33705,403.56595
419.4746,419.21845,424.373375,416.5754,445.32205,410.457175,403.586175
419.53325,419.302775,424.480025,416.74825,445.3479,410.511575,403.598425
419.620725,419.3453,424.591525,416.9056,445.35985,410.539675,403.607
419.711475,419.37175,424.59725,416.9661,445.425625,410.645775,403.614575
419.7547,419.408425,424.7846,417.048575,445.484125,410.723625,403.63015
420.3545,419.474575,424.954625,417.089825,445.615875,410.881925,403.678325
420.44385,419.48785,425.0935,417.1478,445.660125,410.91595,403.86455
420.733225,419.5334,425.19395,417.1973,445.756775,410.966875,403.896675
420.7969,419.6208,425.310775,417.252625,445.805075,411.05535,403.9088
420.851575,419.754775,425.354275,417.28525,445.910325,411.100525,403.922925
420.94615,419.861525,425.500175,417.348025,446.174575,411.1394,403.936975
420.98995,420.354575,425.526,417.3842,446.55625,411.153325,403.943625
421.0286,420.44395,425.52755,417.454275,446.718375,411.216175,403.956775
421.0634,420.733325,425.627675,417.546875,447.27245,411.299175,403.9747
421.129975,420.7969,425.7979,417.606825,447.323175,411.335875,403.989675
421.164325,420.851575,426.01245,417.7321,448.206275,411.502675,404.013225
421.1936,420.946225,426.451275,417.79235,448.2607,411.5735,404.024875
421.293475,420.989975,426.46025,417.870025,448.483825,411.578325,404.033
421.323,421.0287,426.5539,417.92125,448.57305,411.61905,404.04295
421.368,421.129975,426.581675,418.01355,449.02215,411.68455,404.052275
421.40615,421.16435,426.6229,418.067825,449.118625,411.771625,404.06865
421.4694,421.193625,426.73,418.126475,450.55355,411.784575,404.075675
421.510925,421.289375,426.810275,418.1729,450.905075,411.810125,404.088975
421.562275,421.293475,426.992325,418.2322,451.010125,411.8601,404.101425
421.71025,421.323,427.003825,418.31165,451.126125,411.9103,404.125175
421.7468,421.368025,427.0281,418.365075,451.334575,412.0046,404.146025
421.910625,421.406175,427.31165,418.440475,451.4848,412.08195,404.17785
421.9496,421.469525,427.41995,418.463175,451.501225,412.119025,404.213775
422.1189,421.5109,427.42795,418.540875,451.53725,412.194275,404.44005
422.2873,421.56235,427.43765,418.58555,452.19635,412.208125,404.448975
422.4902,421.7103,427.448725,418.6682,452.442675,412.247925,404.45695
422.61,421.746825,427.6944,418.789525,452.513575,412.259775,404.46445
422.6349,421.910725,427.753525,418.8751,452.83275,412.32085,404.478925
423.060375,421.949675,427.837475,418.93925,453.2587,412.403375,404.4913
423.1301,422.11895,427.90895,419.108425,453.975825,412.452475,404.509875
423.234025,422.287325,428.000175,419.22625,455.187875,412.526775,404.5286
423.34805,422.4903,428.1251,419.30015,455.256175,412.5872,404.545175
423.445525,422.610025,428.194825,419.3911,456.838575,412.628675,404.5582
423.5933,422.63495,428.325725,419.487575,456.84575,412.715625,404.56645
423.647025,422.6715,428.45715,419.56595,457.550575,412.81255,404.57915
423.676075,423.0605,428.590475,419.6921,458.211375,412.82125,404.586525
423.8621,423.130125,428.716425,419.762575,459.030025,412.8811,404.59035
423.98055,423.23405,429.0197,419.852725,460.2519,412.926825,404.630675
424.052575,423.3481,429.102425,419.896075,460.46225,412.975575,404.64315
424.47985,423.354175,429.180575,420.037425,460.6628,413.05355,404.659825
424.550625,423.445575,429.630325,420.107825,460.7704,413.114275,404.685025
424.62785,423.59335,429.818175,420.157725,461.380575,413.187725,404.713575
