SPK_SPKC01a,SPK_SPKC01b,SPK_SPKC02a,SPK_SPKC03a,SPK_SPKC04a,SPK_SPKC05b,SPK_SPKC06a,SPK_SPKC06b,SPK_SPKC06c,SPK_SPKC08a,SPK_SPKC08b,SPK_SPKC09c,SPK_SPKC11b,SPK_SPKC11c,SPK_SPKC02c
33.264025,1.592925,20.1184,9.31885,1.375325,10.96755,0.951975,0.774975,1.274975,6.6183,1.992075,3.93405,3.047225,4.63415,1.35085
33.367,1.623,20.25745,9.717375,1.40555,10.98585,0.969225,0.79235,1.28525,6.653925,2.01115,3.981275,3.139425,4.692175,1.368975
33.563975,1.6406,21.5516,10.044625,1.420525,11.4276,0.989475,0.83635,1.2904,6.938875,2.0473,4.112875,3.154975,4.874825,1.378675
33.7874,1.69655,22.07595,10.17555,1.504,11.799425,1.0644,0.84845,1.3167,6.987525,2.0658,4.221125,3.3817,5.020075,1.384775
34.37885,1.72955,23.0255,10.273725,1.520425,12.537625,1.075425,0.87635,1.329375,7.001925,2.16365,4.288875,3.4077,5.1859,1.405125
34.860625,1.736175,23.456,10.320725,1.538325,12.6578,1.102725,0.929425,1.33705,7.0792,2.215325,4.3643,3.411225,5.272875,1.476975
35.210225,1.797625,23.64325,10.674675,1.5868,13.249225,1.121325,0.938875,1.347825,7.28785,2.2445,4.417,3.4483,5.31915,1.53965
35.3311,1.827125,24.45945,11.22775,1.593775,13.440875,1.169775,0.947775,1.356125,7.328725,2.269275,4.49725,3.499325,5.386225,1.546125
35.504125,1.86245,24.723225,11.299825,1.6164,13.621325,1.191475,0.95495,1.3624,7.395375,2.316925,4.541975,3.538625,5.47225,1.5552
35.68145,1.908,24.873475,11.878775,1.636375,14.05175,1.22585,0.97135,1.367725,7.4377,2.381075,4.5793,3.5621,5.548975,1.581325
38.319825,1.949425,25.0631,12.10205,1.6741,14.386325,1.289325,0.99645,1.40005,7.552075,2.4338,4.6947,3.588775,5.704525,1.592925
38.4405,1.96815,26.251625,12.170975,1.738975,14.40095,1.352525,1.00865,1.40705,7.960175,2.460825,4.75475,3.6376,5.72385,1.623025
38.5994,2.03175,26.4381,12.3018,1.76325,14.73205,1.38215,1.146525,1.45245,8.11275,2.52485,4.934075,3.66425,5.754025,1.640625
38.6984,2.039275,26.96065,12.368375,1.7737,14.846825,1.391975,1.1572,1.46315,8.185525,2.602325,4.956625,3.69545,5.89085,1.696575
40.0161,2.0537,27.051575,12.4364,1.800325,15.0753,1.40535,1.16475,1.524175,8.216025,2.630875,5.09465,3.7256,5.96705,1.72955
40.153375,2.0804,27.762075,12.794975,1.8061,15.17195,1.41785,1.173075,1.65805,8.4172,2.6627,5.14465,3.773925,6.2074,1.736175
40.514025,2.17755,28.1231,12.8179,1.810025,15.35055,1.43775,1.179325,1.66255,8.44255,2.686125,5.247925,3.899925,6.2913,1.797625
40.87085,2.219425,28.413675,12.905275,1.8226,16.845275,1.576275,1.1938,1.70075,8.6331,2.719375,5.318925,4.0718,6.331425,1.82715
40.94645,2.256325,29.37445,13.03455,1.830125,16.869125,1.593325,1.2028,1.70975,8.6857,2.7622,5.400775,4.095225,6.748325,1.845125
41.075,2.343375,29.899775,13.107725,1.836575,17.082075,1.60425,1.210075,1.722925,8.7888,2.795575,5.570725,4.257725,6.856375,1.86245
41.303725,2.367625,30.288925,13.28235,1.8527,17.124275,1.616075,1.218375,1.73715,8.917925,2.855775,5.610125,4.361425,7.026225,1.908
41.599175,2.384175,30.4036,14.384725,1.85975,17.369375,1.632875,1.237475,1.746225,9.207925,2.9052,5.73145,4.3835,7.0796,1.949425
43.77685,2.397225,30.6751,14.4784,1.86725,17.478175,1.6768,1.273025,1.78465,9.2865,2.936875,5.8639,4.4385,7.54705,1.953825
44.02405,2.487575,30.7275,14.56685,1.88655,18.41515,1.77775,1.300425,1.8726,9.4437,2.97845,5.986375,4.585775,7.84875,1.96815
44.058825,2.546025,30.803175,14.67655,1.895475,18.512125,1.781525,1.3116,1.914225,9.484625,3.00555,6.02545,4.654375,8.055875,2.003725
44.1443,2.6877,30.854275,14.9701,1.90185,18.87615,1.789125,1.3842,1.941225,9.6482,3.038725,6.064775,4.68525,8.562325,2.031725
44.3049,2.7328,30.94795,15.021125,1.925025,19.142125,1.79265,1.41005,2.04395,9.67695,3.0775,6.2107,4.7095,8.970525,2.039275
44.93855,2.73585,31.305725,15.251275,1.933925,19.29495,1.7972,1.4219,2.076,9.708325,3.1106,6.49355,4.743625,9.061,2.053725
46.049875,2.822675,31.618075,15.4546,1.950375,19.770925,1.80195,1.428425,2.140075,10.141625,3.1582,6.576425,4.790925,9.1011,2.0571
46.05335,2.8551,31.815,15.589475,1.970475,20.2577,1.805925,1.432675,2.18355,10.35415,3.198325,6.623825,4.798025,9.119375,2.0804
46.218525,2.88085,32.3519,15.838825,1.98415,20.515975,1.81045,1.44615,2.247175,10.395875,3.28615,6.734075,4.8322,9.281,2.17755
46.37885,3.1347,33.45685,15.914325,2.043425,20.538875,1.820375,1.4569,2.2866,10.4268,3.38235,6.949625,4.854225,9.3463,2.203275
47.2258,3.137825,33.65185,15.9488,2.09645,20.5969,1.8256,1.473,2.315025,10.549025,3.40475,7.013225,4.911375,9.38775,2.219425
48.97205,3.296425,33.7506,15.999025,2.101775,21.991625,1.8368,1.4841,2.34275,10.667625,3.449425,7.05145,4.99545,9.4951,2.256325
49.2663,3.370725,33.99075,16.0357,2.1085,22.319475,1.8435,1.5275,2.3658,10.812075,3.480025,7.163925,5.018825,9.526525,2.343375
50.4242,3.419925,34.088325,16.076525,2.14145,22.383075,1.850075,1.552125,2.375175,10.85465,3.523025,7.256975,5.09815,9.870925,2.36765
50.7439,3.620525,34.444475,16.120925,2.15205,22.59295,1.854825,1.578375,2.43565,11.102175,3.573075,7.289625,5.154375,10.170575,2.384175
51.52245,3.91355,34.6574,16.28865,2.158475,23.6045,1.862575,1.60605,2.503375,11.1581,3.643475,7.413925,5.2048,10.214025,2.39725
51.66825,3.949825,34.697925,16.31995,2.209925,23.6164,1.869,1.622075,2.66255,11.219925,3.7177,7.492625,5.3445,10.3368,2.487575
52.2402,4.088675,34.73125,16.736475,2.224725,23.837475,1.876325,1.63185,2.6891,11.3455,3.795875,7.55985,5.3978,10.461875,2.54605
52.316775,4.1088,35.140725,17.087275,2.256275,24.11085,1.883475,1.644275,2.70885,11.467025,3.82855,7.621725,5.483825,10.5322,2.5985
52.842175,4.15025,35.646325,17.115225,2.2829,24.463525,1.89085,1.674,2.76115,11.531,3.849775,7.6618,5.525225,10.622575,2.6877
52.919775,4.26855,36.142875,17.45185,2.29965,24.901775,1.8991,1.696775,2.83115,11.61015,3.8922,7.803,5.590275,10.6629,2.7184
53.023975,4.302875,36.723975,17.487825,2.31415,25.09765,1.929125,1.73525,2.928125,11.983925,3.91455,7.8489,5.66665,10.738125,2.732825
53.078275,4.39565,37.1145,17.577275,2.34105,25.3829,1.938575,1.751225,2.98625,12.025775,3.9694,7.8604,5.7526,10.99705,2.73585
55.14265,4.42585,37.1999,17.807275,2.373025,25.4855,1.9521,1.77225,3.009075,12.1769,4.084075,7.9345,5.817,11.0746,2.822675
55.47145,4.43385,37.354925,17.896925,2.384325,26.19065,1.99195,1.90175,3.180775,12.391225,4.129975,8.002525,5.92205,11.2216,2.8299
55.60125,4.639525,37.685875,18.116775,2.400825,27.2155,2.004975,1.91885,3.380825,12.47655,4.1565,8.02695,5.9283,11.34285,2.8551
55.737525,4.70725,38.173375,18.33375,2.405275,27.359775,2.0983,1.957575,3.394775,13.02355,4.45885,8.0864,5.999575,11.549925,2.88085
56.31,4.7709,38.242775,18.993575,2.4166,28.0702,2.103025,1.97485,3.423125,13.231575,4.47665,8.096925,6.131275,11.62405,3.0193
56.89925,4.787225,38.551525,19.20265,2.42645,28.30105,2.108625,1.9869,3.5925,13.351675,4.531025,8.245225,6.156525,11.729375,3.043125
58.232425,4.82265,38.874575,19.248125,2.451025,28.391575,2.12,2.0527,3.636175,13.501675,4.555,8.318475,6.1942,11.9773,3.1347
58.511925,4.8835,39.161925,19.463,2.4826,28.532875,2.12855,2.059525,3.736825,13.6153,4.61285,8.3588,6.218975,12.101675,3.192875
58.898975,4.8961,41.279775,19.586025,2.515425,28.790625,2.142775,2.0654,3.738175,13.652875,4.67465,8.4272,6.24315,12.22515,3.296425
58.9565,4.9043,41.39915,20.0163,2.527875,29.52895,2.148575,2.114175,3.79015,13.736525,4.751175,8.466925,6.293175,12.33505,3.32025
59.145175,5.121925,41.80165,20.1862,2.53865,30.0372,2.1555,2.147025,3.864875,14.025025,4.93065,8.559075,6.327325,12.385925,3.370725
59.972225,5.45035,41.8726,20.47255,2.54105,30.141275,2.161275,2.204475,3.866075,14.11425,4.982225,8.7103,6.3496,12.562475,3.419925
60.0968,5.453175,42.48295,20.514875,2.563275,30.671175,2.16795,2.22685,3.891375,14.1409,5.01605,8.82605,6.37395,12.67635,3.467875
60.847,5.5209,43.34905,20.785925,2.5709,30.795775,2.175325,2.2446,3.906275,14.414,5.116725,8.86525,6.4005,12.734725,3.47965
61.698875,5.534275,44.00035,21.11705,2.58465,30.9096,2.19325,2.25275,3.939125,14.64445,5.1671,8.943525,6.40735,12.800575,3.5384
63.041825,5.5482,44.372475,21.3465,2.615475,31.135775,2.203175,2.2608,3.968725,14.722075,5.205275,9.09315,6.49795,12.824525,3.552575
63.836775,5.65815,44.6937,21.502225,2.6511,31.667075,2.21305,2.2768,4.033775,14.9349,5.254825,9.14445,6.612325,12.8711,3.5807
65.269975,5.681675,44.813325,21.868475,2.68175,31.674725,2.221925,2.30325,4.0619,15.0243,5.2864,9.196675,6.652725,12.908925,3.62055
66.0768,5.715875,45.265075,22.216925,2.703175,31.9226,2.232225,2.30865,4.154275,15.19635,5.33385,9.3113,6.71135,12.964875,3.652525
68.143175,6.0791,45.939425,22.585825,2.75065,34.11345,2.25605,2.3438,4.2282,15.3416,5.37255,9.516125,6.73515,13.214675,3.710725
70.068675,6.127225,46.3564,22.674225,2.77735,34.683025,2.268075,2.37735,4.240675,15.4786,5.478575,9.541275,6.763125,13.26485,3.754675
71.0234,6.18225,46.4943,22.9083,2.802225,34.70305,2.278975,2.3816,4.290475,15.556175,5.554,9.577175,6.881425,13.291175,3.77385
71.04535,6.272475,46.735525,22.994725,2.811725,35.165675,2.289475,2.39255,4.34155,15.602625,5.585675,9.603425,6.891225,13.301725,3.91355
71.43205,6.277775,47.3561,23.40685,2.884925,35.560575,2.2984,2.418675,4.388875,15.728025,5.638875,9.788825,6.919825,13.830425,3.949825
72.46865,6.58715,47.911875,23.440375,2.9028,35.604675,2.310075,2.459225,4.4072,16.134275,5.7064,9.8688,6.9243,13.882175,4.050575
72.613425,6.83905,47.9952,23.47685,2.9346,36.021075,2.334825,2.485625,4.419075,16.3632,5.8458,9.9087,6.97095,14.28075,4.0662
72.881425,6.874125,48.03805,23.58575,3.00055,36.197625,2.3472,2.519175,4.4502,16.585125,5.9189,10.10975,7.008175,14.3446,4.088675
73.189025,7.06225,48.38045,23.616225,3.1585,37.217,2.402,2.5497,4.455275,16.6374,5.973525,10.1757,7.40995,14.3891,4.1088
73.703175,7.202925,48.466925,24.031625,3.162,37.64415,2.4125,2.572,4.4843,16.6841,6.011175,10.25785,7.499925,14.58935,4.15025
74.5801,7.393725,49.341275,24.199325,3.1985,37.664125,2.426175,2.596625,4.5021,16.760025,6.094,10.34755,7.51595,14.61405,4.203775
