SPK_SPKC01a,SPK_SPKC04a,SPK_SPKC09a,SPK_SPKC09b,SPK_SPKC10a,SPK_SPKC10b,SPK_SPKC10c,SPK_SPKC15a
205.525875,204.485175,205.2737,201.701575,208.639375,206.835025,201.280025,205.357825
205.609425,204.5042,205.33345,201.712575,208.672975,206.91865,201.290175,205.372625
205.614675,204.58395,205.4363,201.723025,208.7039,207.176875,201.316375,205.398925
205.662575,204.597125,205.71925,201.733,208.87205,207.2352,201.341475,205.436125
205.72255,204.68625,206.064775,201.7394,208.91505,207.239025,201.3569,205.485975
205.74345,204.694325,206.096175,201.771125,208.96255,207.251475,201.37215,205.55075
205.783725,204.7426,206.3023,201.8023,209.0011,207.268575,201.384925,205.60115
205.890725,204.98505,206.47165,201.811825,209.197375,207.289625,201.43465,205.6214
205.967975,205.04405,207.33055,201.813025,209.29405,207.34465,201.44915,205.803625
206.057425,205.05815,207.436125,201.8366,209.321875,207.386425,201.46155,205.81755
206.104925,205.17125,207.4433,201.8499,209.333475,207.562125,201.4898,205.9032
206.289275,205.249275,207.611275,201.8765,209.341675,207.672725,201.5028,206.1263
206.32805,205.2755,207.65115,201.8964,209.602725,207.75045,201.517575,206.201725
206.42075,205.334375,207.711575,201.93335,209.62015,207.82085,201.553125,206.3474
206.467,205.450975,207.77905,201.967175,209.8295,207.907725,201.5685,206.45615
206.4933,205.479425,207.85655,201.998475,209.9139,208.00095,201.60295,206.61365
206.5275,205.515325,207.868425,202.03505,209.92885,208.014375,201.615925,206.70455
206.58395,205.71235,207.915025,202.0974,210.214225,208.0228,201.6303,206.80385
206.69335,205.736325,207.92485,202.111175,210.239675,208.05715,201.64815,206.8105
206.771275,205.767625,207.940325,202.123725,210.2444,208.0649,201.658925,207.10835
206.7725,205.803275,207.9668,202.137925,210.371,208.072475,201.664875,207.142225
206.869275,205.8172,207.973225,202.1627,210.44125,208.081725,201.67685,207.1847
206.9892,205.877975,207.978925,202.1713,210.48285,208.095,201.683,207.271425
207.050225,205.88875,208.002425,202.182075,210.58215,208.11585,201.697075,207.2899
207.12525,205.912125,208.073825,202.194075,210.640425,208.122925,201.7038,207.2983
207.141075,205.934625,208.080925,202.206175,210.676975,208.126725,201.716725,207.388225
207.181725,205.961775,208.086875,202.21705,210.89525,208.1358,201.733725,207.471975
207.22315,206.0124,208.109675,202.228025,210.8964,208.151125,201.740575,207.5535
207.413875,206.020325,208.1294,202.2382,210.9228,208.160775,201.763275,207.598975
207.428275,206.037325,208.136275,202.258475,211.020775,208.1703,201.7798,207.611575
207.601925,206.046325,208.155225,202.275,211.110575,208.179975,201.788975,207.7332
207.603325,206.056125,208.15685,202.284625,211.111825,208.19255,201.7972,207.7662
207.818475,206.062725,208.187225,202.316825,211.17465,208.210325,201.803475,207.84045
207.864125,206.336875,208.20625,202.3433,211.176,208.25165,201.811825,207.880775
207.912275,206.357875,208.213575,202.37075,211.224575,208.2567,201.87,207.940925
208.02045,206.367375,208.23785,202.382625,211.261875,208.26605,201.8858,208.079125
208.1112,206.390175,208.2492,202.403975,211.695575,208.2831,201.906475,208.107325
208.1514,206.42265,208.279925,202.415575,211.88545,208.306125,201.95085,208.1242
208.19485,206.43225,208.3114,202.421475,212.2356,208.328325,201.96495,208.139225
208.21325,206.4407,208.33585,202.445475,212.3068,208.34925,201.997,208.1462
208.3324,206.46775,208.3475,202.485625,212.34895,208.37465,202.013425,208.165775
208.596425,206.48705,208.362,202.522425,212.369875,208.385425,202.0311,208.19695
208.828625,206.4989,208.38705,202.54805,212.42975,208.412175,202.045525,208.253325
208.85505,206.50745,208.412675,202.570025,212.646425,208.42265,202.0641,208.259575
208.859325,206.515425,208.425225,202.590625,212.775725,208.44405,202.08065,208.284575
208.927475,206.52415,208.4403,202.61285,213.137575,208.457825,202.1065,208.382325
208.948125,206.5322,208.4508,202.62605,213.254525,208.4773,202.112675,208.3901
208.975175,206.555125,208.4657,202.639225,213.337375,208.508325,202.121,208.490625
209.1256,206.56255,208.47495,202.6456,213.428175,208.5184,202.13955,208.499275
209.248125,206.667975,208.48305,202.648625,213.459225,208.5416,202.16335,208.565275
209.279825,206.870925,208.491625,202.6579,213.520375,208.555775,202.1713,208.577775
209.292675,206.97395,208.5098,202.67685,213.52275,208.569725,202.177625,208.58865
209.387525,207.002225,208.537525,202.68785,213.60705,208.585325,202.18415,208.640425
209.579025,207.012075,208.552625,202.69635,213.889575,208.614075,202.190875,208.646825
209.6634,207.0495,208.5642,202.7088,214.00855,208.623025,202.2133,208.662475
209.8718,207.431975,208.57905,202.73355,214.03545,208.63065,202.2217,208.675875
209.9324,207.93095,208.58035,202.750375,214.057625,208.651,202.2302,208.702475
210.06275,207.9411,208.594375,202.76475,214.088775,208.65975,202.25225,208.758825
210.23995,207.962425,208.61675,202.78775,214.15775,208.6654,202.2716,208.781725
210.29805,208.915625,208.622375,202.8179,214.42455,208.67865,202.278,208.819575
210.408,209.822775,208.668225,202.900975,214.49145,208.6975,202.288925,209.013275
210.52675,209.90335,208.674825,202.96305,214.6555,208.709125,202.29605,209.04205
210.74625,210.05935,208.686525,203.0083,214.700975,208.716875,202.300825,209.05115
210.7867,210.0734,208.69325,203.03065,214.94135,208.734625,202.313025,209.05845
210.895825,210.0872,208.722575,203.050825,214.98065,208.740325,202.3435,209.067075
210.992125,210.1458,208.738025,203.063875,215.016175,208.746475,202.3659,209.139525
211.023275,210.17895,208.745575,203.072475,215.077875,208.752175,202.375025,209.1553
211.080175,210.9109,208.752875,203.0878,215.168375,208.76025,202.389,209.185075
211.163525,211.358025,208.7751,203.098925,215.176375,208.7883,202.39945,209.203925
211.491675,211.6914,208.7774,203.110625,215.28755,208.79945,202.415625,209.213125
211.5912,211.702325,208.823975,203.119825,215.361275,208.80835,202.440225,209.24585
211.6527,211.714525,208.8509,203.1324,215.375475,208.8181,202.46345,209.25245
211.655475,212.005825,208.866125,203.1455,215.41615,208.8264,202.472925,209.273525
211.743525,212.4316,208.890225,203.1533,215.796575,208.83415,202.488725,209.281825
211.7492,212.639675,208.9158,203.1618,216.054875,208.846075,202.5044,209.37735
211.7896,212.82005,208.9282,203.1728,216.302025,208.863525,202.527775,209.4123
211.817125,213.318075,208.968575,203.185775,216.50595,208.8879,202.545375,209.419175
211.944675,213.3427,208.981325,203.1997,216.5515,208.901875,202.560725,209.468675
212.011,213.35355,208.988075,203.214125,216.742,208.934775,202.58395,209.478275
212.04375,213.3685,208.9968,203.227775,216.747475,208.96125,202.587225,209.499125
212.072675,213.722175,209.0011,203.243025,217.0259,208.969875,202.5941,209.9663
212.196775,213.839725,209.004825,203.2566,217.200775,209.0129,202.61985,209.97475
212.220475,214.201125,209.008,203.2701,217.5079,209.025325,202.625775,210.294175
212.414325,214.397725,209.0106,203.29535,217.529125,209.040475,202.68845,210.30445
212.5084,214.4103,209.027025,203.3281,217.6533,209.0527,202.704875,210.377775
212.5926,214.582125,209.0299,203.426525,217.699925,209.060475,202.762075,210.4052
212.710275,214.60215,209.038775,203.44855,217.81325,209.068475,202.775775,210.449625
212.90435,214.823125,209.05035,203.46915,218.0662,209.07595,202.80715,210.45695
213.047725,215.04645,209.053525,203.481575,218.088225,209.098275,202.8215,210.465725
213.113975,215.0594,209.056525,203.49325,218.093925,209.108025,202.85525,210.48955
213.13425,215.230275,209.07195,203.507325,218.146,209.12355,202.8718,210.5442
213.183575,215.3103,209.07875,203.5218,218.159225,209.132825,202.886775,210.641475
213.397825,215.3481,209.094425,203.53675,218.3966,209.16015,202.90185,210.707975
213.415725,215.577825,209.1025,203.558325,219.06875,209.18165,202.90685,210.716
213.5475,215.618425,209.1098,203.605925,219.16125,209.19355,202.918025,210.7421
213.6942,215.646325,209.123975,203.661,219.1841,209.209675,202.923,210.75085
213.7756,215.656025,209.133775,203.71775,219.1974,209.218875,202.94765,210.756575
213.808625,215.736225,209.153025,203.771775,219.217175,209.24875,202.96455,210.785175
213.86515,215.758975,209.194,203.81385,219.2588,209.25605,202.979025,210.799775
213.901575,215.770225,209.20955,203.834075,219.45145,209.263875,202.99265,210.807925
213.93905,215.81985,209.22795,203.85025,219.520025,209.2673,203.0046,210.932375
213.983825,216.0195,209.285075,203.861525,219.8083,209.2817,203.0118,210.939325
214.194675,216.074775,209.29885,203.87495,219.8182,209.305225,203.01635,210.9479
214.20455,216.1209,209.311075,203.881975,219.950575,209.35215,203.041525,211.00475
214.375025,216.142375,209.3478,203.88675,219.97475,209.358675,203.05685,211.020375
214.394175,216.39905,209.356,203.894525,220.075825,209.364475,203.061025,211.0609
214.45005,216.412825,209.36275,203.907175,220.449725,209.37315,203.075025,211.0778
214.5305,216.441175,209.38845,203.91565,220.607675,209.3812,203.080325,211.1788
214.573725,216.457525,209.394625,203.95705,220.72375,209.39955,203.1007,211.2108
214.64335,216.478675,209.40595,203.9909,220.9901,209.40775,203.107175,211.23925
214.883125,216.5607,209.411975,204.00205,221.274775,209.418975,203.1113,211.262075
215.00745,216.595825,209.41615,204.011275,221.296975,209.42815,203.1716,211.276075
215.068275,216.605825,209.421625,204.01575,221.4935,209.448125,203.2013,211.2992
215.13625,216.6272,209.430425,204.029425,221.7273,209.45325,203.227275,211.3628
215.286525,216.6342,209.437025,204.037825,221.872375,209.4881,203.2468,211.383325
215.394475,216.820125,209.454725,204.0484,221.8874,209.5923,203.2507,211.3892
215.4532,216.8385,209.46835,204.059475,221.93335,209.69615,203.25995,211.397975
215.51275,216.973825,209.492125,204.082275,221.96375,209.7287,203.273275,211.4145
215.612,216.98625,209.5306,204.0948,222.01435,209.7691,203.28985,211.67615
215.67775,216.9959,209.553025,204.12115,222.455675,210.30585,203.3013,211.79495
215.804025,217.01745,209.5649,204.1348,222.89955,210.35215,203.3184,211.9367
215.8238,217.03995,209.59365,204.14415,222.906425,210.375175,203.33815,212.27685
216.156875,217.10915,209.620175,204.156675,222.914425,210.382125,203.362625,212.3058
216.346575,217.244675,209.6703,204.164575,224.108325,210.465375,203.371225,212.361
216.4168,217.25845,209.71985,204.20225,224.1146,210.469275,203.380025,212.5231
216.420475,217.273375,209.829525,204.211375,224.180075,210.5114,203.383425,212.656025
216.51515,217.30025,210.06455,204.239225,224.321675,210.529175,203.397875,212.673975
216.5633,217.359625,210.1183,204.2476,224.43125,210.548075,203.412025,212.695725
216.70685,217.3903,210.145225,204.255425,224.52205,210.552975,203.4379,212.74045
216.7289,217.416425,210.159675,204.2733,224.815525,210.586575,203.44485,212.839625
216.76605,217.45355,210.2174,204.2972,224.957675,210.58765,203.449425,212.8568
216.88575,217.7016,210.282475,204.3673,225.3522,210.6187,203.453925,212.93275
216.97985,217.7083,210.28825,204.395175,225.799425,210.66485,203.4587,213.1119
217.0149,217.75605,210.3344,204.425525,225.880825,210.7048,203.467925,213.1374
217.0977,217.85195,210.34,204.441675,225.9169,210.719925,203.4712,213.16625
217.275225,217.9357,210.35215,204.465375,226.0155,210.745925,203.49205,213.21435
217.3017,218.010125,210.380575,204.493125,226.1847,210.756875,203.494175,213.33135
217.332,218.069275,210.3959,204.52,226.293975,210.7637,203.5004,213.49545
217.3629,218.097625,210.42675,204.541875,226.34645,210.778125,203.520775,213.5277
217.489725,218.264725,210.4654,204.565425,226.390925,210.78905,203.529175,213.568575
217.5003,218.460375,210.471875,204.641225,226.505875,210.8002,203.533225,213.704925
217.681675,218.484275,210.47885,204.679775,226.7971,210.819225,203.55055,213.727875
217.8026,218.51495,210.494575,204.723375,227.074475,210.828175,203.55765,213.84505
217.814925,218.56545,210.530275,204.749775,227.270025,210.83715,203.56875,214.03325
217.8873,218.57445,210.53845,204.775075,227.4706,210.856,203.581975,214.0454
217.95265,218.612925,210.546225,204.807925,227.918075,210.8874,203.6125,214.107275
218.039975,218.64775,210.555675,204.81845,228.04985,210.934325,203.62125,214.13015
218.197525,218.738075,210.5625,204.8403,228.0682,210.958575,203.66175,214.194375
218.261675,218.785325,210.602725,204.85825,228.375575,210.978175,203.678825,214.3749
218.282875,218.865,210.6613,204.866725,228.426625,210.985375,203.70765,214.526925
218.310625,218.9307,210.677,204.879575,228.47095,211.045175,203.726875,214.55155
218.312425,218.99005,210.695125,204.88605,228.516425,211.07475,203.786175,214.5686
218.373425,219.003275,210.71065,204.923725,228.53015,211.098425,203.793,214.592275
218.504225,219.2805,210.7374,204.93785,228.53255,211.131075,203.798025,214.6706
218.53255,219.526075,210.750625,204.952775,228.58385,211.144175,203.815925,214.683475
218.720725,219.55285,210.7614,204.961675,228.591325,211.157275,203.81945,214.7268
218.8718,219.583025,210.781225,204.9698,228.61455,211.167025,203.822025,214.7759
218.980275,219.607925,210.812925,204.984,228.9096,211.1863,203.828675,214.803025
219.030475,219.63755,210.8228,204.99725,228.971375,211.19555,203.8455,214.816175
219.35585,219.676075,210.82765,205.032325,228.985125,211.197075,203.856425,214.87395
219.40015,219.7458,210.836,205.05825,229.017875,211.206025,203.860375,214.908225
219.4848,219.772475,210.84105,205.08165,229.1286,211.232,203.901475,215.053925
219.499725,220.267525,210.8625,205.117125,229.3342,211.271875,203.93435,215.091075
219.592525,220.300275,210.87445,205.14445,229.403275,211.285925,203.9379,215.151825
219.64185,220.318,210.882225,205.191975,229.423225,211.2899,203.941775,215.29605
219.674675,220.3329,210.88675,205.23935,229.824475,211.302525,203.951575,215.360625
219.717475,220.34965,210.8903,205.28205,229.94075,211.33075,203.963125,215.66105
219.751175,220.365,210.9,205.312625,229.9433,211.337925,203.975675,215.70185
219.811625,220.668675,210.905575,205.3406,229.954975,211.376475,203.983825,215.729225
219.96665,220.7038,210.90985,205.381125,229.975225,211.3913,204.000725,215.743375
220.11415,220.734475,210.911275,205.39265,230.165,211.4369,204.00355,215.7525
220.2275,220.98015,210.918675,205.400925,230.19515,211.53315,204.007875,215.774125
220.300975,221.0213,210.924675,205.411525,230.20265,211.538275,204.04035,215.863525
220.455525,221.0457,210.929925,205.42405,230.212575,211.5623,204.055725,215.876775
220.554925,221.09165,210.94205,205.4452,230.229225,211.5952,204.074525,215.884725
220.57285,221.148825,210.969325,205.46645,230.270875,211.605325,204.083925,215.892075
220.699925,221.264025,210.983925,205.49545,230.372075,211.6166,204.0888,215.91555
220.753975,221.3304,210.998125,205.5131,230.423825,211.726425,204.091575,215.942425
220.8009,221.56615,211.0118,205.5368,230.450975,211.73725,204.097425,216.283075
220.828875,221.7114,211.0316,205.554375,230.457,212.022275,204.104375,216.294875
220.867725,221.714525,211.058075,205.568925,230.8233,212.142025,204.109975,216.3381
220.91015,222.0251,211.0701,205.58045,230.83595,212.1513,204.13295,216.37835
220.964025,222.09415,211.114325,205.590325,230.874925,212.219175,204.143625,216.480425
220.979825,222.1786,211.125875,205.5969,230.89865,212.2387,204.1589,216.708075
221.04565,222.3188,211.14005,205.6085,230.939625,212.258875,204.175,216.71865
221.094175,222.397925,211.160775,205.61845,230.9808,212.28715,204.18265,216.761375
221.2513,222.605025,211.176025,205.62795,231.105475,212.4692,204.2067,216.817525
221.455875,222.6873,211.18245,205.63765,231.405975,212.627575,204.2167,216.83595
221.552275,222.71875,211.190475,205.645575,231.607775,212.75455,204.225875,216.8743
221.693475,222.756475,211.218075,205.657475,231.681525,212.764725,204.2371,217.164275
221.8175,222.909025,211.241375,205.669025,231.721675,212.81055,204.267775,217.2197
221.81945,223.227325,211.2513,205.679525,231.737,212.821325,204.281,217.26195
222.08065,223.3882,211.263475,205.6893,231.75255,213.005725,204.2901,217.281975
222.18175,223.4065,211.2887,205.700225,231.882975,213.447975,204.314975,217.2927
222.29005,223.4611,211.296925,205.726375,231.9613,213.47605,204.3321,217.397075
222.323925,223.575275,211.302175,205.74175,232.111125,213.5108,204.344675,217.4201
222.369475,223.81375,211.31785,205.758575,232.185575,213.59755,204.355325,217.42795
222.42825,223.9509,211.3248,205.806875,232.2585,213.637325,204.40825,217.4438
222.45095,224.246025,211.331225,205.820875,232.291825,213.6514,204.4162,217.4673
222.681175,224.50815,211.384575,205.866675,232.38375,213.6901,204.442375,217.511075
222.693475,224.63245,211.3971,205.894275,232.621925,213.902,204.45255,217.539875
222.7242,224.74325,211.417225,205.9433,232.64055,213.99185,204.46135,217.672375
222.778175,224.81865,211.436925,205.9869,232.688575,214.02835,204.474075,217.687025
222.81115,224.85025,211.4419,206.010975,232.782725,214.181425,204.483625,218.142075
222.833025,224.93815,211.453225,206.0453,232.923025,214.302775,204.49785,218.153175
222.947075,225.05805,211.460425,206.079475,232.998425,214.35635,204.506825,218.1644
223.289375,225.11425,211.51405,206.10675,233.00705,214.435025,204.526475,218.1724
223.3206,225.1651,211.531175,206.11835,233.12055,214.47265,204.548575,218.179925
223.339525,225.212225,211.601025,206.12515,233.172275,214.53635,204.569525,218.229975
223.3605,225.315325,211.709525,206.139575,233.269375,214.579075,204.58435,218.255975
223.39775,225.317725,211.73525,206.172125,233.33305,214.594425,204.60315,218.3334
223.453,225.34235,211.742125,206.1828,233.35025,214.632775,204.6239,218.43055
223.50695,225.353075,211.78555,206.195625,233.484125,214.6901,204.634125,218.6586
223.5496,225.450225,211.8003,206.20825,233.48515,214.858375,204.658925,218.7964
