SPK_SPKC02a (no effect),SPK_SPKC08a (inhibited),SPK_SPKC09a (inhibited),SPK_SPKC13a (inhibited)
34.7064,63.050775,5.197875,3.95575
35.062325,63.324175,5.238875,4.002275
35.094125,65.28925,5.26255,4.061225
35.25055,65.30745,5.36535,4.117675
35.573375,65.442875,5.427875,4.15635
36.228975,65.4894,5.44095,4.16725
36.303675,66.27935,5.464575,4.198675
36.323825,66.64985,5.497775,4.2374
36.5889,66.797075,5.5194,4.2437
36.869075,67.16635,5.55985,4.25495
38.05255,67.362975,5.642725,4.26385
38.087875,67.43625,5.6773,4.3099
38.248375,67.4512,5.71375,4.322325
38.257575,67.676325,5.7491,4.3421
38.393325,68.69675,5.788075,4.37705
38.696425,68.735475,5.836825,4.393
39.045625,69.3063,5.90435,4.4299
39.443625,69.6351,5.935075,4.444425
39.446475,70.72265,5.9545,4.47665
39.53685,70.90735,6.035175,4.485575
39.680475,71.268,6.055775,4.53215
39.798725,71.751225,6.072125,4.5446
39.80585,72.947075,6.103,4.5672
39.818625,73.089925,6.144575,4.590425
39.92525,73.267475,6.17585,4.602675
39.938175,73.44305,6.2121,4.607525
40.14615,73.63515,6.2462,4.658375
40.1584,73.662425,6.274325,4.701375
40.227475,73.754775,6.286525,4.73275
40.404475,74.106275,6.317325,4.74245
40.52045,74.651275,6.3336,4.773975
40.559475,75.021225,6.347375,4.789625
41.0206,75.3421,6.38995,4.81705
41.2654,75.464425,6.421225,4.880475
41.32785,76.39865,6.489125,4.8833
41.68905,76.9834,6.5101,4.93125
42.280925,77.074325,6.57335,4.942225
42.8592,77.673975,6.63935,4.95125
42.89715,78.031675,6.693225,4.975125
43.725825,78.053075,6.71875,5.00575
44.7906,78.2166,6.75155,5.02555
47.5862,78.3035,6.7702,5.0331
47.724975,78.4811,6.854375,5.052875
47.8713,78.515675,6.885625,5.0667
47.888225,78.5577,6.947925,5.07965
47.9147,78.971925,7.15575,5.113025
47.927275,79.286,7.213725,5.117625
48.0085,79.364625,7.27925,5.119775
48.017625,79.6011,7.344075,5.14555
48.034525,80.21545,7.3622,5.184975
48.037175,80.368925,7.40455,5.226275
48.0778,82.024425,7.45955,5.2441
48.198475,82.08185,7.50905,5.2871
48.208925,82.318,7.5327,5.32355
48.361975,82.678625,7.568375,5.365775
48.4797,82.935075,7.63805,5.3727
48.6227,83.084775,7.728275,5.374025
48.90725,83.317525,7.765675,5.43435
49.655725,83.813375,7.79915,5.4575
49.93095,84.149925,7.815575,5.467475
50.1258,86.081475,7.916475,5.514
50.1663,86.17055,7.935425,5.546225
50.244825,86.4348,7.9681,5.6604
50.470725,86.886625,8.0128,5.68775
50.886775,87.540125,8.08095,5.7684
51.119225,87.8574,8.139925,5.783375
51.648475,88.02035,8.16215,5.803475
52.5036,88.713425,8.2026,5.82585
52.607725,88.724675,8.23685,5.86835
52.8265,89.390375,8.2931,5.91775
52.920775,89.47105,8.345775,5.977975
52.934825,89.585725,8.368325,6.01035
53.00755,89.66805,8.43515,6.02125
53.152975,89.95985,8.4692,6.026825
53.372975,90.704325,8.494625,6.0358
53.6052,91.11185,8.5371,6.041775
53.6498,91.505325,8.570175,6.08125
54.4844,92.32275,8.60935,6.208675
54.5488,93.087375,8.65645,6.248975
54.562725,93.33665,8.690275,6.259725
55.987275,93.8131,8.72325,6.2736
55.99595,94.299725,8.756675,6.301325
56.004525,94.35935,8.773775,6.341675
56.02205,94.4108,8.809425,6.3636
56.517075,94.485175,8.846575,6.38425
56.63465,94.804575,8.9059,6.4371
56.6685,94.909325,8.976325,6.461675
56.841425,95.525775,9.0337,6.48015
57.12035,95.5809,9.069,6.493025
57.58565,95.866225,9.101425,6.50495
57.751875,96.138775,9.1216,6.518925
