SPK_SPKC02a (inhibited),SPK_SPKC04b (excited),SPK_SPKC07a (excited),SPK_SPKC11a (inhibited)
12.9132,10.728975,23.670225,6.926325
12.9614,10.83165,23.9642,6.965075
13.058475,10.90225,24.776425,6.99495
13.13645,10.935125,26.556525,7.05365
13.165725,10.98485,26.675575,7.094225
13.236875,11.269525,26.718025,7.27655
13.3338,11.354325,26.8007,7.365375
13.377625,11.408625,26.924075,7.40335
13.396,11.446375,27.0455,7.438225
13.4257,11.489925,27.14395,7.5033
13.43565,11.534075,27.305975,7.536975
13.479775,11.547425,27.409575,7.603125
13.54605,11.59105,27.883325,7.6712
13.593425,11.6271,28.31025,7.707675
13.63285,11.63485,28.358875,7.7273
13.705525,11.704625,28.642525,7.7534
13.72975,11.73585,28.71675,7.76565
13.756025,11.775675,28.92,7.79525
13.82075,11.96655,28.946325,7.826425
13.955025,11.976325,29.036175,7.878075
14.0248,12.00525,29.0961,7.94785
14.0722,12.10055,29.157225,7.990325
14.16265,12.184,29.353275,8.021675
14.17165,12.26625,29.418825,8.116075
14.21005,12.287875,29.49055,8.148925
14.392625,12.40245,29.552825,8.191275
14.47495,12.41975,29.78675,8.237225
14.580275,12.45975,30.046775,8.288225
14.5926,12.469,30.1525,8.341275
14.663225,12.484025,30.319025,8.3676
14.700725,12.548425,30.5857,8.402
14.751125,12.56325,30.647475,8.4207
14.819125,12.695025,30.956525,8.4577
14.88165,12.7962,31.08045,8.4735
14.923975,12.84815,31.42545,8.569975
14.98895,12.896475,31.5508,8.5923
15.038375,12.94695,31.646875,8.6537
15.111875,12.962075,31.774175,8.73315
15.118575,13.009225,31.86045,8.76945
15.243875,13.019475,31.97045,8.81105
15.354175,13.0728,32.852275,8.8922
15.457775,13.073975,33.20805,8.897675
15.50035,13.143425,33.26625,8.915975
15.5621,13.2199,33.8695,8.93845
15.657675,13.242525,34.421475,8.956825
15.7163,13.27685,35.3046,8.971725
15.753225,13.327475,35.6313,9.002425
15.818575,13.38155,35.983625,9.0388
15.835275,13.38895,36.038525,9.085975
15.885325,13.4325,37.5163,9.133175
15.93165,13.485125,38.154875,9.1832
15.983475,13.5491,38.76115,9.23975
15.99375,13.5933,38.828875,9.288275
16.114725,13.653975,39.021675,9.3156
16.19055,13.7129,39.282475,9.352925
16.3254,13.78695,39.47675,9.37545
16.41105,13.793,39.574525,9.39475
16.4875,13.8118,39.605525,9.41925
16.626575,13.953025,39.69025,9.425375
16.69405,13.969475,39.7576,9.466475
16.739775,13.98915,39.941075,9.493975
16.907375,14.019275,40.494875,9.5451
17.0572,14.232075,40.56305,9.5699
17.1038,14.282025,40.680975,9.595125
17.12165,14.33675,40.74395,9.6173
17.3069,14.3708,40.792625,9.64225
17.3838,14.45155,40.952725,9.6655
17.446575,14.48605,41.12345,9.68985
17.526025,14.556325,41.294825,9.71805
17.582425,14.596025,41.369125,9.7454
17.6544,14.70855,41.50285,9.7628
17.70465,14.8605,41.591225,9.795375
17.74085,15.0943,41.728425,9.824525
17.81625,15.1747,41.7946,9.854
17.85675,15.232075,41.882025,9.895375
17.90555,15.2355,41.990825,9.91395
17.97255,15.377325,42.0497,9.9391
18.04805,15.408275,42.1011,9.97255
18.09035,15.415225,42.154075,10.017475
18.145925,15.63245,42.18815,10.059375
18.25735,15.68885,42.2509,10.101275
18.34855,15.724825,42.291125,10.1387
18.40575,15.767475,42.333,10.16965
18.466075,15.7704,42.494775,10.1905
18.609925,15.826725,42.5158,10.222325
18.664825,15.904025,42.64075,10.25235
18.714975,15.98285,42.774175,10.259325
18.849225,16.03655,42.821425,10.2859
18.8949,16.06425,42.87905,10.3282
18.963625,16.12875,42.94635,10.452325
19.05385,16.1762,43.054875,10.512625
19.136575,16.182325,43.191075,10.5432
19.207525,16.22705,43.274725,10.562125
19.2511,16.2795,43.4705,10.58685
19.274525,16.317825,43.8242,10.624
19.2912,16.341725,43.929175,10.6407
19.4156,16.39905,44.099375,10.6666
19.466275,16.447475,44.27975,10.69725
19.5059,16.518075,44.534925,10.71805
19.5376,16.525675,44.6296,10.737225
19.58465,16.532875,44.757275,10.745175
19.631775,16.577825,44.882625,10.780725
19.66035,16.600925,44.937475,10.8303
19.7263,16.615525,45.038625,10.851525
19.77255,16.62855,45.188125,10.898775
20.024475,16.644475,45.3108,10.90905
20.061975,16.705275,45.53715,10.943875
20.1087,16.77425,45.700975,10.982425
20.186275,16.83915,45.75775,10.998575
20.3266,16.939175,45.893325,11.012475
20.382725,16.955925,46.101275,11.024775
20.497575,16.966875,46.159825,11.061575
20.60815,16.972325,46.243175,11.10645
20.706625,17.164275,46.325925,11.140025
20.738875,17.252725,46.723225,11.1904
20.82265,17.3223,46.820875,11.21015
20.8632,17.33935,46.939275,11.243375
20.9167,17.542575,47.07355,11.254625
20.945425,17.588025,47.182275,11.328825
21.0063,17.682125,47.259125,11.340425
21.096525,17.741325,47.326025,11.3455
21.120175,17.8265,47.413275,11.3745
21.1579,17.95705,47.4772,11.39465
21.20245,18.1138,47.94155,11.4165
21.2741,18.2219,48.03235,11.448575
21.361125,18.2265,48.18685,11.50165
21.428375,18.341025,48.318575,11.575275
21.6231,18.37895,49.672975,11.583925
21.6678,18.389025,50.018075,11.61045
21.736625,18.455025,50.14345,11.61725
21.785475,18.492575,51.53425,11.637075
21.88365,18.52105,51.938025,11.67455
21.94385,18.558725,52.207875,11.6756
22.0364,18.6082,52.963725,11.68715
22.09895,18.62305,53.1694,11.7064
22.14945,18.6775,53.378675,11.723675
22.258125,18.7232,53.45035,11.758625
22.3226,18.726925,53.570125,11.8001
22.363425,18.7804,53.6408,11.816875
22.40645,18.84095,53.724725,11.8241
22.485525,19.021575,53.86535,11.861825
22.54635,19.12895,54.03445,11.88705
22.60525,19.19595,54.11685,11.9733
22.659775,19.4208,54.4754,12.0264
22.7497,19.477775,54.49575,12.034425
22.814125,19.5661,54.518425,12.0581
22.877575,19.636875,54.96195,12.115675
23.0053,19.72035,55.404875,12.124625
23.138325,19.77595,55.489575,12.15085
23.252775,19.817,55.7722,12.175775
23.384075,20.029,56.3483,12.20635
23.4539,20.0373,56.551675,12.23865
23.53995,20.095775,56.685925,12.27085
23.568875,20.1841,56.8113,12.305425
23.6114,20.21975,56.873025,12.34005
23.6559,20.23605,56.982375,12.348425
23.6961,20.2508,57.058875,12.3732
23.7139,20.299225,57.1272,12.397825
23.76215,20.364575,57.24655,12.401
23.892525,20.426125,57.4008,12.426425
23.94705,20.447775,57.57,12.463525
24.054525,20.6158,57.724625,12.48425
24.2278,20.6173,57.9054,12.5057
24.278825,20.65255,58.15475,12.53375
24.3138,20.845,58.5323,12.54075
24.415625,20.927175,58.817,12.673175
24.50985,20.97105,58.962025,12.705925
24.580375,20.973125,59.321075,12.7265
24.636275,21.020125,59.44425,12.759025
24.66035,21.04855,59.608525,12.808525
24.74545,21.249775,59.67605,12.830875
24.79095,21.2585,59.782325,12.843775
24.961425,21.367,59.891475,12.877375
25.092025,21.387625,60.137075,12.92945
25.22235,21.426825,60.399275,12.964275
25.311425,21.473775,60.56565,13.01435
25.40885,21.563375,60.872875,13.041025
25.510875,21.637525,60.931475,13.1014
25.561175,21.713575,61.0396,13.140725
25.6204,21.803475,61.153325,13.2179
25.676675,21.8678,61.375725,13.23965
25.7742,21.9352,61.467975,13.29275
25.8632,21.992125,61.54045,13.299475
25.90785,22.119475,62.147825,13.3667
25.957475,22.220425,62.306575,13.396175
26.035275,22.384225,62.827325,13.42585
26.0928,22.53065,62.847475,13.432675
26.152375,22.590625,63.433875,13.44115
26.221325,22.648975,66.159875,13.46565
26.306475,22.695075,67.007975,13.5104
26.37725,22.7133,67.931625,13.542425
26.592,22.91055,68.25375,13.546225
26.64255,22.960025,68.343325,13.563475
26.667975,23.123275,68.562825,13.6315
26.7058,23.15145,68.795175,13.658525
26.764275,23.19455,68.933125,13.679075
26.829725,23.306575,69.054725,13.72485
26.9098,23.3136,69.140975,13.73
26.9571,23.431025,69.31735,13.73545
27.018375,23.49325,69.517625,13.76275
27.088675,23.561825,69.586925,13.7779
27.1323,23.57365,69.719525,13.831775
27.206625,23.681275,69.8825,13.869175
27.34295,23.695325,70.002775,13.8909
27.431425,23.805875,70.084,13.9222
27.506425,23.8147,70.191925,13.923375
27.8226,24.0125,70.35905,13.952125
27.86405,24.033925,70.56765,13.981625
27.90845,24.076875,70.643175,14.00745
28.03995,24.1677,70.696,14.026725
28.14665,24.202,70.95465,14.0547
28.170425,24.23835,70.992525,14.0862
28.24005,24.35005,71.458125,14.105025
28.295675,24.403075,71.54235,14.1405
28.361275,24.458175,71.6761,14.166525
28.431725,24.469575,71.7223,14.17185
28.5206,24.5124,71.784475,14.190775
28.607225,24.57615,71.865925,14.21225
28.671975,24.61615,72.658825,14.217525
28.765375,24.650775,73.2511,14.237275
28.901075,24.669175,73.40715,14.261325
28.94375,24.759225,74.257075,14.2856
28.987375,24.825375,75.053475,14.31065
29.072225,24.879125,75.1398,14.339075
29.1239,24.917675,75.712225,14.345675
29.188575,24.96665,75.812325,14.3744
29.237325,25.026725,76.1572,14.38685
29.6461,25.30065,76.372425,14.420975
29.759325,25.34485,76.755475,14.43105
29.81235,25.412375,77.13065,14.4491
29.836775,25.434825,77.212625,14.47975
29.882075,25.471875,77.4554,14.51445
29.92755,25.5229,77.606025,14.543425
30.004975,25.5776,77.865875,14.580475
30.08945,25.690325,77.90195,14.60105
30.172675,25.764325,78.2219,14.6387
30.194075,25.862375,78.380525,14.65535
30.280825,25.9267,78.494,14.66345
30.33435,25.991675,79.202225,14.690075
30.43305,26.048875,79.60095,14.72305
30.526425,26.1037,79.7352,14.749025
30.658325,26.11695,79.763225,14.77715
30.6897,26.194775,79.9439,14.786025
30.7484,26.250325,82.111,14.819325
30.7824,26.342675,82.6401,14.84365
30.983825,26.37175,82.89715,14.87875
31.0699,26.421025,83.412125,14.905
31.189875,26.5676,83.539925,14.918775
31.313825,26.63235,83.541375,14.946425
31.466925,26.657575,83.639775,14.978275
31.523375,26.67695,83.79795,15.0038
31.559075,26.6822,84.0912,15.034675
31.726975,26.709625,84.2553,15.0573
31.803075,26.85765,84.384125,15.088425
31.8662,26.87195,84.619675,15.105975
31.953325,26.950075,84.822375,15.14345
32.0041,26.969275,85.07395,15.16405
32.04985,26.988325,85.38945,15.189125
32.089225,27.0021,87.060025,15.211575
32.124625,27.15185,87.183525,15.235675
32.156575,27.162825,87.3614,15.24185
32.180525,27.199375,87.424,15.24415
32.248875,27.243675,87.508725,15.26
32.2714,27.2633,87.855125,15.28305
32.30925,27.34295,88.26525,15.3047
32.365075,27.37605,88.415,15.311
32.408625,27.4106,89.28415,15.314475
32.451175,27.496025,89.3739,15.330175
32.494475,27.56845,89.50715,15.357575
32.524,27.640525,89.55185,15.386325
32.5545,27.764675,89.623725,15.40505
32.58415,27.837,89.777025,15.43345
32.670475,27.881725,89.9835,15.4389
32.7006,28.012875,90.3027,15.46005
32.73355,28.025775,90.37095,15.468
32.802325,28.06105,90.49525,15.4834
32.842675,28.126675,91.14645,15.500575
32.880575,28.15685,91.369375,15.504825
32.910625,28.225825,91.596925,15.530225
32.9803,28.27535,91.855325,15.553375
33.00985,28.282225,92.32155,15.5745
33.038875,28.316425,95.18705,15.601275
33.144425,28.325925,95.510825,15.61935
33.181875,28.4922,95.6522,15.641875
33.2258,28.57995,96.403075,15.67005
33.27445,28.7126,96.592225,15.689
33.2992,28.72145,96.71365,15.732725
33.353475,28.905275,96.813375,15.7534
33.534275,29.087175,97.273575,15.75575
33.566725,29.123875,97.37615,15.7809
33.725975,29.191475,97.511725,15.78855
33.8147,29.24265,97.550375,15.79805
33.839525,29.261625,97.689525,15.819575
33.934875,29.326925,97.746425,15.833725
33.990925,29.376,97.83475,15.843475
34.03575,29.42435,98.082925,15.8676
34.061625,29.42965,98.194675,15.8931
34.158925,29.445725,98.556175,15.91865
34.18905,29.46855,98.664025,15.95455
34.215,29.541375,100.46135,15.973725
34.2462,29.614675,100.61565,15.993925
34.279875,29.69145,101.21165,16.01205
34.335275,29.753825,101.6458,16.04965
34.391225,29.803825,101.778075,16.0535
34.4371,29.88255,101.80045,16.069425
34.507425,29.941025,101.95825,16.087275
34.55905,29.945525,102.17015,16.111975
34.626675,30.02715,102.24895,16.13455
34.670375,30.06925,102.304875,16.136825
34.70105,30.115525,102.412075,16.156625
34.7327,30.156575,102.705725,16.17955
34.783875,30.20355,102.802325,16.2299
34.8282,30.30365,103.1167,16.250775
34.87485,30.33515,103.242475,16.27295
34.9375,30.355675,103.30315,16.2931
35.004825,30.38915,103.37735,16.313775
35.0831,30.395875,103.421125,16.33455
35.15905,30.499925,103.579025,16.3587
35.2116,30.51525,103.673375,16.3811
35.302725,30.5751,103.726475,16.411225
35.3525,30.603375,103.846275,16.417425
35.4236,30.604525,103.92755,16.442725
35.4821,30.640375,104.23105,16.46035
35.55095,30.728875,104.312425,16.485725
35.59595,30.7346,104.4769,16.51375
35.68795,30.789875,104.65035,16.518275
35.732125,30.83795,104.720025,16.536975
35.79695,30.871125,104.851225,16.568575
35.891575,30.95595,105.233225,16.597025
36.00175,30.958975,105.49255,16.617625
36.034425,31.0114,105.62565,16.638925
36.09455,31.053275,105.8466,16.65965
36.177875,31.105025,106.2893,16.66075
36.2586,31.152275,106.7621,16.68675
36.33555,31.226025,106.82,16.727475
36.34645,31.235525,107.05445,16.74895
36.39145,31.329575,107.26895,16.764325
36.44505,31.33165,107.49565,16.778575
36.475125,31.365075,108.418825,16.7962
36.5157,31.422825,109.15575,16.812175
36.5372,31.4907,109.82775,16.85515
36.651275,31.53135,110.01425,16.865725
36.7681,31.550125,110.50375,16.872
36.808625,31.561125,110.65585,16.890625
36.8425,31.5991,110.92985,16.906425
36.88425,31.645225,111.2308,16.907525
36.931125,31.682675,111.52995,16.921075
36.98255,31.802225,114.024175,16.936125
37.04695,31.89145,114.266925,16.95715
37.1049,31.94215,116.435425,16.977625
