SPK_SPKC06a (NA),SPK_SPKC08a (NA),SPK_SPKC13a (excited),SPK_SPKC13b (excited),SPK_SPKC16a (NA)
,123.056875,3.629025,67.605775,137.729575
,123.776125,3.653675,68.0468,137.947875
,125.4091,3.6792,68.711975,139.18945
,126.635675,3.712125,69.223725,139.331525
,127.71175,3.735125,69.6428,139.633475
,128.832525,3.769875,70.0072,140.16385
,130.873925,3.802425,70.9239,140.2789
,131.790475,3.8356,71.1587,140.454325
,132.76805,3.8621,71.42075,140.54135
,132.93455,3.88345,72.791475,141.356325
,133.9288,3.913975,72.842525,142.80165
,134.8255,3.932625,73.216375,144.57735
,135.38685,3.957325,73.474925,144.7414
,135.922675,3.983975,73.576375,144.9277
,136.590375,4.014575,73.595525,145.04895
,137.395,4.0313,73.755525,145.526075
,139.52385,4.036,75.2307,145.794075
,141.336975,4.064775,75.6109,145.852425
,142.9715,4.087375,76.013225,145.992
,146.479425,4.111025,76.652775,146.269475
,146.75405,4.1375,76.740775,146.467075
,147.5456,4.164875,76.890625,146.712775
,150.1312,4.1934,78.0934,146.85765
,153.543125,4.235075,78.658125,147.2918
,154.194575,4.2721,79.05935,147.304925
,155.658175,4.3122,79.705925,148.494875
,158.4062,4.372125,79.771475,149.070475
,160.332175,4.40715,80.3128,149.16335
,161.886,4.430575,80.927925,149.80385
,162.135125,4.463925,81.040925,150.04175
,165.093225,4.500525,82.112,150.07545
,166.0093,4.523475,82.48275,150.288125
,168.493675,4.557275,82.5537,150.518475
,168.5179,4.58065,82.681325,150.68535
,168.728975,4.60365,83.774275,151.5214
,169.843525,4.64325,83.88765,151.7985
,171.48645,4.66725,83.9386,151.88545
,172.919525,4.677625,84.040575,151.987775
,173.533725,4.6858,84.623725,152.315625
,173.59475,4.718575,84.639075,153.821475
,173.596125,4.755975,85.19825,153.8229
,174.4283,4.78545,85.855825,154.05565
,174.64575,4.8031,87.5592,154.0814
,174.921225,4.837,88.256825,155.26135
,176.6166,4.872825,88.780075,155.603125
,177.01025,4.912975,88.857925,155.885925
,177.114475,4.94405,89.583775,156.082925
,177.9373,4.972375,89.702675,156.209325
,179.40295,5.014225,89.96105,157.19925
,179.855925,5.055625,90.848775,157.349625
,180.785825,5.07835,91.076625,157.5466
,181.53385,5.1031,91.66415,158.157475
,181.581925,5.135275,91.9598,160.22055
,182.0982,5.168225,92.0188,160.55635
,183.62765,5.203675,92.948875,162.142075
,184.5795,5.238175,93.9989,162.296725
,190.624225,5.27945,94.05645,163.274525
,190.978425,5.3311,94.167775,163.59695
,191.98565,5.370425,94.856175,164.086725
,198.3312,5.38815,95.210275,165.111375
,201.887225,5.404725,95.260775,166.54565
,204.0389,5.42245,96.705325,166.569775
,204.965075,5.47085,97.01295,167.00505
,205.192125,5.485225,97.202975,167.4073
,206.335625,5.535875,97.595975,167.509
,206.769575,5.5513,98.051825,167.82965
,,5.5654,98.35505,167.872825
,,5.579425,98.445175,167.949225
,,5.592675,100.52945,168.106525
,,5.60375,101.0673,168.398575
,,5.62115,101.32585,168.6854
,,5.647425,101.631375,170.8843
,,5.664825,102.80825,171.639625
,,5.679775,103.429675,171.655275
,,5.706575,103.480775,171.97945
,,5.729575,103.9817,172.094125
,,5.742875,103.998475,172.348
,,5.775225,104.033175,175.36775
,,5.803675,104.637525,175.49165
,,5.823625,106.86185,175.945375
,,5.8365,107.792275,176.698675
,,5.855625,108.90655,176.996625
,,5.8716,109.9249,177.3544
,,5.8889,110.412625,177.7166
,,5.90745,110.749775,177.8401
,,5.9405,110.930125,178.46175
,,5.975625,111.2942,178.646925
,,6.04065,111.450975,180.84685
,,6.06795,112.627175,181.688825
,,6.092775,112.64065,181.763325
,,6.120125,114.3479,181.91105
,,6.1462,114.92905,181.93715
,,6.17345,115.7711,182.23315
,,6.186725,115.88115,182.7553
,,6.19895,115.9077,183.636275
,,6.229075,116.39445,183.83055
,,6.26145,116.441675,184.2585
,,6.2951,116.5689,186.6613
,,6.3223,118.267925,187.4532
,,6.33665,118.56825,188.139875
,,6.3508,119.044025,188.313375
,,6.375375,119.968975,188.606525
,,6.39645,120.008225,189.654375
,,6.432525,120.8422,190.482625
,,6.4694,121.057975,190.9802
,,6.504125,121.13385,192.574125
,,6.5449,121.324575,192.81705
,,6.57195,121.475875,192.853925
,,6.60335,122.542225,192.910175
,,6.625975,124.00405,193.636625
,,6.6408,124.019325,194.153825
,,6.652,124.611225,194.60295
,,6.682875,124.727225,194.652875
,,6.693025,124.84375,195.2663
,,6.70035,124.947025,195.374175
,,6.713925,125.934475,195.984975
,,6.756475,126.44055,197.150175
,,6.773325,126.4544,197.472425
,,6.80555,126.62785,197.683925
,,6.816975,126.685525,198.756075
,,6.835325,126.809225,198.959475
,,6.853225,127.439525,199.764775
,,6.8876,127.903625,199.877575
,,6.90635,127.97385,199.8987
