SPK_SPKC01a,SPK_SPKC04a,SPK_SPKC09a,SPK_SPKC12b,SPK_SPKC13c,SPK_SPKC14a,SPK_SPKC16a
32.8017,74.736575,14.175025,11.218425,12.033125,2.27955,2.034375
33.220975,74.73985,14.1868,11.240575,12.107275,2.28535,2.047575
33.22795,74.7509,14.211325,11.262275,12.17045,2.290675,2.068075
33.2552,74.812625,14.70025,11.271225,12.342775,2.3003,2.0855
33.499825,74.9861,14.858275,11.294175,12.551875,2.301775,2.097375
34.664225,75.30695,15.198425,11.321725,12.567525,2.332425,2.127975
35.2771,75.807025,15.22865,11.345725,12.603825,2.34485,2.169775
35.28,76.83515,15.249825,11.370775,12.81915,2.424075,2.206
35.3067,77.8618,15.611525,11.605125,13.087475,2.4437,2.2311
35.615625,79.565,15.616375,11.61775,13.453375,2.462175,2.252675
35.805925,79.73355,15.637575,11.628875,13.77785,2.498925,2.286625
35.818475,80.037925,15.64195,11.6346,13.826125,2.502925,2.294925
36.19245,80.5952,15.6681,11.6476,13.98435,2.533525,2.303075
36.481275,80.727325,15.860925,11.655275,14.13265,2.56055,2.3085
37.1015,82.2528,16.156025,11.666275,14.212775,2.57445,2.326025
38.070775,82.28905,16.5131,11.6861,14.509575,2.6024,2.348175
38.11795,82.306075,16.7685,11.7018,14.692925,2.62695,2.367175
38.539775,82.67065,16.7998,11.718875,14.893475,2.640675,2.381775
40.420575,83.27625,16.815425,11.725425,14.966725,2.651625,2.395325
40.6771,83.279975,20.353075,11.738425,15.397025,2.66395,2.422425
40.7413,83.285575,20.683475,11.77325,15.66105,2.682725,2.4326
41.240675,83.8001,20.7428,11.964725,15.801825,2.714875,2.452075
41.5191,83.8698,20.80635,11.9961,16.1624,2.727625,2.4784
42.10085,84.200475,20.821875,12.002775,16.425225,2.7378,2.5224
42.1162,84.418425,22.514775,12.0148,16.4738,2.78665,2.537925
42.3939,84.95235,23.243075,12.02615,16.513575,2.8399,2.54925
42.59015,84.960075,25.0295,12.037325,16.746175,2.865125,2.56535
42.71835,85.32475,25.11645,12.058175,16.758825,2.8839,2.586475
42.7699,85.7333,25.650025,12.073375,16.7941,2.936225,2.6784
43.3815,85.7663,25.656625,12.087725,16.83815,2.938725,2.688675
44.267625,86.128625,25.678575,12.099825,17.25685,2.94695,2.7053
44.2828,86.134875,25.708,12.114875,18.328825,2.95145,2.7179
45.435375,86.157425,25.7638,12.12185,18.37325,3.046075,2.7399
45.44645,86.57515,26.129025,12.135525,18.804725,3.06495,2.747975
46.128875,86.68705,26.1742,12.150725,18.856125,3.091825,2.763075
46.2149,87.542875,26.220625,12.156775,18.896725,3.1914,2.7944
46.233675,87.924675,26.2614,12.170525,19.468175,3.216075,2.80075
46.2372,88.423225,26.665675,12.1939,19.916225,3.243425,2.8271
46.244675,88.7051,26.6924,12.214375,20.308575,3.2534,2.83855
46.253025,88.7104,26.731275,12.228825,20.422275,3.280825,2.8516
46.60275,89.0384,26.79615,12.25035,20.423775,3.29695,2.8608
46.6296,89.05345,26.879675,12.265975,20.822125,3.356425,2.878925
48.0871,89.748375,27.199575,12.283225,21.3089,3.42845,2.888075
48.800025,90.42455,27.250075,12.352975,22.043825,3.433425,2.896075
49.5027,90.498475,27.273075,12.495025,23.23925,3.4623,2.931725
49.854975,90.525375,27.6274,12.5191,23.858725,3.470625,2.9613
50.9395,90.52825,28.143125,12.545675,24.1183,3.493525,2.969225
51.290425,90.533075,28.1837,12.5589,24.3285,3.5418,3.009625
51.524175,90.549525,28.22885,12.563775,24.427775,3.5882,3.027725
51.816975,92.691675,28.24355,12.5703,24.470675,3.6052,3.080825
52.32175,96.28485,28.336275,12.580075,24.64205,3.620875,3.1436
53.01555,97.25855,28.585875,12.589,24.67045,3.6477,3.15025
53.164875,97.697875,28.65865,12.61105,24.8258,3.665225,3.224025
53.176,98.230775,28.9845,12.627425,25.025675,3.675975,3.254475
53.181525,98.26225,29.2826,12.637425,25.06785,3.692375,3.264925
53.615675,98.69325,29.8798,12.650275,25.0754,3.696775,3.290975
53.7082,99.689625,29.941475,12.655025,25.107875,3.699725,3.319475
54.059225,100.154625,29.965425,12.664125,25.130975,3.726325,3.3704
54.224575,100.1918,29.977375,12.683775,25.2511,3.78175,3.37815
54.408225,103.38595,29.986125,12.6903,25.551225,3.828425,3.421025
54.454025,103.763575,29.996225,12.72075,25.5628,3.87565,3.45105
54.654075,103.768,30.008425,13.029425,25.568425,3.879225,3.47275
54.78095,103.803,30.224575,13.040275,25.61255,3.91,3.51285
54.930375,104.1631,30.2422,13.053725,25.654175,3.951175,3.5264
54.9438,104.17675,30.2595,13.089675,25.664,3.95385,3.552125
55.033175,104.741025,30.743475,13.102875,25.77895,3.97035,3.5977
55.038725,104.7846,30.78465,13.115225,26.0884,3.99135,3.629825
55.043125,104.826025,31.232825,13.129075,26.10825,3.993625,3.64155
55.18965,104.852575,31.816125,13.4414,26.1427,4.022425,3.68935
55.3708,105.151325,31.824225,13.460425,26.14975,4.0328,3.706025
55.37525,105.627475,31.91095,13.472425,26.185,4.0373,3.72255
55.3815,105.63745,32.168,13.478425,26.2135,4.141,3.736925
55.386025,106.1668,32.17545,13.4946,26.258075,4.181375,3.755425
55.708925,106.460875,33.1688,13.5026,26.294975,4.243775,3.76675
56.4368,106.47055,34.283375,13.5173,26.3525,4.248275,3.809175
56.5446,106.516725,34.65585,13.532625,26.4333,4.332625,3.858775
56.56005,107.1079,35.302625,13.7792,26.485675,4.356475,3.8807
57.40445,107.207125,35.332325,13.81205,26.60195,4.3668,3.9016
57.434,107.246175,35.3405,13.82955,26.6901,4.38375,3.9361
58.078,107.252975,35.378025,13.8439,26.71795,4.392275,3.957575
58.089,107.25725,35.4051,13.8587,26.735475,4.406075,3.972975
58.47065,107.2777,35.426225,13.8715,26.754875,4.4259,3.98645
58.49135,107.556225,35.488375,13.8993,26.78235,4.42905,3.996825
58.50425,107.7759,35.494075,13.91235,26.799825,4.4585,4.00795
58.513975,108.35175,35.52035,13.940675,26.8262,4.49975,4.0164
59.08885,108.816475,35.5268,13.948475,26.884475,4.723325,4.025025
59.59255,108.830375,35.5394,13.962675,26.912275,4.736775,4.034525
59.686075,108.861425,35.570075,13.97275,27.19935,4.743,4.041875
59.9697,110.076675,35.58125,13.980275,27.214225,4.778825,4.05645
60.530175,110.089325,35.592375,13.9914,27.245125,4.800675,4.170425
60.8908,111.04265,35.6069,14.0074,27.252375,4.82865,4.1995
61.200325,111.049925,35.660275,14.04875,27.277125,4.845575,4.27055
61.4748,111.34855,35.6985,14.073125,27.308675,4.883725,4.3153
61.5128,111.368525,35.74515,14.114475,27.333625,4.8893,4.344075
61.518275,112.65435,35.753175,14.1355,27.597175,4.90345,4.378325
61.870675,112.676575,35.766425,14.239625,27.62255,4.92325,4.416925
61.931275,112.6821,35.787525,14.2936,27.64695,5.01845,4.4362
61.9339,112.727625,35.80465,14.768775,27.71185,5.2025,4.4798
62.20715,114.3885,35.856625,14.811975,27.8693,5.344175,4.481675
62.242475,114.4576,35.867375,14.81665,28.159625,5.369525,4.497275
62.667975,114.684725,35.884025,14.82515,28.18635,5.423075,4.51565
62.7296,114.754225,35.915975,14.899825,28.2043,5.4898,4.537875
63.066725,114.757425,35.960675,15.092625,28.2467,5.56465,4.556625
63.39665,116.398975,36.01415,15.1249,28.328025,5.594725,4.575375
63.46575,116.445,36.040775,15.274375,28.5611,5.632875,4.585125
64.320725,116.7529,36.061275,15.3057,28.62055,5.6637,4.632
64.593525,119.706475,36.0624,15.3375,28.660025,5.74625,4.693925
64.6161,119.755725,36.08485,15.392625,28.84295,5.81195,4.71105
64.786275,119.7592,36.0981,15.946625,28.9005,5.825775,4.781275
64.795325,119.8672,36.1158,16.817775,29.2124,5.87385,4.794025
65.153825,120.101625,36.13475,16.858625,29.24035,5.90385,4.806425
65.872725,120.180075,36.786575,16.877225,29.273125,5.942675,4.821375
65.8825,120.4865,36.9023,17.223225,29.78275,5.97365,4.8478
65.960025,120.512325,36.967375,17.2596,29.863425,6.012425,4.863325
66.61275,121.11085,37.258825,17.27165,29.903675,6.23665,4.9262
66.90845,121.22205,37.44865,17.295025,29.95855,6.253225,4.960625
67.279075,123.308225,37.554875,17.3077,29.9732,6.29135,4.985475
67.30065,125.638025,37.562625,17.42335,29.987375,6.530725,4.995725
67.316,126.738175,37.71205,20.335,29.999925,6.63695,5.025575
67.345925,126.747725,38.821975,20.349725,30.016625,6.644825,5.0387
67.3512,126.99995,38.9984,20.37905,30.214375,6.663725,5.26265
67.356625,127.125275,39.28,20.390325,30.235075,6.677525,5.278925
67.404175,127.337,39.93285,20.41845,30.251075,6.685925,5.333025
67.439875,127.669825,40.043575,20.461025,30.27275,6.726775,5.3746
68.39645,128.098425,40.270925,21.30215,30.319425,6.747475,5.399825
68.510325,128.1995,40.46525,21.321475,30.4157,6.7579,5.437275
69.283775,128.2085,40.630275,21.3448,30.461825,6.779375,5.456975
69.441,128.891825,40.6448,21.3832,30.70355,6.796925,5.473975
69.481675,128.917075,40.675025,21.397625,30.763575,7.024175,5.5107
69.50135,128.984,40.8287,21.443,30.9192,7.080075,5.546425
