SPK_SPKC02a,SPK_SPKC03a,SPK_SPKC03b,SPK_SPKC11a
10.392,5.714375,16.799375,21.9412
10.476875,5.76045,16.8389,21.951175
10.57455,5.8078,17.094375,22.154475
10.7065,5.852575,17.1898,22.1874
10.818925,5.86655,17.31325,22.24965
11.111775,5.9347,17.329425,22.312575
11.134025,5.950975,17.36785,22.339725
11.166675,5.9845,17.387775,22.38195
11.2064,6.003925,17.43595,22.667225
11.23805,6.019475,17.512775,22.682875
11.3237,6.035575,17.546375,22.971075
11.388125,6.071825,17.802175,22.9878
11.597925,6.12355,17.8397,23.3695
11.629675,6.1546,17.85425,23.4878
11.697,6.1712,17.9328,23.657
11.72545,6.21595,17.969275,23.676425
11.770675,6.237975,18.056375,23.697525
11.996525,6.2538,18.08655,23.7266
12.041,6.29245,18.178875,23.818975
12.317025,6.362375,18.2042,23.911375
12.341725,6.383525,18.256075,23.93085
12.363375,6.41485,18.339125,24.2206
12.3838,6.438775,18.5011,24.26415
12.451425,6.449225,18.59055,24.397825
12.482425,6.4995,18.6791,24.600125
12.553075,6.54955,18.730525,24.8145
12.598225,6.561925,18.823475,24.977475
12.665075,6.5902,18.8597,25.28875
12.758225,6.61315,18.927075,25.428475
12.78725,6.623125,18.9874,25.6649
12.8734,6.67315,19.055275,25.736
13.0053,6.6873,19.077175,25.7619
13.036975,6.723575,19.099675,25.7814
13.07485,6.73865,19.13475,25.91955
13.1236,6.771075,19.2049,25.97465
13.154925,6.792525,19.7091,26.153225
13.186775,6.81015,19.785675,26.1893
13.22125,6.828025,19.9514,26.29085
13.2938,6.83795,20.009425,26.3612
13.375175,6.875075,20.057425,26.51475
13.434325,6.891225,20.29465,26.5873
13.47095,6.912375,20.3272,26.721825
13.482675,6.93155,20.3913,26.86
13.503375,6.98365,20.671825,26.96045
13.54485,7.003675,20.787775,27.116225
13.58925,7.0395,20.883375,27.563125
13.624825,7.060975,20.96265,27.846975
13.76475,7.08375,21.01125,27.9081
13.819725,7.102475,21.040625,28.0197
13.86075,7.13955,21.3147,28.0634
13.927275,7.156575,21.50165,28.266775
13.9571,7.172225,21.95965,28.4266
14.007225,7.2418,22.0725,28.571525
14.030925,7.2924,22.1836,28.604175
14.061375,7.30305,22.331875,28.6165
14.23635,7.390125,22.35815,28.935375
14.29105,7.44325,22.501925,28.995875
14.434625,7.4597,22.569375,29.321775
14.554025,7.496375,22.69525,29.380925
14.594425,7.5201,22.877575,29.703775
14.621925,7.575575,23.205675,29.837075
14.658425,7.5942,23.4849,30.039725
14.729625,7.632575,23.525175,30.079975
14.8938,7.6433,23.561675,30.64495
15.06695,7.67335,23.614725,30.6684
15.181575,7.7106,23.694225,30.682175
15.230725,7.7368,23.771225,30.6973
15.283925,7.74705,23.8376,30.891425
15.4174,7.754075,24.040625,31.132525
15.65555,7.771425,24.17935,31.19675
15.676975,7.785325,24.235375,31.28245
15.6967,7.810875,24.284025,31.3301
15.717425,7.855425,24.3879,31.4804
15.785925,7.882775,24.44575,31.565725
15.8225,7.906175,24.524825,31.676275
15.89935,7.922325,24.542875,31.7475
15.945325,7.945675,24.573575,32.0558
16.04655,7.966075,24.70475,32.0597
16.128125,7.999825,24.861925,32.173825
16.23855,8.1037,24.877575,32.226275
16.27895,8.116,24.896225,32.3236
16.3472,8.13965,24.9286,32.775575
16.379825,8.1638,25.00785,33.467975
16.62955,8.218175,25.123,33.5458
16.66105,8.240975,25.255325,33.694575
16.685225,8.294225,25.29905,33.7169
16.7075,8.339925,25.35965,33.78755
16.760475,8.36795,25.47685,33.949075
16.98745,8.402275,25.48945,34.14735
17.018075,8.424325,25.504725,34.193875
17.0702,8.4351,25.559175,34.26565
17.109225,8.5272,25.579325,34.266775
17.151475,8.541975,25.70275,34.436025
17.173025,8.625125,25.87105,34.668
17.200325,8.63865,26.017125,34.9389
17.49845,8.649375,26.06545,34.9684
17.52275,8.726775,26.16925,35.2657
17.5835,8.738175,26.203325,35.332075
17.783275,8.749025,26.212425,35.446375
17.81105,8.757025,26.24475,35.503425
17.89805,8.782175,26.2661,35.5158
18.020875,8.80605,26.28675,36.006475
18.074175,8.88645,26.4657,36.228275
18.206425,8.940325,26.565425,36.3979
18.2962,8.97495,26.6301,36.55035
18.32895,9.03825,26.708225,36.569975
18.402725,9.0751,26.8554,36.701275
18.6032,9.1054,26.870025,36.88795
18.6258,9.114025,26.936,37.2705
18.63645,9.11555,26.950125,37.4973
18.65865,9.1794,26.959375,37.6589
18.723625,9.19755,27.12605,37.790875
18.745825,9.220625,27.285675,38.443625
18.76175,9.290425,27.43465,38.492375
18.79025,9.309775,27.48015,38.78775
18.8313,9.33685,27.491025,38.8416
18.854575,9.3833,27.760575,39.2141
18.93385,9.4016,27.872675,39.298825
18.961575,9.435775,27.994625,39.379475
19.065375,9.456725,28.04265,39.411125
19.12445,9.486625,28.335175,39.506775
19.150225,9.5871,28.35055,39.53995
19.18845,9.60445,28.422025,39.58695
19.22145,9.6282,28.581275,39.619625
19.2479,9.65825,28.7426,39.698375
19.30365,9.669625,28.81365,39.7017
19.3511,9.707625,28.913525,39.729875
19.3698,9.771975,29.170625,39.74685
19.411775,9.7787,29.207675,39.807525
19.468725,9.7889,29.322925,39.89275
19.49435,9.801475,29.33435,40.08815
19.54645,9.807325,29.39895,40.24095
19.599775,9.832325,29.426975,40.2558
19.6619,9.841425,29.5516,40.265175
19.69665,9.8843,29.599425,40.503775
19.739725,9.915225,29.633225,40.790175
19.7864,9.950225,29.662075,40.8617
19.827625,9.9678,29.716375,40.997775
19.923925,9.981625,29.800275,41.005425
19.9649,10.0314,30.0077,41.2148
20.0032,10.04245,30.018625,41.240825
20.036475,10.079225,30.0412,41.34065
20.094175,10.15275,30.0643,41.3828
20.121,10.1637,30.073025,41.40375
20.151275,10.178775,30.081925,41.58925
20.186175,10.214425,30.178775,41.6697
20.230525,10.275975,30.233775,41.7003
20.267125,10.304,30.255325,42.035975
20.356525,10.31735,30.42255,42.215125
20.48715,10.335075,30.542375,42.23215
20.5116,10.3729,30.571525,42.55645
20.567525,10.395325,30.673525,42.585825
20.6456,10.4198,30.69475,42.623975
20.676075,10.472375,30.861725,42.668525
20.70875,10.52235,30.871125,42.7051
20.748475,10.71575,30.90285,42.820875
20.91905,10.76845,30.91225,42.91995
20.987725,10.77755,31.059025,43.088675
21.016725,10.9215,31.074725,43.31265
21.045075,10.971,31.090175,43.340675
21.1026,10.9862,31.2668,43.415875
21.1593,11.0206,31.325925,43.457175
21.31155,11.0549,31.33685,43.4657
21.335725,11.08585,31.349825,43.480475
21.3883,11.099425,31.41745,43.52215
21.552475,11.124175,31.465625,43.607275
21.64015,11.14195,31.944875,43.634875
21.658525,11.14975,31.981475,43.69405
21.705125,11.21315,32.0107,43.719175
21.7926,11.248,32.0594,43.77915
21.9553,11.295275,32.131675,44.226075
21.98395,11.305575,32.16895,44.250825
22.01995,11.3289,32.2537,44.44145
22.0667,11.377025,32.32325,44.6032
22.10265,11.40815,32.4111,44.6294
22.23185,11.435975,32.4736,44.953625
22.32285,11.470075,32.534075,44.982775
22.343225,11.4871,32.5702,45.0371
22.370475,11.5043,32.804575,45.1266
22.414775,11.550975,32.956075,45.177
