SPK_SPKC01a (no response),SPK_SPKC05a (exc/inh),SPK_SPKC06a (no response),SPK_SPKC07a (no response),SPK_SPKC11a (no opto-tagging)
1106.478875,1110.7986,1114.72715,1128.069325,1109.9739
1106.888925,1110.88275,1114.75795,1128.1523,1110.066
1107.379125,1111.064325,1114.826975,1128.853775,1110.10605
1107.59275,1111.138875,1114.963825,1129.36945,1110.18905
1108.2069,1111.41695,1115.029025,1129.68795,1110.327675
1108.35415,1111.5572,1115.167325,1129.78115,1110.4279
1108.37875,1111.58595,1115.244175,1130.00465,1110.466275
1108.528125,1111.71425,1115.279575,1130.12735,1110.509275
1108.7682,1111.72805,1115.502775,1130.215525,1110.634075
1108.833275,1111.78525,1115.588625,1130.2799,1110.746025
1108.90065,1111.929175,1115.6169,1130.705775,1110.94345
1109.00035,1112.062775,1115.651325,1130.94345,1110.988025
1109.0329,1112.154025,1115.7625,1131.122575,1111.0458
1109.1671,1112.366325,1115.7802,1131.677525,1111.081
1109.360725,1112.50675,1115.82735,1132.63805,1111.129525
1109.874475,1112.53025,1115.870225,1132.81975,1111.3089
1110.114475,1112.618575,1115.9488,1133.076425,1111.3299
1110.17525,1112.726825,1116.068425,1133.15585,1111.360625
1110.4541,1112.909975,1116.196625,1133.21985,1111.6006
1110.66555,1112.980925,1116.213925,1133.577375,1111.720875
1110.866325,1113.2101,1116.246725,1133.747525,1111.778675
1111.0458,1113.372125,1116.306375,1134.08155,1111.87825
1111.309875,1113.60865,1116.379725,1134.11935,1111.930425
1111.344975,1113.72,1116.4692,1134.22985,1111.96865
1111.5131,1113.81985,1116.62955,1134.31415,1112.020775
1111.57285,1113.916975,1116.766125,1134.35705,1112.0968
1111.621625,1113.962625,1116.79245,1134.49985,1112.1314
1111.6817,1114.0183,1116.813775,1135.231875,1112.167125
1111.8111,1114.06075,1116.8412,1135.292225,1112.217325
1111.970875,1114.1734,1116.940425,1135.7351,1112.3634
1112.0612,1114.20595,1116.98055,1136.0572,1112.4305
1112.243925,1114.71725,1117.020175,1136.117825,1112.52205
1112.289675,1114.781125,1117.118325,1136.223675,1112.666625
1112.5473,1114.8657,1117.42555,1136.4551,1112.771525
1112.6744,1114.976875,1117.4596,1136.550525,1112.843625
1112.816775,1115.1319,1117.472925,1136.802925,1112.883125
1113.2199,1115.19815,1117.500325,1137.0611,1112.9225
1113.25355,1115.296925,1117.583125,1137.2801,1113.123125
1113.352825,1115.363675,1117.62855,1137.346875,1113.151675
1113.435975,1115.496425,1117.6643,1137.388125,1113.317825
1113.512775,1115.762875,1117.79665,1137.441975,1113.38985
1113.5562,1115.822175,1117.89915,1137.584325,1113.4177
1113.691725,1115.86645,1117.984725,1138.69415,1113.4531
1113.73005,1115.969125,1118.042775,1138.8217,1113.51335
1113.9227,1116.185575,1118.1879,1139.16005,1113.628775
1113.95945,1116.247575,1118.333725,1139.5828,1113.65785
1114.0432,1116.374825,1118.4792,1139.875125,1113.78275
1114.1866,1116.4161,1118.524775,1139.922975,1113.83065
1114.247475,1116.52325,1118.547175,1140.0597,1114.0257
1114.267275,1116.573425,1118.699275,1140.529775,1114.164675
1114.392675,1116.658575,1118.837775,1141.200575,1114.20115
1114.54675,1116.694825,1118.950875,1141.3901,1114.2959
1114.8372,1116.750225,1119.034925,1141.88245,1114.457925
1115.101525,1116.938675,1119.106025,1141.94745,1114.5458
1115.280775,1117.310275,1119.13845,1142.0133,1114.596225
1115.32805,1117.6574,1119.197975,1142.078075,1114.6355
1115.543775,1117.677925,1119.270025,1142.56295,1114.664725
1115.5924,1117.7077,1122.1091,1143.091625,1114.777925
1115.610525,1117.843225,1122.138175,1143.567675,1114.905075
1115.6673,1117.8653,1122.1568,1143.83205,1114.96235
1116.186625,1118.32805,1122.171725,1143.83305,1115.0461
1116.37985,1118.34675,1122.3205,1144.050575,1115.108925
1116.431925,1118.4336,1123.345625,1144.5033,1115.186925
1116.557875,1118.492,1123.905575,1144.782525,1115.2431
1116.69145,1118.59115,1124.299025,1144.85055,1115.323225
1116.75625,1118.747575,1124.935525,1145.410375,1115.43835
1116.836575,1118.80665,1125.226875,1145.624,1115.54255
1116.924825,1118.82615,1125.2863,1145.74645,1115.8219
1117.042375,1119.1039,1125.312275,1145.951875,1115.92585
1117.107925,1119.136925,1125.350875,1146.773625,1116.0541
1117.21075,1119.223975,1125.6319,1147.70035,1116.212175
1117.479975,1119.3567,1126.44525,1147.804125,1116.24915
1117.601725,1119.391675,1126.471275,1147.88745,1116.332325
1117.6499,1119.4677,1126.7229,1148.157875,1116.40055
1117.69615,1119.48205,1127.042125,1148.217175,1116.54165
1117.8012,1119.518625,1127.073925,1148.50825,1116.617975
1118.002075,1119.813,1127.134625,1148.5963,1116.756225
1118.19465,1119.907025,1128.0453,1148.737475,1116.793325
1118.219675,1119.99515,1128.096725,1148.827075,1116.85585
1118.35365,1120.08845,1128.1556,1149.59535,1116.98775
1118.388,1120.294875,1128.2186,1149.90345,1117.018025
1118.6302,1120.318925,1128.36515,1150.435725,1117.04475
1118.68795,1120.705975,1128.4488,1150.45235,1117.1644
1118.71955,1120.774375,1128.514475,1150.510775,1117.21075
1118.73735,1120.981475,1128.75015,1151.37235,1117.2456
1118.7508,1121.034675,1129.72925,1151.8436,1117.27905
1119.155675,1121.089375,1130.6746,1152.164575,1117.304575
1119.18985,1121.139675,1130.7218,1152.2414,1117.4315
1119.27545,1121.2399,1131.112675,1152.331875,1117.602125
1119.322725,1121.465275,1131.400925,1152.44295,1117.702375
1119.329925,1121.5133,1131.8545,1152.96865,1117.72775
1119.347625,1121.538975,1131.9327,1153.169225,1117.746425
1119.351875,1121.547275,1132.27935,1153.276575,1117.967825
1119.3634,1121.900725,1132.312825,1153.40765,1118.010375
1119.3757,1122.068325,1132.338,1153.54805,1118.06635
1119.38985,1122.094,1132.361375,1153.8365,1118.127975
1119.399025,1122.1664,1132.399375,1153.8458,1118.17765
1119.405425,1122.2952,1132.89415,1154.09215,1118.1928
1119.417775,1122.42035,1132.9451,1154.106075,1118.249975
1119.4331,1122.444425,1132.9536,1154.188025,1118.30265
1119.438325,1122.524575,1133.32745,1154.588625,1118.353625
1119.472325,1122.530425,1133.39895,1155.104125,1118.42285
1119.498225,1122.60515,1133.4339,1155.1182,1118.53625
1119.958025,1122.707925,1133.468575,1155.252075,1118.57895
1119.995275,1122.731875,1133.58085,1155.369925,1118.60045
1120.029325,1122.826725,1133.734875,1155.642025,1118.6843
1120.039475,1122.89275,1134.109725,1155.85495,1118.720875
1120.05945,1122.960575,1134.170575,1156.7156,1118.75855
1120.07095,1123.065125,1134.193775,1157.452375,1118.82145
1120.092325,1123.09255,1134.2247,1157.55435,1118.844475
1120.110025,1123.22425,1134.6456,1158.855325,1118.898675
1120.1181,1123.3442,1134.980775,1159.350125,1118.923025
1120.130125,1123.3925,1135.304775,1159.448,1118.968725
1120.14425,1123.497125,1135.3965,1160.336475,1119.159
1120.16295,1123.5225,1135.4228,1160.389925,1119.231775
1120.169625,1123.6662,1135.469875,1160.691875,1119.250525
1120.1781,1123.778175,1135.556625,1160.7569,1119.308525
1120.190125,1124.13565,1135.667275,1161.7238,1119.336275
1120.199075,1124.18755,1135.72365,1161.75585,1119.46745
1120.209975,1124.30965,1135.74195,1161.832625,1119.472325
1120.228325,1124.584825,1135.773775,1162.152675,1119.4745
1120.240775,1124.75445,1135.834425,1162.22535,1119.546
1120.261225,1124.831275,1135.86495,1162.43245,1119.6605
1120.2895,1125.211675,1135.933425,1162.676625,1119.672875
1120.304875,1125.853625,1136.129075,1163.221925,1119.67395
1120.318125,1126.411225,1136.239625,1164.078225,1119.700425
1120.3561,1126.4588,1136.295525,1164.52675,1119.813775
1120.3663,1126.6662,1136.411,1164.682425,1119.9038
1120.38315,1126.69695,1136.5552,1164.936525,1119.948675
1120.39805,1126.8772,1136.90195,1165.00065,1120.01815
1120.4071,1126.92775,1136.9284,1165.045125,1120.056275
1120.412275,1126.9639,1137.0425,1165.38395,1120.247675
1120.434075,1126.98535,1137.2784,1166.2481,1120.274525
1120.449925,1126.9963,1138.379725,1166.303325,1120.315025
1120.476675,1127.052275,1139.034925,1167.026475,1120.319375
1120.483075,1127.117925,1139.074825,1168.0071,1120.343625
1120.495075,1127.28935,1139.09855,1168.2597,1120.4642
1120.503075,1127.314725,1139.13275,1168.61365,1120.513075
1120.513575,1127.4664,1139.183575,1168.658775,1120.53355
1120.52485,1127.520025,1139.746575,1168.776,1120.571575
1120.547975,1127.758175,1139.7825,1168.955625,1120.750325
1120.56635,1127.822525,1139.9904,1169.122125,1120.753525
1120.576425,1127.852925,1140.02565,1169.44895,1120.866525
1120.588825,1127.879075,1140.06845,1170.929225,1120.96245
1120.608775,1128.09495,1140.1102,1172.150525,1120.9995
1120.65625,1128.1545,1140.555375,1172.17745,1121.058125
1120.6783,1128.219525,1140.636675,1172.5415,1121.073875
1120.72735,1128.28475,1140.8346,1172.730875,1121.217175
1120.765025,1128.403425,1141.09175,1173.8778,1121.53875
1120.776075,1128.46825,1141.119,1173.89645,1121.59295
1120.834175,1128.489875,1141.396075,1174.4259,1121.6501
1120.8612,1128.62415,1141.5928,1174.7553,1121.768075
1120.869425,1128.7243,1141.689425,1175.05,1121.783025
1120.880875,1128.881175,1141.802075,1175.321925,1121.934325
1120.910225,1128.8952,1142.168725,1176.11445,1122.1442
1120.916175,1128.99535,1142.188625,1176.474425,1122.43445
1120.939775,1129.234525,1142.211725,1176.727125,1122.471375
1120.959175,1129.4574,1142.24825,1177.57945,1122.56235
1120.97545,1129.560075,1142.274425,1177.871725,1122.62955
1120.9822,1129.564175,1142.3776,1178.461025,1122.643175
1120.99615,1129.675,1142.4165,1178.590375,1122.81645
1121.013275,1129.817325,1142.49105,1179.5598,1122.8408
1121.0274,1129.964375,1142.67035,1179.7785,1122.954975
1121.038575,1130.1012,1143.490375,1179.843325,1123.029025
1121.12705,1130.107775,1143.514625,1180.060275,1123.198875
1121.137875,1130.296475,1143.5488,1181.106325,1123.238375
1121.1578,1130.325325,1143.627875,1181.480825,1123.299525
1121.16595,1130.455275,1143.794025,1181.584525,1123.3231
1121.17815,1130.63095,1143.870325,1181.688775,1123.349975
1121.1886,1130.6582,1144.1359,1181.8535,1123.366725
1121.21255,1130.82785,1144.15895,1181.93515,1123.4769
1121.221375,1130.9856,1144.1877,1182.051475,1123.502075
1121.280325,1131.072975,1144.30435,1182.30845,1123.568625
1121.2941,1131.093275,1144.528425,1182.693475,1123.64405
1121.305575,1131.21505,1144.58735,1182.715425,1123.664325
1121.332075,1131.279675,1144.631575,1183.277575,1123.693625
1121.3601,1131.528825,1144.7234,1184.45635,1123.77805
1121.377125,1131.813375,1144.8142,1184.49865,1123.859175
1121.386825,1131.955075,1144.97015,1186.18105,1123.92875
1121.4235,1132.0497,1145.1078,1187.67175,1124.0009
1121.436875,1132.0985,1145.172875,1188.25515,1124.05275
1121.465075,1132.386825,1145.203975,1188.4869,1124.2392
1121.485275,1132.4331,1145.30655,1190.455925,1124.2659
1121.499275,1132.52075,1145.570275,1190.76355,1124.30895
1121.508525,1132.54945,1145.605975,1191.078725,1124.3202
1121.5164,1132.63325,1145.66955,1191.176425,1124.3589
1121.584325,1132.720175,1145.68945,1191.379025,1124.392375
1121.6025,1132.795475,1145.85155,1192.0734,1124.44535
1121.6212,1133.0244,1146.0476,1192.48455,1124.4833
1121.644475,1133.103325,1146.096175,1192.529375,1124.602475
1121.6608,1133.244475,1146.2874,1193.001975,1124.8321
1121.6709,1133.274825,1146.3227,1193.00795,1124.859325
1121.6866,1133.29805,1146.38835,1193.8382,1125.01095
1121.70145,1133.376075,1146.404675,1194.604,1125.125925
1121.711025,1133.4979,1146.42605,1195.3024,1125.233975
1121.7292,1133.6066,1146.447425,1195.92905,1125.358975
