SPK_SPKC01a (inhibited),SPK_SPKC03a (excitation + inhibition),SPK_SPKC04a (excited),SPK_SPKC04b (inhibited),SPK_SPKC08a (inhibition + excitation),SPK_SPKC09a (excitation + inhibition),SPK_SPKC09b (no effect),SPK_SPKC12a (weak inhibition),SPK_SPKC16a (excited),SPK_SPKC16b (excited)
1.3938,11.386975,43.73275,6.421225,25.2635,8.685325,1.884925,3.349075,103.758075,3.9311
1.41025,11.400575,43.78775,6.645375,28.070525,9.01715,1.9133,3.371025,104.066525,4.070775
1.4275,11.48735,44.36525,6.70675,29.1867,9.02325,1.95005,3.4069,106.603675,4.09755
1.452,11.511,44.530275,6.967925,29.24495,9.09375,1.980825,3.4448,107.62345,4.142675
1.457825,11.862225,45.991675,7.00055,29.7786,9.61415,2.024775,3.463175,108.26735,4.259375
1.5363,12.0573,46.99835,7.2038,29.904475,9.630375,2.062,4.014475,108.837575,4.337275
1.542275,12.26605,48.18435,7.29015,30.14665,9.641925,2.10055,4.09475,110.11145,4.41805
1.57995,12.33235,51.980775,7.525,31.6334,9.654975,2.1663,4.103825,112.16325,4.470575
1.589875,12.400025,52.87595,7.65355,32.217275,9.72895,2.2059,4.134375,117.99285,4.473625
1.62505,12.4954,53.288475,7.820775,32.408825,9.8663,2.2326,4.22105,120.677675,4.563625
1.643375,12.59085,54.019375,8.108675,32.5258,9.894625,2.280925,4.24275,126.374625,4.58735
1.6762,12.62545,55.937125,8.324375,33.47335,10.0672,2.301475,4.291675,127.24365,4.6188
1.693125,12.67655,56.215325,8.339,34.9886,10.086325,2.33435,4.49695,128.4452,4.622825
1.709675,12.908175,57.928825,8.358275,35.05175,10.264825,2.37415,4.558075,129.255225,4.701075
1.75965,12.93025,58.137025,8.4858,35.0691,10.2946,2.4076,4.591475,129.479425,4.80065
1.7843,13.2249,58.359675,8.563275,35.221575,10.328775,2.43565,4.6353,130.7054,4.838875
1.872475,13.4133,59.034825,8.62865,36.221625,10.3543,2.485625,4.730975,132.0158,4.85475
1.8931,13.4233,60.00985,8.661575,36.53045,10.400225,2.5125,4.940575,139.1557,4.91065
1.936175,13.43105,60.9111,8.68,37.5316,10.451525,2.554675,4.943125,142.851575,4.9332
1.978125,14.1888,60.92465,8.826325,37.72345,10.561675,2.60415,5.10505,164.591325,4.98135
1.993775,14.418575,60.96325,8.883175,37.73875,10.622925,2.63035,5.17445,164.747575,5.0657
2.0303,14.82235,61.2723,8.967025,37.9084,10.752375,2.654825,5.209675,168.503925,5.2002
2.056,15.87325,61.963875,9.023025,38.1721,10.81535,2.724225,5.21405,169.761475,5.203725
2.06775,16.69545,62.28005,9.062475,38.209775,10.8671,2.768275,5.32875,170.03545,5.2851
