SPK_SPKC04a (exc/inhi),SPK_SPKC07a (inhi)
6.121425,69.071225
6.149375,69.321225
6.196,69.52355
6.2337,69.635075
6.2606,69.997625
6.29045,70.0628
6.322425,70.55675
6.344275,70.6818
6.358025,70.721175
6.371975,71.033925
6.386325,71.185175
6.402725,71.69425
6.426475,71.993775
6.447325,72.12805
6.511875,72.689975
6.566675,72.922375
6.62815,73.081125
6.682,73.3117
6.71275,73.599375
6.748025,73.72855
6.7835,73.794225
6.831925,73.982875
6.8748,74.3698
6.9322,74.442425
6.9832,74.4821
7.015375,74.8435
7.0427,74.906625
7.196375,75.103
7.250975,75.246625
7.30625,75.616125
7.35665,75.712925
7.39185,75.91165
7.424025,76.032225
7.4735,76.2568
7.49965,76.49605
7.552625,76.69145
7.58795,76.777875
7.607525,76.857075
7.64615,76.951425
7.6894,77.041325
7.74055,77.1593
7.77385,77.198975
7.8093,77.33615
7.942475,77.4153
7.958075,77.584625
7.99315,77.6134
8.006625,77.780275
8.02785,77.784225
8.0463,77.87065
8.06775,78.01265
8.1106,78.50405
8.131525,78.9383
8.156025,79.032875
8.174675,79.09235
8.18855,79.33585
8.202225,79.3938
8.21035,79.664675
8.22555,79.8977
8.23835,79.93465
8.2487,80.04965
8.265325,80.2867
8.280975,80.4216
8.2973,80.6912
8.3189,80.7756
8.333925,80.849525
8.353825,80.9733
8.373825,81.115425
8.402475,81.1708
8.414525,81.239275
8.432775,81.368475
8.441975,81.441625
8.460325,81.52415
8.4735,81.6103
8.499225,81.748525
8.51765,82.021625
8.554125,82.05565
8.5916,82.18495
8.612425,82.25855
8.6285,82.404675
8.64195,82.8806
8.654525,83.0446
8.668325,83.1326
8.679075,83.181025
8.69445,83.5816
8.7075,83.919
8.7264,84.1748
8.760325,84.409625
8.77465,84.46485
8.7972,84.54665
8.81435,84.6099
8.838125,84.67475
8.855125,84.906425
8.869875,85.17565
8.889775,85.263075
8.908775,85.3061
8.9268,85.403175
8.9428,85.6839
8.964825,85.7928
8.981,85.9102
8.9992,85.954575
9.01535,86.06475
9.034775,86.163425
9.050875,86.7311
9.0886,86.9777
9.1239,87.044575
9.15125,87.247
9.1807,87.408525
9.20255,87.507275
9.22395,88.397
9.2491,88.52375
9.294375,88.560525
9.34375,88.607975
9.384575,88.7683
9.409475,88.811425
9.455725,88.86945
9.615975,89.23625
9.641,89.29825
9.6635,89.401025
9.678,89.615475
9.6976,89.732
9.7217,89.8847
9.745025,90.068975
9.7552,90.185575
9.78375,90.2496
9.803025,90.293675
9.8441,90.426625
9.882725,90.5995
9.90415,90.649375
9.975425,90.8425
10.0166,91.1325
10.0449,91.17985
10.054425,91.25715
10.069925,91.371
10.081625,91.5471
10.103125,91.6094
10.1191,91.643975
10.137375,91.734775
10.151025,91.9512
10.164775,92.37055
10.18735,92.40545
10.207625,92.465075
10.25985,92.5607
10.323325,92.609225
10.374325,92.70385
10.4022,92.8178
10.41735,93.204325
10.427625,93.4231
10.44125,93.507425
10.45665,93.765125
10.4686,94.03635
10.482125,94.27215
10.49855,94.344775
10.513875,94.498175
10.532025,94.58115
10.559275,94.69815
10.57805,94.7676
10.604425,94.837675
10.625375,95.26605
10.65645,95.3659
10.6794,95.44385
10.699325,95.491175
10.7264,95.809875
10.748425,95.84805
10.76325,95.8936
10.797075,96.031725
10.8411,96.13565
10.858725,96.22
10.8806,96.3768
10.8995,96.498675
10.9074,96.81555
10.92485,97.036675
10.9388,97.11755
10.9459,97.366675
10.952825,97.531025
10.96075,98.038025
10.971575,98.36165
10.976925,98.61075
10.987875,98.683475
10.9954,98.862725
10.999775,98.924975
11.008875,99.031675
11.021175,99.05785
11.0282,99.069025
11.040125,99.191525
11.0485,99.287525
11.056625,99.3914
11.064725,99.661
11.075825,99.7222
11.085075,99.7799
11.09685,99.888075
11.108825,100.2756
11.119575,100.430075
11.130575,100.731875
11.135575,100.8054
11.145825,101.17905
11.1539,101.602575
11.16625,101.8838
11.1742,102.185875
11.180375,102.290225
11.193225,102.39825
11.202025,102.453075
11.216625,102.589825
11.22725,102.6418
11.2374,102.72655
11.250775,103.055325
11.2596,103.18695
11.264075,103.226475
11.27155,103.337375
11.284625,103.54995
11.292925,103.591075
11.30265,103.87575
11.315675,103.986375
11.326025,104.417475
11.33565,104.57155
11.34365,104.689925
11.354075,104.792825
11.36145,105.03665
11.36565,105.0979
11.375225,105.4358
11.3855,105.48675
11.391675,105.52555
11.40345,105.612075
11.414275,106.036825
11.427325,106.0807
11.43295,106.157825
11.440575,106.204975
11.44715,106.336375
11.460125,106.396025
11.47085,106.631225
11.480225,106.641
11.492025,106.7132
11.50115,106.77705
11.513075,107.447425
11.524875,107.502025
11.535575,107.59185
11.545775,107.713575
11.557,107.79895
11.5719,107.843275
11.58015,107.894875
11.594375,107.9536
11.6097,108.0823
11.628275,108.403725
11.6467,108.444025
11.662575,108.639075
11.68415,108.66845
11.698725,108.86475
11.7115,109.0756
11.723475,109.217
11.744425,109.2697
11.76525,109.3245
11.7835,109.46335
11.81725,109.54465
11.82535,109.716825
11.8447,109.78175
11.869425,109.91795
11.889,110.059575
11.9043,110.25915
11.91955,110.7491
11.938475,110.797325
11.951825,110.887125
11.96515,110.9238
11.976875,111.5136
11.99515,111.628275
12.01335,111.883625
12.027875,112.268825
12.035875,112.33285
12.04875,112.36755
12.07825,112.709275
12.12055,112.84375
12.1369,112.96255
12.15825,113.09615
12.1919,113.4312
12.212125,113.50975
12.250675,113.54135
12.26285,113.661525
12.2706,113.6867
12.277425,113.71605
12.291025,113.862175
12.301625,113.9011
12.3075,114.01175
12.322125,114.100525
12.334825,114.183175
12.3451,114.2637
12.3603,114.322625
12.3699,114.4114
12.383175,114.504875
12.392375,114.7479
12.405075,115.24635
12.420075,115.7269
12.430825,115.79625
12.4401,115.833525
12.451025,116.433075
12.4727,116.47225
12.49765,116.664075
12.5296,116.734175
12.583825,116.934925
12.60535,117.31695
12.629275,117.4014
12.6475,117.4354
12.6678,117.465325
12.6828,117.667825
12.69345,117.7508
12.72985,117.78585
12.76805,117.917075
12.790825,117.981275
12.81035,118.190225
12.8323,118.26025
12.860325,118.28015
12.897375,118.328675
12.922425,118.45145
12.943925,118.7927
12.964125,118.88885
12.98615,118.944075
13.010425,118.9687
13.030925,119.20775
13.0438,119.324825
13.0615,119.396875
13.0747,119.544075
13.0853,119.65935
13.095125,119.78035
13.10965,120.078675
13.124675,120.3496
13.13465,120.5015
13.140725,120.993125
13.15425,121.0684
13.1642,121.2924
13.175125,121.6352
13.185075,121.730925
13.190425,121.9067
13.208725,121.9611
13.221475,122.04895
13.229775,122.180725
13.24005,122.21395
13.256925,122.626625
13.26575,122.716775
13.2747,123.0124
13.287525,123.3685
13.298575,123.44775
13.32555,123.663825
13.345075,123.686425
13.35845,123.747975
13.372675,123.815
13.383725,124.3498
13.401325,124.43425
13.420425,124.459075
13.4369,124.539925
13.457975,124.712275
13.48205,124.72425
13.504475,125.008125
13.520825,125.895775
13.544675,125.963475
13.55465,126.30745
13.564925,126.346675
13.588,126.372425
13.612175,126.559575
13.6251,126.578175
13.640975,126.64125
13.652925,126.86005
13.672925,126.9685
13.6945,127.219775
13.7058,127.24175
13.712775,127.248175
13.720475,127.3732
13.730025,127.508
13.74305,127.61725
13.74815,127.989925
13.753375,128.2162
13.764375,128.279125
13.7769,128.342225
13.787875,128.759675
13.8025,128.8294
13.8174,129.2981
13.829875,129.489575
13.846275,129.58485
13.86035,129.801725
13.8727,129.85495
13.891775,129.926525
13.9067,130.075725
13.931725,130.665775
13.953675,131.676675
14.014125,131.900875
14.036125,131.9512
14.0794,132.196625
14.110525,132.51605
14.137375,132.65725
14.15515,132.680775
14.170975,132.93385
14.187775,133.394525
14.203575,133.4228
14.2203,133.687525
14.236175,134.18425
14.247275,134.396125
14.27765,134.42055
14.3131,134.703075
14.337275,134.893625
14.378775,135.319675
14.432775,135.40495
14.456575,135.485225
14.471275,135.53205
14.490525,136.477675
14.51865,136.542025
14.579275,137.4719
14.659275,137.614
14.690525,137.666325
14.7252,137.748825
14.74965,137.871
14.7686,137.9488
14.797325,138.125425
14.8178,138.197325
14.8285,138.35315
14.853775,138.484825
14.884625,138.5393
14.905825,138.733725
14.93895,138.929475
15.004525,139.0099
15.028175,139.119825
15.09885,139.452975
15.16105,139.539
15.218175,139.69545
15.2567,139.80265
15.3002,140.071625
15.3334,140.330225
15.38015,140.467675
15.445675,140.95315
15.47755,141.052625
15.522075,141.3374
15.55495,141.375375
15.64815,141.41285
15.686375,141.436525
15.7476,141.92275
15.824225,142.0272
15.9534,142.0532
16.001875,142.149025
16.050325,142.171525
16.078175,142.206775
16.212025,142.4312
16.252775,142.5215
16.26715,142.55735
16.294,142.5938
16.351125,142.73865
16.3859,142.774325
16.4072,143.174625
16.4393,143.454975
16.46015,143.6124
16.4798,144.025525
16.4933,144.067225
16.5069,144.164925
16.524825,144.45195
16.55125,144.48615
16.576675,144.758175
16.60165,144.827275
16.623575,144.9451
16.687575,145.026675
16.83565,145.3456
16.850475,145.364475
16.8603,145.569875
16.889725,145.592125
16.906125,145.8219
16.92055,145.9003
16.9296,145.9929
16.953975,146.055025
16.967075,146.433125
16.9826,146.507025
16.994275,146.569625
17.006775,146.82305
17.0231,146.902875
17.042575,147.3859
17.0552,147.557475
17.07055,147.8066
17.086275,147.97985
17.0989,148.385225
17.113575,148.553225
17.12625,148.8238
17.14045,148.93265
17.1679,149.028125
17.19645,149.285825
17.223575,149.439375
17.2438,149.807475
17.25735,149.94995
17.27925,150.719925
17.2926,150.811225
17.3154,151.030875
17.333875,151.161675
17.36285,151.603275
17.400225,151.80735
17.42665,152.542425
17.44955,152.5967
17.46815,152.798575
17.51045,153.1114
17.54705,153.418525
17.583675,153.500025
17.6092,153.501825
17.70645,153.5862
17.720125,153.690325
17.74775,153.738875
17.844825,153.938
17.876375,154.243475
17.92265,154.6711
17.96975,154.784975
17.990875,154.848625
18.023,154.8906
18.04205,154.938275
18.066825,155.39895
18.0858,155.5964
18.10735,155.737125
18.158525,155.95945
18.217025,156.24035
18.311175,156.454625
18.352225,156.539475
18.3742,156.897175
18.389225,157.139225
18.4062,157.472175
18.424225,157.744075
18.442,157.85605
18.4671,157.893925
18.49015,158.246975
18.507625,158.598925
18.52725,159.03625
18.544,159.11375
18.55925,159.33285
18.578325,159.38155
18.60055,159.4581
18.61195,159.733475
18.62735,159.970925
18.649475,160.0833
18.672825,160.181625
18.7005,160.2987
18.722975,160.4959
18.752025,160.5501
18.80525,160.714425
18.82315,160.745725
18.84805,160.94955
18.8652,161.4506
18.8795,161.5985
18.89855,161.636525
18.916375,161.7041
18.9443,161.9068
18.99045,162.014425
19.010575,162.2161
19.040975,162.4346
19.0541,162.7885
19.089625,162.80965
19.117625,162.9387
19.1435,162.985425
19.1672,163.141225
19.18515,163.364625
19.204525,163.692725
19.2143,163.891475
19.227525,164.0417
19.24275,164.1503
19.2584,164.4661
19.28365,164.837025
19.3061,165.07705
19.321075,165.227025
19.337075,165.369025
19.355575,165.437725
19.391875,165.459875
19.4049,165.56345
19.421075,166.062675
19.4405,166.130575
19.456875,166.2828
19.47865,166.729725
19.49385,167.104225
19.51425,167.1786
19.5379,167.6891
19.55385,167.8264
19.576125,167.86925
19.59485,168.1731
19.617775,168.291325
19.659425,168.3357
19.67995,168.41115
19.701125,168.4599
19.7181,169.2654
19.7479,169.32055
19.77165,169.5866
19.79845,169.683225
19.822,169.89965
19.841925,170.378075
19.881125,170.43095
19.9007,170.488425
19.928825,170.704725
19.961875,170.830575
20.00915,170.9038
20.0294,171.035875
20.046625,171.2638
20.0598,171.514725
20.07885,171.603175
20.110525,171.9588
20.14535,172.351225
20.175175,172.685925
20.1989,172.73455
20.222525,173.169975
20.244625,173.256025
20.2645,173.390775
20.284475,173.677375
20.319625,173.744325
20.338675,173.826775
20.35685,173.933375
20.38425,174.140125
20.4076,174.24865
20.430975,174.4416
20.460975,174.777275
20.48925,174.841875
20.550025,174.9083
20.617775,175.317775
20.663875,175.363575
20.681925,175.4186
20.7004,175.4899
20.710625,175.531425
20.725575,175.962775
20.734925,176.046625
20.750425,176.1333
20.763625,176.2718
20.7748,176.423625
20.788175,176.4668
20.801075,176.63185
20.8319,176.73725
20.8495,176.8435
20.86595,176.876
20.888525,176.94305
20.9009,177.03425
20.917575,177.66885
20.92635,178.0236
20.94445,178.31915
20.956,178.446925
20.9732,178.5474
20.9943,178.9862
21.021075,179.84775
21.06855,179.9019
21.188375,179.969575
21.22085,180.2502
21.24545,180.296175
21.27385,180.626475
21.286375,180.73885
21.313075,181.1073
21.347775,181.29095
21.392125,181.404225
21.436825,181.45135
21.48585,181.6684
21.535475,181.7185
21.586475,181.810325
21.623125,181.9925
21.649625,182.2049
21.666,182.225325
21.685575,182.2851
21.70625,182.4898
21.72245,182.946825
21.737425,183.04345
21.75955,183.16665
21.787375,183.662925
21.813825,183.923075
21.849425,184.073775
21.91795,184.13565
21.949125,184.193275
21.964875,184.316825
21.98535,184.374125
21.99825,184.5872
22.010475,184.85915
22.0314,184.9014
22.05275,185.175175
22.070375,185.283075
22.082875,185.598925
22.117725,185.860225
22.17295,186.028075
22.224975,186.28795
22.30145,186.674025
22.353025,186.878475
22.384125,186.9413
22.397625,186.984125
22.449475,187.0444
22.48385,187.177725
22.513775,187.31425
22.5623,187.503725
22.589175,187.784625
22.627525,188.0174
22.671275,188.09985
22.841625,188.2906
22.87475,188.400725
23.004175,188.50905
23.1006,188.5487
23.124725,188.8113
23.15225,188.91475
23.195,189.1262
23.22245,189.2734
23.242125,189.396075
23.29135,189.448225
23.347925,190.0188
23.379625,190.494425
23.429225,190.635425
23.450625,190.66815
23.4704,190.9628
23.496225,191.040175
23.5138,191.263275
23.53435,191.395075
23.545,191.64395
23.55285,192.0172
