SPK_SPKC02a,SPK_SPKC07b,SPK_SPKC09a
103.3921,106.414425,105.386825
103.42565,106.447775,105.4114
103.438775,106.494725,105.43545
103.45735,106.5341,105.45845
103.472025,106.557225,105.490875
103.493925,106.5861,105.521225
103.5116,106.62855,105.5443
103.5279,106.670675,105.56945
103.5484,106.70025,105.5945
103.56485,106.74,105.6155
103.581625,106.768575,105.646175
103.596175,106.803125,105.6774
103.6142,106.825325,105.69545
103.627825,106.86455,105.718525
103.646175,106.9008,105.745525
103.6806,106.958625,105.773525
103.696725,106.994025,105.8026
103.7177,107.0326,105.8284
103.7333,107.063925,105.851275
103.7556,107.0986,105.882475
103.770325,107.13395,105.9145
103.78885,107.1603,105.94875
103.80845,107.18825,105.975475
103.830675,107.232775,105.993725
103.848875,107.27305,106.0211
103.88325,107.301225,106.04115
103.90075,107.330625,106.075475
103.91775,107.360275,106.09985
103.9368,107.393575,106.131125
103.949075,107.412875,106.151625
103.965725,107.4612,106.187075
103.9828,107.499875,106.21465
103.9995,107.524575,106.248525
104.01325,107.5565,106.2841
104.0361,107.604825,106.309075
104.049825,107.632,106.34115
104.073075,107.659575,106.377425
104.0889,107.687225,106.4046
104.121,107.716825,106.441825
104.14385,107.752075,106.47595
104.185375,107.783525,106.506775
104.20465,107.8064,106.535125
104.220925,107.847625,106.55485
104.2556,107.883375,106.578725
104.281125,107.930225,106.6113
104.298525,107.955525,106.629725
104.337675,107.994675,106.6633
104.373375,108.024575,106.692975
104.3946,108.055675,106.71765
104.415475,108.079075,106.7505
104.4301,108.126325,106.784375
104.45165,108.1819,106.82215
104.479375,108.2136,106.852225
104.49625,108.2465,106.881625
104.512775,108.277825,106.9135
104.5372,108.3036,106.93835
104.570625,108.329,106.9725
104.594075,108.35125,106.99635
104.61385,108.391225,107.024125
104.634725,108.43215,107.04935
104.657425,108.463675,107.06655
104.673675,108.4905,107.0897
104.68765,108.51165,107.1197
104.70155,108.53285,107.144475
104.7238,108.561375,107.179625
104.772875,108.616575,107.205375
104.79205,108.646725,107.238025
104.814525,108.678975,107.269825
104.82865,108.7045,107.2986
104.8462,108.7379,107.332525
104.8709,108.76335,107.3628
104.89975,108.799875,107.39355
104.90535,108.82475,107.42425
104.9251,108.8545,107.457875
104.942975,108.885325,107.483475
104.955675,108.904025,107.5119
104.9723,108.932675,107.5408
104.9894,108.97095,107.5767
105.00565,108.99155,107.608325
105.015775,109.0316,107.63175
105.037075,109.06355,107.66125
105.057625,109.094775,107.693975
105.071225,109.1163,107.7205
105.112975,109.1361,107.74835
105.130425,109.16665,107.78535
105.1466,109.1897,107.810775
105.173025,109.2381,107.8323
105.196475,109.264075,107.859675
105.21655,109.2901,107.888025
105.23715,109.30675,107.925375
105.256325,109.33035,107.94555
105.27095,109.373625,107.969675
105.287475,109.39195,108.009325
105.305075,109.406,108.031875
105.3294,109.441275,108.056975
105.3468,109.4641,108.0777
105.362875,109.483875,108.097125
105.379375,109.50995,108.12045
105.395375,109.540575,108.153275
105.429625,109.563825,108.175825
105.465225,109.5836,108.20415
105.480375,109.627425,108.221925
105.49375,109.6516,108.23905
105.5108,109.695725,108.25645
105.53225,109.72445,108.27615
105.5482,109.7583,108.30105
105.561525,109.778475,108.3304
105.57815,109.8066,108.354375
105.594775,109.829375,108.3827
105.606025,109.860325,108.41695
105.617675,109.913125,108.45385
105.63785,109.939825,108.479325
105.6561,109.979575,108.506275
105.674275,110.0043,108.528975
105.723825,110.03635,108.55705
105.739525,110.059775,108.5792
105.7554,110.104075,108.59575
105.76915,110.123675,108.61315
105.78565,110.167425,108.6352
105.805875,110.201125,108.654075
105.82515,110.231675,108.679225
105.852375,110.261125,108.70205
105.8736,110.286725,108.7302
105.915425,110.300775,108.750625
105.930025,110.335475,108.771375
105.9513,110.3697,108.80115
105.966675,110.396175,108.830125
105.9802,110.433325,108.861425
105.9895,110.4739,108.891975
106.021025,110.4974,108.924625
106.055675,110.5502,108.951725
106.072475,110.57425,108.985425
106.088125,110.5993,109.0173
106.108925,110.626225,109.062125
106.122375,110.6768,109.089225
106.13805,110.711725,109.128975
106.14465,110.7362,109.163375
106.152125,110.80815,109.1976
106.1736,110.857375,109.221775
106.1906,110.881425,109.273075
106.208475,110.947225,109.3044
106.222125,110.9747,109.329725
106.256225,111.01285,109.3561
106.277475,111.04245,109.3815
106.2965,111.090875,109.399
106.312125,111.139375,109.41425
106.33085,111.168075,109.435025
106.344875,111.198375,109.4601
106.358725,111.234225,109.47875
