SPK_SPKC03a (excited),SPK_SPKC05a (no effect),SPK_SPKC05b (no effect),SPK_SPKC06b (no effect),SPK_SPKC08a (short inhibition),SPK_SPKC13a (no effect),SPK_SPKC14a (no effect)
8.036375,50.27395,1.583325,154.861475,1.488325,78.93925,13.665375
8.040675,50.6984,1.6079,154.864475,1.50265,79.20755,14.078925
8.1066,50.745625,1.609425,157.269675,1.51785,79.28155,14.500375
8.17285,51.478675,1.621175,157.466825,1.535225,79.37255,14.5525
8.22935,53.034875,1.640425,157.810175,1.5733,79.9446,15.47835
8.26325,53.480275,1.6568,158.06035,1.596925,80.110475,15.69965
8.29765,53.823875,1.686325,158.52005,1.608775,80.3453,15.992875
8.3109,53.874675,1.69895,160.326525,1.620125,80.66935,16.0176
8.40425,54.32055,1.741675,160.637975,1.6373,80.741775,16.251775
8.5318,54.5918,1.755825,160.8932,1.649075,80.802125,16.297975
8.599925,56.4961,1.77745,161.840525,1.6595,80.915975,16.317675
8.69065,59.2308,1.7898,162.597,1.69955,81.263125,16.345875
8.808825,59.255775,1.804475,163.22265,1.7061,81.37605,16.38375
8.822775,59.848375,1.815225,165.293075,1.715325,81.60325,16.409625
8.8441,61.8614,1.820425,167.98295,1.73115,82.113675,16.4142
8.947725,62.27835,1.8292,170.577675,1.7413,83.113525,16.44855
9.0032,62.4184,1.847825,171.56995,1.770575,83.30695,16.460975
9.08575,63.406625,1.87035,174.514875,1.783225,83.468275,16.564975
9.1432,65.02945,1.89745,174.521375,1.80465,84.04145,16.581175
9.17375,65.488575,1.9146,178.32205,1.83535,84.15155,16.66915
9.205275,65.752475,1.924575,179.412525,1.86775,85.264075,16.736375
9.2307,66.94625,1.9362,180.1813,1.8781,85.59435,17.000025
9.288375,67.007975,1.952025,181.6385,1.8867,85.6896,17.0018
9.3584,68.24505,1.9686,182.167025,1.9033,86.126425,17.021125
9.523475,68.48575,1.97585,184.230425,1.92225,86.290225,17.113875
9.578175,68.54465,1.9917,184.5866,1.934525,86.43935,17.12395
9.602175,69.108275,2.008725,186.2344,1.94665,87.119025,17.2117
9.6645,71.79465,2.030775,187.740325,1.9589,87.26415,17.23045
9.811725,71.83925,2.04975,188.245375,1.96815,87.4388,17.267725
9.82785,71.959275,2.055275,189.7136,1.98055,87.706925,17.32345
9.873975,72.1873,2.0764,190.6313,2.03285,89.0577,17.47015
10.038825,74.395175,2.1046,194.00195,2.04425,89.1083,17.627075
10.1948,76.035075,2.137575,196.950275,2.04945,89.4288,17.75385
10.276025,76.638225,2.14935,197.82975,2.05835,89.561975,17.79945
10.282475,77.1091,2.162525,197.86065,2.06105,89.7107,17.963925
10.3045,77.711225,2.1721,198.1607,2.0651,89.8042,18.037475
10.3542,78.657275,2.17665,198.93705,2.0751,90.504625,18.042875
10.367,78.675575,2.183325,199.2979,2.0849,90.968625,18.225025
10.3757,78.981175,2.188875,200.094325,2.094525,91.1062,18.3341
10.3867,79.036325,2.20015,200.7204,2.115425,91.69995,18.676925
10.435575,79.069075,2.219925,201.501075,2.1274,91.7924,18.7876
10.564975,79.661075,2.2385,201.898325,2.130725,92.008475,18.83075
10.618425,79.95205,2.258225,202.54445,2.138725,92.085875,19.042725
10.64795,79.966525,2.280925,203.338275,2.163575,92.816175,19.416525
10.79125,80.22525,2.31515,204.6332,2.182625,93.510125,19.429825
10.817625,80.495625,2.3366,204.89585,2.184375,93.654225,19.490325
10.856275,80.639925,2.365875,205.138625,2.1916,94.47995,19.49155
11.00975,81.17525,2.400975,205.268575,2.2166,94.5828,19.5125
11.066675,81.41585,2.405625,205.2841,2.244175,94.58455,20.2725
11.078075,81.826125,2.427225,205.319475,2.259375,94.7158,20.314425
11.1065,81.89235,2.446075,205.5052,2.2681,95.90245,20.319575
11.108175,81.9477,2.46955,205.512675,2.2807,95.993225,20.338075
11.111575,82.7273,2.49325,205.93085,2.298225,96.360325,20.349
11.1457,82.76045,2.510725,206.0548,2.300325,97.216,20.399425
11.198375,83.51715,2.52235,206.6483,2.338225,97.635225,20.437375
11.22855,84.250825,2.53755,208.14065,2.35345,98.289975,20.466975
11.26485,84.33155,2.54685,209.266,2.3623,98.35585,20.493175
11.306925,84.543525,2.5564,211.7,2.376625,98.45325,20.519075
11.397525,84.987975,2.56825,211.763275,2.389875,98.6419,20.584275
11.4492,85.258275,2.5778,212.209475,2.39635,98.6847,20.6426
11.549325,85.5018,2.59055,212.3901,2.4082,98.8086,20.814775
11.56915,85.530175,2.60605,212.8826,2.4383,99.31445,20.857575
11.61745,85.96655,2.630625,213.379825,2.44735,99.57165,21.040075
11.63605,86.157375,2.642375,215.146775,2.4567,99.66815,21.23785
11.774275,86.520875,2.661575,215.386075,2.4724,99.9198,21.438375
11.838175,86.755775,2.68995,215.572475,2.501425,100.149875,21.585125
11.8692,86.96225,2.738175,215.590075,2.529475,100.59745,21.65935
12.072625,87.230775,2.76475,215.5964,2.53565,101.051675,22.071725
12.08745,87.637025,2.7976,215.8343,2.54325,101.264925,22.153875
12.149625,87.765325,2.812575,215.905275,2.574125,102.861675,22.334275
12.2216,87.81915,2.8682,216.95575,2.60025,102.8754,22.433175
12.274475,88.42345,2.873425,216.9887,2.61495,103.224875,22.4796
12.29705,89.04425,2.88155,217.344325,2.6229,103.6583,22.528375
12.3052,89.24005,2.892425,217.389825,2.6325,103.94565,22.939975
12.33895,89.2524,2.89555,217.432975,2.63865,104.031325,23.329325
12.5313,89.29715,2.921825,217.58615,2.684875,104.204325,23.367875
12.5504,89.36655,2.9327,217.689925,2.69485,104.2719,23.436625
12.59865,89.531675,2.9397,217.81945,2.703475,104.468225,23.5442
12.601025,89.6246,2.946025,218.1494,2.7053,104.61145,23.841975
12.72925,89.802275,2.955125,218.3572,2.71795,104.654125,23.93105
12.757725,89.951975,2.96455,218.46005,2.7276,104.720375,24.0522
12.76635,90.516525,2.974425,218.6308,2.7389,104.772275,24.113475
12.84965,90.6684,2.988325,218.898125,2.74695,105.0884,24.13525
12.88045,91.019025,2.998975,219.3725,2.7678,105.30985,24.65715
12.929425,91.269675,3.012175,221.570675,2.79855,105.611475,24.6886
13.008625,91.41065,3.023075,224.858025,2.813975,105.759875,24.805775
13.0278,91.460475,3.0497,225.18415,2.84535,105.9317,24.84205
13.174875,91.793975,3.05945,225.262725,2.85235,106.135525,25.07965
13.195025,92.031475,3.071275,225.6891,2.86115,106.5676,25.216075
13.279125,92.132825,3.079525,227.9277,2.87165,106.712775,25.4367
13.472325,92.24175,3.0864,228.00055,2.877,106.79425,25.486725
13.4864,92.513125,3.0942,228.18275,2.887875,107.817225,25.61575
13.4955,92.6965,3.096025,228.203575,2.89815,107.9308,25.642875
13.536575,92.76745,3.1045,228.20905,2.927275,108.040275,25.767775
13.79505,92.958375,3.117825,228.9351,2.932825,108.150625,26.305325
13.8132,93.012625,3.119575,228.978,2.979175,108.37435,26.3319
13.884225,93.136225,3.128325,230.7924,2.990375,109.0083,26.47035
13.8961,93.979625,3.14185,232.244375,3.005475,109.3286,26.5767
13.967475,94.13635,3.16615,232.8375,3.0204,109.373525,26.632125
14.120025,94.774825,3.180275,233.677925,3.0645,109.4498,26.6481
14.1683,94.82515,3.2018,234.07585,3.136025,109.693875,26.795525
14.1925,95.58845,3.211425,234.408325,3.176475,109.8884,27.081125
14.326725,95.749625,3.2261,234.83595,3.20745,110.412,27.2604
14.376375,95.83035,3.24505,234.85275,3.21535,110.458325,27.45435
14.4166,96.196975,3.260525,235.02495,3.24935,111.071525,27.476375
14.42645,96.658375,3.2746,235.12365,3.262575,112.8158,27.5268
14.459025,96.75855,3.295625,235.37815,3.29325,113.126575,27.55425
14.46485,96.8026,3.30325,236.16705,3.335875,113.582325,27.572175
14.579325,97.137175,3.316675,237.036,3.339825,113.585025,27.684625
14.59675,97.517325,3.323675,238.667875,3.3502,113.683475,27.834925
14.62475,97.759225,3.3268,238.942575,3.37435,113.86635,27.980175
14.661675,98.684,3.328625,238.9524,3.3796,114.048175,28.277525
14.66725,98.888975,3.3391,238.96065,3.385825,114.88555,28.284775
14.71865,98.93865,3.35935,239.14695,3.4194,115.508975,28.351775
14.808575,99.0433,3.36995,239.473625,3.440375,115.522475,28.75845
14.8568,99.050775,3.380525,239.520375,3.448175,115.828925,29.2285
14.88065,99.511075,3.394175,239.69605,3.456225,116.1477,29.3642
14.894125,99.7397,3.398725,239.7932,3.4719,116.685675,29.5141
14.90765,100.16465,3.4069,239.85315,3.488025,116.907975,29.602775
14.948075,103.212425,3.4259,240.893525,3.5086,117.324175,29.6732
15.0792,103.581625,3.4361,241.171975,3.51305,117.744775,29.787075
15.134875,103.86875,3.469,241.90835,3.525425,117.843075,30.4145
15.23115,107.4714,3.482125,242.29,3.535825,117.997525,30.561075
15.2669,107.5822,3.5033,242.581225,3.54315,118.07715,30.7106
15.3568,108.349125,3.519625,244.201425,3.575275,119.954575,30.7599
15.429075,109.3068,3.531275,244.4987,3.594125,120.38315,30.91465
15.44345,109.477275,3.54885,245.14165,3.6067,120.652125,31.044525
15.49815,109.5072,3.558275,245.149775,3.62995,120.768975,31.1793
15.6158,110.030025,3.5651,247.639,3.6447,120.8107,31.217325
15.65495,110.72725,3.57715,248.307875,3.6677,121.115625,31.336475
15.677475,111.1317,3.58605,248.779775,3.701825,121.197,31.372225
15.727175,111.66685,3.594675,248.781175,3.735925,121.24965,31.422975
15.7784,114.382775,3.6025,250.02425,3.754775,121.402925,31.4386
15.896925,114.87515,3.62535,250.18325,3.7679,121.456525,31.542575
15.98065,116.3902,3.642025,250.2432,3.77865,123.032375,31.97795
16.041325,116.7608,3.686625,250.528075,3.792075,123.06625,32.032875
16.055725,117.03195,3.699875,251.219625,3.800775,123.1631,32.24025
16.128325,117.30805,3.72035,251.62815,3.81175,123.203375,32.365275
16.134425,118.567075,3.733125,253.738775,3.842,123.48325,32.498975
16.1408,118.9396,3.76435,253.87965,3.850875,123.61245,32.56615
16.20905,119.86405,3.782125,254.067275,3.870025,123.662,32.640225
16.31465,119.9397,3.804325,255.448775,3.87215,123.790075,32.6766
16.465525,120.118025,3.814825,255.699325,3.881525,123.8012,32.695925
16.491175,120.1779,3.8206,255.72395,3.919,123.868725,32.970725
16.495975,120.6708,3.830425,256.278925,3.930775,123.957725,32.980325
16.63515,120.96275,3.846025,256.462225,3.9395,124.5982,32.984825
16.73425,121.936725,3.854825,256.8757,3.961575,124.719925,32.991
16.809175,123.139375,3.8654,258.426,3.9816,124.997225,33.079325
16.825175,124.855225,3.873025,258.8524,3.996375,125.44045,33.121875
16.962225,124.886925,3.88275,259.58255,4.008475,125.61705,33.15955
17.0145,125.343775,3.89455,259.8609,4.025575,125.781725,33.22385
17.08645,125.405375,3.89705,260.01175,4.037875,125.9399,33.33365
17.160475,126.16145,3.918925,260.989325,4.052925,126.0287,33.472525
17.22855,126.4229,3.9363,261.00105,4.0662,126.0346,33.61815
17.317225,126.614475,3.959,262.26475,4.074375,126.046725,33.726775
17.51115,126.66555,3.977725,262.378125,4.097225,126.059625,33.7795
17.637475,127.297175,4.018975,262.83305,4.10495,126.31185,33.805575
17.656775,127.601175,4.0364,263.174025,4.11225,126.517475,33.8226
17.69,130.997725,4.0586,263.866675,4.12995,126.945125,33.8867
17.832875,131.33485,4.0687,264.13655,4.134725,126.94725,33.90655
17.97835,133.9352,4.08525,266.60855,4.140575,127.015025,33.9955
18.1655,134.036375,4.105725,266.626525,4.15245,127.249275,34.04685
18.255575,134.524425,4.115925,267.221425,4.16505,127.689725,34.181875
18.304075,136.3622,4.12215,267.48165,4.172325,127.741725,34.270875
18.37615,136.4318,4.13275,268.00345,4.178975,127.82135,34.4793
18.557375,136.7831,4.17595,269.07785,4.18805,128.0355,34.6391
18.639025,136.795725,4.1971,269.3364,4.19465,128.090575,34.969175
18.691275,138.645925,4.219825,269.48775,4.21015,128.353125,35.27175
18.710975,138.747425,4.231125,269.7614,4.231375,128.65715,35.359325
18.925775,139.17165,4.24315,271.664525,4.238975,128.674875,35.47865
18.94455,139.38195,4.25235,272.93325,4.285375,128.859975,35.584675
18.9594,139.627675,4.276425,274.2553,4.292075,128.877,35.669775
