SPK_SPKC09a,SPK_SPKC11a,SPK_SPKC13b,SPK_SPKC14a,SPK_SPKC16a
26.180375,48.136925,,27.9535,19.67445
26.48495,48.51335,,29.079575,19.738925
26.893425,49.2489,,29.449075,19.777125
26.961575,49.400775,,30.075725,19.824875
27.00625,50.5523,,30.0917,19.919125
27.117275,51.4498,,30.3358,20.02205
27.348875,51.846325,,30.699075,20.02605
27.48105,52.466525,,30.71665,20.0744
27.6307,52.86495,,30.758275,20.1812
27.767225,53.334425,,31.757,20.18315
27.827375,53.4841,,32.09015,20.2123
27.85405,53.833725,,32.3642,20.249475
28.01895,54.05355,,32.5993,20.323025
28.074825,54.093025,,33.200575,20.590825
28.129425,54.218875,,33.360375,20.6139
28.305825,54.26145,,33.36865,20.624825
28.429125,54.281025,,33.7185,20.680875
28.5645,54.49205,,33.7283,20.68625
28.81375,55.342575,,34.263475,20.701475
29.538625,56.1798,,34.68935,20.84735
29.619575,56.8216,,36.4519,20.9843
30.0081,57.179725,,36.5057,21.0315
30.19095,57.375575,,36.654325,21.033275
30.400125,57.540475,,36.823925,21.041775
30.40675,59.473975,,37.3545,21.0567
30.446125,59.632525,,37.661075,21.156875
30.67275,59.9767,,37.8257,21.16605
30.707275,60.0181,,38.23845,21.1992
31.331275,60.18225,,38.2821,21.24305
31.41835,60.599625,,38.373325,21.468725
31.912425,60.723275,,38.920975,21.5707
32.02165,61.00625,,39.09335,21.65395
32.4653,61.91655,,39.514725,21.750175
32.5498,62.963,,39.72385,21.96875
32.755275,63.407925,,40.031625,21.985625
32.83515,63.5511,,40.11315,21.995225
32.9596,63.67615,,40.9179,22.007875
33.131175,63.858175,,40.9279,22.089975
33.344375,64.246475,,41.320975,22.155575
33.383575,64.72765,,41.636325,22.3688
33.405825,65.300875,,41.651975,22.375575
33.602275,65.320225,,41.669125,22.403225
33.86475,66.1452,,41.848375,22.434
33.997025,66.1671,,42.50735,22.83235
34.268825,66.85525,,42.72015,22.838075
34.469325,67.1666,,43.484675,22.844775
34.710525,67.4517,,43.5078,22.845925
34.72655,68.193525,,43.547675,22.848175
34.760125,68.942075,,44.359625,22.859925
34.8721,69.3601,,44.373625,22.878925
35.3905,70.12535,,44.780225,22.9057
35.610725,70.54015,,45.250875,23.048975
35.69645,71.296675,,45.3097,23.0703
36.4261,72.054425,,46.051975,23.28545
36.568,72.748925,,46.059425,23.3988
36.832225,73.325975,,46.9729,23.409
36.8713,73.988475,,47.344525,23.416
37.064275,74.0528,,47.539175,23.8712
37.740075,74.3861,,47.5916,24.071375
38.04415,74.89435,,47.800925,24.3218
38.127325,74.9467,,47.838625,24.33685
38.227925,75.95385,,48.063075,24.3608
38.263975,76.05985,,48.336625,24.680825
38.916025,76.63935,,48.354225,24.691475
39.235475,76.95725,,48.367125,24.714825
39.311575,77.01075,,48.4001,24.754275
39.4431,77.446975,,48.570725,24.767125
40.126175,77.779,,48.94595,24.776225
40.334225,78.1653,,49.015125,24.81105
40.86385,79.331525,,49.29505,24.84775
40.931225,79.59315,,49.356725,24.9143
41.4661,79.6797,,49.3788,24.993225
42.52535,79.694475,,49.666075,25.021125
42.903175,79.7867,,49.9281,25.2622
43.026275,79.952575,,50.1333,25.2762
43.18395,80.669225,,50.2136,25.3418
43.257475,81.02255,,50.367,25.37475
43.838975,81.122975,,50.4684,25.3852
43.966925,81.801275,,50.498675,25.39035
44.09775,82.02475,,50.527175,25.755775
44.152975,82.045925,,50.562375,26.02335
44.25255,82.444075,,50.58325,26.07595
44.25455,82.491075,,50.67765,26.09135
44.3547,82.783625,,50.7262,26.157
44.502375,83.7928,,50.760625,26.1666
44.864075,83.9478,,50.79225,26.2087
44.930475,84.599325,,50.822375,26.24625
45.04015,84.71985,,50.88035,26.4391
45.08935,86.3541,,50.926475,26.5301
45.194375,87.039,,51.03675,26.55765
45.237775,87.582975,,51.097575,26.6166
45.465225,87.645975,,51.184825,26.980575
45.63085,88.24295,,51.337525,26.99775
46.153675,88.275325,,51.40115,27.05375
46.243575,88.56965,,51.422925,27.1348
46.3932,88.6386,,51.50445,27.56915
46.5082,88.76455,,51.52675,27.96365
46.59005,88.898025,,51.79325,28.13035
46.70885,89.198325,,51.81985,28.278825
46.8411,89.40685,,51.847325,28.365075
47.03645,89.446375,,51.866875,28.566325
47.211475,89.664325,,51.89215,28.83915
47.328525,89.78895,,51.979975,28.992875
47.4375,90.28125,,52.019825,29.155875
47.720025,90.3987,,52.47485,29.215075
47.778125,90.6956,,52.493175,29.227675
47.83525,90.7836,,52.517875,29.31235
48.1686,90.80335,,52.546125,29.454175
48.198275,91.238925,,52.5605,29.56145
48.45385,91.75725,,52.6307,29.674775
48.58965,91.8243,,52.763675,29.823775
48.969175,91.826475,,52.81905,30.171975
50.021975,91.901825,,52.834875,30.29825
50.098025,92.0854,,52.855475,30.335875
50.296375,92.538575,,52.97125,30.3834
50.71145,93.49885,,53.026125,31.0536
50.795675,94.39655,,53.303625,31.17045
50.877425,94.990525,,53.324975,31.273525
51.19605,95.1644,,53.7682,31.47505
51.347875,96.351475,,53.7904,31.6459
51.484175,96.50435,,53.833,31.834775
51.659725,96.85715,,53.896575,32.145775
52.23975,96.90505,,53.9601,32.244025
52.299975,97.141075,,54.105025,32.365775
52.390325,97.226775,,54.116125,32.403625
52.678875,97.30305,,54.14315,32.49925
52.856175,97.54135,,54.201825,32.543525
53.304025,98.255625,,54.2723,32.590275
53.4794,100.029025,,54.562175,32.83465
53.843475,100.3796,,54.603325,32.856125
54.068075,100.579925,,54.61365,32.8767
54.299425,101.264625,,54.6999,32.91235
54.580875,101.309175,,54.733725,32.99035
54.7244,101.5655,,54.744975,33.271825
54.76425,101.8767,,54.761725,33.361175
54.86435,102.102425,,54.91655,33.4287
55.205425,102.251775,,54.979925,33.596625
55.407375,102.547225,,54.995475,33.690575
55.43705,103.27835,,55.0199,33.745325
55.46555,103.49285,,55.184675,33.7731
55.5818,103.7413,,55.218125,33.830725
