SPK_SPKC01a,SPK_SPKC01b,SPK_SPKC01c,SPK_SPKC05a,SPK_SPKC05c,SPK_SPKC06a,SPK_SPKC07a,SPK_SPKC10a,SPK_SPKC16a
1.28695,2.621,5.6782,8.863725,2.48175,1.939975,5.3011,7.2692,11.812225
1.297275,2.641,5.679475,8.873675,2.509525,1.9637,5.3528,7.310425,11.94265
1.322225,2.704075,5.689225,9.008925,2.5532,2.001725,5.3947,7.346,12.0457
1.354,2.7308,5.7113,9.046575,2.579225,2.04365,5.4362,7.37995,12.41745
1.36915,2.75285,5.76265,9.122525,2.63045,2.071575,5.509875,7.420525,12.47265
1.408575,2.771075,5.795075,9.177425,2.6949,2.092375,5.532925,7.454525,12.60865
1.426625,2.818375,5.8438,9.237475,2.711425,2.1127,5.55355,7.538675,12.665625
1.434425,2.858175,5.856975,9.955025,2.74285,2.1288,5.593975,7.574225,12.7325
1.466475,2.9703,6.19135,10.12565,2.772325,2.153875,5.607975,7.676475,12.9723
1.507375,2.99485,6.37385,10.478625,2.805225,2.1757,5.64205,7.727125,13.011775
1.551725,3.021325,6.45865,10.5908,2.821975,2.21845,5.66535,8.069725,13.091125
1.565025,3.05185,6.508975,10.60635,2.83535,2.237525,5.677275,8.113175,13.14735
1.592175,3.1152,6.58995,10.624025,2.851075,2.2616,5.695375,8.146125,13.172475
1.614625,3.1685,6.625775,10.6626,2.8769,2.35225,5.72875,8.26035,13.235575
1.62025,3.229475,6.77645,10.68225,2.944625,2.383875,5.794025,8.317325,13.34325
1.62575,3.34005,6.880925,10.740975,2.999325,2.40265,5.828125,8.410825,13.37295
1.645425,3.365675,6.9712,11.094275,3.0134,2.428175,5.850575,8.51325,13.63825
1.664175,3.414475,6.9893,11.391525,3.033075,2.45025,5.9304,8.5503,13.718675
1.67195,3.44725,7.028975,11.481875,3.0785,2.48705,5.9697,8.603975,13.87475
1.69335,3.469175,7.2766,11.5025,3.100475,2.514625,6.014475,8.659875,14.0445
1.707075,3.51685,7.354275,11.661375,3.150625,2.566525,6.056325,8.77495,14.0484
1.714375,3.53865,7.3684,11.984225,3.16645,2.62205,6.108325,8.816425,14.177325
1.734975,3.576025,7.4165,11.996975,3.179925,2.663,6.168375,8.889475,14.445325
1.7395,3.6145,7.4184,12.2702,3.2101,2.697075,6.192275,8.942975,14.561525
1.7628,3.6262,7.486325,12.362075,3.323875,2.76275,6.2298,8.998425,14.609925
1.771425,3.656125,7.531425,12.380425,3.3606,2.80315,6.335825,9.052575,14.7826
1.80605,3.6942,7.55485,12.5627,3.3785,2.8287,6.4097,9.115025,15.1249
1.829675,3.74475,7.574975,12.72065,3.398325,2.853225,6.4455,9.15635,15.1722
1.847375,3.809125,7.67855,12.852525,3.410175,2.888975,6.5033,9.222025,15.279825
1.8687,3.861525,7.83445,12.865825,3.428375,2.92005,6.523075,9.518575,15.30245
1.9215,3.890775,8.1552,12.929825,3.446125,2.952,6.58085,9.5667,15.39085
1.94665,3.97745,8.2211,13.0337,3.48065,2.974025,6.645075,9.6236,15.581525
1.965175,4.075575,8.238225,13.07465,3.5501,2.994625,6.6662,9.661475,15.62885
1.99125,4.111625,8.29745,13.1285,3.6092,3.018825,6.682225,9.687825,15.69655
2.017925,4.1446,8.324375,13.202975,3.68505,3.040725,6.710925,9.926175,15.7823
2.0387,4.17685,8.3891,13.3999,3.71395,3.07615,6.756425,9.947425,15.8104
2.066225,4.19105,8.4587,13.41215,3.732225,3.104525,6.766475,9.97475,16.466525
2.101225,4.201875,8.50175,13.438825,3.747725,3.115575,6.8107,9.997475,16.494375
2.1377,4.2221,8.905525,13.495525,3.758875,3.15915,6.82175,10.02895,16.892275
2.1638,4.258775,8.934125,13.638925,3.789025,3.191975,6.869575,10.052475,17.1929
2.180725,4.29525,9.00095,13.67335,3.833475,3.2209,6.920775,10.0998,17.560575
2.220875,4.47325,9.163175,13.8899,3.850325,3.24175,6.969275,10.14855,17.651075
2.224175,4.49955,9.19415,14.012925,3.87875,3.27135,7.055575,10.376575,17.88605
2.233425,4.520075,9.61645,14.0814,3.9314,3.292475,7.08945,10.42825,17.88725
2.255575,4.555275,9.652425,14.15485,3.994525,3.3201,7.170825,10.435575,17.90455
2.2774,4.565625,9.6838,14.25015,4.00965,3.34875,7.20565,10.46215,18.304975
2.279675,4.59,9.731225,14.306775,4.0301,3.36735,7.244375,10.52885,18.45395
2.299175,4.602825,10.01965,14.342025,4.045025,3.3898,7.2645,10.5855,18.6292
2.3318,4.6267,10.075675,14.420675,4.0723,3.4205,7.295275,10.648275,18.7776
2.35185,4.6495,10.093275,14.434075,4.0952,3.448125,7.3706,10.6714,19.014925
2.36755,4.665375,10.1179,14.8042,4.146875,3.480625,7.42885,10.70295,19.07185
2.3926,4.794,10.200425,15.1955,4.188675,3.5035,7.545525,10.9865,19.085575
2.402125,4.808725,10.302625,15.391475,4.393,3.52295,7.610075,11.024825,19.36885
2.4037,4.823275,10.4174,15.55475,4.41255,3.5445,7.6786,11.059425,19.408925
2.41585,4.86915,10.455925,15.632575,4.43255,3.56105,7.7181,11.1146,19.496325
2.43245,4.90725,10.50815,15.7737,4.440575,3.579,7.7264,11.617325,19.63935
2.451325,4.9461,10.5437,15.9289,4.45855,3.645025,7.748425,11.65225,19.82735
2.48225,5.000825,10.673,16.03535,4.49385,3.6893,7.78815,11.733875,19.8488
2.5122,5.038675,10.755525,16.412475,4.5077,3.731575,7.831375,11.996975,20.0042
2.527225,5.0923,10.794325,16.608875,4.537675,3.775525,7.865675,12.016975,20.026125
2.556525,5.157925,10.888325,16.63275,4.56675,3.803025,8.04215,12.05405,20.193425
2.57205,5.184675,10.927375,16.802675,4.578125,3.8402,8.08665,12.07935,20.608925
2.604,5.219125,11.024475,16.838025,4.59995,3.87045,8.1085,12.0858,20.77995
2.628025,5.25855,11.051,16.980125,4.62245,3.91545,8.11535,12.10295,20.87725
2.6557,5.298225,11.170775,17.07475,4.67005,3.973025,8.1944,12.1302,21.283475
2.6866,5.3307,11.1832,17.21855,4.68295,4.00025,8.22965,12.151075,21.439875
2.697825,5.369875,11.24135,17.25935,4.722025,4.018775,8.25345,12.174625,21.50565
2.7257,5.409075,11.33515,17.345675,4.76065,4.037525,8.295775,12.23345,21.641125
2.732775,5.4743,11.451525,17.52235,4.810375,4.063925,8.3404,12.264575,21.875075
2.739,5.5046,11.641,17.538525,4.82505,4.094175,8.41095,12.291775,22.117325
2.7645,5.562375,11.679525,17.60375,4.852925,4.13885,8.4332,12.362075,22.402025
2.781275,5.61055,11.707675,17.61535,4.926425,4.163275,8.474125,12.7112,22.49185
2.7825,5.625575,11.766775,17.791375,4.989525,4.191325,8.52265,12.75775,22.548525
2.799825,5.6709,11.77995,17.826125,5.006,4.1959,8.5448,12.79665,22.84455
