SPK_SPKC01a,SPK_SPKC01b,SPK_SPKC04a,SPK_SPKC10a
309.158,308.4665,305.459225,313.846675
309.172525,308.505225,305.4897,313.880375
309.215375,308.53715,305.5285,313.94385
309.294625,308.560225,305.55765,313.970175
309.423325,308.598675,305.583425,314.015125
309.4526,308.655425,305.65165,314.0208
309.467975,308.921725,305.6724,314.22485
309.48945,309.018275,305.69485,314.266525
309.522725,309.0399,305.708675,314.2915
309.56085,309.044475,305.7384,314.427625
309.62185,309.075075,305.7488,314.486275
309.678975,309.233875,305.7553,314.50695
309.729225,309.2584,305.79445,314.52165
309.746025,309.299825,305.832775,314.5967
309.78185,309.3481,305.853375,314.692875
309.877025,309.371075,305.859575,314.919625
309.897425,309.389125,305.875875,314.954125
309.956375,309.415175,305.886325,315.028225
309.97565,309.4429,305.940025,315.0945
309.9943,309.480225,305.960725,315.121225
310.11335,309.604375,306.007525,315.41845
310.259925,310.23555,306.074225,315.438275
310.4228,310.44475,306.1185,315.68
310.622425,310.50505,306.1202,315.90475
310.6843,310.537725,306.15595,316.094875
310.7467,310.559675,306.2128,316.1961
310.7743,310.600525,306.250775,316.31765
310.807875,310.637525,306.306125,316.520425
310.83015,310.6629,306.378375,316.576
310.8633,310.6855,306.417125,316.7741
310.880475,310.71175,306.458975,316.86375
311.092925,310.7361,306.4846,317.0029
311.127525,310.78685,306.495875,317.0706
311.19115,310.840975,306.50685,317.1018
311.2526,310.9603,306.560525,317.166175
311.2683,310.9891,306.601525,317.1773
311.288575,311.040675,306.621075,317.238025
311.400175,311.06235,306.634675,317.3658
311.502375,311.142075,306.66475,317.425675
311.528575,311.15985,306.69285,317.49065
311.605175,311.31885,306.713175,317.5548
311.65025,311.34795,306.792775,317.625025
311.6767,311.383875,306.813325,317.68915
311.72925,311.530375,306.866225,317.7392
311.774075,311.577725,306.91325,317.754225
311.791025,311.68045,307.005,317.95935
311.806525,311.84935,307.045625,318.173575
311.87935,312.04825,307.151225,318.203575
311.898575,312.164,307.15535,318.2224
311.940575,312.25735,307.19645,318.496325
311.984225,312.338625,307.2455,318.7232
312.083975,312.389475,307.273475,318.79365
312.097775,312.6205,307.355375,318.799175
312.17885,312.6708,307.40605,318.804525
312.321775,312.8175,307.411125,318.860275
312.344025,312.851075,307.4344,319.0167
312.41415,313.108175,307.464675,319.1354
312.463325,313.266025,307.472725,319.235225
312.522525,313.3889,307.500925,319.258125
312.551725,313.94865,307.52,319.3419
312.6142,314.01275,307.56225,319.408875
312.6863,314.033125,307.56425,319.6705
312.788925,314.13505,307.610325,319.70515
312.9354,314.18405,307.63125,319.789975
312.9695,314.203075,307.65555,319.798225
312.99075,314.25005,307.676075,320.21965
313.170475,314.368425,307.723475,320.41065
313.291575,314.4234,307.778625,320.46995
313.30185,314.438025,307.81,320.5152
313.438575,314.470175,307.838175,320.637825
313.488575,314.780125,307.87025,320.6786
313.5117,314.9028,307.87275,320.71065
313.5761,314.996625,307.89435,320.72315
313.61905,315.023325,307.90065,320.7437
313.63395,315.0519,307.916325,320.8104
313.742,315.07195,308.00545,320.995675
313.7712,315.135775,308.018725,321.0535
313.9124,315.196975,308.0831,321.067925
313.976525,315.22175,308.09795,321.242375
313.99315,315.244375,308.1318,321.361
314.028175,315.269975,308.17505,321.3861
314.068375,315.336325,308.2793,321.556975
314.098675,315.35255,308.310875,321.66445
314.166825,315.403775,308.358675,321.886825
314.21795,315.421875,308.40185,321.951025
314.26015,315.45675,308.433975,322.0734
314.31325,315.45805,308.46885,322.102975
314.38795,315.487275,308.521475,322.314725
314.4821,315.513225,308.5608,322.4578
314.490725,315.5396,308.597775,322.534875
314.500675,315.548175,308.622575,322.5767
314.5121,315.564625,308.62595,322.667275
314.547975,315.5817,308.644925,322.714525
314.576775,315.613775,308.665875,322.769975
314.712975,315.630775,308.70205,322.8788
314.725975,315.8836,308.726775,323.137075
314.793025,315.8902,308.7464,323.331675
314.838325,315.911775,308.757625,323.40155
314.84995,316.0488,308.778,323.4643
314.8635,316.354975,308.79395,323.511475
314.934575,316.413225,308.81955,323.7118
315.090525,316.4301,308.84445,323.809525
315.123925,316.46285,308.892725,323.827675
315.18165,316.540975,308.913775,323.85225
315.29925,316.62405,308.96785,323.9326
315.3705,316.66095,308.979575,324.02585
315.38075,316.70885,309.016725,324.04195
315.498475,316.752675,309.031875,324.087075
315.601425,316.8023,309.110625,324.21055
315.716725,316.823075,309.191375,324.218475
315.74045,316.863825,309.2186,324.235825
315.772225,316.90775,309.2583,324.315175
315.801525,316.949425,309.302225,324.3928
315.8583,316.965725,309.349,324.615375
315.951475,317.023425,309.368,324.656
315.980225,317.086825,309.3765,324.69905
315.9939,317.131625,309.381425,324.7954
316.0126,317.2706,309.3844,324.869625
316.08455,317.6226,309.410175,324.9171
316.11695,317.72985,309.4178,325.035025
316.13095,317.73475,309.443425,325.059175
316.148825,317.851825,309.464625,325.122425
316.16485,318.0194,309.521525,325.19015
316.189725,318.13965,309.52975,325.433375
316.22395,318.29435,309.5513,325.48995
316.282825,318.375475,309.56055,325.657125
316.3234,318.5529,309.5772,325.78015
316.519525,318.60035,309.5886,325.907825
316.56005,318.796175,309.610525,325.94335
316.70685,318.808925,309.679175,326.0075
316.727325,319.558,309.685825,326.10875
316.77305,319.61925,309.739075,326.268825
316.8511,319.8179,309.754875,326.27415
316.90485,319.8403,309.779075,326.439375
317.002275,319.866275,309.815075,326.496725
317.083825,319.9063,309.85325,326.539125
317.11035,319.932925,309.878825,326.6623
317.183375,320.012425,309.9436,326.7074
317.235075,320.0661,309.965425,326.750875
317.2508,320.149275,310.065775,326.909125
317.3041,320.197925,310.096375,326.965125
317.31795,320.233925,310.113625,327.077625
317.3299,320.2549,310.130625,327.086675
317.395825,320.624325,310.13835,327.165725
317.422025,320.66565,310.193475,327.224875
317.43755,320.6891,310.2168,327.34815
