SPK_SPKC03a (no effect)
0.021375
0.077075
0.085875
0.13095
0.173225
0.25415
0.794275
0.8212
0.842775
0.85245
0.8834
1.109975
1.149875
1.166125
1.199775
1.316975
1.492
1.557275
1.5689
1.581125
1.591625
1.5991
1.607425
1.6198
1.630225
1.641175
1.649575
1.6567
1.667625
1.67625
1.686325
1.69305
1.7018
1.722875
1.7345
1.767
1.7809
1.8099
1.8356
1.85295
1.8667
1.8833
1.89465
1.8975
1.913925
1.926775
1.943
1.9461
1.981725
1.99665
2.041225
2.1286
2.192075
2.2144
2.247525
2.366225
2.373075
2.375525
2.388475
2.393275
2.4026
2.459925
2.508
2.5347
2.5566
2.6004
2.666025
2.681725
2.692175
2.70745
2.7212
2.7594
2.796125
2.8015
2.822975
2.85715
2.865
2.871975
2.886
2.904375
2.92085
2.944325
2.9619
2.974825
2.98585
2.996975
3.0172
3.0226
3.0297
3.03185
3.062325
3.0979
3.107775
3.118875
3.197625
3.2066
3.2301
3.28005
3.308325
3.380425
3.49545
3.602375
3.609175
3.659525
3.6815
3.72265
3.779875
3.874975
3.90685
3.94175
4.0396
4.0643
4.0833
4.087025
4.13545
4.2234
4.24525
4.263425
4.28405
4.319875
4.502875
4.558875
4.56325
4.577475
4.60455
4.622875
4.639075
4.64905
4.653325
4.665975
4.68895
4.708025
4.7432
4.81175
4.82625
4.840675
4.850975
4.864625
4.872225
4.87575
4.890125
4.90335
4.93185
4.9582
4.96805
4.977775
4.980425
4.991775
4.99435
5.054825
5.069825
5.0808
5.0942
5.1413
5.16845
5.18355
5.206
5.227975
5.261
5.2627
5.28835
5.3034
5.341525
5.362925
5.4203
5.479625
5.551875
5.6198
5.63785
5.6508
5.662625
5.66435
5.668675
5.67825
5.686125
5.687675
5.701425
5.71075
5.714025
5.77095
5.781925
5.788325
5.795275
5.8156
5.828075
5.835325
5.84625
5.8474
5.85965
5.880175
5.922325
5.940025
5.96295
6.02715
6.053025
6.061725
6.080925
6.11535
6.136825
6.164975
6.18055
6.19465
6.2401
6.269275
6.459175
6.477925
6.4963
6.512125
6.522475
6.531925
6.538075
6.557375
6.5655
6.592875
6.600075
6.611325
6.641525
6.6747
6.7092
6.77455
6.78145
6.9727
6.993825
7.036775
7.05205
7.1691
7.1872
7.213575
7.227025
7.26335
7.31525
7.3256
7.337275
7.348175
7.5156
7.54925
7.562225
7.577475
7.5844
7.5943
7.6093
7.64265
7.6527
7.665975
7.669875
7.67865
7.68405
7.685175
7.69325
7.69985
7.701725
7.7305
7.749
7.75125
7.76155
7.7947
7.838525
7.848475
7.864875
7.874875
7.88105
7.90955
7.93535
7.9531
7.972925
7.986825
7.9963
8.009425
8.03425
8.0429
8.051275
8.111175
8.1263
8.154475
8.170825
8.197875
8.232875
8.2647
8.270375
8.296375
8.30975
8.3383
8.345875
8.352775
8.35915
8.3733
8.376975
8.4135
8.4158
8.429375
8.455675
8.4625
8.470075
8.553175
8.57325
8.6347
8.6439
8.729675
8.809675
8.820175
8.859475
8.88235
8.913375
8.927425
8.9594
8.97505
9.004375
9.02445
9.06725
9.07155
9.0985
9.12705
9.158225
9.183325
9.18645
9.20165
9.218775
9.232825
9.248125
9.265675
9.38105
9.40655
9.428925
9.442725
9.481025
9.4958
9.50905
9.632275
9.657175
9.687675
9.706525
9.74755
9.787825
9.792325
9.815775
9.838425
9.852675
