SPK_SPKC02a (exc),SPK_SPKC04a (no response),SPK_SPKC10b (no response)
19.6853,4.221725,17.040575
19.72035,4.237,17.106275
19.795825,4.274525,17.4142
19.829225,4.3189,17.4289
19.9038,4.3526,17.4758
19.9349,4.421875,17.48545
20.418225,4.4685,17.4905
20.636125,4.481875,17.49775
20.6548,4.498775,17.517675
20.68235,4.510175,17.5969
20.6952,4.519325,17.67975
20.70125,4.5308,17.890275
21.4321,4.547825,17.893575
21.44215,4.55745,18.28535
21.460825,4.56905,18.3031
21.471825,4.578075,18.328825
21.49245,4.59155,18.35765
21.8037,4.617925,18.369425
21.8271,4.6546,18.388825
21.8402,4.66625,18.43825
21.8456,4.675375,18.46105
21.861125,4.696125,18.472075
21.871825,4.7068,18.5576
21.892475,4.7317,18.569725
21.928425,4.750625,18.576
21.962975,4.773775,18.6026
22.004625,4.823075,18.644625
22.329625,4.85325,18.656825
22.36135,4.87455,18.8992
22.372,4.88875,18.91135
22.382975,4.915775,18.91625
22.4146,4.92855,19.088525
22.48725,4.94015,19.2393
22.558925,4.949275,19.250275
22.727825,4.956675,19.36345
22.74335,4.965225,19.4164
22.784175,4.9862,19.441125
22.852575,4.99725,19.4775
22.871,5.022625,19.48465
23.27,5.034625,19.5133
23.32125,5.045275,19.609125
23.357025,5.059525,19.633825
23.369275,5.07215,19.675225
23.388375,5.099825,19.748075
23.441425,5.11815,19.90375
23.457225,5.14135,20.363
23.4798,5.1694,20.582875
23.546125,5.201,20.60745
23.551525,5.24245,20.62585
23.876975,5.3026,20.64215
23.90155,5.356575,20.6705
23.9274,5.382525,20.70805
23.9512,5.409875,20.71575
23.97025,5.422725,21.02255
23.986625,5.464075,21.34525
24.016775,5.47995,21.3521
24.0725,5.494325,21.3667
24.393775,5.507475,21.390575
24.400225,5.520325,21.3967
24.433175,5.5703,21.40785
24.4544,5.594775,21.432025
24.472375,5.6299,21.471775
24.5281,5.6688,21.4924
24.553075,5.708825,21.5742
24.845125,5.7174,21.787775
25.168075,5.72375,21.82705
25.20125,5.737825,21.840125
25.2163,5.745,21.84555
25.5795,5.767525,22.0403
25.593775,5.789375,22.075375
25.603,5.815925,22.2997
25.60765,5.8254,22.37195
25.627825,5.835825,22.4088
25.6438,5.84885,22.456625
25.689,5.8681,22.55885
25.7184,5.89565,22.74325
26.3297,5.907275,22.7479
26.3418,5.917425,22.789425
26.396175,5.926925,22.99185
26.581275,5.9435,23.259
26.624725,5.956325,23.294575
26.889425,5.967725,23.348425
26.90085,6.0237,23.395175
26.94945,6.03685,23.423375
26.97715,6.0461,23.504875
26.985275,6.0685,23.538275
27.285,6.077975,23.5835
27.2951,6.086425,23.793675
27.310625,6.0954,23.83225
27.32535,6.105,23.836225
27.3462,6.114625,23.8432
27.353675,6.126575,23.9577
27.38575,6.14085,24.000075
27.428825,6.149175,24.0576
27.464775,6.17835,24.09705
27.7996,6.198575,24.3334
27.91535,6.2118,24.33965
27.987125,6.22685,24.36755
28.059325,6.2605,24.369075
28.5834,6.277175,24.38815
28.59245,6.294175,24.397525
28.6082,6.332725,24.61435
28.62105,6.367,24.67095
28.63315,6.38915,24.737825
28.644825,6.411475,24.8779
28.67685,6.43085,24.9407
28.6877,6.458175,25.17955
28.960875,6.46955,25.207525
28.9756,6.4811,25.548825
29.01255,6.4923,25.5681
29.019275,6.5027,25.579475
29.165425,6.524925,25.657875
29.196875,6.535475,25.671875
29.37675,6.544125,25.688925
29.400475,6.5506,25.74545
29.4609,6.5586,25.76015
29.473825,6.5658,25.7874
29.49805,6.597975,26.051125
29.509575,6.622275,26.361275
29.514575,6.6312,26.382475
29.5719,6.659625,26.429325
29.57955,6.686325,26.43425
29.598225,6.699075,26.445725
29.97075,6.7115,26.461175
29.98575,6.7362,26.47695
30.053975,6.775025,26.4944
30.089025,6.792375,26.58125
30.130025,6.809975,26.60165
30.13475,6.82545,26.644975
30.1589,6.840075,26.6689
30.209325,6.8554,26.722975
30.24115,6.868025,26.831575
30.2488,6.87595,26.9203
30.2543,6.8886,26.9276
30.262225,6.9019,26.99755
30.276775,6.934775,27.00735
30.582925,6.960475,27.0403
30.595325,6.9801,27.071475
30.604325,7.02065,27.16065
30.6291,7.050025,27.227925
30.661675,7.08825,27.256975
30.69315,7.116575,27.2666
30.709825,7.126175,27.284975
30.74745,7.140675,27.30325
30.86545,7.1854,27.333075
30.9171,7.201675,27.346125
31.236075,7.211325,27.35365
31.250975,7.22235,27.464675
31.303775,7.229625,27.5103
31.335075,7.2389,27.5357
31.36855,7.250775,27.79955
31.409275,7.25185,27.858375
31.427625,7.2611,27.915325
31.432075,7.276825,27.969975
31.437375,7.28485,27.98705
31.459375,7.296575,28.0099
31.476975,7.31335,28.52135
31.611175,7.3214,28.552575
31.6704,7.343275,28.5565
31.716825,7.3532,28.5659
31.7706,7.37055,28.5967
31.87195,7.3881,28.63835
32.07005,7.398825,28.6876
32.099575,7.4338,28.9645
32.103525,7.506825,28.98165
32.2271,7.532025,29.022875
32.34295,7.61095,29.110475
32.353975,7.655575,29.122275
32.457975,7.679825,29.148025
32.515325,7.70025,29.253625
32.522075,7.715875,29.37675
32.53055,7.728425,29.395075
32.6129,7.740275,29.400425
33.096725,7.755075,29.425625
33.112875,7.767425,29.460825
33.1298,7.783025,29.57185
33.181725,7.810075,29.5982
33.20485,7.85375,29.619325
33.24545,7.88005,29.852975
33.349925,7.907225,29.970675
33.3647,7.933625,30.02795
33.615225,7.94655,30.063625
33.75305,7.9621,30.116825
33.7853,7.979475,30.142725
33.792675,7.99605,30.1796
33.8209,8.0535,30.2092
33.86355,8.08675,30.241025
33.886,8.113625,30.262175
33.915225,8.12595,30.346025
33.958075,8.141575,30.6157
33.98685,8.151325,30.653575
34.005725,8.179275,30.6706
34.016725,8.194425,30.687125
34.10255,8.210475,30.70975
34.108125,8.221975,30.7474
34.157075,8.3072,30.91705
34.168775,8.366625,31.194575
34.173375,8.393275,31.213225
34.2389,8.40905,31.229375
34.2868,8.4265,31.2509
34.426975,8.43525,31.26355
34.459425,8.448525,31.283775
34.47825,8.469775,31.298275
34.507275,8.5067,31.30375
34.53495,8.538475,31.3685
34.549425,8.590475,31.409175
34.749325,8.6231,31.42235
34.756225,8.652,31.432025
34.780575,8.6688,31.437325
34.815025,8.691125,31.459325
35.068725,8.70045,31.46475
35.121625,8.74565,31.469
35.302325,8.7589,31.556075
35.337675,8.7714,31.571175
35.365725,8.80135,32.0375
35.452125,8.81325,32.060175
35.466675,8.83565,32.1769
35.482375,8.861375,32.353925
35.494425,8.8997,32.3978
35.535,8.91775,32.406425
35.56295,8.9386,32.421225
35.576675,8.948725,32.447475
35.601925,8.9572,32.6683
35.610375,8.96485,32.9116
35.838775,8.974125,32.999125
35.86245,8.99395,33.0299
35.888625,9.033775,33.08285
36.190875,9.056325,33.10855
36.3064,9.0898,33.2344
36.313625,9.143025,33.239775
36.330375,9.19755,33.379925
36.438275,9.23245,33.400925
36.643425,9.273475,33.441375
36.650975,9.309675,33.5076
36.670425,9.326725,33.6234
36.71495,9.337475,33.6301
37.0753,9.3477,33.657175
37.155075,9.358575,33.688625
37.182375,9.367075,33.780025
37.25145,9.374375,33.826525
37.328925,9.382525,33.8322
37.34545,9.392675,33.980825
37.349825,9.41705,33.992125
37.359675,9.427625,34.063225
37.369025,9.463425,34.1081
37.3834,9.4761,34.115275
37.4045,9.4944,34.1286
37.4265,9.516925,34.1344
37.459475,9.5466,34.3226
37.6874,9.5789,34.366625
37.71775,9.663775,34.534925
37.728325,9.6855,34.621425
37.829475,9.6989,34.626475
37.848225,9.70765,34.83185
37.999175,9.716525,34.8609
38.1569,9.724025,34.8942
38.265025,9.7302,34.900425
38.737175,9.737825,34.915575
38.7942,9.74555,35.147875
38.833025,9.75975,35.3139
39.055125,9.766725,35.33765
39.296625,9.7954,35.365675
39.361825,9.803,35.372025
39.377325,9.8114,35.4114
40.0309,9.82615,35.530425
40.07395,9.833,35.557275
40.092575,9.8389,35.582625
40.1146,9.846625,35.610275
40.201725,9.860625,35.699025
40.584425,9.873675,35.72105
40.605025,9.8914,35.7391
40.608875,9.9067,35.766875
40.639425,9.930675,35.875125
40.645075,9.982875,35.888525
40.6573,10.0451,35.923875
40.663,10.11715,36.199125
40.693625,10.13365,36.2045
40.799975,10.143725,36.2208
40.987825,10.1575,36.28525
41.00745,10.184275,36.3766
41.017475,10.19485,36.385375
41.02285,10.208125,36.438225
41.116275,10.22925,36.47545
41.569025,10.25255,36.5298
41.59115,10.2837,36.579025
41.599875,10.383675,36.608875
41.761775,10.424425,36.670375
41.8312,10.436825,36.687425
41.911425,10.447275,36.695
42.23685,10.458,36.702925
42.27525,10.46955,36.81205
42.293125,10.479275,36.817
42.852025,10.495125,36.83235
42.9027,10.5039,36.887425
42.913125,10.520375,36.9624
42.928975,10.529075,36.985675
42.966775,10.561275,36.9917
42.98285,10.575375,37.01385
42.996125,10.60055,37.0241
43.00615,10.626675,37.08235
43.02915,10.662075,37.114
43.0332,10.6987,37.140775
43.074775,10.74935,37.281425
43.090525,10.80025,37.28635
43.140625,10.830525,37.383325
43.153525,10.86155,37.436325
43.194425,10.900625,37.4415
43.2558,10.920275,37.609625
43.31825,10.941825,37.72825
43.331775,10.96085,37.8108
43.337225,10.97415,37.91325
43.365625,10.981125,37.91705
43.4038,10.990825,38.094525
43.45725,10.998925,38.156875
43.472675,11.005325,38.67215
43.756325,11.011675,38.700325
43.7998,11.0295,38.710525
43.874175,11.0479,38.72275
43.90135,11.0938,38.812875
43.9139,11.135425,38.827525
43.92565,11.175525,39.13105
43.9636,11.207825,39.136475
44.419325,11.2403,39.14025
44.562425,11.2459,39.228575
44.68245,11.319925,39.474275
44.70815,11.3345,39.888675
44.76655,11.34725,39.9663
44.989825,11.355225,40.073925
45.013275,11.36595,40.1229
45.0701,11.381675,40.14585
45.1079,11.391675,40.170875
45.114875,11.4003,40.185825
45.161725,11.410325,40.60145
45.18275,11.417075,40.612425
45.205775,11.42415,40.62445
45.263075,11.430175,40.65035
45.33075,11.438125,40.6936
45.407675,11.4455,40.748575
45.43655,11.4545,41.11625
45.441875,11.469175,41.224975
45.4564,11.491325,41.546775
45.47975,11.512,41.552625
45.52835,11.534775,41.58615
45.533425,11.56185,41.591125
45.563025,11.584025,41.594575
45.59925,11.610275,41.5998
45.612725,11.67605,41.641725
45.6188,11.70475,41.6708
45.629925,11.72725,41.6893
45.635325,11.7458,41.7367
45.715825,11.77095,42.196775
45.935525,11.78445,42.31135
45.967725,11.800525,42.31905
46.000975,11.808875,42.381625
46.1015,11.81705,42.43435
46.12995,11.82655,42.822975
46.157675,11.834625,42.87705
46.31465,11.841275,42.922625
46.3277,11.849575,43.006125
46.37095,11.8588,43.017025
46.4802,11.867225,43.074625
46.53545,11.893525,43.08045
46.786275,11.906725,43.17535
46.979075,11.92205,43.19435
47.23985,11.9639,43.208225
47.2543,12.0106,43.2709
47.430425,12.046775,43.30505
47.548875,12.068025,43.3372
47.5531,12.0978,43.365525
47.647975,12.110975,43.389175
47.685875,12.1278,43.480625
47.724375,12.145,43.75625
