SPK_SPKC01a,SPK_SPKC02a,SPK_SPKC04a,SPK_SPKC06a,SPK_SPKC07a,SPK_SPKC07b,SPK_SPKC10a,SPK_SPKC10b
18.517375,5.25145,12.905225,56.55395,6.311925,6.62375,16.30775,1.991625
18.793675,5.271875,12.998975,56.992275,6.588075,6.733875,16.403225,2.060675
18.92,5.287775,13.154175,57.11995,6.78225,6.745925,16.608725,2.094625
18.960675,5.3093,13.264575,58.0709,6.935575,6.79415,16.643425,2.119825
18.979175,5.574,13.769775,58.55055,6.936575,6.842925,16.803975,2.1603
20.01955,5.8715,13.82035,58.69255,6.942175,6.92805,16.8493,2.183
20.9515,5.93455,13.8497,59.6073,6.992725,7.078425,16.884675,2.2082
21.0234,5.940025,14.13075,59.948225,7.1934,7.137575,16.925625,2.2119
21.518675,5.9511,14.160125,60.1039,7.343025,7.24715,17.018175,2.257625
21.74085,5.978225,14.29055,62.821025,7.3705,7.341775,17.17885,2.32005
22.14485,5.98405,14.55695,64.253125,7.46605,7.405,17.33525,2.333775
22.169725,5.9953,14.60035,64.7214,7.57655,7.474425,17.3379,2.363175
22.525525,5.996275,14.6387,64.9795,7.582175,7.517625,17.366225,2.4042
23.376125,6.0238,14.821225,66.258875,7.696325,7.57355,17.380625,2.41225
23.78035,6.0361,14.890125,67.9218,7.78705,7.6188,17.397225,2.440875
24.049075,6.0553,14.90665,68.22375,7.792025,7.683475,17.5133,2.44735
24.505475,6.075425,15.02205,70.134775,7.88055,7.774875,18.079475,2.5153
24.979875,6.0812,15.231075,72.0126,7.92715,7.84945,18.133025,2.532575
26.8312,6.506175,15.288175,72.12955,8.063675,7.913925,18.555075,2.559375
26.925175,6.583025,15.5864,73.057175,8.08275,7.918,18.68075,2.5854
28.1868,6.598775,15.6015,73.2157,8.333825,8.033,18.772975,2.6107
28.564575,6.656925,15.615975,73.54895,8.38755,8.119675,19.1,2.68015
28.7068,6.684875,15.99255,73.61835,8.419,8.197625,19.1163,2.741625
28.82335,6.7305,16.0532,74.03105,8.495475,8.238175,19.130225,2.773675
28.8639,6.778575,16.11475,74.746725,8.500925,8.33915,19.1763,2.798275
29.619075,7.2295,16.313325,75.302525,8.5288,8.3926,19.321275,2.810525
29.8455,7.264575,16.463925,75.400375,8.597275,8.443075,19.619075,2.8193
30.80075,7.2901,16.53535,75.97315,8.748175,8.498925,19.6487,2.84835
31.05515,7.293225,16.553125,76.24845,8.830925,8.6257,19.835575,2.886
31.798075,7.306275,16.63955,76.3271,8.8878,8.6949,19.897675,2.91455
32.0142,7.312675,16.7636,77.02085,9.01215,8.81815,19.96185,2.929925
32.1445,7.3262,16.9915,77.968225,9.01535,8.87295,19.98335,2.9498
32.65465,7.354475,17.05245,78.33505,9.0775,8.99775,20.535075,2.971925
32.787725,7.35835,17.1686,79.187175,9.248025,9.092375,20.558,3.0081
33.08245,7.37165,17.6018,80.028425,9.250125,9.09825,20.5814,3.02465
