SPK_SPKC09a,SPK_SPKC09c,SPK_SPKC10a,SPK_SPKC12a
607.266625,615.88025,606.46175,614.666425
607.33895,615.9104,606.4875,614.70845
607.3947,616.1082,606.4974,614.772475
607.4447,616.1329,606.687025,614.817575
607.50405,616.178525,606.710475,614.829775
607.531275,616.231575,606.860125,614.874275
607.579475,616.29505,606.976025,615.12565
607.5982,616.354675,607.0021,615.157725
607.610825,616.4608,607.07715,615.237
607.671025,616.5434,607.14305,615.24305
607.686525,616.571925,607.351325,615.318625
607.7086,616.652975,607.423375,615.51495
607.726,616.7226,607.455575,615.72995
607.736375,616.996075,607.4729,615.74845
607.7884,617.20575,607.48325,615.780175
607.806575,617.2549,607.551325,615.86695
607.86115,617.2602,607.557075,615.89245
607.899575,617.30935,607.63415,615.9758
607.973325,617.387575,607.694825,615.984975
608.1988,617.431125,607.80795,616.033325
608.364025,617.435,607.927075,616.08415
608.4488,617.5124,607.953325,616.090575
608.499725,617.565275,607.999,616.130625
608.5083,617.5806,608.006175,616.157875
608.5237,617.7313,608.020825,616.197375
608.547675,617.80285,608.091625,616.32195
608.60125,617.840525,608.171075,616.421675
608.622825,617.904375,608.206275,616.569875
608.662775,617.989675,608.253675,616.692575
608.675375,618.24985,608.3316,617.001625
608.8907,618.815875,608.3441,617.040775
608.928325,618.87205,608.391225,617.166925
609.196725,618.89235,608.493975,617.39985
609.22075,618.900125,608.5314,617.448325
609.2515,618.909475,608.551475,617.51665
609.275275,618.999125,608.574825,617.79015
609.304225,619.039975,608.751225,617.894225
609.417675,619.058275,608.772475,618.068
609.53725,619.122175,608.801125,618.11905
609.65585,619.16735,608.989025,618.179625
609.796675,619.40215,609.00725,618.20955
609.897,619.436125,609.11135,618.2425
609.97055,619.51545,609.1304,618.3932
610.04945,619.64605,609.136025,618.454375
610.077425,619.831075,609.1785,618.47575
610.10515,619.85695,609.188225,618.5624
610.1121,619.8891,609.208075,618.64825
610.138625,620.129925,609.213775,618.67205
610.1518,620.26015,609.2447,618.68325
610.1697,620.281775,609.28555,618.75115
610.1729,620.31715,609.386175,618.8998
610.247525,620.385875,609.50315,618.948025
610.27465,620.446875,609.588825,618.99445
610.30645,620.6328,609.762025,619.11585
610.33505,620.647725,609.82935,619.214275
610.512475,620.67475,609.8743,619.267075
610.569,620.68245,609.937225,619.298325
610.6351,620.71495,610.135075,619.438475
610.69925,621.01175,610.1428,619.480575
610.761775,621.051575,610.193775,619.636175
610.769275,621.2709,610.197725,619.730475
611.0384,621.370025,610.275075,619.7802
611.0724,621.614475,610.3795,619.905725
611.20975,621.66405,610.40645,619.975975
611.2666,621.916125,610.43585,620.068525
611.399775,622.070025,610.467925,620.262825
611.4335,622.07725,610.556475,620.297025
611.4421,622.1112,610.584175,620.344175
611.48415,622.1955,610.6312,620.377175
611.487775,622.24505,610.7274,620.496825
611.513375,622.306975,610.80235,620.51755
611.53875,622.320575,610.904425,620.565025
611.563425,622.50655,610.944225,620.608675
611.5699,622.54475,610.99315,620.7659
611.578,622.591,611.0865,620.80265
611.647825,622.617975,611.13705,620.927525
611.65165,622.642825,611.1481,621.044475
611.66145,622.887925,611.1624,621.083725
611.671175,623.088975,611.207925,621.1133
611.675875,623.134775,611.254475,621.1741
611.679625,623.18625,611.274525,621.226275
611.702425,623.431375,611.2931,621.43235
611.7089,623.45565,611.308775,621.69905
