SPK_SPKC02c,SPK_SPKC10a,SPK_SPKC10b,SPK_SPKC16a
110.5285,112.426675,109.47875,102.370575
110.5535,112.51915,109.5393,102.3761
110.59575,112.53675,109.546975,102.382125
110.630225,112.5989,109.826575,102.387525
111.0482,112.6257,109.850925,102.3904
111.1366,112.6511,109.8646,102.396425
111.172275,112.6842,109.88015,102.40025
111.207,112.71275,109.894425,102.40465
111.257425,112.7356,110.037175,102.406875
111.311275,112.755225,110.054575,102.415275
111.608625,112.758775,110.1067,102.42
111.755875,112.852125,110.122525,102.4284
111.789975,112.88045,110.221625,102.4356
111.844775,112.919025,110.2409,102.44
111.8614,112.95065,110.2634,102.446325
111.91355,112.981475,110.285975,102.4586
111.9428,113.00445,110.302775,102.465675
112.3211,113.303325,110.47505,102.474975
112.426675,113.32425,110.5753,102.4884
112.454175,113.337525,110.6112,102.7805
112.519125,113.353875,110.88275,102.816575
112.5367,113.36355,110.9132,102.8299
112.598875,113.47765,110.999275,102.841225
112.62565,113.50475,111.01935,102.8518
112.651075,113.554775,111.0342,102.85645
112.684175,113.6191,111.121525,102.8624
112.7127,113.641625,111.1973,102.868275
112.735575,113.9199,111.2127,102.87285
112.7552,113.946475,111.23535,102.878025
112.758775,113.9785,111.24635,102.883875
112.791475,114.010475,111.284225,102.891125
112.80695,114.03975,111.8117,102.89575
112.8347,114.0866,111.865525,102.90345
112.852125,114.204875,111.87435,102.909125
112.880425,114.3526,111.90665,102.912475
112.918925,114.3843,111.91905,102.918825
112.9206,114.455825,111.9591,102.92435
112.9506,114.5565,111.980175,102.930675
112.98145,114.660025,111.99395,102.934325
113.004425,114.70695,111.9993,102.944525
113.303275,114.7445,112.0434,102.9491
113.324225,115.1065,112.048475,102.952875
113.3375,115.149725,112.829225,102.95915
113.35385,115.18035,112.838525,102.963975
113.363525,115.211475,112.873525,102.968025
113.477625,115.260875,112.8902,102.976025
113.504725,115.36195,112.928725,102.986525
113.554775,115.4049,112.9468,102.991275
113.6191,115.73,112.9831,102.998925
113.641575,115.768025,113.00795,103.00855
113.919875,115.78935,113.252925,103.015775
113.94645,115.8135,113.563675,103.023975
113.9784,115.838825,113.58015,103.385775
114.010475,115.89865,113.596175,103.4017
114.03975,116.175175,113.620775,103.448725
114.08655,116.23695,113.65005,103.4713
114.204825,116.26225,113.918775,103.496625
114.35255,116.29075,114.029575,103.515975
114.3843,116.310275,114.050075,103.53275
114.45575,116.382475,114.06685,103.544025
114.556475,116.409225,114.0728,103.55015
114.614175,116.517925,114.222825,103.5555
114.66,116.682675,114.336275,103.56065
114.7069,116.76035,114.50265,103.565575
114.7445,117.032875,114.5734,103.581675
115.1065,117.372625,114.59055,103.585325
115.1497,117.42105,114.609975,103.590875
115.18035,117.667375,114.6259,103.59405
115.2114,117.7342,114.645825,103.602025
115.260825,117.77185,114.672725,103.607575
115.361925,118.058225,114.702275,103.610875
115.4049,118.089825,114.7111,103.61395
115.729975,118.123625,114.7543,103.6212
115.768,118.12605,114.791475,103.6253
115.789325,118.175075,115.188225,103.63175
115.81345,118.605525,115.2327,103.634575
115.8388,118.65445,115.27525,103.64075
115.898625,118.718175,115.319325,103.6457
116.17515,118.757775,115.336975,103.649775
116.2369,118.963075,115.7157,103.6544
116.262225,119.008775,115.75555,103.65925
116.290725,119.0801,115.77525,103.6664
116.310225,119.118025,115.83505,103.6703
116.3193,119.3027,115.863425,103.674675
116.3458,119.3655,115.936025,103.681625
116.36895,119.537225,116.048625,103.684775
116.38245,119.61435,116.321425,103.6904
116.4092,119.67945,116.342375,103.69565
116.5179,119.97195,116.3538,103.698075
116.68265,119.9986,116.379925,103.701575
116.71735,120.07065,116.42125,103.70585
116.760325,120.10005,116.43795,103.71275
117.032825,120.1869,116.453375,103.7227
117.3726,120.420225,116.487225,103.73015
117.420975,120.507825,116.502675,103.7365
117.66735,120.53345,116.5137,103.743325
117.734175,120.6153,116.528425,103.74675
117.771825,120.637675,116.7731,103.752975
118.0582,120.6902,116.790125,103.758325
118.089825,120.74825,116.7964,103.76565
118.1236,120.81,117.057425,103.990025
118.126025,120.8378,117.069175,104.004425
118.17505,120.8636,117.087575,104.01685
118.605475,120.895025,117.347325,104.026025
118.654425,120.926625,117.4154,104.03995
118.71815,120.9661,117.430675,104.046675
118.75775,120.980625,117.436525,104.059675
118.96305,121.005575,117.441075,104.06415
119.008775,121.022475,117.6242,104.072775
119.080125,121.031775,117.678325,104.076875
119.118,121.11025,117.6882,104.086625
119.302675,121.130275,117.7353,104.102275
119.365475,121.174175,118.135375,104.125675
119.537175,121.431875,118.147625,104.8087
119.614325,121.485375,118.15325,104.83205
119.641075,121.53495,118.165125,104.8476
119.679425,121.56605,118.182825,104.85675
119.9719,121.598,118.187475,104.86215
119.998575,121.63555,118.2042,104.869625
120.037325,121.68045,118.236475,104.87445
120.070625,121.71535,118.276725,104.879475
120.100025,121.924925,118.298,104.88515
120.12945,121.9608,118.306175,104.890425
120.186875,122.004,118.312775,104.895775
120.420225,122.04415,118.32655,104.900025
120.5078,122.060625,118.520475,104.902475
120.533425,122.084975,118.584975,104.9084
120.61525,122.096775,118.60405,104.91315
120.637625,122.155375,118.61995,104.9163
120.69015,122.177525,118.69605,104.920225
120.722975,122.2378,118.738875,104.924525
120.7482,122.307925,118.7763,104.93185
120.80995,122.545825,118.925575,104.9365
120.837775,122.621525,118.93775,104.939475
120.863575,122.6529,118.9588,104.9433
120.895,122.67245,118.97765,104.950675
120.9266,122.786425,119.002675,104.955975
120.96605,122.806875,119.035925,104.96185
120.9806,122.855425,119.06055,104.96465
121.005525,123.145225,119.098175,104.971575
121.02245,123.193825,119.13215,104.979925
121.031775,123.271825,119.14475,104.98705
121.08355,123.29335,119.165975,104.989725
121.11025,123.316575,119.33835,104.99305
121.130225,123.3373,119.36025,105.0018
121.1449,123.3549,119.405475,105.0058
121.17415,123.379275,119.503625,105.013375
121.43185,123.410525,119.58955,105.017875
121.485325,123.7262,119.62595,105.02365
121.5349,123.755975,119.6336,105.030175
121.566025,123.775975,119.6868,105.0399
121.597975,123.808425,119.7348,105.043325
121.635525,123.993475,119.9932,105.050575
121.680425,124.01085,120.06445,105.0554
121.715275,124.19185,120.09635,105.07
121.92485,124.223525,120.116875,105.334375
121.960775,124.259175,120.129475,105.356875
121.9684,124.286975,120.154675,105.37
122.003975,124.30565,120.1604,105.380675
122.0441,124.337825,120.18345,105.38575
122.0606,124.3656,121.047475,105.3944
122.096775,124.403975,121.056925,105.4033
122.125125,124.483575,121.066175,105.41505
122.1553,124.5106,121.07635,105.423625
