SPK_SPKC02a,SPK_SPKC02b,SPK_SPKC03a,SPK_SPKC04a
219.61365,205.113375,203.8319,206.882
219.937925,205.1209,203.8452,206.888625
220.1018,205.13315,203.855925,206.940575
220.157025,205.141475,203.872425,207.015375
220.576025,205.1759,203.8872,207.019825
220.889775,205.1924,203.896025,207.033425
220.946075,205.236775,203.91795,207.101175
220.979175,205.295575,203.928975,207.125525
221.1353,205.319475,203.944625,207.19805
221.677875,205.334925,203.9677,207.24135
221.763025,205.465925,203.990325,207.2477
221.791275,205.480675,203.99955,207.2707
221.85525,205.56725,204.0166,207.288525
222.054325,205.605475,204.033025,207.346225
222.27385,205.674325,204.0493,207.390275
222.599575,205.716325,204.0603,207.40855
222.607675,205.815,204.0683,207.42825
222.640675,205.847025,204.09135,207.46195
222.700125,205.86165,204.1067,207.4694
222.7844,205.86815,204.161075,207.543075
222.84835,205.881875,204.208275,207.547575
222.951475,205.900325,204.223475,207.5551
222.974725,205.987875,204.245225,207.57505
223.0005,205.99685,204.269975,207.666075
223.13895,206.065825,204.274725,207.856725
223.1672,206.09975,204.295225,207.88015
223.197275,206.159,204.320925,207.9122
223.20445,206.20075,204.357125,207.955975
223.66925,206.242675,204.36785,207.997875
223.8436,206.26,204.38735,208.022625
223.8698,206.314675,204.453125,208.033425
223.95765,206.362625,204.491325,208.076675
224.018375,206.369775,204.51735,208.096825
225.0191,206.3724,204.5314,208.120025
225.464075,206.396175,204.551625,208.1677
225.7175,206.412125,204.57715,208.199475
225.767025,206.485175,204.59635,208.287125
225.780325,206.5362,204.606575,208.4485
225.84075,206.56695,204.618525,208.58
225.890175,206.59905,204.639025,208.60985
225.926325,206.6387,204.653725,208.620325
226.0045,206.6733,204.673625,208.641975
226.059975,206.7694,204.681525,208.66725
226.320325,206.78995,204.7001,208.674375
226.57225,206.8597,204.72015,208.7291
226.6049,206.895725,204.732225,208.7741
226.6434,206.922325,204.741875,208.7946
226.77895,206.94385,204.75395,208.82435
227.350425,206.9549,204.773025,208.8837
