SPK_SPKC06a (excited),SPK_SPKC07b (no effect),SPK_SPKC09a (excited)
15.34555,127.587125,12.005575
15.3995,128.071225,12.06845
15.48335,128.42765,12.07885
15.605875,128.45165,12.12865
15.608725,132.0215,12.22035
15.65905,133.452425,12.278625
15.728275,133.8004,12.298175
15.7805,134.460875,12.4118
15.798,135.220125,12.42255
15.8395,136.87535,12.52695
15.9237,137.514,12.537275
16.026075,138.038175,12.688775
16.129925,139.201475,12.7248
16.297625,139.308875,12.735825
16.4327,139.341025,12.780175
16.595975,140.022875,12.95505
16.663825,140.659,13.0035
16.672025,140.892375,13.0439
16.8821,141.157925,13.0761
16.9334,141.57875,13.108275
17.05705,142.5987,13.16485
17.080025,143.4986,13.180725
17.089275,143.54655,13.24205
17.1067,144.083625,13.319575
17.155,144.481475,13.342375
17.1619,148.481975,13.347975
17.213875,148.568025,13.379
17.24065,148.838125,13.388575
17.313625,149.853825,13.40155
17.410375,151.63155,13.415525
17.4642,154.065925,13.51495
17.527625,154.639725,13.640625
17.62465,155.625525,13.716125
17.67535,156.524525,13.768825
17.71835,156.62185,13.77575
17.75885,159.3019,13.86105
17.769325,159.784425,13.884575
17.816325,163.0387,13.9358
17.87385,163.1643,14.0249
17.966225,164.9161,14.0793
18.085175,165.754525,14.123675
18.15415,165.81295,14.1631
18.21475,165.9284,14.402575
18.2493,166.971475,14.43425
18.468175,167.7122,14.53615
18.51515,168.649075,14.599275
18.54995,168.94425,14.870275
18.596525,169.267425,14.938175
18.6502,169.6001,15.165525
18.683825,171.39985,15.1727
18.700025,172.03025,15.3228
18.764675,172.4005,15.376175
18.8158,173.02245,15.504825
18.98745,173.753975,15.630675
19.032075,174.2016,15.71775
19.13635,174.567275,15.73715
19.198725,176.395,16.008325
19.2046,178.1701,16.047675
19.272125,179.6046,16.055525
19.318275,179.6745,16.23405
19.386175,179.754875,16.244525
19.461375,180.20685,16.44995
19.645425,181.41405,16.46795
19.70545,183.748675,16.48985
19.8539,184.0538,16.514
19.900075,184.12015,16.604275
20.017575,184.362475,16.739675
20.13375,184.7079,16.75075
20.226975,185.3806,16.767225
20.31175,186.67135,16.84815
20.45715,187.688975,16.86495
20.4933,187.70185,17.101175
20.533725,188.493575,17.191275
20.569325,189.799575,17.258075
20.625675,190.785675,17.276
20.693825,191.27445,17.285775
20.741875,191.9595,17.3373
20.79635,192.620125,17.402125
20.861275,193.38195,17.54585
20.94175,194.412575,17.550975
21.041925,195.9023,17.579575
21.10355,196.777225,17.601925
21.16615,197.19755,17.620825
21.23455,197.95295,17.654075
21.257,198.034225,17.720175
21.362825,198.3777,17.736775
21.41595,198.65225,18.052225
21.474675,198.971225,18.149475
21.51745,199.335925,18.159175
21.5925,199.407775,18.217225
21.640775,200.134825,18.323225
21.65205,201.250375,18.567075
21.7059,201.45155,18.593975
21.733025,201.513225,18.60665
21.91105,201.556925,18.6452
21.985125,201.5826,18.67235
22.080375,203.618275,18.700225
22.1337,205.1799,18.850625
22.18255,205.191075,18.85585
22.381125,205.213125,18.963975
22.4133,205.307925,19.00015
22.457,205.694675,19.016125
22.4816,207.39345,19.081225
22.564075,207.84485,19.13015
22.60555,208.053725,19.1366
22.668825,208.371425,19.27315
22.7576,208.410325,19.289975
22.864575,208.5631,19.37875
22.91295,209.5964,19.4457
22.95495,209.654825,19.46805
23.011625,209.7127,19.49075
23.131675,209.962,19.623225
23.215325,210.000975,19.807525
23.373025,210.082525,19.884975
23.69795,210.50585,19.8965
23.737825,210.899475,20.0224
23.771775,211.407225,20.102125
23.995675,211.451225,20.11375
24.0621,212.007975,20.136675
24.11085,212.627025,20.225475
24.141525,212.6964,20.253275
24.2282,212.90145,20.284725
24.285375,213.337025,20.356375
24.436125,213.876325,20.3823
24.46195,215.586325,20.45865
24.476725,215.9003,20.526875
24.49135,217.824575,20.549825
24.562625,218.92175,20.558725
24.650675,219.973225,20.68345
24.684175,220.811775,20.76305
24.732075,220.857775,20.843575
24.78375,221.021,21.01055
24.81795,222.40045,21.018825
24.8673,223.013675,21.06215
25.00285,223.648975,21.095775
25.08085,224.215925,21.198
25.172425,224.6703,21.253025
25.2923,225.900075,21.26245
25.373225,225.92925,21.318725
25.5521,226.21625,21.33595
25.584,226.354325,21.3765
25.5885,226.39325,21.398675
25.6223,226.4546,21.4884
25.676925,226.473275,21.50455
25.7376,226.962375,21.6356
25.79095,228.225125,21.674175
25.92465,228.46445,21.68295
25.98675,229.1303,21.738825
26.084175,229.199125,21.789575
26.1546,229.8647,21.85895
26.2109,230.13855,21.906775
26.454625,230.2266,22.117825
26.5351,231.1815,22.27015
26.6536,231.761225,22.351975
26.7847,232.79945,22.413475
26.925125,233.25105,22.666925
26.98325,234.126725,22.77275
27.060275,234.2799,22.7872
27.10895,235.261,22.860025
27.231075,236.129275,22.9849
27.330375,237.06635,23.11935
27.403425,237.377975,23.1796
27.49165,237.825675,23.3657
27.55925,238.416725,23.3956
27.61605,238.4886,23.415275
27.711025,238.94675,23.517325
27.7391,238.99925,23.625975
27.755775,239.054625,23.671075
27.8484,239.07925,23.77785
27.904725,240.0348,23.786875
27.940575,240.30145,23.908075
27.955425,240.36665,24.114325
28.021875,240.95425,24.126075
28.10605,241.2996,24.251225
28.1892,241.619925,24.374025
28.259175,241.920425,24.476075
28.301675,242.7292,24.487125
28.333525,244.1171,24.5045
28.3916,245.4063,24.53025
28.486075,245.701,24.539425
28.567375,246.748675,24.548225
28.643475,247.209475,24.818925
28.77655,247.7608,24.841775
28.83455,248.3497,24.851625
28.8917,248.388225,24.9063
28.9758,249.05215,24.976975
28.984475,251.548525,24.984725
29.069025,253.155225,25.058775
29.131725,253.260175,25.172675
29.242825,255.957725,25.2032
29.330575,256.876625,25.234675
29.380525,256.895,25.418075
29.431275,257.030675,25.429725
29.53595,257.3784,25.49485
29.66575,257.521025,25.515325
29.84815,257.997175,25.6134
29.8987,259.060175,25.886875
29.95085,260.6028,25.9532
30.223025,261.6171,26.028025
30.235,262.72245,26.1629
30.2827,263.13475,26.215725
30.2885,263.664725,26.262225
30.356775,264.527675,26.28575
30.432475,264.59985,26.295575
30.458975,265.1478,26.30705
30.54595,266.2339,26.33985
30.60185,266.7451,26.461025
30.650725,268.393275,26.58395
30.73055,269.31055,26.603775
30.7969,269.6127,26.656325
30.863975,269.926275,26.689
30.968675,271.531275,26.736125
31.017075,273.485275,26.75535
31.0617,273.504625,26.909375
31.118875,273.641025,26.934325
31.2039,273.82305,27.04325
31.234825,274.13555,27.08415
31.26765,274.6484,27.149075
31.28665,274.77955,27.205525
31.33485,276.981875,27.2479
31.37845,278.407575,27.276425
31.423675,279.35985,27.304125
31.576625,279.82305,27.386475
31.7319,280.26465,27.404675
31.8072,280.982125,27.422175
31.83735,281.0997,27.514675
31.89015,281.53175,27.533425
31.95335,282.0178,27.5407
32.028175,283.297475,27.590575
32.15495,284.01175,27.658975
32.2039,284.2752,27.680975
32.252425,284.283375,27.719475
32.310125,284.850175,27.739475
32.313775,285.197975,27.84085
32.50695,285.253325,27.851025
32.5596,286.46445,27.857775
32.7007,286.742925,27.90985
32.734875,286.779525,27.9187
32.773775,287.074125,27.94005
32.936125,287.2052,27.95935
32.984025,287.872325,28.11265
32.986125,288.6008,28.1244
33.043925,288.78655,28.1634
33.0957,289.118875,28.222025
33.18955,289.377775,28.258
33.214725,289.610375,28.347325
33.2358,289.776425,28.355925
33.2712,289.8841,28.3795
33.335025,291.6514,28.50565
33.40845,291.713175,28.6076
33.4878,291.87475,28.705325
33.502925,291.9215,28.721975
33.514,292.852075,28.752375
33.56265,293.74085,28.785375
33.66375,295.326075,28.810875
33.69025,296.28555,28.821025
33.747025,296.42595,28.857175
33.794675,297.4081,28.8885
33.798775,297.508725,28.907925
33.8354,297.9544,28.930625
33.84305,298.274875,28.96725
33.912375,298.3763,29.0577
34.041725,298.39195,29.203925
34.073625,298.559075,29.233925
34.136775,299.0488,29.323475
34.180175,299.097525,29.482075
34.226825,299.514875,29.5125
34.26675,300.1832,29.53255
34.3109,300.3136,29.555525
34.346225,300.3337,29.567675
34.37475,300.398925,29.590775
34.424575,300.4587,29.599225
34.432575,301.346975,29.614825
34.4629,301.482125,29.6581
34.5287,301.498325,29.6898
34.530775,301.610275,29.78845
34.63925,301.626525,29.89165
34.720675,301.969,29.90455
34.81695,302.0776,29.925125
34.94225,302.15755,30.00905
34.9838,302.72575,30.04235
35.027075,302.772275,30.0497
35.15495,302.8766,30.243825
35.201025,304.158525,30.270175
35.2455,304.54585,30.37465
35.2858,304.6892,30.40805
35.3402,305.25835,30.42185
35.507725,305.4081,30.482375
35.575525,305.649425,30.498625
35.6197,306.2741,30.60885
35.705875,306.4024,30.730725
35.771875,306.92475,30.797125
35.818,307.5393,30.8252
35.87435,308.205575,30.94205
35.98555,308.67015,30.95625
36.083525,309.576,30.990475
36.17745,309.720675,30.999575
36.18845,309.9627,31.0174
36.310375,310.32915,31.224575
36.36385,311.40535,31.227225
36.4818,313.524075,31.289275
36.509575,314.341425,31.4054
36.58235,314.74495,31.412125
36.61085,315.196025,31.4194
36.6271,315.44,31.426775
36.69615,316.711125,31.441825
36.782025,317.8352,31.44875
36.951975,317.982625,31.46595
37.0282,318.6239,31.494475
37.120675,320.31355,31.54425
37.234825,320.513575,31.55165
37.3281,320.69115,31.5818
37.43615,320.784,31.5945
37.53275,323.89055,31.6082
37.601575,324.43115,31.61695
37.7944,325.79705,31.6623
37.88285,326.166225,31.761975
37.966725,326.52225,31.772075
37.9905,326.665975,31.9211
38.135525,326.745125,31.9286
38.205725,327.138275,31.9473
38.24405,327.3335,31.971475
38.30585,327.804875,31.988375
38.364725,327.822175,32.000475
38.449025,327.85775,32.016475
38.5942,328.32065,32.070475
38.628925,328.858075,32.1574
38.71115,328.904425,32.172125
38.7315,328.977575,32.200425
38.7719,329.1205,32.222525
38.8456,329.346425,32.3351
38.91655,329.8288,32.3553
38.99235,,32.419975
39.145175,,32.4388
39.204775,,32.62195
39.292225,,32.761225
39.3579,,32.76925
39.40095,,32.788
39.457825,,32.79495
39.527875,,32.8683
39.5883,,33.04175
39.6766,,33.100825
39.73305,,33.1175
39.876875,,33.124875
40.023775,,33.23345
40.224275,,33.29445
40.373325,,33.54605
40.429525,,33.564675
40.51285,,33.57805
