SPK_SPKC02a,SPK_SPKC04a,SPK_SPKC07a,SPK_SPKC10a
8.3725,6.316675,54.0998,1.356725
8.40575,6.378575,54.45435,1.368975
8.432525,6.465425,54.866475,1.3807
8.4428,6.49615,54.983075,1.3921
8.445225,6.5264,54.990675,1.399675
8.463975,6.589325,55.1108,1.4062
8.529375,6.648125,55.72915,1.417375
8.57645,6.688575,55.757425,1.427225
8.585725,6.768575,55.799125,1.436225
8.737775,6.8386,55.836975,1.44315
8.74705,6.861975,55.876025,1.462225
8.764675,6.8712,55.894025,1.470475
8.78145,6.908575,55.899,1.487
8.842625,6.954725,56.0176,1.49755
9.03375,7.054775,56.09675,1.509775
9.129425,7.1196,56.519075,1.5343
9.189625,7.1297,56.75245,1.541125
9.251775,7.139475,57.097475,1.554375
9.3143,7.14135,57.10345,1.5611
9.3697,7.145525,57.1315,1.57
9.4368,7.1581,57.388425,1.577
9.468575,7.165325,57.4748,1.583975
9.5923,7.196425,57.607275,1.590275
9.5988,7.219,57.7174,1.5988
9.611925,7.245,57.72465,1.604825
9.63405,7.26435,57.771425,1.6132
9.65545,7.295175,57.803025,1.621875
9.677675,7.3321,57.902525,1.63165
9.815075,7.382325,58.248975,1.642425
9.8375,7.421325,58.26765,1.648825
9.85045,7.464525,58.283175,1.661575
9.894025,7.657675,58.373525,1.672575
9.93825,7.68325,58.388375,1.6817
10.07655,7.7106,58.44815,1.691475
10.078725,7.746425,58.64015,1.697675
10.090975,7.7745,58.65835,1.7091
10.109575,7.81865,58.6654,1.718075
10.1564,7.8797,58.6939,1.728
10.1979,7.969275,58.712875,1.736325
10.211425,8.001675,58.72395,1.744125
10.299975,8.028175,58.760425,1.75305
10.326075,8.050375,58.88015,1.765175
10.327975,8.085475,58.895,1.774
10.36155,8.11805,58.912225,1.7914
10.423675,8.1391,58.927925,1.808275
10.444,8.17025,58.9499,1.81705
10.445175,8.207725,58.963975,1.854725
10.501125,8.236075,58.988625,1.8623
10.5626,8.260375,59.010925,1.8703
10.7142,8.280625,59.03355,1.881125
10.774325,8.299175,59.1136,1.8882
10.783375,8.3302,59.2534,1.898725
10.830225,8.3861,59.34575,1.904875
10.861925,8.42335,59.35335,1.910275
10.8718,8.452925,59.508025,1.916425
10.96385,8.482575,59.53195,1.9231
10.985425,8.4984,59.64405,1.930925
11.0198,8.5271,59.83275,1.939175
11.04165,8.5535,59.88395,1.948875
11.097125,8.5705,59.901575,1.962875
11.201975,8.611525,59.992225,1.968275
11.262175,8.638175,60.019725,1.977325
11.325075,8.67845,60.082475,1.986725
11.37225,8.71825,60.201275,1.99545
11.41495,8.7446,60.259925,2.007675
11.474625,8.764575,60.3059,2.0147
11.496175,8.803275,60.3228,2.024475
11.5686,8.871525,60.3691,2.0347
11.612225,8.9858,60.416275,2.04465
11.6548,9.0202,60.421775,2.0553
11.7119,9.044375,60.5837,2.0687
11.715675,9.0762,60.621375,2.078025
11.804675,9.092225,60.864025,2.088075
11.8183,9.11285,60.9505,2.104025
11.873175,9.135375,60.9631,2.12095
11.9138,9.232525,60.9977,2.139
11.97405,9.261425,61.093625,2.190975
12.008675,9.296525,61.1031,2.19525
12.025675,9.36775,61.1369,2.2055
12.066325,9.39495,61.151425,2.212425
12.11065,9.4144,61.271975,2.22165
12.120475,9.433175,61.334425,2.2304
12.178325,9.4578,61.43205,2.239575
12.18825,9.49185,61.50165,2.249375
12.2348,9.5155,61.5527,2.257825
12.3598,9.543675,61.57195,2.268825
12.388275,9.652925,61.610725,2.277675
12.420575,9.686175,61.658775,2.2894
12.435275,9.744125,61.681225,2.2983
12.4571,9.816525,61.805875,2.31025
12.484275,9.89555,61.883475,2.324025
12.5026,9.9272,61.915225,2.334175
12.59365,9.941725,61.94335,2.343075
12.701125,9.960575,62.009875,2.35505
12.7908,9.9898,62.18865,2.36435
12.8657,10.01685,62.289025,2.3766
13.00325,10.04195,62.296675,2.385525
13.0268,10.0915,62.3245,2.3942
13.037,10.127175,62.358775,2.40785
13.0768,10.169975,62.42065,2.419625
13.117375,10.213675,62.431175,2.42965
13.206825,10.236275,62.603925,2.441325
13.229275,10.259525,62.6202,2.458375
13.273525,10.2845,62.63155,2.471775
13.325625,10.3141,62.674925,2.48625
13.3518,10.346575,62.68585,2.497875
13.395225,10.42345,62.852675,2.504875
13.4744,10.44685,62.914,2.535775
13.48785,10.505125,62.937325,2.541475
13.61685,10.62005,62.98405,2.54695
13.6339,10.6602,63.00415,2.55715
13.667175,10.680025,63.03935,2.56185
13.672825,10.697825,63.0897,2.567625
13.7035,10.72505,63.192875,2.574475
13.76635,10.7473,63.19955,2.58075
13.8049,10.77955,63.2354,2.588375
13.863725,10.79485,63.24825,2.600575
13.898275,10.819925,63.3259,2.612675
13.92735,10.8386,63.366275,2.621575
14.035675,10.85665,63.4579,2.6311
14.038925,10.91335,63.50645,2.64455
14.126875,10.9474,63.53425,2.65095
14.151275,10.97715,63.5455,2.660725
14.269475,11.003875,63.597325,2.671275
14.2987,11.02635,63.6115,2.681575
14.36045,11.06505,63.64385,2.693675
14.3946,11.09805,63.70545,2.70205
14.61945,11.12515,63.7392,2.712925
14.647375,11.156025,63.96825,2.720225
14.663575,11.199325,64.001725,2.73035
14.70115,11.243775,64.019475,2.74055
14.729325,11.28725,64.0991,2.747275
14.801625,11.318275,64.1713,2.757225
14.80565,11.3615,64.220675,2.77155
14.8208,11.3988,64.232125,2.78355
14.85265,11.41715,64.24435,2.79155
14.88725,11.453875,64.332775,2.81465
14.9114,11.49145,64.37365,2.82485
14.9566,11.5093,64.384475,2.833625
15.00095,11.53555,64.41835,2.8418
15.06165,11.567975,64.43855,2.85175
15.100475,11.59565,64.463025,2.857975
15.207,11.632625,64.5497,2.86905
15.2301,11.6995,64.65565,2.87955
15.238325,11.798,64.68145,2.8918
15.3555,11.83805,64.8208,2.900025
15.375275,11.8778,64.8412,2.90515
15.403825,11.906925,64.853025,2.912725
15.464425,11.9387,64.88975,2.918475
15.52905,11.971675,64.911925,2.925675
15.57845,12.00865,64.9193,2.929875
15.582725,12.045875,64.970675,2.934325
15.6,12.0708,65.02735,2.9434
15.64935,12.112175,65.0325,2.95045
15.760925,12.169125,65.042225,2.95745
15.793275,12.313275,65.04985,2.968725
15.837025,12.354925,65.0695,2.975475
15.860425,12.38165,65.0772,2.98265
15.9327,12.4103,65.18805,2.992625
16.022675,12.448525,65.35645,2.999075
16.049625,12.4748,65.3741,3.005675
16.095525,12.506525,65.38095,3.010675
16.1141,12.5245,65.442925,3.017825
16.116375,12.556,65.536175,3.0238
16.141075,12.598325,65.58405,3.02875
16.155975,12.720525,65.774925,3.034525
16.166125,12.77025,65.803625,3.041275
16.20575,12.81655,65.8143,3.047225
16.334725,12.86385,65.832075,3.05425
16.374675,12.89595,65.9625,3.062075
16.376725,12.912025,65.9798,3.067975
16.4542,12.9586,66.01455,3.074575
16.557025,12.9755,66.047775,3.082275
16.58745,12.988325,66.207325,3.088075
16.666225,13.0189,66.227625,3.0945
16.6865,13.0437,66.262325,3.100125
16.696925,13.09655,66.28125,3.105625
16.705,13.14835,66.2926,3.111775
16.71205,13.229475,66.31895,3.12375
16.79475,13.295725,66.340375,3.12835
16.79795,13.370475,66.38425,3.13475
16.843875,13.43055,66.45855,3.139975
16.925575,13.443325,66.4785,3.145225
17.0209,13.4595,66.48695,3.14935
17.087525,13.47865,66.5234,3.1569
17.094825,13.504925,66.548475,3.1632
17.106675,13.532,66.57975,3.169
17.153425,13.560825,66.6123,3.17585
17.2104,13.580425,66.6589,3.181725
17.26425,13.618,66.66595,3.188075
17.2796,13.643975,66.769925,3.19415
17.325525,13.669,66.781925,3.20065
17.36475,13.706425,66.827375,3.205425
17.391525,13.74085,66.923175,3.21215
17.406625,13.7656,66.95295,3.21625
17.46705,13.78325,66.991125,3.223
17.52915,13.814675,67.01285,3.22715
17.556325,13.83945,67.10425,3.231475
17.6509,13.87345,67.176475,3.237225
17.681075,13.90315,67.182475,3.243875
17.706675,13.932775,67.1907,3.25065
17.741025,13.96445,67.222,3.255775
17.745825,13.99565,67.228825,3.26455
17.76175,14.018025,67.23905,3.27105
17.7823,14.052525,67.2703,3.28035
17.7975,14.121525,67.29465,3.284525
17.80825,14.175675,67.331475,3.29275
17.887525,14.224475,67.3711,3.300475
18.070575,14.298775,67.51335,3.31155
18.09295,14.3236,67.539,3.316125
18.121775,14.352975,67.560425,3.32065
18.126375,14.392175,67.597775,3.332425
18.1635,14.422775,67.642775,3.33785
18.180225,14.45485,67.652725,3.3393
18.41525,14.50945,67.68345,3.346075
18.458575,14.585425,67.7252,3.353
18.544075,14.660075,67.75485,3.360325
18.57825,14.7057,67.8087,3.3685
18.6334,14.75735,67.8673,3.373575
18.704325,14.7829,67.9073,3.3803
18.714075,14.81565,67.934125,3.3861
18.7417,14.830675,67.95135,3.3929
18.76895,14.8637,67.960025,3.39935
18.8027,14.89595,67.9823,3.4082
18.8277,14.93595,67.98925,3.4149
18.83765,14.97585,68.0255,3.427575
18.92635,15.022775,68.0325,3.433975
18.94025,15.1044,68.103725,3.443175
19.03665,15.12385,68.1615,3.45195
19.0687,15.15985,68.20475,3.45955
19.083375,15.1739,68.214675,3.46845
19.11205,15.20465,68.2474,3.478625
19.186925,15.236825,68.360175,3.49275
19.2443,15.264775,68.370925,3.505425
19.307375,15.301675,68.397375,3.5187
19.3705,15.363475,68.40525,3.5259
19.5265,15.41625,68.5563,3.5392
19.576775,15.4738,68.568325,3.5472
19.6353,15.5256,68.6364,3.5631
19.637,15.551625,68.6759,3.570775
19.706375,15.579175,68.690825,3.581375
19.841325,15.599975,68.711325,3.58875
20.05595,15.628325,68.7824,3.6003
20.1671,15.65205,68.795525,3.607325
20.185875,15.675675,68.838475,3.622175
20.2253,15.69225,68.8612,3.629575
20.2485,15.723975,68.960625,3.640325
20.288675,15.751325,68.9714,3.65555
20.3313,15.804725,69.0384,3.664025
20.408575,15.84155,69.05565,3.6703
20.50815,15.937375,69.084625,3.676325
20.528925,16.018725,69.099025,3.681
20.5465,16.0468,69.16665,3.6889
