SPK_SPKC01a (NA),SPK_SPKC10a (no effect)
14.1993,53.444475
14.273025,53.477275
14.30695,53.515575
14.319375,53.541225
14.35815,53.55435
14.388325,53.641325
14.394075,54.09185
14.399,54.109275
14.5684,54.117675
14.612875,54.13155
14.647125,54.205875
14.6503,54.3398
14.687,54.350475
14.850375,54.364875
14.888325,54.45725
14.978925,54.524825
15.00575,54.55685
15.085975,54.655425
15.10385,54.663875
15.1541,54.687875
15.256025,54.7737
15.2747,54.786075
15.334775,54.943225
15.33915,54.9553
15.35165,54.967025
15.378275,54.9885
15.38895,55.0042
15.45395,55.010625
15.538525,55.0955
15.651125,55.151475
15.68385,55.183075
15.7455,55.20235
15.856725,55.274175
15.86075,55.289825
15.8805,55.345425
15.985675,55.391525
16.014275,55.4034
16.067475,55.427375
16.1173,55.4929
16.144825,55.512175
16.174925,55.52225
16.1916,55.55615
16.22155,55.55815
16.23745,55.594775
16.280675,55.6532
16.295575,55.664675
16.39005,55.7397
16.42515,55.7501
16.45095,55.7815
16.488725,55.83935
16.4993,55.851075
16.56795,55.8612
16.5969,55.924175
16.613625,55.956675
16.642675,55.9732
16.6657,56.034675
16.821025,56.06565
16.85305,56.1098
16.907125,56.180075
16.9629,56.19275
17.1313,56.285675
17.175575,56.33175
17.204075,56.37085
17.289425,56.45525
17.322425,56.47895
17.33525,56.48705
17.43995,56.49515
17.46395,56.574225
17.474825,56.638725
17.51515,56.8699
17.534675,56.91895
17.553875,57.07765
17.644925,57.090025
17.680675,57.13025
17.685225,57.153275
17.7999,57.187725
17.819925,57.223975
17.91915,57.2685
17.943725,57.314175
17.958175,57.3319
18.077275,57.34515
18.265175,57.35575
18.4218,57.3689
18.46655,57.491225
18.5243,57.549
18.59935,57.654175
18.604625,57.6601
18.608975,57.717775
18.63315,57.8915
18.642375,58.01735
18.6705,58.051025
18.709925,58.0986
18.729325,58.1192
18.733725,58.1282
18.76765,58.1638
18.8509,58.2362
18.898675,58.28735
18.903775,58.3287
18.922725,58.415575
18.9603,58.4426
19.02695,58.45455
19.0746,58.481425
19.13545,58.517425
19.1392,58.5456
19.147925,58.628625
19.149925,58.6456
19.186975,58.669375
19.19395,58.6774
19.203975,58.757475
19.240525,58.803425
19.2527,58.841725
19.2603,58.91875
19.279,58.92195
19.2935,58.958725
19.3294,59.006075
19.345875,59.0799
19.407025,59.094125
19.41775,59.106025
19.446675,59.2392
19.483275,59.247
19.5375,59.289475
19.543,59.409275
19.663925,59.50675
19.7963,59.76155
19.806775,60.0061
19.847875,60.09685
19.964625,60.10895
19.968925,60.123075
20.002825,60.19685
20.0062,60.245475
20.0596,60.439425
20.099375,60.455125
20.18035,60.48755
20.184725,60.509075
20.1925,60.523375
20.232825,60.5979
20.236775,60.644875
20.248475,60.6926
20.296075,60.7506
20.363825,60.7801
20.39515,60.782825
20.4313,60.82825
20.523975,60.89955
20.576675,61.055275
20.6875,61.184975
20.718125,61.257625
20.7561,61.292825
20.835775,61.412925
20.842275,61.5463
20.86005,61.590225
20.90565,61.59375
20.938725,61.707925
21.017875,61.71905
21.023875,61.72945
21.06755,61.74545
21.0733,61.796
21.077775,61.8522
21.10265,61.8657
21.1653,61.885075
21.1915,61.8978
21.237075,61.923975
21.269425,62.086875
21.2724,62.112375
21.3276,62.130825
21.36165,62.172575
21.532875,62.20525
21.5621,62.221375
21.56635,62.2533
21.642825,62.3272
21.6502,62.349025
21.732,62.39095
21.744325,62.415625
21.750025,62.429175
21.799525,62.48905
21.895275,62.4992
21.914725,62.519925
21.935525,62.5345
21.95475,62.545025
22.0099,62.56685
22.065325,62.6598
22.147875,62.695925
22.1984,62.740125
22.358275,62.75565
22.44145,62.939425
22.443675,62.96325
22.450375,63.03435
22.4741,63.071875
22.48525,63.17265
22.497225,63.195
22.53855,63.224875
22.545325,63.26055
22.552375,63.290275
22.577725,63.334225
22.745625,63.375725
22.762825,63.3882
22.789225,63.396
22.7957,63.43155
22.813825,63.49835
22.8209,63.561425
22.8536,63.571125
22.896775,63.586875
22.9075,63.617525
22.927825,63.68275
23.021375,63.787125
23.057025,63.80495
23.072225,63.83965
23.084725,63.874525
23.113225,63.99295
23.217075,64.1518
23.2545,64.240125
23.263775,64.278425
23.266925,64.301275
23.30145,64.35345
23.31475,64.41415
23.377325,64.4228
23.406325,64.507675
23.44125,64.5601
23.44495,64.598775
23.547925,64.76745
23.589825,64.81545
23.734825,64.829775
23.790975,64.878225
23.8037,64.89145
24.28705,64.937175
24.340425,64.948525
24.38945,64.97205
24.41575,64.9831
24.41975,65.0651
24.4397,65.11755
24.490325,65.160925
24.498175,65.2316
24.5466,65.273725
24.59255,65.3963
24.601525,65.41075
24.637325,65.558125
24.6442,65.582825
24.740675,65.64675
24.791625,65.665525
24.8342,65.741925
24.83905,65.839125
24.919475,65.85265
25.11415,65.864775
25.138875,65.893025
25.142125,65.958025
25.175875,66.001375
25.222925,66.064375
25.2266,66.07285
25.231725,66.113325
25.3353,66.19925
25.4498,66.23975
25.467025,66.2581
25.55285,66.372175
25.563075,66.3859
25.697375,66.40965
25.719975,66.435625
25.7663,66.450375
25.771,66.466125
25.7752,66.499975
25.791025,66.53065
25.89395,66.547825
25.90445,66.5656
25.945625,66.7044
25.953775,66.777175
25.97395,66.78915
26.0138,66.811525
26.03515,66.8274
26.04325,66.8509
26.107425,66.90125
26.1269,66.957675
26.210175,67.00175
26.303375,67.01175
26.37385,67.180125
26.388875,67.234975
26.415075,67.25285
26.467425,67.309
26.475625,67.430825
26.516325,67.4476
26.54605,67.65885
26.566325,67.682425
26.586625,67.71425
26.610975,67.805575
26.72005,67.8369
26.77795,67.8475
26.7966,67.8775
26.837975,67.898025
26.8429,67.9218
26.89225,67.9726
26.917025,67.98915
26.9524,67.999325
26.983575,68.063275
26.9955,68.078375
27.051675,68.0962
27.063725,68.129975
27.0654,68.147975
27.117675,68.194125
27.12565,68.209175
27.1524,68.3349
27.20835,68.34855
27.286,68.389775
27.28925,68.4189
27.3019,68.486875
27.315675,68.542375
27.3628,68.554225
27.371075,68.61165
27.4172,68.689475
27.487,68.762775
27.7046,68.84215
27.8152,68.8831
27.851775,69.081125
27.904875,69.126375
27.95885,69.1595
28.00875,69.1713
28.0704,69.249125
28.095075,69.356575
28.277225,69.39625
28.310175,69.409025
28.38395,69.420175
28.399025,69.442975
28.4267,69.4643
28.488075,69.568475
28.5592,69.592075
28.57585,69.617025
28.585975,69.6574
28.6081,69.67945
28.6226,69.693925
28.662325,69.7812
28.67685,69.809875
28.694775,69.8203
28.71995,69.937225
28.79955,69.9585
28.8547,69.96425
28.930875,70.15585
28.94505,70.167775
28.96105,70.1952
28.97755,70.23675
28.984475,70.254875
29.011,70.349125
29.0183,70.354975
29.039825,70.366275
29.10355,70.3872
29.12485,70.46515
29.174875,70.47695
29.178875,70.5101
29.327775,70.528975
29.33485,70.6215
29.360125,70.68135
29.3671,70.841425
29.384825,71.002475
29.401475,71.037675
29.451125,71.053525
29.475,71.110025
29.4804,71.138325
29.483125,71.153725
29.543475,71.203625
29.5485,71.2448
29.563625,71.341675
29.57695,71.3787
29.614625,71.471475
29.677325,71.51825
29.693675,71.63435
29.744025,71.766725
29.75335,71.853675
29.7676,71.959675
29.8113,72.051975
29.815525,72.126075
29.825025,72.208525
29.87455,72.225475
29.940225,72.2378
29.943175,72.282025
29.947,72.3026
30.118075,72.3525
30.1446,72.554375
30.14885,72.578
30.20345,72.62395
30.271225,72.62535
30.2775,72.6324
30.3405,72.6412
30.372525,72.649125
30.390975,72.69665
30.45545,72.70695
30.465525,72.82025
30.4817,72.874875
30.518675,72.9096
30.52345,73.028875
30.618,73.038275
30.717175,73.08
30.742675,73.095125
30.762325,73.1176
30.843875,73.22705
30.847575,73.289875
30.88575,73.344475
30.898325,73.373175
31.04475,73.379975
31.050125,73.389825
31.1466,73.409975
31.19625,73.4217
31.37115,73.434275
31.409325,73.454475
31.413075,73.5089
31.4417,73.5866
31.4634,73.67135
31.52045,73.70435
31.525275,73.73725
31.54125,73.812025
31.56415,73.851725
31.628175,73.894175
31.638775,73.947175
31.67165,73.9775
31.70445,74.0038
31.7396,74.0153
31.76105,74.069875
31.858425,74.087025
31.8712,74.097375
31.8758,74.1083
31.88075,74.160975
31.9061,74.1786
31.975925,74.31515
31.97825,74.331075
32.002425,74.3899
32.042075,74.40615
32.08235,74.409275
32.17965,74.41145
32.19855,74.4145
32.22235,74.41575
32.3608,74.41805
32.3853,74.5089
32.42795,74.58945
32.4833,74.60965
32.728475,74.648475
32.8172,74.65975
32.83825,74.661575
32.8431,74.672525
32.9705,74.73385
32.98155,74.76775
33.04795,74.822575
33.0682,74.842975
33.08605,74.9911
33.17925,74.9978
33.296425,75.0632
33.312175,75.09
33.34315,75.231125
33.440775,75.276325
33.46265,75.34065
33.4819,75.37235
33.50095,75.437075
33.51085,75.44775
33.590175,75.461225
33.7367,75.495875
33.761425,75.597525
33.852325,75.610725
33.864875,75.659075
33.945325,75.836525
33.98225,75.899725
34.020225,75.9422
34.032325,76.023075
34.044725,76.0691
34.06135,76.085575
34.1135,76.173
34.119125,76.207175
34.1578,76.24795
34.163475,76.264375
34.17885,76.317925
34.2155,76.35045
34.2701,76.373925
34.300675,76.391525
34.351725,76.4105
34.35435,76.424075
34.4045,76.458025
34.407725,76.4866
34.49685,76.531325
34.529725,76.568375
34.5646,76.588875
34.60105,76.6015
34.64145,76.624575
34.643325,76.72315
34.6527,76.74005
34.725775,76.752625
34.739775,76.762325
34.770825,76.819975
34.781375,76.9382
34.814275,77.021525
35.030375,77.034075
35.04665,77.117475
35.17995,77.2387
35.2131,77.257075
35.224975,77.323575
35.270825,77.4433
35.2815,77.496525
35.3163,77.509925
35.324025,77.579825
35.332525,77.592
35.37815,77.613825
35.501125,77.7193
35.507725,77.871
35.51295,77.888925
35.6097,77.950175
35.645325,77.997425
35.688125,78.0338
35.6927,78.050925
35.6971,78.0714
35.749175,78.100675
35.752425,78.119775
35.76175,78.1549
35.766525,78.16735
35.770025,78.1794
35.791375,78.181825
35.802725,78.196175
35.842575,78.204375
35.859225,78.2211
35.893725,78.2585
35.8995,78.30885
35.930375,78.352875
35.9566,78.3861
36.00065,78.490275
36.0453,78.520775
36.128075,78.5606
36.160425,78.590475
36.188775,78.612475
36.19195,78.66225
36.262875,78.690875
36.266475,78.73675
36.3827,78.770875
36.3929,78.815175
36.407175,78.824425
36.430375,78.84105
36.44745,78.88965
36.508325,78.92235
36.5123,78.974575
36.540225,79.048275
36.55965,79.06175
36.602475,79.075
36.604125,79.085775
36.653575,79.096075
36.727,79.1451
36.73865,79.15705
36.75935,79.170925
36.7933,79.183
36.8075,79.1946
36.892375,79.229525
36.949825,79.258675
36.953775,79.284275
37.013475,79.368775
37.064725,79.396
37.102225,79.4796
37.109425,79.5285
37.142075,79.54505
37.155,79.60595
37.19435,79.672475
37.21075,79.69195
37.2422,79.71155
37.24965,79.72205
37.26915,79.774225
37.35245,79.798975
37.394175,79.812725
37.400575,79.86535
37.438725,79.898325
37.4553,79.940475
37.53405,80.04005
37.54175,80.123275
37.562375,80.288775
37.585775,80.3147
37.59485,80.343575
37.66405,80.36235
37.69055,80.4813
37.69425,80.5574
37.72485,80.570925
37.76605,80.606075
37.770875,80.61495
37.794875,80.6354
37.8548,80.701525
37.928775,80.767975
38.013275,80.802
38.03185,80.813925
38.054825,80.8792
38.077825,80.931725
38.083825,80.94335
38.08935,81.006875
38.206625,81.0982
38.33395,81.1921
38.36835,81.213525
38.383025,81.306325
38.386725,81.45425
38.4049,81.505525
38.4631,81.5414
38.482075,81.554325
38.48385,81.625375
38.48995,81.668875
38.56365,81.704
38.57085,81.797725
38.5758,81.837075
38.609975,81.8906
38.633825,81.899
38.636125,81.969875
38.68605,81.985
38.720125,82.1744
38.789125,82.190225
38.79785,82.22835
38.84525,82.28585
38.85705,82.345375
38.88195,82.381325
38.887,82.41705
38.924025,82.448625
38.965925,82.614
39.06045,82.636625
39.10145,82.732925
39.10415,82.777775
39.134575,82.857425
39.147275,82.8629
39.2013,82.882175
39.297225,82.985375
39.29855,83.041625
39.322075,83.080075
39.332825,83.0997
39.341575,83.113275
39.38195,83.168275
39.4074,83.194025
39.432875,83.2058
39.438125,83.251425
39.44185,83.28315
39.457075,83.299525
39.474925,83.3145
39.4767,83.34205
39.506825,83.39025
39.509475,83.49435
39.5115,83.520825
39.532875,83.56295
39.549,83.576375
39.622925,83.603075
39.643025,83.727975
39.68215,83.74475
39.713425,83.765975
39.770175,83.811375
39.7734,83.915825
39.7749,83.958825
39.872425,83.99345
39.876525,84.02195
39.921675,84.022975
39.925725,84.081175
39.93595,84.1568
39.967325,84.196125
39.971875,84.22125
40.0169,84.23625
40.11495,84.308575
40.12385,84.37965
40.134475,84.4864
40.1662,84.5006
40.181075,84.7525
40.204475,84.868375
40.2162,84.883275
40.2358,84.93215
40.305625,85.056825
40.38325,85.104175
40.432725,85.144575
40.5837,85.16025
40.646275,85.199625
40.657575,85.258075
40.70675,85.378325
40.725425,85.453775
40.812825,85.5251
40.842025,85.542775
40.8675,85.584025
40.86955,85.60075
40.9017,85.617825
40.915925,85.65195
40.942925,85.661675
40.9612,85.686575
40.983525,85.698025
40.995,85.719025
41.01535,85.8316
41.032825,85.84135
41.05185,85.888225
41.093,85.931125
41.13375,85.969
41.146875,86.0046
41.15555,86.07275
41.1774,86.082875
41.180275,86.239875
41.20015,86.24795
41.239375,86.26185
41.242425,86.335925
41.269,86.405
41.322675,86.46715
41.3494,86.524275
41.35215,86.54035
41.384275,86.6985
41.3932,86.7871
41.39555,86.839075
41.413275,86.849
41.422775,86.86855
41.441375,86.878575
41.476275,86.8972
41.503525,86.91675
41.507425,86.943025
41.518075,86.9535
41.533125,86.997275
41.572575,87.02495
41.5891,87.115625
41.602475,87.343725
41.627275,87.36035
41.65465,87.421975
41.72015,87.4928
41.734125,87.51805
41.7538,87.52875
41.7744,87.7612
41.88415,87.8031
41.916625,87.8163
41.919775,87.834525
41.9433,87.99895
41.948775,88.04995
41.95315,88.089575
41.95495,88.129775
41.98575,88.1453
41.99415,88.16405
42.1388,88.214875
42.160225,88.236525
42.173975,88.274925
42.188175,88.294575
42.218625,88.31235
42.2231,88.3817
42.239,88.653225
42.2837,88.70125
42.2873,88.71595
42.2943,88.73825
42.3193,88.781125
42.3237,88.8156
42.37255,88.889675
42.399675,88.899525
42.4281,88.926675
42.45545,88.9767
42.457525,89.009225
42.526225,89.032025
42.54035,89.05495
42.56545,89.080025
42.56915,89.231025
42.60735,89.239925
42.639575,89.25
42.669775,89.2589
42.689425,89.317125
42.722875,89.34825
42.767075,89.36025
42.800475,89.475425
42.8334,89.508175
42.8489,89.5342
42.874675,89.631175
42.8949,89.69455
42.8989,89.781625
42.93505,89.810575
42.96095,89.8388
42.9714,89.939375
43.00405,89.996125
43.01265,90.01885
43.019825,90.05215
43.0553,90.1103
43.065375,90.159125
43.088275,90.232225
43.1513,90.2498
43.154775,90.32835
43.177825,90.507175
43.1859,90.529275
43.200075,90.593075
43.217575,90.616875
43.218525,90.6564
43.258925,90.69475
43.267625,90.708475
43.299825,90.729525
43.30425,90.744875
43.36645,90.764675
43.3948,90.79285
43.40425,90.860775
43.408325,90.883925
43.470825,90.898925
43.475,90.9194
43.5204,90.9407
43.6084,90.964475
43.616675,90.98905
43.650025,91.016475
43.655625,91.02815
43.669175,91.042325
43.7505,91.095175
43.783775,91.11505
43.816175,91.14295
43.817625,91.215125
43.845125,91.24915
43.852925,91.305125
43.873625,91.325825
43.888225,91.3759
43.90275,91.4722
43.9553,91.546575
43.980525,91.5586
43.991175,91.5688
44.032725,91.5798
44.03595,91.586175
44.043025,91.593225
44.051,91.6003
44.06195,91.60885
44.095075,91.646075
44.14075,91.6544
44.154475,91.7065
44.164625,91.722725
44.19395,91.7591
44.2002,91.80965
44.216725,91.856975
44.2197,91.9001
44.24825,91.932925
44.255925,91.969
44.262825,92.00375
44.2895,92.016825
44.343875,92.031175
44.3664,92.047725
44.373575,92.1352
44.384275,92.191975
44.422425,92.2246
44.429875,92.262075
44.431675,92.267375
44.45975,92.373575
44.4646,92.38865
44.51395,92.461025
44.5313,92.47865
44.551225,92.606375
44.569375,92.616675
44.611,92.66455
44.62805,92.753725
44.7899,92.76295
44.798975,92.81405
44.819325,92.889825
44.877775,92.909825
44.891575,92.94175
45.0771,92.956125
45.15685,92.97625
45.2292,92.996925
45.30435,93.0948
45.34655,93.15795
45.381525,93.2143
45.397325,93.272875
45.4007,93.287775
45.45795,93.34235
45.46095,93.436575
45.499475,93.450825
45.554125,93.461175
45.643,93.4699
45.668625,93.4859
45.7262,93.58655
45.7347,93.6083
45.805225,93.6796
45.808,93.68905
45.8098,93.8188
45.86125,93.928675
45.86475,93.9405
45.91525,93.96075
45.952575,94.039275
45.956075,94.087275
45.998275,94.1521
46.036875,94.165
46.068775,94.21985
46.11645,94.257925
46.145575,94.308325
46.255175,94.336225
46.259675,94.3597
46.307025,94.4894
46.367575,94.504025
46.42735,94.5354
46.4585,94.5429
46.5279,94.77905
46.541375,94.79805
46.648225,94.8229
46.659125,94.86575
46.6646,94.8919
46.693325,94.93655
46.7078,94.977575
46.7137,94.998075
46.720525,95.1393
46.724525,95.19025
46.74715,95.22975
46.80495,95.2796
46.810375,95.31385
46.8221,95.390625
46.8629,95.517075
46.90315,95.557775
46.907425,95.622425
46.918525,95.6309
46.926025,95.754875
46.96545,95.783525
46.997,95.830525
47.035575,95.870675
47.058775,95.9119
47.114925,95.927875
47.146225,96.092475
47.15545,96.33295
47.207,96.533125
47.2448,96.5972
47.249475,96.62915
47.30195,96.659075
47.363625,96.66615
47.367525,96.68985
47.4902,96.8518
47.512025,96.887075
47.5165,96.961475
47.530125,96.9746
47.5437,96.988825
47.571675,97.002075
47.613975,97.140375
47.627375,97.205875
47.6452,97.218625
47.657625,97.288275
47.70135,97.319025
47.74365,97.372525
47.750575,97.430775
47.755125,97.549975
47.81115,97.778075
47.820125,97.790075
