SPK_SPKC05a (inhi),SPK_SPKC09b (exc),SPK_SPKC09c (inhi)
406.223325,412.085025,405.479275
406.245775,412.123475,405.50285
406.264175,412.18615,405.530075
406.287375,412.2941,405.554975
406.3127,412.311,405.580075
406.3256,412.35805,405.6077
406.3463,412.403375,405.629975
406.34915,412.44855,405.65085
406.39555,412.474875,405.6543
406.420925,412.5444,405.673775
406.45135,412.6111,405.70225
406.518425,412.790775,405.735225
406.550525,412.9106,405.7539
406.57035,412.957675,405.778975
406.5843,412.9681,405.799275
406.60875,413.00975,405.815575
406.629575,413.27965,405.842325
406.661025,413.3229,405.870425
406.68185,413.3678,405.901025
406.7076,413.383875,405.9441
406.73395,413.412175,406.003875
406.75115,413.441125,406.0802
406.7759,413.4809,406.097125
406.8025,413.5234,406.11585
406.8369,413.604325,406.13965
406.8636,413.666075,406.17205
406.89995,413.727675,406.18635
406.9266,413.80765,406.2183
406.9621,413.8813,406.239275
406.987825,413.888075,406.260575
407.0127,413.92735,406.289025
407.055575,413.935325,406.311675
407.07485,414.132475,406.35205
407.095725,414.3416,406.371575
407.11105,414.4117,406.408575
407.1355,414.427125,406.44305
407.155175,414.51405,406.46985
407.175,414.51955,406.527325
407.20655,414.642675,406.5655
407.2564,414.7058,406.6341
407.2924,414.7797,406.65625
407.335425,414.864275,406.676225
407.3686,414.918425,406.69975
407.421325,414.982275,406.716
407.44645,415.015625,406.734025
407.45885,415.068025,406.772525
407.474625,415.0995,406.821025
407.497925,415.188,406.88795
407.517825,415.340575,406.911925
407.561,415.3778,406.936775
407.5868,415.557925,406.9643
407.62785,415.580175,406.987325
407.6568,415.625325,407.00685
407.68095,415.66385,407.0194
407.712475,415.6919,407.042125
407.733325,415.7142,407.089975
407.748275,415.728825,407.134925
407.762425,415.7561,407.162325
407.800175,415.811675,407.1845
407.827075,415.86195,407.21475
407.842725,415.88975,407.238425
407.86795,415.917875,407.28065
407.90705,415.995225,407.309825
407.926025,416.04375,407.360075
407.95815,416.088725,407.387125
407.974025,416.154975,407.43
408.0262,416.23455,407.449525
408.054325,416.2546,407.469925
408.08465,416.25645,407.496825
408.094225,416.2965,407.522475
408.12405,416.381875,407.550575
408.1372,416.4296,407.569825
408.1503,416.466175,407.604975
408.172675,416.522175,407.688675
408.1949,416.544325,407.711875
408.2114,416.56935,407.73425
408.22665,416.640475,407.7455
408.239075,416.67005,407.7604
408.25715,416.7071,407.77985
408.28555,416.7861,407.803175
408.3232,416.90545,407.81515
408.3836,416.9306,407.8306
408.424475,416.969675,407.852725
408.459025,416.971325,407.8909
408.47745,416.98865,407.95485
408.51345,417.0582,407.996325
408.53265,417.10545,408.01565
408.560975,417.2016,408.03995
408.571925,417.2613,408.051775
408.59705,417.3034,408.07325
408.61725,417.3653,408.1245
408.6356,417.377775,408.13985
408.67065,417.4317,408.164
408.697625,417.462475,408.19015
408.717,417.52095,408.2111
408.7472,417.563775,408.237475
408.7748,417.6261,408.2625
408.80195,417.680375,408.298125
408.827675,417.73495,408.3489
408.855875,417.867825,408.379875
408.889875,417.9003,408.4098
408.909575,418.02755,408.439525
408.94495,418.108325,408.4664
408.96495,418.15035,408.549675
408.97955,418.191475,408.57495
408.996975,418.195125,408.5985
409.018275,418.265675,408.619
409.037675,418.3161,408.633325
