SPK_SPKC10a (excited),SPK_SPKC12a (NA),SPK_SPKC13a (NA),SPK_SPKC14a (no effect),SPK_SPKC16a (NA)
44.293125,5.70135,47.265075,70.923975,54.3704
44.56655,5.7378,47.737875,72.19705,54.40635
44.9024,5.823125,47.758275,72.29095,54.477575
45.00415,5.8653,47.86465,72.687525,54.564775
45.580375,5.880275,48.1236,74.35285,54.846775
45.649825,5.8917,48.372575,76.045925,55.41695
45.7389,5.9038,48.402075,76.43945,55.482025
45.935825,5.911875,48.422875,76.521475,55.619475
46.135625,5.932175,49.075125,76.667425,55.71055
46.572975,5.9743,49.099175,76.8087,55.878975
47.285625,5.989625,49.199275,76.951,55.988475
47.347375,6.005675,49.8889,77.250725,56.141375
47.420475,6.013825,50.010775,77.318725,56.331775
47.820925,6.0472,50.024525,77.7046,56.6894
48.158925,6.093025,50.036625,77.8556,56.71305
48.249625,6.126525,50.16565,78.304175,56.77695
48.268575,6.181125,50.21545,78.3199,56.8414
48.869075,6.22565,50.23355,78.650875,56.86095
49.3484,6.376425,50.258425,79.31525,57.051375
49.4329,6.386975,50.294475,79.6957,57.0777
49.90395,6.395,50.325975,79.8035,57.13545
50.28415,6.409675,50.340425,80.277875,57.515475
50.433525,6.41495,50.3701,80.4534,57.585075
50.468425,6.429,50.385925,80.5202,57.92765
50.60445,6.4374,50.446775,81.21025,58.180975
51.412975,6.4446,50.463975,81.7762,58.305
51.781125,6.511775,50.586125,82.6056,58.413
52.125575,6.525625,50.614325,83.773275,58.73585
52.7739,6.565625,50.716275,83.794825,58.76075
52.829225,6.59445,50.747475,84.39775,58.781875
53.154075,6.602325,50.78105,84.73245,58.816825
53.2808,6.711275,50.800075,84.7836,58.8667
53.324325,6.73375,50.81425,85.0505,58.9165
53.7526,6.824,50.82775,85.36115,58.9396
54.014525,6.94415,50.863075,85.5057,59.090725
54.262125,6.978075,50.8977,86.7357,59.60195
54.430725,6.9869,50.9461,86.9258,59.92215
54.5265,6.993825,50.976825,87.3848,59.945775
54.58275,7.001975,50.9938,87.912325,60.0068
55.076725,7.040725,51.030025,88.039175,60.19055
55.166425,7.066975,51.07875,88.44585,60.225275
55.329625,7.08,51.09135,89.950175,60.4447
56.317125,7.090475,51.11455,89.979425,60.576775
57.0856,7.145125,51.1312,90.1935,60.9707
57.1833,7.1686,51.18635,90.6762,61.032275
57.2335,7.18995,51.450375,91.783,61.1544
57.884375,7.1987,51.465925,91.809775,61.3168
58.455625,7.208925,51.493775,92.05885,61.384825
58.916625,7.2522,51.513325,92.637025,61.410075
58.918675,7.261025,51.526275,93.518525,61.492875
59.333725,7.289725,51.63095,93.798425,61.518125
59.601975,7.392025,51.692775,93.825325,61.59035
59.675975,7.483775,51.7851,94.1424,61.68925
59.75075,7.495425,51.818,94.499875,61.8399
59.9299,7.497975,51.876875,94.5479,61.9381
59.9707,7.509425,51.908375,96.593875,61.9649
60.144625,7.517875,51.937575,102.369125,62.086375
60.186275,7.538425,51.969975,102.97225,62.142275
60.462625,7.546325,52.150275,103.16635,62.35215
61.581625,7.555675,52.2229,103.210325,62.462425
61.6585,7.57445,52.2391,103.285975,62.51215
62.110275,7.59425,52.3081,103.348,62.790025
62.17175,7.62045,52.3389,103.500825,62.8639
62.784125,7.645975,52.386775,103.547575,62.996975
63.360225,7.7001,52.4712,103.75605,63.172975
63.44355,7.773325,52.4854,104.096925,63.2726
63.446775,7.78245,52.513975,104.248725,64.74175
63.613525,7.7917,53.8502,104.620125,64.78515
63.71845,7.840175,53.881825,105.2213,64.86155
63.757525,7.88225,53.928725,105.26505,64.9417
64.359075,7.90675,54.00275,105.9771,65.088675
64.918375,7.9474,57.879875,106.069025,65.41875
65.466025,8.039,57.89735,107.5077,65.593225
65.474225,8.04885,57.968475,107.682875,65.707725
65.4756,8.056025,58.085225,108.3676,66.113125
65.605,8.063025,58.101575,108.991725,66.134525
65.629,8.094775,58.118275,109.034375,66.536125
65.7676,8.14555,58.151375,109.336525,66.7336
66.2264,8.162375,58.203175,109.51485,66.784925
66.7824,8.1739,58.224825,109.9287,66.9653
67.795475,8.2081,58.327175,109.958275,67.13985
67.85725,8.216975,58.3596,110.4767,67.1849
67.96,8.219,58.37325,110.631875,67.314825
68.009675,8.23475,58.388,110.699125,67.3449
68.54255,8.2556,58.453775,110.761975,67.871775
68.613975,8.3335,58.67985,110.7865,67.911275
69.529075,8.5482,58.801275,111.0916,68.0747
69.8909,8.579175,58.906,111.359125,68.147625
70.055425,8.59065,59.085775,112.465675,68.2796
70.14905,8.613725,63.08495,112.960525,68.29685
