SPK_SPKC04a (late exc?),SPK_SPKC04b (inhi/exc),SPK_SPKC05a (exc/inhi)
75.891,9.433325,53.866525
75.96525,9.496575,53.8832
76.170875,9.54105,53.887275
77.191525,9.579275,53.922475
77.2872,9.651875,53.96765
78.312925,9.6757,54.0062
78.9306,9.708825,54.0329
79.15305,9.7447,54.074175
79.5581,9.79145,54.3726
80.06785,9.8484,54.421825
80.224025,9.9045,54.5787
80.4817,9.92675,54.749875
80.5432,9.970325,55.01845
80.945475,10.01485,55.194325
80.9829,10.1173,55.299325
81.071275,10.1834,55.8096
81.17475,10.20295,55.84985
81.3392,10.246475,55.8773
81.35955,10.2917,56.24235
81.41315,10.3336,56.399175
81.73035,10.363775,56.506325
81.855775,10.431575,56.70885
82.271025,10.455325,56.829725
82.3668,10.515375,57.084175
82.612275,10.5423,57.6704
82.642475,10.582375,57.82615
82.87855,10.61285,58.969625
83.59825,10.6692,59.060175
84.123075,10.715875,59.559025
84.14445,10.743325,60.250725
84.3817,10.79055,60.5151
84.44735,10.8156,60.5338
84.8996,10.839,60.79545
84.982625,10.86285,61.019675
85.226375,10.876825,61.04755
85.631875,10.88725,61.068475
85.94145,10.94905,61.115425
86.801475,10.9672,61.15955
87.228,10.989875,61.2527
87.601925,11.016375,61.267325
88.71835,11.098275,61.3454
89.814725,11.188575,61.5257
90.07245,11.20565,61.698425
90.1446,11.2242,61.79685
90.3436,11.242925,61.932725
90.768125,11.287775,62.3872
91.287775,11.315425,62.4245
91.6638,11.361575,62.49375
91.9394,11.387375,62.6482
92.110425,11.44165,62.837325
92.325675,11.466275,62.875
92.460325,11.48945,62.8898
92.524725,11.51425,63.472925
92.715325,11.542225,63.602475
92.800325,11.642325,63.68665
93.35865,11.682925,63.7453
93.993625,11.69765,63.871
94.031825,11.727975,64.227725
94.233075,11.750825,64.3049
94.33295,11.8281,64.4149
94.460075,11.934375,64.5355
94.66085,11.9932,64.63485
94.7623,12.0175,64.961175
95.026925,12.033325,65.11755
95.369025,12.052475,65.390775
95.448875,12.069725,65.466725
96.182975,12.120875,65.647675
96.52455,12.141175,65.740625
96.7514,12.16765,65.842925
96.90405,12.2256,65.9663
97.01995,12.263275,66.10735
97.5213,12.2905,66.2374
97.66075,12.3416,66.400325
97.971525,12.372325,66.597825
98.631875,12.39965,66.987475
98.752,12.465425,67.041125
99.264075,12.511825,67.33545
99.682875,12.553975,67.4829
99.737575,12.5848,67.630675
99.856,12.63765,67.7351
100.36205,12.69035,67.828225
100.617075,12.7999,67.881275
101.62845,12.82825,67.950025
101.99245,12.8727,68.0407
102.28985,12.935075,68.137725
102.4975,12.94885,68.264125
102.668175,13.03055,68.2692
102.7356,13.0541,68.272275
103.6896,13.07175,68.414825
104.091525,13.135925,68.5025
104.16735,13.225325,68.518725
104.249675,13.265825,68.637225
104.449225,13.318325,68.8305
104.5832,13.339175,68.9293
104.793375,13.363375,69.03935
105.27665,13.3918,69.21395
105.365925,13.416,69.366525
105.665,13.441825,69.570475
106.3405,13.477125,69.733425
107.000125,13.505575,70.0328
107.10785,13.5801,70.248375
107.202275,13.6541,70.438575
107.42905,13.7062,70.532875
107.542225,13.739775,70.712375
107.955675,13.764925,71.35865
108.236325,13.800125,71.382125
108.32805,13.8222,71.42155
108.548475,13.859425,71.4723
108.67,13.917125,71.505
108.90105,13.9476,71.854375
109.152175,13.9908,71.9417
109.27875,14.026375,71.974925
109.6642,14.0654,72.22865
110.09265,14.113525,72.47105
110.22635,14.17525,72.720175
110.37645,14.225025,73.2453
110.7618,14.257725,73.4893
111.0862,14.27465,73.552125
111.1081,14.30815,74.12745
111.309675,14.330675,74.165025
111.388925,14.353475,74.1948
111.4432,14.41405,74.236225
111.538925,14.445725,74.278475
111.6668,14.478025,74.539125
111.953775,14.49725,74.7228
112.2573,14.517,74.91295
112.308525,14.530975,75.3783
113.004975,14.583275,75.8392
113.172175,14.61535,76.0079
113.176,14.6542,76.029475
113.27715,14.7276,76.050275
113.282575,14.75225,76.118575
113.687125,14.780675,76.304
113.99875,14.826075,76.39705
114.121225,14.864575,76.58685
114.42155,14.902275,76.95565
115.403725,14.969875,77.14695
115.5133,15.066925,77.256575
115.713325,15.077275,77.289225
115.905275,15.1012,77.656725
115.97165,15.157975,77.782525
116.70435,15.192,77.8398
116.7596,15.222175,78.29035
116.901825,15.245825,78.3604
117.095625,15.288,78.7465
117.249175,15.306875,78.8189
117.36975,15.35825,78.84525
117.765425,15.38635,79.1205
117.80625,15.40715,79.238325
117.962575,15.441775,79.302675
119.018475,15.470425,79.368925
119.3829,15.55255,79.379875
119.5099,15.57875,79.38175
119.5856,15.6275,79.6922
119.654575,15.65445,79.78325
120.06755,15.706525,79.9112
120.13725,15.747175,80.198725
120.8444,15.791225,80.239325
121.02175,15.819425,80.55635
121.179225,15.8275,80.602125
121.3235,15.8625,80.6825
121.786475,15.890425,80.966875
121.851475,15.92915,81.006625
121.885725,16.033825,81.009525
122.208275,16.056125,81.322325
122.8454,16.0822,81.343125
122.8869,16.11905,81.73905
122.95725,16.14085,81.8433
123.061425,16.155375,81.910525
123.06905,16.180675,82.0975
123.23955,16.192525,82.10655
123.285675,16.2105,82.1083
123.321125,16.2248,82.5439
123.368,16.25325,82.992375
123.4398,16.2877,83.419975
123.597275,16.316475,83.4597
123.829025,16.333,83.814975
123.864775,16.446525,83.95205
123.922675,16.4699,83.996875
124.04275,16.525375,84.010275
124.179925,16.598675,84.0316
124.85195,16.633675,84.51865
125.010775,16.7349,84.570475
125.202325,16.76425,87.053625
125.26945,16.792775,87.912075
125.371625,16.881525,88.194625
125.5863,16.968475,88.220725
125.824025,17.00745,88.27435
126.19185,17.06035,88.846225
126.27235,17.097,90.190275
126.39385,17.140225,90.354775
126.54485,17.190225,90.712675
126.6351,17.215725,94.9313
126.6659,17.3017,95.009875
126.699675,17.345775,96.220475
126.951,17.380025,98.384775
126.9924,17.40705,100.379625
127.201375,17.424125,100.846825
127.2248,17.457825,102.204575
127.48525,17.5515,102.508475
127.749975,17.585175,103.39145
127.9605,17.61625,105.689625
128.006875,17.640725,107.716
128.153575,17.6683,107.77925
128.405375,17.687725,107.782725
128.72205,17.703825,107.82445
128.8728,17.7312,107.842475
128.955175,17.78835,107.9807
129.36985,17.90955,108.272575
129.408175,17.94295,108.28515
129.554475,17.980475,109.13625
130.15805,18.0083,110.510775
130.427125,18.02185,110.87235
130.541325,18.0492,111.052475
130.597775,18.068225,111.356625
130.909475,18.08475,111.7434
131.012075,18.097575,111.811525
131.27005,18.11815,113.192975
131.324925,18.133775,113.210975
131.4043,18.14965,113.89785
131.55765,18.171325,113.9011
132.168025,18.237675,114.82975
132.8145,18.29305,114.8498
133.20825,18.334975,118.782125
133.243425,18.35785,120.488325
133.629725,18.367675,120.9391
133.7631,18.386175,121.360775
133.8217,18.401675,121.548725
134.483325,18.433375,121.6666
134.7493,18.4661,122.529225
134.99025,18.490925,122.8226
135.321025,18.5064,123.16105
135.922025,18.522475,123.6525
136.2563,18.546725,124.16045
136.497075,18.576775,124.171325
136.667125,18.599675,124.7887
136.699275,18.6261,125.297425
137.49665,18.64465,126.3431
138.01905,18.67695,128.344775
138.222325,18.682225,129.62275
138.289525,18.7027,130.410875
138.37225,18.75995,130.4387
138.50855,18.84795,130.4772
138.954725,18.89365,131.4247
139.28885,19.032175,131.961825
139.353325,19.05695,132.071025
139.581325,19.075825,132.882125
139.6934,19.101725,134.08985
140.173175,19.1453,134.83065
