SPK_SPKC09a (exc),SPK_SPKC12a (no response),SPK_SPKC13a (no response)
407.13875,407.254625,524.36605
407.1797,407.348525,525.5019
407.388375,407.47865,526.89695
407.447875,407.56745,527.4554
407.5602,407.98505,527.735775
407.608625,408.1458,529.785475
407.6905,408.2202,530.06905
407.7755,408.27065,530.27635
407.868575,408.346,530.3458
407.977325,408.540675,531.941525
408.0639,408.663325,532.74245
408.181175,408.861575,532.821275
408.306275,409.02,533.0843
408.3629,409.264975,533.131125
408.40465,409.356825,533.242975
408.467625,409.446275,533.649725
408.543475,409.60075,533.9607
408.620925,409.64585,534.030575
408.6974,409.702775,534.5407
408.761125,409.877175,536.485725
408.85465,410.064775,536.89655
408.89415,410.227475,538.7414
408.96105,410.304825,538.995525
409.01465,410.333325,539.4719
409.08255,410.3794,539.59665
409.109525,410.464075,539.6377
409.15985,410.52695,539.64275
409.228225,410.6104,541.89945
409.28085,410.702625,542.411375
409.377475,410.744275,543.032475
409.41525,410.774925,543.33695
409.485325,410.82085,543.52705
409.635675,410.849625,544.161975
409.731575,410.89305,544.94795
409.8736,410.944175,545.331075
409.9259,411.00265,545.608325
410.0495,411.1112,545.664825
410.108925,411.193875,546.025725
410.158125,411.2769,546.166425
410.226725,411.319075,546.3534
410.3616,411.360775,547.063175
410.44435,411.379425,547.719225
410.5751,411.41125,548.0845
410.675175,411.4229,548.5878
410.718375,411.449125,549.427825
410.825175,411.46875,549.93715
410.874025,411.5338,550.75895
410.92995,411.595975,550.8391
411.001,411.632425,550.932975
411.111025,411.67875,551.8911
411.158525,411.92655,552.909925
411.32395,411.993475,553.956
411.408725,412.042875,554.460625
411.438525,412.072725,555.8851
411.497925,412.1043,556.4306
411.5371,412.133525,556.576025
411.579325,412.159125,556.688325
411.644525,412.18835,556.932725
411.709275,412.205775,560.60405
411.75895,412.27485,560.66215
411.825175,412.3836,561.3788
411.903975,412.438675,562.4235
411.9587,412.50895,562.4502
412.023625,412.587275,563.465675
412.0925,412.627625,563.486875
412.162175,412.67255,564.6278
412.197225,412.73725,565.1703
412.27455,412.7949,565.336975
412.3469,412.83455,565.620925
412.403275,412.898875,567.2111
412.5191,412.928625,569.7726
412.582375,412.946075,570.712225
412.6389,412.9716,570.86525
412.66995,413.002175,571.2825
412.713625,413.05055,571.710425
412.8032,413.110975,572.18845
412.9798,413.14825,572.31175
413.0418,413.1671,572.817275
413.11125,413.21055,573.571475
413.189175,413.25545,573.6677
413.219075,413.29555,573.6952
413.30095,413.366275,575.204975
413.336975,413.441775,575.701225
413.40975,413.45455,575.76695
413.476575,413.4738,576.7448
413.497225,413.49685,576.874825
413.5234,413.509325,578.386325
413.53595,413.520325,578.801375
413.56165,413.536125,579.06195
413.581825,413.543925,579.254025
413.60485,413.559,580.167575
413.63875,413.566,581.2725
413.6546,413.575225,581.574025
413.69115,413.58395,582.4087
413.707975,413.593175,583.214225
413.7273,413.6064,584.390425
413.741775,413.6327,584.695075
413.7613,413.666425,585.560225
413.776025,413.67745,585.966825
413.797475,413.687775,586.2774
413.822925,413.70175,586.395575
413.8848,413.714525,587.1127
413.938225,413.724575,588.16335
414.002425,413.7473,588.190025
414.064925,413.757525,588.749625
414.090825,413.771925,589.563275
414.113875,413.801225,590.29675
414.152175,413.813675,591.68745
414.198025,413.8279,592.19765
414.319675,413.8495,592.4499
414.476425,413.86885,592.90755
414.537625,413.8843,593.84425
414.657375,413.898375,594.78655
414.723375,413.91655,595.4977
414.7946,413.9361,595.67135
414.8409,413.95265,596.113475
414.88395,413.965975,596.41385
414.958075,413.976975,599.068275
415.113325,413.98445,
415.138475,414.004025,
415.199525,414.014725,
415.235625,414.0383,
415.294725,414.060975,
415.369175,414.0921,
415.4746,414.109625,
415.5868,414.126975,
415.65055,414.1524,
415.69655,414.1693,
415.78105,414.187975,
415.899525,414.199425,
415.9433,414.234775,
416.071775,414.261725,
416.0909,414.2874,
416.109825,414.31295,
416.139975,414.373775,
416.155,414.52025,
416.180075,414.631875,
416.219975,414.6891,
416.280375,414.7165,
416.367325,414.757725,
416.39985,414.7958,
416.43725,414.847675,
416.494425,415.05735,
416.6103,415.11395,
416.64175,415.1339,
416.678225,415.155725,
416.71205,415.173225,
416.728175,415.1958,
416.75205,415.21725,
416.785575,415.26675,
416.811075,415.381,
416.867175,415.4791,
416.893775,415.665675,
416.925175,415.705175,
416.9565,415.7823,
416.985875,416.03255,
417.012575,416.057225,
417.034225,416.074375,
417.066925,416.0959,
417.14775,416.1167,
417.172975,416.13325,
417.1893,416.1625,
417.218275,416.19595,
417.2606,416.270775,
417.297075,416.373175,
417.3308,416.415775,
417.408975,416.513475,
417.462025,416.69345,
417.5734,416.713875,
417.630775,416.725525,
417.699525,416.7342,
417.85075,416.742575,
418.022125,416.752325,
418.078,416.7851,
418.123,416.793375,
418.1825,416.804125,
418.28995,416.818875,
418.358475,416.828575,
418.41085,416.847825,
418.481,416.86645,
418.518375,416.8917,
418.566275,416.90535,
418.629075,416.91445,
418.735425,416.941675,
418.791025,416.978225,
418.825975,416.999175,
418.8504,417.02545,
418.88075,417.062675,
418.922925,417.082175,
418.95615,417.1136,
418.987975,417.136675,
419.00905,417.15105,
419.03315,417.17245,
419.05965,417.189275,
419.083575,417.204725,
419.106375,417.2184,
419.131175,417.237925,
419.17185,417.25645,
419.2173,417.2739,
419.240925,417.292425,
419.267675,417.311925,
419.32365,417.33305,
419.391425,417.356375,
419.48465,417.374875,
419.532075,417.40055,
419.5762,417.4471,
419.627375,417.502725,
419.6973,417.80455,
419.721775,417.835625,
419.7653,417.908475,
419.793725,417.96835,
419.826225,418.018675,
419.87675,418.25765,
419.923925,418.31215,
419.974725,418.3873,
420.02375,418.4293,
420.0737,418.474275,
420.137225,418.545,
420.231375,418.7624,
420.51865,418.7837,
420.618425,418.793225,
420.643625,418.80165,
420.69045,418.812125,
420.727025,418.8194,
420.728275,418.827275,
420.757275,418.838025,
420.77785,418.8507,
420.800575,418.862525,
420.8281,418.8702,
420.85975,418.880525,
420.895025,418.892325,
420.962225,418.92005,
421.0113,418.932975,
421.090025,418.94105,
421.163375,418.9499,
421.207375,418.961925,
421.264425,418.9758,
421.29645,419.019725,
421.321075,419.030925,
421.336075,419.04075,
421.349175,419.053375,
421.414,419.067025,
421.4808,419.08095,
421.527375,419.0929,
421.559225,419.1078,
421.62905,419.1405,
421.6814,419.16015,
421.802225,419.17465,
421.8254,419.218425,
421.8772,419.2513,
421.90815,419.27365,
421.9344,419.31345,
421.9525,419.328825,
421.98815,419.36015,
422.018925,419.38955,
422.060525,419.419125,
422.125175,419.452175,
422.173475,419.59115,
422.214675,419.61765,
422.263725,419.649275,
422.29045,419.67565,
422.323225,419.686925,
422.37825,419.70205,
422.461225,419.711675,
422.4843,419.7322,
422.5006,419.751125,
422.5209,419.781725,
422.5434,419.797375,
422.58135,419.81365,
422.597375,419.833375,
422.624475,419.859525,
422.65215,419.89055,
422.73065,419.9081,
422.76735,419.9358,
422.80055,419.977625,
422.83505,420.01575,
422.874475,420.04995,
422.935925,420.0894,
422.980225,420.112275,
423.034275,420.26695,
423.06475,420.59545,
423.0918,420.632175,
423.129575,420.649325,
423.1655,420.66805,
423.217,420.68725,
423.256375,420.702875,
423.30265,420.72155,
423.4043,420.73875,
423.432425,420.7559,
423.5621,420.770875,
423.6057,420.789725,
423.665075,420.802425,
423.72475,420.8156,
423.7593,420.833475,
423.81595,420.859725,
423.899175,420.906325,
423.95635,420.9276,
424.019525,420.970075,
424.064925,421.31495,
424.11175,421.3544,
424.153025,421.3827,
424.180175,421.424125,
424.2009,421.7425,
424.229325,421.8011,
424.2549,421.831175,
424.282,421.85555,
424.315875,421.8809,
424.332975,421.937925,
424.368675,421.9672,
424.39335,422.02745,
424.40925,422.079025,
424.42755,422.259275,
424.44615,422.2793,
424.466625,422.30905,
424.481,422.35685,
424.4984,422.422375,
424.5252,422.46735,
424.5618,422.4921,
424.58695,422.509625,
424.611675,422.529675,
424.669125,422.558725,
424.6937,422.576575,
424.761875,422.594825,
424.8227,422.6084,
424.861025,422.623,
424.9162,422.639575,
424.9784,422.649825,
425.000675,422.6657,
425.016325,422.689775,
425.062,422.717,
425.1126,422.732625,
425.162225,422.74865,
425.28415,422.766975,
425.3095,422.780875,
425.347625,422.793925,
425.364725,422.80805,
425.376075,422.82685,
425.382725,422.8476,
425.4023,422.862625,
425.42345,422.886575,
425.435525,422.9241,
425.448075,422.96595,
425.48315,422.99615,
425.5133,423.03725,
425.535075,423.0656,
425.5444,423.08645,
425.581475,423.129725,
425.628075,423.15285,
425.6741,423.17605,
425.774625,423.1962,
425.7995,423.2265,
425.8318,423.9085,
425.871475,423.9718,
425.9277,424.05915,
425.96055,424.11775,
426.00275,424.149,
426.039625,424.16855,
426.09365,424.17815,
426.16335,424.190725,
426.216725,424.20465,
426.26135,424.228275,
426.388425,424.244975,
426.431525,424.260975,
426.536725,424.279525,
426.6164,424.29085,
426.7139,424.30375,
426.830425,424.319225,
426.85055,424.33185,
426.86075,424.344975,
426.864025,424.377675,
426.903625,424.39315,
426.93295,424.426175,
426.96235,424.4343,
426.998375,424.452975,
427.0302,424.475725,
427.057225,424.490275,
427.077125,424.50185,
427.11025,424.5171,
427.131075,424.531975,
427.148075,424.560775,
427.166075,424.598225,
427.188325,424.626875,
427.2126,424.654825,
427.223575,424.696375,
427.259675,424.734825,
427.286925,424.73745,
427.326575,424.776525,
427.361975,424.791475,
427.422125,424.8207,
427.438825,424.851875,
427.463375,424.913525,
427.492425,424.954325,
427.520825,424.996475,
427.5371,425.035175,
427.555575,425.06415,
427.5719,425.19215,
427.621125,425.310975,
427.637275,425.3325,
427.65645,425.342675,
427.7472,425.349525,
427.777925,425.36795,
427.888725,425.3796,
427.92425,425.393325,
428.00225,425.40645,
428.0258,425.4274,
