SPK_SPKC03a (weak inhi),SPK_SPKC08a (exc),SPK_SPKC09a (no response),SPK_SPKC10b (weak inhi),SPK_SPKC11a (no response)
253.842975,260.027825,253.003925,256.148275,252.993875
253.8676,260.0325,253.01955,256.1634,253.007625
253.886875,260.072675,253.048825,256.22005,253.023325
253.9548,260.458675,253.05635,256.25675,253.08895
253.98645,260.532675,253.06765,256.321425,253.100875
254.0202,260.562875,253.0914,256.382525,253.119675
254.064975,260.6031,253.128125,256.4259,253.128325
254.0806,260.635325,253.160675,256.4701,253.151775
254.095425,260.69355,253.1733,256.528,253.190725
254.12085,260.698925,253.197075,256.57745,253.208125
254.16405,260.7221,253.2074,256.59285,253.22505
254.24805,260.7456,253.212225,256.5961,253.23745
254.268975,260.8635,253.255625,256.620725,253.268375
254.291775,260.867475,253.271075,256.6832,253.2877
254.404575,260.879625,253.304625,256.686525,253.321825
254.42665,260.936275,253.31805,256.7182,253.367725
254.4421,260.951525,253.33345,256.8452,253.3954
254.4585,260.992225,253.363775,256.876725,253.415525
254.478475,261.039,253.393375,256.926675,253.435225
254.49,261.30055,253.4082,256.938325,253.4551
254.51305,261.3056,253.4927,257.010475,253.477175
254.537525,261.3108,253.53655,257.029925,253.497675
254.56045,261.44735,253.548275,257.1262,253.51955
254.592875,261.799525,253.57745,257.2329,253.573425
254.635575,261.87045,253.601425,257.25555,253.6106
254.695575,261.88475,253.668725,257.286975,253.650325
254.735075,262.0015,253.7364,257.295175,253.67305
254.756,262.041975,253.769275,257.3506,253.684525
254.79825,262.193975,253.779725,257.361025,253.74325
254.816225,262.263725,253.821575,257.475475,253.767225
254.83305,262.57695,253.843175,257.567375,253.7877
254.85715,262.6589,253.856825,257.627,253.812075
254.891625,262.692875,253.86925,257.66855,253.842075
254.9571,262.7039,253.902075,257.671,253.865225
255.014475,262.73035,253.94105,257.7323,253.8764
255.050775,262.78025,253.955275,257.759575,253.922325
255.071925,262.792775,253.97365,257.767525,253.94185
255.10145,262.811225,254.00195,257.778475,253.967175
255.12585,262.813275,254.0415,257.805425,253.9819
255.147075,262.816,254.0584,257.84215,254.008475
255.1849,262.832425,254.0792,257.92095,254.026775
255.226875,262.86975,254.096725,257.980275,254.04585
255.27405,262.893975,254.1217,258.0011,254.0738
255.325175,262.9911,254.15375,258.071725,254.097675
255.357325,262.995525,254.1874,258.1175,254.123725
255.368625,263.01405,254.20395,258.13495,254.14635
255.3834,263.05435,254.235025,258.252,254.159325
255.404225,263.080975,254.257525,258.340875,254.18505
255.474675,263.23395,254.26275,258.4172,254.208975
255.501425,263.3188,254.28235,258.4582,254.227575
255.551175,263.3583,254.308,258.493625,254.26165
255.56795,263.368675,254.33785,258.50675,254.284525
255.603275,263.373875,254.371975,258.576475,254.3446
255.6305,263.4307,254.40585,258.612675,254.370675
255.755825,263.454925,254.42705,258.667525,254.393875
255.77335,263.459,254.44705,258.7209,254.428425
255.834375,263.494525,254.460425,258.741625,254.469475
255.870425,263.49705,254.466375,258.7578,254.4873
255.882875,263.563875,254.496925,258.7941,254.500175
255.901475,263.57295,254.5248,258.890525,254.5249
255.9286,263.60475,254.534,258.90025,254.53975
255.96715,263.60685,254.555875,258.93075,254.558575
255.99095,263.760825,254.5768,259.005025,254.574875
256.024825,263.835075,254.59745,259.036475,254.612975
256.048975,263.8726,254.6119,259.0402,254.6307
256.068975,263.90595,254.633325,259.133075,254.6441
256.095025,264.0018,254.647575,259.198,254.676725
256.1138,264.254225,254.667075,259.24095,254.69085
256.164675,264.352425,254.682125,259.29385,254.729275
256.2042,264.386325,254.697925,259.342175,254.74335
256.223325,264.39685,254.7154,259.37065,254.769825
256.30905,264.4684,254.753925,259.455275,254.798275
256.3355,264.490625,254.80275,259.493275,254.819975
256.35475,264.516575,254.81305,259.537075,254.842875
256.388725,264.537975,254.827025,259.6039,254.8656
256.40915,264.610675,254.84835,259.750675,254.92805
256.449925,264.706775,254.88875,259.7901,254.94695
