SPK_SPKC03a,SPK_SPKC05a,SPK_SPKC05b,SPK_SPKC08a,SPK_SPKC10a
323.80885,317.9215,368.48385,,317.847775
323.944425,317.948575,369.5496,,317.856225
324.1934,317.9757,370.1099,,317.879775
324.400525,318.000975,371.669575,,317.9237
324.41965,318.03255,373.314075,,317.950825
324.490825,318.065175,373.4501,,317.9889
324.64535,318.116125,373.514375,,318.018675
325.63695,318.1397,373.622475,,318.067775
325.76355,318.312475,373.750975,,318.56145
326.32315,318.37605,373.87245,,318.622325
327.02685,318.457475,373.96035,,318.70005
327.1257,318.615775,374.793175,,318.877375
327.3279,319.26185,375.09445,,319.112275
327.669975,319.31265,378.486725,,319.22955
327.7989,319.44055,378.62715,,319.336175
327.8169,319.582425,379.756275,,319.4498
328.153875,319.6849,379.9656,,319.50575
328.18975,319.83515,384.79735,,319.546375
328.300275,320.458325,384.88805,,320.03105
328.42105,320.64875,386.01375,,320.31
328.629975,321.04215,390.101675,,320.4206
328.71835,321.525175,390.335175,,320.5519
328.912475,321.8875,390.466325,,320.7916
328.935975,322.3578,390.65605,,321.08235
329.06335,322.7133,391.13485,,321.238875
329.1,322.890275,391.346275,,321.33875
329.303175,323.034375,397.00795,,321.6423
329.45175,323.092,397.099275,,321.7559
329.8813,323.1436,397.19245,,321.888025
329.96555,323.2013,397.5961,,321.91645
330.11985,323.49965,397.992125,,322.225375
330.290675,323.9898,398.297325,,322.46765
330.681275,324.1749,398.49585,,322.5826
331.77945,324.5062,398.715225,,322.59685
332.284825,324.7123,398.849575,,322.879
332.3139,325.02895,399.273775,,322.960925
332.339075,325.21435,399.364925,,322.99725
332.388925,325.607275,403.045075,,323.021425
332.555575,325.797875,403.323875,,323.09525
332.8279,325.931425,404.020425,,323.18895
332.907425,326.39865,406.06795,,323.670225
333.145175,326.821325,406.30895,,323.7371
333.3896,327.165875,406.525825,,323.907025
333.564425,327.255925,407.17205,,323.973875
333.864375,327.3891,407.37645,,324.004775
333.939925,327.494025,409.4613,,324.0473
334.705275,327.56325,410.696175,,324.10215
334.7696,327.63265,410.8451,,324.1359
334.950625,328.49395,411.332525,,324.2471
335.072725,328.677675,411.370875,,324.3086
335.21645,329.326975,411.63235,,324.387475
335.28825,329.4645,411.80645,,324.506725
335.7411,329.646625,411.9535,,324.548575
335.7522,329.745325,412.1952,,324.638825
335.78025,329.940175,414.50045,,324.876325
335.91235,330.2901,414.764925,,324.943875
336.382925,330.510175,414.851975,,325.0928
336.4854,330.933425,415.137425,,325.2017
336.558625,331.68,415.406,,325.710425
336.61685,331.80995,415.562075,,326.194775
336.859925,331.865225,416.011425,,326.379725
337.2315,332.0228,416.1557,,326.58915
337.42905,332.208475,418.3953,,326.7677
337.612975,332.285875,418.690525,,326.826675
337.803925,332.3928,419.34905,,326.873425
337.99605,332.432975,419.486625,,326.91085
338.753475,332.53885,419.49825,,326.941275
338.941675,332.595725,420.100325,,326.971625
338.986075,332.6468,421.015525,,327.10035
339.049925,332.70495,421.227875,,327.257425
339.20635,332.872375,421.3751,,327.345025
339.3066,333.026525,424.173575,,327.3768
339.37015,333.673275,424.21805,,327.43805
340.22,334.04695,424.495025,,327.452875
341.731925,334.298575,426.4508,,327.525075
341.804725,334.42875,426.647225,,328.045075
341.9091,334.601225,427.041775,,328.22375
341.98035,334.867525,428.6292,,328.38855
342.0935,335.0383,428.6761,,328.41005
342.581625,335.5528,429.3892,,328.468975
342.668375,335.665175,436.038125,,328.5404
342.697475,335.79605,436.522225,,328.5727
342.945025,336.058,436.785025,,328.629
343.058275,336.1499,437.66145,,328.6983
343.4933,336.4847,437.8079,,328.795025
343.637975,336.619925,440.583425,,328.83735
343.777775,336.6484,440.8131,,328.912675
345.05295,336.892225,442.30575,,329.168775
345.3032,337.446575,442.4541,,329.291725
345.7107,337.665275,442.606125,,329.43055
346.2847,337.79915,442.66595,,329.580525
346.32895,337.941575,442.76645,,329.973375
346.522475,338.07835,442.83045,,330.5917
346.5977,338.489475,442.901325,,330.765675
346.63605,338.62935,442.9604,,330.98055
346.720425,338.8842,443.109975,,331.7103
346.8974,339.135025,443.773375,,331.719375
346.9613,339.38355,444.019875,,331.7346
347.139925,339.5289,444.68005,,331.762075
347.38445,339.605675,445.18295,,331.98545
347.487475,339.7335,445.37715,,332.266625
347.55195,339.793075,445.739225,,332.323625
347.6111,339.9209,445.826325,,332.340425
347.882025,340.0318,445.8562,,332.48965
348.342025,340.433175,445.874425,,332.61995
348.646625,340.623525,445.940325,,332.647725
348.91945,340.844875,446.2328,,332.69155
349.521925,340.921675,446.337125,,332.7764
349.819425,341.34005,446.449475,,332.8233
350.003275,341.479225,446.661825,,332.947325
350.15025,341.603525,446.725625,,333.104275
350.202875,341.66485,447.000525,,333.154725
353.014025,342.046175,447.1526,,333.223175
353.106925,342.099625,447.45555,,333.242825
353.173225,342.47305,448.319625,,333.2686
353.334125,342.489825,448.432275,,333.3735
353.48055,342.760025,448.659975,,333.401825
353.518775,342.838425,448.800375,,333.47235
353.667075,346.126375,449.455725,,333.679325
353.785875,346.271325,449.544225,,333.822475
354.088925,346.31195,449.892525,,333.8515
354.175475,346.393075,453.170775,,333.904825
354.5336,346.4813,453.74495,,333.973175
354.613825,346.540375,454.0152,,334.0423
354.7559,346.633275,454.184625,,334.104725
354.8533,346.735225,454.619775,,334.243725
355.346325,346.83415,454.980725,,334.396525
355.47555,346.9068,455.25335,,334.848175
355.5577,346.97055,455.34655,,335.044075
356.118825,347.054225,455.4692,,335.04565
356.668825,347.119825,456.18805,,335.214475
357.070125,347.192075,456.4855,,335.647025
357.35135,347.275975,456.63645,,335.720275
357.38635,347.402925,457.19845,,335.732125
357.419325,347.404925,457.33205,,335.7837
357.46795,347.755825,457.44815,,335.853275
357.584725,347.938175,457.69205,,335.9161
357.609,348.08285,457.807125,,336.284125
357.729525,348.225575,457.902475,,336.504325
357.775825,348.2611,457.916675,,336.6475
357.8291,348.341275,458.015,,336.775425
357.884675,348.461275,458.11615,,336.86565
358.0509,348.543775,458.248925,,336.972125
358.08145,348.593375,458.502175,,337.049525
358.61155,348.764575,458.711275,,337.09315
358.65445,349.23735,458.864475,,337.12215
359.2853,349.387725,459.023075,,337.14445
359.402375,349.808975,459.47145,,337.226975
359.54105,351.057775,459.547425,,337.2648
360.3415,351.483675,459.702475,,337.2989
360.5582,351.84265,459.78015,,337.34675
360.68065,352.909625,459.875275,,337.391875
360.955175,352.975025,459.9372,,337.4207
361.06835,352.97625,460.1817,,337.48555
361.182,353.008725,460.3369,,337.50435
361.54775,353.03545,460.624325,,337.62475
361.61225,353.065925,461.72205,,337.74305
361.64895,353.09805,461.8212,,337.83665
361.940175,353.14125,461.9125,,337.973725
362.07015,353.16555,462.1432,,338.042975
362.308125,353.200225,463.122475,,338.179575
362.462425,353.229425,463.58335,,338.729225
362.5677,353.253325,463.731275,,339.160575
363.0879,353.36425,464.135,,339.2925
363.304375,353.609225,466.62355,,339.416475
363.4945,353.6708,466.67695,,339.429825
363.746825,353.716025,466.779275,,339.58175
364.074875,353.83885,467.044275,,339.8379
364.87705,353.90015,467.467775,,340.00415
364.977775,354.119625,467.635,,340.2029
365.04775,354.159375,467.81895,,340.67705
365.09595,354.195425,468.165275,,341.58615
365.2166,354.29315,468.30205,,341.672425
365.2735,354.386675,471.6159,,341.767775
365.3935,354.52785,471.731575,,341.98105
365.424825,354.657525,471.808,,342.077875
365.643075,354.7737,472.0577,,342.1215
365.691,354.937525,472.3804,,342.242275
365.8553,355.091025,472.451725,,342.340275
366.32595,355.5897,472.8246,,342.3932
366.780925,356.1964,473.35645,,342.47985
366.87635,356.68635,473.46585,,342.56105
366.97925,357.0176,473.661175,,342.6516
367.021725,357.286975,475.7392,,342.692375
367.58155,357.38405,475.853825,,342.7289
367.65505,357.4502,476.004525,,342.82245
367.8089,357.52505,476.0855,,342.90905
368.224375,357.561975,476.156325,,343.0388
368.258425,357.5957,476.21515,,343.073575
368.287175,357.640125,476.495425,,343.11695
368.40295,357.702875,477.312775,,343.160225
368.47665,357.75525,477.57495,,343.18505
368.5023,357.857325,479.51945,,343.2583
368.533325,357.9274,479.667725,,343.2968
368.5749,358.034675,479.953,,343.324475
368.72255,358.110775,480.064125,,343.396725
368.819825,358.16095,480.418675,,343.432875
368.93145,358.299725,480.766125,,343.473475
369.166975,358.3858,480.90895,,343.505225
369.225725,358.5376,481.005275,,343.517575
369.312775,358.6088,481.195775,,343.5608
369.419175,358.6607,481.842075,,343.738525
369.54145,358.712925,481.9942,,343.865675
369.6209,358.768975,482.037075,,344.9071
369.66335,358.795175,482.187325,,345.162025
369.7337,358.8835,482.326175,,345.9027
369.887175,359.01575,484.7191,,346.221075
369.9134,359.1526,484.795525,,346.298725
369.97015,359.26105,484.878575,,346.456375
370.0001,359.51575,485.194175,,346.49685
370.0712,359.70095,485.336275,,346.51645
370.246775,360.1597,485.629725,,346.5455
370.683125,360.207925,485.997475,,346.55775
371.090525,360.51955,486.354525,,346.569375
371.277175,360.65015,486.668325,,346.6021
371.49865,360.707775,486.85615,,346.643625
371.5278,360.739075,487.0261,,346.657625
371.598275,360.7999,489.392325,,346.690025
372.464575,360.912725,490.3462,,346.7143
372.90875,360.993525,490.40675,,346.801875
373.171025,361.025225,490.452525,,346.822825
373.2214,361.070125,490.683925,,346.925775
373.2509,361.200975,490.7574,,346.966075
373.600175,361.23935,490.9718,,346.987475
373.635075,361.262175,491.2071,,347.06085
373.749575,361.321825,492.2374,,347.08965
373.896125,361.368675,494.656175,,347.1067
374.0282,361.406375,494.784675,,347.21745
374.151275,361.4682,499.07,,347.23395
374.2367,361.51645,499.195925,,347.325525
374.397475,361.6153,499.359225,,347.367225
374.499475,361.645775,499.442625,,347.512875
374.524275,361.7876,,,347.62415
374.567175,361.930925,,,347.684275
375.0802,362.061525,,,347.735425
375.10715,362.871075,,,347.81765
375.55465,363.2381,,,347.84555
375.625025,363.424875,,,347.883175
375.8784,363.872175,,,347.921775
376.9504,364.044325,,,347.997725
377.146525,364.190525,,,348.0933
377.36255,364.831775,,,348.1236
377.55395,364.851025,,,348.158575
377.638875,364.87215,,,348.200625
377.856475,364.936675,,,348.228625
377.9378,364.982325,,,348.318
378.0597,365.04,,,348.3559
378.251225,365.094125,,,348.400925
378.47905,365.195225,,,348.437075
378.5174,365.238875,,,348.473325
378.551875,365.289875,,,348.540075
378.6231,365.3503,,,348.7219
378.704375,365.395625,,,349.2345
378.78245,365.4845,,,350.09805
378.8376,365.52375,,,350.298175
379.0685,365.595175,,,350.4713
379.14895,365.6248,,,350.565825
379.501475,365.6676,,,350.6894
379.5767,365.738925,,,351.086575
379.606425,365.848,,,351.6622
379.89075,365.9368,,,352.460325
380.078825,366.131725,,,352.717975
380.5622,366.327725,,,352.83625
380.640525,366.7928,,,352.846225
380.81385,367.22545,,,352.863175
381.01955,367.383675,,,352.8871
381.056925,368.25035,,,352.927125
381.227575,368.2819,,,352.9675
381.94535,368.3316,,,353.107525
381.989825,368.44665,,,353.1487
382.318325,368.487925,,,353.2364
382.677575,368.551725,,,353.3571
383.287,368.65785,,,353.683925
383.89345,368.75185,,,353.711175
384.5429,368.772425,,,353.752875
384.61355,368.9623,,,353.917125
384.65565,369.0404,,,354.0827
384.707375,369.130025,,,354.184475
384.756925,369.3471,,,354.2067
385.005225,369.434025,,,354.257725
385.1149,369.517325,,,354.3059
385.176075,369.609475,,,354.403075
385.41905,369.672025,,,354.47695
385.44125,369.767675,,,354.663175
385.665475,369.8354,,,355.29165
385.9425,369.94525,,,355.571
385.998475,370.29365,,,356.6358
386.168825,370.435625,,,357.315925
386.369275,370.49325,,,357.362475
386.845575,370.520725,,,357.390675
386.919425,370.570925,,,357.462925
387.05575,370.74735,,,357.5587
387.39375,370.933075,,,357.8295
388.071025,371.526975,,,357.861125
388.14,372.658775,,,358.056325
388.23085,372.9945,,,358.07975
388.385975,373.22245,,,358.1684
388.5473,373.26495,,,358.213375
388.717075,373.317,,,358.2642
388.758875,373.35435,,,358.343175
389.12875,373.385075,,,358.5352
389.345425,373.44495,,,358.60375
389.7083,373.458175,,,358.62505
389.85745,373.497325,,,359.0364
389.9596,373.5251,,,359.1609
390.03675,373.579425,,,359.204725
390.178475,373.611975,,,359.268175
390.5341,373.678075,,,359.323725
390.57265,373.7432,,,359.3863
390.585325,373.842475,,,359.427775
390.626125,373.885325,,,359.46645
390.68495,373.93485,,,359.52245
391.182025,374.067475,,,359.739775
391.223875,374.1971,,,359.8415
391.302825,374.243875,,,359.973175
391.369925,374.32735,,,360.072225
391.460475,374.399625,,,360.133475
391.49635,374.4489,,,360.217625
391.681825,374.497025,,,360.2493
391.76145,374.536075,,,360.375525
391.9318,374.612275,,,360.438475
391.99355,374.653775,,,360.472325
392.029375,374.70515,,,360.55565
392.36875,374.767275,,,360.64955
392.9623,374.836175,,,360.6736
393.10175,374.888925,,,360.80745
393.189225,374.9295,,,360.85475
393.261775,374.977825,,,360.897475
393.30395,375.04815,,,360.971425
393.7694,375.13685,,,360.99915
393.82555,375.169425,,,361.0518
394.696925,375.218475,,,361.1113
395.017875,375.262175,,,361.18635
395.96075,375.3222,,,361.278725
396.132225,375.381525,,,361.423325
396.3427,375.478925,,,361.504075
396.654675,375.503675,,,361.594725
396.949175,375.6102,,,361.664425
396.982525,375.646025,,,361.699375
397.043475,375.73345,,,361.984625
397.079225,375.905475,,,362.26575
397.08265,376.09765,,,362.8362
397.2038,376.9112,,,363.446875
397.293725,377.5016,,,364.046725
397.489,378.192575,,,364.2687
397.599625,378.480325,,,364.309325
397.63945,378.520975,,,364.378475
397.740825,378.53105,,,364.450675
397.859975,378.56655,,,364.633775
397.92115,378.5787,,,364.798475
398.01635,378.60495,,,364.858
398.174675,378.64625,,,364.90655
398.434925,378.6649,,,364.923225
398.621125,378.676725,,,365.0603
398.74415,378.7081,,,365.094825
398.9372,378.73365,,,365.54355
398.951725,378.80495,,,365.575375
399.062175,378.8601,,,365.61585
399.078725,378.9163,,,365.6423
399.160625,378.9671,,,365.7315
399.28895,379.03175,,,365.8026
399.865175,379.1138,,,365.915525
400.092925,379.185825,,,366.739675
400.581675,379.244975,,,366.88295
400.9394,379.48565,,,366.925275
401.061875,379.52845,,,366.966925
401.703425,379.588675,,,366.997675
401.91115,379.604825,,,367.05865
402.148375,379.7428,,,367.298325
402.196075,379.846675,,,367.5352
402.2972,379.93835,,,367.919525
402.399975,380.077225,,,368.20545
402.426975,380.35025,,,368.2978
402.455725,380.9192,,,368.388975
402.617075,381.235825,,,368.425
402.742775,381.6138,,,368.61215
402.77745,381.924,,,368.784425
402.84325,382.46075,,,368.94685
402.90905,382.8711,,,369.0762
403.15855,383.3469,,,369.1263
403.2911,383.844675,,,369.228575
403.33925,384.39445,,,369.261225
403.3618,384.443125,,,369.318925
403.60215,384.49725,,,369.342925
403.685525,384.549525,,,369.415275
403.78405,384.572125,,,369.459225
404.205975,384.59055,,,369.469375
404.575,384.627325,,,369.541125
404.7949,384.6324,,,369.5721
404.90805,384.6654,,,369.615575
405.4761,384.675075,,,369.770025
405.680075,384.707625,,,369.852625
405.7764,384.767975,,,370.015725
405.846625,384.82965,,,370.21705
405.94935,384.87525,,,370.29685
405.989625,384.90015,,,370.404325
406.049875,384.9451,,,370.5306
406.15115,384.97575,,,370.671675
406.2203,385.05255,,,371.09675
406.269275,385.104575,,,371.52855
406.6178,385.166975,,,371.5809
406.7095,385.21895,,,371.809825
406.82105,385.244125,,,371.9615
406.854525,385.316975,,,372.236525
406.875625,385.345225,,,372.82045
407.084725,385.41605,,,373.163925
407.12545,385.43525,,,373.226125
407.3782,385.508375,,,373.243175
408.660275,385.5555,,,373.33355
408.770425,385.621825,,,373.365975
408.929125,385.661375,,,373.388875
409.0443,385.7104,,,373.435425
409.284225,385.764075,,,373.449625
409.362025,385.88535,,,373.540675
409.72215,385.95815,,,373.598625
410.138375,386.0098,,,373.72085
410.215925,386.0946,,,373.8687
410.467675,386.170925,,,373.921875
410.517525,386.292825,,,373.95595
410.5687,386.392125,,,373.99095
410.792675,386.4788,,,374.01775
410.958525,386.739225,,,374.1319
411.010025,387.084925,,,374.220925
411.046225,387.515725,,,374.26105
411.09175,388.025225,,,374.30595
411.1151,388.5697,,,374.4614
411.1902,388.989925,,,374.49555
411.445125,389.1642,,,374.80975
411.543525,389.3939,,,374.90475
411.58275,389.61455,,,374.9933
411.634275,389.72735,,,375.129725
411.795175,389.803825,,,375.165275
411.84795,389.839775,,,375.25155
411.930475,389.8804,,,375.341075
412.160975,389.907,,,375.390425
412.236,389.933825,,,375.476575
412.287175,389.959,,,375.60115
412.325925,389.994,,,375.623725
412.774575,390.020225,,,375.900475
412.79725,390.039375,,,376.12055
413.28445,390.061225,,,376.26745
413.518975,390.120225,,,376.66085
413.6697,390.159225,,,377.045475
413.82575,390.1838,,,377.530025
414.334925,390.204925,,,378.2502
414.40755,390.249175,,,378.324725
414.563975,390.281075,,,378.357325
414.71745,390.2954,,,378.368425
414.78225,390.337475,,,378.39325
414.935725,390.4453,,,378.42655
415.0208,390.522525,,,378.451075
415.134025,390.561275,,,378.4651
415.19995,390.815525,,,378.566075
415.240825,390.86815,,,378.629075
415.337775,390.885075,,,378.72405
415.525575,390.91105,,,378.88415
415.94885,391.11835,,,378.944475
416.047375,391.34315,,,379.3881
416.15195,391.470225,,,379.494125
416.2328,391.51265,,,379.523175
416.461675,391.5712,,,379.6145
416.68785,391.659925,,,379.657725
417.102175,391.7406,,,379.82545
418.28685,391.808825,,,379.8722
418.3906,391.94555,,,379.909175
418.7525,392.185975,,,379.9944
418.850725,392.543875,,,380.51445
419.053875,393.021075,,,380.986475
419.182125,393.8125,,,381.33045
419.2506,394.19015,,,381.5031
419.319125,394.478475,,,382.04585
419.354375,394.658425,,,382.84815
419.392525,395.654675,,,383.086425
419.4712,395.7245,,,383.647425
419.634225,395.900275,,,383.9396
419.754575,396.1857,,,384.2321
419.826025,396.9013,,,384.3256
419.852625,397.04545,,,384.3504
420.17395,397.094375,,,384.3659
420.1985,397.112975,,,384.418025
420.258775,397.137025,,,384.439775
420.427675,397.160425,,,384.4774
420.478075,397.1862,,,384.50395
420.6056,397.20295,,,384.6682
420.66415,397.220275,,,384.695175
420.849225,397.237,,,384.816875
420.90605,397.254225,,,384.926975
421.1897,397.282525,,,385.12695
421.41295,397.331875,,,385.2355
421.630225,397.346375,,,385.307075
421.88625,397.398325,,,385.4872
421.95215,397.4304,,,385.6713
422.160425,397.433425,,,385.728475
422.4145,397.452325,,,385.830075
423.184575,397.486225,,,386.34625
424.0327,397.494175,,,386.508875
424.085,397.521375,,,387.272725
424.146425,397.59805,,,387.58445
424.213625,397.631975,,,388.16515
424.24205,397.6824,,,388.367575
424.271325,397.872225,,,388.455125
424.375875,397.944025,,,388.525425
424.466525,398.54535,,,388.745525
424.579225,398.61385,,,388.851275
425.312025,398.69225,,,389.106625
425.382375,398.787875,,,389.425475
425.5948,398.837425,,,389.83895
425.7045,398.8819,,,389.88225
425.7751,398.91335,,,389.936125
425.836825,398.948225,,,390
426.1551,399.113175,,,390.021225
426.19675,399.2066,,,390.03905
426.229475,399.42965,,,390.06375
426.4684,399.694925,,,390.1159
426.524575,400.012325,,,390.18195
426.7061,400.028825,,,390.200025
426.775325,400.21345,,,390.2429
426.8742,400.71675,,,390.286375
427.110575,401.11725,,,390.3552
427.20485,401.3159,,,390.55235
427.38885,401.61275,,,390.6344
427.55345,402.126675,,,390.749375
428.165575,402.1609,,,391.14975
428.4686,402.2002,,,391.27995
428.5134,402.23415,,,391.879975
428.5395,402.242875,,,391.96135
428.78935,402.2544,,,391.978025
428.8446,402.274975,,,392.032475
428.999175,402.297925,,,392.1218
429.308625,402.3142,,,392.90315
429.605125,402.352975,,,393.494975
429.690475,402.39955,,,393.6468
430.521175,402.41925,,,394.0414
431.016475,402.474675,,,394.36925
431.64325,402.50135,,,395.462675
431.835075,402.526975,,,395.58085
431.91595,402.5626,,,395.715525
431.983175,402.593,,,396.175625
432.271825,402.61835,,,396.891875
432.321475,402.63915,,,396.96855
432.403225,402.667125,,,396.99245
432.461,402.704,,,397.076425
432.499975,402.728575,,,397.18845
432.7689,402.787775,,,397.220875
433.204775,402.822625,,,397.248425
433.462,402.853025,,,397.312175
433.518575,402.87525,,,397.374725
433.745825,402.895375,,,397.5438
434.000375,402.946425,,,397.569375
434.101825,403.00075,,,397.6158
434.577975,403.038275,,,397.6487
435.188125,403.07815,,,397.732175
435.954125,403.1117,,,397.775575
435.99455,403.1626,,,397.92475
436.01585,403.22475,,,397.974425
